PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType, ,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,05/27/2025,7:32:20 PM,1,1,Roy Rolston,,Right,Kcl merchants 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,0,0,Fastball,,Foul,,,,,,,87.51730031252210,-1.233703406777730,-4.336348834656670,2034.0305279720600,223.72959450411200,1:30,5.2554438883972600,3.8645214693160500,6.0000001920000000,-20.070567314667500,17.174361853936300,14.069260914336000,2.4328309350564700,0.9990721423175700,78.40538612893370,-5.033057855561630,-1.672869153427820,0.4392432525370490,,,,,,,,,,,,-9.062682250881860,9.701572402165530,-3.5187850064531100,50.00000000000000,5.1430157685764800,9.172785490286170,-126.8391236224700,-3.3745218846457000,-14.477263035542000,30.641887758975600,-16.676185748741600,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,f1acb2bc-da76-415a-85f1-7a5299bb1982,87.76015715110080,5.256630410952530,3.8712478493588500,-1.2490003463744300,-4.417237740279620,78.60405268149430,2.432614700380910,0.9936500627290930,-5.035042670691190,-1.7545101577464200,0.43906247228333800,14.830895959101800,16.082048953187100,-12.026754218626400,77.33916287473760,1989.384390836380,-423.82771761512300,97.8050409508756,-0.7067491959990230,-0.20836841521630500,-0.6760829664286630,,,,,,,,,,,,,,,,,0.9977329268305580,0,,,medium,high,20.394753412736200,68.2543802533243,54.667001749344000,Josh Eisfelder,,Kcl merchants 2025,2022-11
2,05/27/2025,7:32:44 PM,1,2,Roy Rolston,,Right,Kcl merchants 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,86.17037422351800,-0.2685045798532320,-4.394257360174180,2005.7048577271900,222.32452947164600,1:30,5.84770640352517,3.5096098488922100,6.0000001920000000,-20.87791165289030,17.55210071088210,13.729176829925700,3.8575963336672100,0.5616867345609230,77.07843844564040,-4.224902420518930,-1.7947144533133000,0.4461765946772310,,,,,,,,,,,,-8.907979608453700,9.583769928126320,-3.1589275246428300,50.000000000000000,5.813676197746410,9.170299637896510,-124.89939450297200,-1.237283132485400,-13.789095637578600,29.863632911756900,-17.33886518772500,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,67cd03b0-6577-4963-b95d-8f8434a4508c,86.41618194593430,5.848910789600110,3.5163160388747500,-0.28415048496549700,-4.474326242374390,77.27775147262600,3.8574188418330500,0.5564146814746800,-4.2263016335043900,-1.8748563136226400,0.44598826314952800,14.483794302247800,16.39328453874940,-12.434053011576800,3.30534097287696,1958.6600077998100,-431.8598732877480,97.65444802378880,-0.7220012251252930,-0.21531576374458200,-0.6575358186446300,,,,,,,,,,,,,,,,,0.997033432628146,0,,,medium,high,87.02519312441070,-2.4421374936952400,54.667001749344000,Josh Eisfelder,,Kcl merchants 2025,2022-11
3,05/27/2025,7:33:01 PM,1,3,Roy Rolston,,Right,Kcl merchants 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,1,1,Slider,,BallCalled,,,,,,,77.51496979169660,-0.8879793812476690,-1.7789867672875900,2289.761105147530,126.3168726615140,10:15,5.665911108319740,3.5864481762877500,6.0000001920000000,-41.487410688045900,5.979156971783700,-5.166906931066260,1.3828802082540100,1.5019620105941000,69.8557968743715,-8.7088023467918,-2.761075619537150,0.49586726247828400,,,,,,,,,,,,2.174079762099290,3.5488838591038400,-3.438513380004820,50.0,5.569599459030270,3.641250254096870,-112.58301535598400,-2.9061997004281800,2.7215766950343300,25.135405785718700,-27.73145287326750,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,b8fa3490-035a-4a53-8428-6135d6f6da1e,77.72909618046310,5.659165785535060,3.589183182831770,-0.8092617675097980,-1.8119317314342600,70.01581559077970,1.3890966498319700,1.5001384813025900,-8.614650138070780,-2.788514865407200,0.4956573827010180,-4.853822227654560,3.4291739131510000,-79.83930404720700,67.63611784567250,403.9357100632570,-2253.8504521778100,17.640954296724900,-0.10447863750531800,-0.984316856073331,0.14214267886509600,,,,,,,,,,,,,,,,,0.9951653293312790,0,,,medium,high,29.12749393889480,-19.072189895561300,54.667001749344000,Josh Eisfelder,,Kcl merchants 2025,2022-11
4,05/27/2025,7:33:23 PM,1,3,Roy Rolston,,Right,Kcl merchants 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,2,1,Fastball,,Foul,,,,,,,87.47701557012060,-1.511618621570530,-3.922521157542110,2141.0267867154900,223.47229037320900,1:30,5.279422781371070,2.0043649541676500,6.0000001920000000,-19.60981679942510,17.638754617996100,14.462090084272400,2.2367569758327100,-0.441733321262883,78.40872582988560,-5.223137695589390,-1.1826237287943300,0.4392647292070560,,,,,,,,,,,,-9.135656935947360,10.045702319850300,-1.6927402777611600,50.000000000000000,5.14461045160654,8.239007896740600,-126.83224514827400,-3.9753422056871500,-14.592460045183800,30.635227613240300,-16.12796655595420,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,10b364b7-7b67-4ccb-baab-363e6699ae19,87.71812892400140,5.2807904752917300,2.0112238252102500,-1.529064478036190,-4.0049559101790200,78.60555414456340,2.2363907653447600,-0.4472533231930980,-5.227404771565890,-1.2655906171003400,0.43908456588139300,15.23732989294460,16.567089706351700,-9.488164062398950,79.4439518053038,2111.736844730590,-352.9351215741600,98.63196751359480,-0.7157792809850250,-0.1648438607886780,-0.6785915726509160,,,,,,,,,,,,,,,,,0.9968454576713020,0,,,medium,high,18.500443375226700,-84.13849236277210,54.667001749344000,Josh Eisfelder,,Kcl merchants 2025,2022-11
5,05/27/2025,7:33:47 PM,1,4,Roy Rolston,,Right,Kcl merchants 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,2,2,Fastball,,BallCalled,,,,,,,87.81080909249490,-0.5531614976964940,-2.946794814322830,1952.5283995464000,213.147679692959,1:00,5.9288172490491500,2.7378192841558,6.0000001920000000,-18.148591092848800,18.77448069522550,10.606404835727100,3.9016330908205900,0.880536573178934,78.5460003687777,-3.995569689975760,-0.9338347228718520,0.43734124281490200,,,,,,,,,,,,-6.739536149295250,10.344780697316800,-2.5037168868741400,50.00000000000000,5.873193724615690,6.224887017592140,-127.47051130386300,-1.808748141859770,-10.855622575239200,31.34248769617810,-15.511324973203900,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,41d7eae0-c09b-42ea-a8be-a1faf7c3bdaa,88.06668480841480,5.930883057646120,2.743253491743320,-0.578770899675495,-3.010961683258040,78.75413771622380,3.9008046875560000,0.8763734214611930,-4.007025811070480,-0.9974852670123810,0.4371490128921950,11.208809870657800,17.716568726289900,-16.274308782517600,73.94952713010030,1874.2926263685900,-547.1693538343890,95.99310446926250,-0.8037156853132740,-0.28023630998735000,-0.5248892337875570,,,,,,,,,,,,,,,,,0.9870026419564780,0,,,medium,high,23.44542558290970,-68.86544835243740,54.667001749344000,Josh Eisfelder,,Kcl merchants 2025,2022-11
6,05/27/2025,7:34:07 PM,1,5,Roy Rolston,,Right,Kcl merchants 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,3,2,Fastball,,Foul,,,,,,,87.03525999524860,-0.572114803792195,-3.4165729984012700,2018.4909990578400,223.33819037502500,1:30,5.348745176106300,2.594339031390160,6.0000001920000000,-20.272678442225500,17.329568573646600,14.250960352808700,3.1266708919301500,0.6028088138200680,77.88994172876770,-4.415422769104910,-0.7132142754503730,0.4413452140541640,,,,,,,,,,,,-8.865444602442420,9.567723115296910,-2.323965490863250,50.000000000000000,5.290320162333550,7.091109177486240,-126.29083535956100,-1.9015049093971500,-14.023631921829900,30.65123546095270,-17.039531993735900,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,eb609bb1-0634-4966-b5fc-e26258338212,87.27954095031530,5.349842430830770,2.6009971570613500,-0.5863997698138680,-3.4967595961874000,78.08801334647340,3.1265430185722700,0.5975153202683150,-4.416248984669730,-0.7936792578688860,0.4411608895752190,15.005102957377500,16.168113213753900,-6.391784498904450,85.56294667747200,2005.9438411919300,-224.71141328754600,99.37838920898,-0.7227943938990400,-0.11132643811264600,-0.6820371605163980,,,,,,,,,,,,,,,,,0.9978429084288010,0,,,medium,high,12.993347990275300,8.50984973608505,54.667001749344000,Josh Eisfelder,,Kcl merchants 2025,2022-11
7,05/27/2025,7:34:31 PM,1,6,Roy Rolston,,Right,Kcl merchants 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Stretch,1,Top,0,3,2,Slider,,StrikeCalled,Strikeout,,StrikeoutLooking,1,0,,78.99712681849830,-0.23281798179120700,-1.251512453027630,2234.354700424510,167.7624448207250,11:30,5.643353391092590,1.8720885552811000,6.0000001920000000,-39.15867924499620,6.484273234893370,-2.228676748608150,2.163697574815280,0.5230327057781820,71.0175993395369,-7.6364818168155500,-1.675381644741180,0.4862486261130270,,,,,,,,,,,,0.7703186022056460,3.5916293937984200,-1.7688441679073700,50.00000000000000,5.601775263949890,2.57115887036621,-114.78153086614300,-1.5837442575654600,1.0029948176651400,26.00031938454740,-27.497561625513400,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,ca1617a0-3726-4806-aacc-9421b893c9d6,79.22042180460420,5.6376621248701300,1.875795320526840,-0.1659533851535130,-1.2964179827154800,71.18894752423830,2.16923249316109,0.5203585679172070,-7.552675050537870,-1.7155084151347100,0.48603860915423300,-1.8041809176386200,4.134683403708830,-81.30725498331440,36.29715013736620,337.69062779124200,-2208.6887438503100,15.113564006962800,-0.14770141047104600,-0.9885130339559230,0.032035527842066800,,,,,,,,,,,,,,,,,0.9969415849356850,0,,,medium,high,57.33256487637040,-0.22851932606390900,54.667001749344000,Josh Eisfelder,,Kcl merchants 2025,2022-11
8,05/27/2025,7:35:03 PM,2,1,Roy Rolston,,Right,Kcl merchants 2025,Brandon Schultz,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,0,0,Sinker,,StrikeCalled,,,,,,,79.79845847697740,-0.5775944152326850,-4.346543222747200,1514.0131535592900,240.1689837455720,2:00,4.906255248775220,3.355787392876950,6.0000001920000000,-32.9349696646485,11.869678772723500,16.68800007550890,1.6232950890450600,0.6990371334877610,71.68052078291760,-6.8006286224749300,-1.1853875854048500,0.4817625749469140,,,,,,,,,,,,-10.490037324081800,6.6143442037684900,-3.0107294657644900,49.999999999999900,4.839988731197060,8.310198107730320,-115.66747548144900,-2.1194770941504800,-13.92822184893670,25.584784435393100,-23.39180691048320,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,4ac949f7-9412-488b-8d83-c1e254e4919a,80.01622476350580,4.902975248071500,3.3629780139839800,-0.5400857699049810,-4.431169310184840,71.84584626912160,1.6266419198380200,0.6934549547705300,-6.749406534761930,-1.2697525513610800,0.4815677743402930,17.484097620058600,10.011342283057600,5.7603040492391000,41.017906962175000,1506.3681203573700,151.95695154074700,99.49504842914020,-0.4949317911816570,0.10036699561262800,-0.8631158602814640,,,,,,,,,,,,,,,,,0.9943740363674320,0,,,medium,high,53.08388373404250,-46.51432862951570,54.667001749344000,Josh Eisfelder,,Kcl merchants 2025,2022-11
9,05/27/2025,7:35:32 PM,2,2,Roy Rolston,,Right,Kcl merchants 2025,Brandon Schultz,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,0,1,Sinker,,BallCalled,,,,,,,79.72066452201290,0.9286968799652530,-4.2214539066263700,1513.8500329447500,242.6955548473960,2:00,4.898814550257170,3.2831192590771600,6.0000001920000000,-33.6430782577035,11.276707154682200,16.964254661647400,2.960773402380410,0.7662998527280220,71.37146686538670,-5.44361952173273,-1.0057876363079100,0.48238118370701200,,,,,,,,,,,,-10.609925982145400,5.784531459120550,-2.9484605557076200,50.00000000000010,4.955195871969680,8.040969794037210,-115.55748057484100,0.9094398145016530,-14.048307118935000,25.708111608464100,-24.514912791491000,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,55d0c94e-07ed-4c7f-9f7f-8e763594181c,79.94061370317150,4.8956583182653600,3.290872267099930,0.9650769881719050,-4.314191124641970,71.54021429350200,2.964113210281090,0.7601705892401450,-5.391950939059700,-1.0989424779608500,0.4821866804700100,17.837700042148100,9.38584020008258,-3.3144717407322000,39.29771750726940,1511.3177331028300,-87.52503559397870,99.83272452443730,-0.4579511707508340,-0.057816186338962900,-0.8870952676038570,,,,,,,,,,,,,,,,,0.997118721858507,0,,,medium,high,54.63205424345760,-61.16679230139520,54.667001749344000,Josh Eisfelder,,Kcl merchants 2025,2022-11
10,05/27/2025,7:36:10 PM,2,3,Roy Rolston,,Right,Kcl merchants 2025,Brandon Schultz,,Left,Kcl groundsloths 2025,Stretch,1,Top,1,1,1,Fastball,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL Merchants 2025,KCL GroundSloths 2025,,,,d17febe0-201c-4034-8f55-ed2fb9efbf08,05762857-db01-499d-8d6e-209524ab8a3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Eisfelder,,Kcl merchants 2025,2019-02
