PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/28/25,8:16:27 PM,1,1,Joe Stellano,,Left,Kcl merchants 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,87.28815108,-1.411449966,-6.104150885,1955.334356,228.8905035,1:45,5.038254601,4.014513389,6.000000192,-23.93152693,13.71878117,11.22804139,1.724421031,-0.744537479,78.26408102,-5.92742473,-3.989283733,0.441627175,,,,,,,,,,,,-8.118730756,7.892629595,-3.521922006,50,4.908732879,13.13669414,-126.1437473,-3.87912922,-12.83039666,30.25440658,-19.70097079,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,ec3f8289-0249-4246-a5e9-18039ea2ae3c,87.53583729,5.038253369,4.021271508,-1.412576688,-6.184068917,78.46296138,1.725188754,-0.749634503,-5.913991334,-4.06790228,0.441446261,11.98741203,12.49559938,-40.29176509,84.29078666,1491.453333,-1264.475938,76.27612784,-0.501515644,-0.646680162,-0.574705861,,,,,,,,,,,,,,,,,0.984775684,0,,,medium,high,14.13829201,3.418587579,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
2,6/28/25,8:16:39 PM,1,2,Joe Stellano,,Left,Kcl merchants 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,0,0,1,Fastball,,StrikeCalled,,,,,,,88.23140326,-1.303449084,-4.625044743,2006.375207,224.1766589,1:30,5.038727403,3.87156296,6.000000192,-21.41436596,15.27215496,11.59284347,2.038612179,0.529785142,79.06424139,-5.354044362,-2.4321719,0.435938059,,,,,,,,,,,,-7.825880015,8.698504123,-3.500729187,50,4.919781603,9.97057793,-127.817222,-3.600478945,-12.69076238,31.19788377,-18.06820479,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,97a8186d-b754-46a4-9b7c-154b2811747b,88.48188263,5.039548189,3.878132928,-1.314358008,-4.702833631,79.266592,2.038734989,0.524726473,-5.350776728,-2.508986268,0.435755019,12.32663199,14.14412884,-33.1660498,73.57708937,1679.51385,-1097.622294,83.70886183,-0.600355402,-0.547067313,-0.583344449,,,,,,,,,,,,,,,,,0.990798842,0,,,medium,high,23.78061957,-10.86522365,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
3,6/28/25,8:16:50 PM,1,3,Joe Stellano,,Left,Kcl merchants 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,0,0,2,Fastball,,Foul,,,,,,,88.82307323,-0.698592141,-4.797541297,1999.579181,224.4941489,1:30,5.103140931,4.200571225,6.000000192,-21.09699947,15.11797902,11.71145874,2.693475409,0.707271812,79.49229427,-4.692781565,-2.582649614,0.43312738,,,,,,,,,,,,-7.953638296,8.412729926,-3.815658211,50,5.033813143,10.42285405,-128.6632121,-2.251202685,-13.06480202,31.6949279,-18.35513467,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,10a56606-de7e-440a-b547-297f9499833e,89.07665084,5.104008764,4.207156234,-0.710152185,-4.875791216,79.69706601,2.693553907,0.702206042,-4.690229546,-2.659954018,0.432945514,12.45059778,13.99919121,-33.28059306,74.20733506,1671.634744,-1097.248461,83.59932728,-0.596332413,-0.54873969,-0.585894534,,,,,,,,,,,,,,,,,0.943928307,0,,,medium,high,23.21339845,-44.28343448,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
4,6/28/25,8:17:09 PM,1,4,Joe Stellano,,Left,Kcl merchants 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,0,0,2,Slider,,Foul,,,,,,,79.63464325,1.344663346,-4.013618877,2053.59028,105.5361009,9:30,5.149219842,3.880293744,6.000000192,-39.28925161,5.945173973,-6.94157246,3.128139591,-0.43451622,71.2990882,-6.088429652,-5.327439206,0.484067653,,,,,,,,,,,,2.331081013,2.741190305,-3.548830348,50,5.236397809,8.296033418,-115.4024177,1.590617568,3.06083768,26.74411867,-28.57471583,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,8a7aa79f-de64-4998-8e73-ae781ea6d500,79.86405372,5.142712423,3.881537,1.420125668,-4.028604939,71.4716834,3.134069716,-0.435200251,-5.997789542,-5.337539226,0.483857772,-6.796738557,3.439115884,-73.31525588,82.74712828,589.5969899,-1967.132031,28.71054638,-0.076899903,-0.957898978,0.27661517,,,,,,,,,,,,,,,,,0.995008927,0,,,medium,high,15.52758455,43.58467112,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
5,6/28/25,8:17:27 PM,1,5,Joe Stellano,,Left,Kcl merchants 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,0,0,2,Fastball,,BallCalled,,,,,,,83.00980538,-1.478249821,-3.55935622,1420.914924,239.4808091,2:00,4.988100776,3.272706659,6.000000192,-31.0221697,10.36627401,12.15282627,1.026082988,0.97313703,74.62920525,-7.334078363,-1.254501221,0.463032069,,,,,,,,,,,,-7.783827888,6.110613564,-2.989442277,50,4.849473319,7.124236771,-120.3941421,-4.043561963,-11.18524463,27.94142269,-23.393189,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,29e0dcfc-e595-4e17-8127-4952c4e0b16b,83.23948965,4.985623352,3.279876264,-1.450226093,-3.644016405,74.80676951,1.028807468,0.967727019,-7.291715091,-1.337087334,0.462841172,12.94980356,8.670077764,-34.44882936,23.10370501,1171.731506,-803.7689329,82.46317121,-0.418770193,-0.565669992,-0.710386505,,,,,,,,,,,,,,,,,0.996599976,0,,,medium,high,69.20666549,6.969721969,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
6,6/28/25,8:17:40 PM,1,6,Joe Stellano,,Left,Kcl merchants 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,0,1,2,Fastball,,Foul,,,,,,,88.54756325,0.577206551,-4.490398182,2012.265966,222.4217633,1:30,4.960672202,2.853252106,6.000000192,-22.15037962,14.30075928,10.14763904,3.652929189,-0.483024494,79.07268846,-3.622422868,-2.569226615,0.434537312,,,,,,,,,,,,-7.023290949,7.539891357,-2.492609978,50,4.995017343,9.752357723,-128.3113478,0.588704135,-11.45809402,31.84841837,-19.8731518,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,78d1c78c-9c70-483e-97f6-cdd13a442e3f,88.80803395,4.961260993,2.859598901,0.568873738,-4.565165266,79.28282438,3.653275339,-0.487854726,-3.615807104,-2.642683174,0.434346947,10.85260057,13.09004133,-41.89893354,71.63065329,1497.777797,-1343.828854,74.43239722,-0.549459331,-0.667818706,-0.502108175,,,,,,,,,,,,,,,,,0.996608412,0,,,medium,high,25.53241204,-56.18316217,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
7,6/28/25,8:18:00 PM,1,7,Joe Stellano,,Left,Kcl merchants 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,0,1,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,88.74787082,0.817434369,-4.473315247,2077.509282,218.3835204,1:15,5.111445459,3.512146524,6.000000192,-20.56973036,15.7264675,10.04129948,4.159392564,0.182982611,79.18877354,-3.083856387,-2.572025861,0.433612795,,,,,,,,,,,,-6.963205388,8.229061205,-3.152841798,50,5.166336761,9.738885708,-128.5960697,1.181632274,-11.40792787,32.04546002,-18.6922504,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,a4ad5e73-47f2-4e64-aa46-c4c68ae9f690,89.00986205,5.112691865,3.518158873,0.801126074,-4.54490927,79.40315762,4.159209619,0.178260895,-3.085274116,-2.643221994,0.433421182,10.71592498,14.58740296,-38.57093494,87.14616473,1624.273313,-1295.291866,78.18368503,-0.612860079,-0.623483071,-0.485459971,,,,,,,,,,,,,,,,,0.997056677,0,,,medium,high,11.56845175,33.70452207,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
8,6/28/25,8:18:29 PM,2,1,Joe Stellano,,Left,Kcl merchants 2025,Cameron Steinbaugh,,Right,Kcl groundsloths 2025,Windup,1,Top,1,0,0,Slider,,InPlay,,FlyBall,Out,1,0,,80.20716577,0.324624926,-3.976515579,2040.92935,100.3357683,9:15,5.140368319,3.782907689,6.000000192,-39.6804335,4.860634053,-5.040470021,2.136101037,-0.338825293,71.98543172,-7.168723638,-4.930839948,0.480343406,74.02834729,54.19311632,26.35993116,,48.78376406,98.59079249,92.46284906,219.4343406,,26.34326814,4.774793923,1.32083679,2.517476637,-3.455575405,50,5.143997946,8.228104904,-116.2719456,-0.48480777,1.761573742,27.03574569,-28.81654109,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,7064eae7-2883-4315-a2d5-e6425ab28e3a,80.43404766,5.133562639,3.785268089,0.403035857,-4.004446892,72.15339907,2.142132225,-0.34032718,-7.076852264,-4.95333727,0.480138473,-4.773791308,2.381290341,-79.89553094,60.97033612,358.0677973,-2009.273517,17.54435043,-0.031477441,-0.984489501,0.172596622,19.23030994,38.80732824,60.03651104,0.408539769,1.134412653,2.212856591,97.37356412,196.646431,,,,,,,,,0.995566532,0,,36.2207128,medium,high,35.12669749,11.62180334,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
9,6/28/25,8:19:06 PM,3,1,Joe Stellano,,Left,Kcl merchants 2025,Ty Cribbett,,Left,Kcl groundsloths 2025,Windup,1,Top,2,0,0,Fastball,,BallCalled,,,,,,,87.68011232,-2.037238434,-4.039103399,2047.750422,224.8290222,1:30,4.905498028,2.884586686,6.000000192,-21.50515887,15.60473805,12.24069225,1.214490033,0.144496356,78.69069494,-6.100492549,-1.721116703,0.438446287,,,,,,,,,,,,-7.974471005,9.122915913,-2.562131912,50,4.726608054,8.584842587,-127.0720511,-5.213154879,-12.78509034,30.76624241,-17.54771211,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,34b9f5f9-e143-47c3-835d-f91bc22ff6f3,87.92457575,4.90634141,2.891281264,-2.048413509,-4.119112302,78.88923796,1.21458853,0.13920744,-6.097652642,-1.800642324,0.438264364,12.99374574,14.47765233,-29.83071649,87.07752187,1776.421232,-1018.631139,86.74988967,-0.615242124,-0.497439106,-0.611581118,,,,,,,,,,,,,,,,,0.993326193,0,,,medium,high,11.63023032,10.39593438,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
10,6/28/25,8:19:18 PM,3,2,Joe Stellano,,Left,Kcl merchants 2025,Ty Cribbett,,Left,Kcl groundsloths 2025,Windup,1,Top,2,1,0,Fastball,,BallCalled,,,,,,,88.14280996,-1.678801703,-5.620254091,2042.538323,222.4233191,1:30,4.968889329,3.397485765,6.000000192,-22.44509048,14.43820601,9.340515147,1.530211842,-1.064384588,79.04241131,-5.914855642,-3.858853533,0.437105617,,,,,,,,,,,,-6.942372499,8.374027893,-2.943629543,50,4.818436067,12.24699549,-127.4695738,-4.467740469,-11.19831968,30.99753614,-18.66641349,KCL Merchants 2025,KCL GroundSloths 2025,,,,b71f5c9c-c26e-49f4-adb0-29efe1308c43,f9a5e081-1d46-44fa-b07b-64964b73ba0f,88.39655282,4.969308045,3.403502475,-1.684891398,-5.691054833,79.24694611,1.530667802,-1.068972774,-5.90640604,-3.928056893,0.436919915,10.01062165,13.26673482,-44.25020184,57.61549546,1463.06914,-1425.26892,71.62994804,-0.528758554,-0.697792988,-0.483217692,,,,,,,,,,,,,,,,,0.994545605,0,,,medium,high,38.14605408,-56.94759788,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
