PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,06/01/2025,1:37:16 PM,1,1,Jack Wisdom,,Right,Kcl bobcats 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,81.90284743617480,-3.719177397214020,-2.5320073256535800,2053.4941944519100,195.38163464616500,12:30,5.7434995098651200,1.4079098852888100,6.0000001920000000,-21.422285891166000,21.055002076930300,3.9992892381919400,0.4934832444488730,-0.6135806742130230,73.85769735346750,-7.741706861627290,-1.7742291912889700,0.469083236320258,,,,,,,,,,,,-3.000915811982840,12.616697789622800,-1.2038524909046300,50.00000000000000,5.4274032241294000,5.131032873726080,-118.71378878337900,-8.359434617907940,-4.204621068876740,26.5802142433274,-14.496634866775700,KCL BobCats 2025,KCL BlueCaps 2025,,,,32d7c9ad-b180-4cdf-9dbb-d2b202911ebc,338a6ec0-befd-4b09-9b13-8e05e69b389d,82.14385952375630,5.745208489049610,1.4109254731544800,-3.7406282814972500,-2.56761141332887,74.05557901621970,0.4930445163350680,-0.6158740631770180,-7.746814770392530,-1.8088406902262100,0.46887322413574500,4.3334515312901800,19.879974843996600,-29.938871965773400,83.00137112696080,1779.4725433530400,-1024.8491957846100,86.65583512048790,-0.8355186426562680,-0.49907576975553700,-0.22985206942019300,,,,,,,,,,,,,,,,,0.997118021082496,0,,,medium,high,15.298765985735300,-85.88590104536900,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
2,06/01/2025,1:37:25 PM,1,2,Jack Wisdom,,Right,Kcl bobcats 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Windup,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,81.37789348683980,-2.707473069996620,-2.1213680612004400,2008.722074854280,197.51673970825100,12:30,5.755541830737800,2.3505623338717400,6.0000001920000000,-21.352783056164000,21.59428465480250,5.326709781036770,1.4562331878106400,0.821967378457931,73.23833065503580,-6.732180491724140,-1.1110646008143200,0.4716700288397920,,,,,,,,,,,,-3.587768316975930,12.580080425937800,-2.180776926356830,50.00000000000000,5.522308871756400,4.2175540919735700,-118.09798268725100,-6.218005605067500,-4.970928293543150,26.467195939245200,-14.744084159176700,KCL BobCats 2025,KCL BlueCaps 2025,,,,32d7c9ad-b180-4cdf-9dbb-d2b202911ebc,42833ee9-fd31-4874-84e5-aede5ca2a809,81.6191944435961,5.757466935457250,2.35386929720143,-2.7319427308644700,-2.1609494567479800,73.4383814373415,1.4556120218661200,0.8193700690831340,-6.740031813343640,-1.1502807026531300,0.4714572986509500,5.6979159530990700,20.394286891986500,-23.227379868099200,72.2519956770322,1845.9090849860100,-792.2020095739550,91.89469803182780,-0.8763345403710010,-0.3943810940751590,-0.2765887307697620,,,,,,,,,,,,,,,,,0.9897797334531850,0,,,medium,high,24.973203890671000,71.44653863383930,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
3,06/01/2025,1:37:38 PM,1,3,Jack Wisdom,,Right,Kcl bobcats 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Windup,1,Top,0,2,0,Fastball,,InPlay,,LineDrive,Triple,0,0,,82.0211971573802,-1.057374918261550,-5.877635346576820,1954.5714329482400,193.7195572661080,12:30,5.715243999606640,4.078141206425350,6.0000001920000000,-20.65785476449650,21.97798259445960,4.240184964315930,3.0057327052464100,-1.0503901537794700,73.49804232362140,-4.955076252014470,-5.079565293687780,0.46995786360584300,92.2318914621926,16.661788951940100,4.24619100014704,1651.2612067594800,15.34408014807170,108.92455737752400,25.499977433638700,261.438073395672,,12.580573993306500,2.7638022277044200,-4.2830909426637700,12.24604875485500,-3.600150504851360,50.00000000000000,5.616685888505110,12.082779235967600,-118.58848182593000,-2.811102788681660,-5.975683530341390,26.96511253367100,-15.088605257182500,KCL BobCats 2025,KCL BlueCaps 2025,,,,32d7c9ad-b180-4cdf-9dbb-d2b202911ebc,dc861230-fae0-48ac-b8a6-e521ff7e9409,82.27272928958960,5.717498675803990,4.0808629211860000,-1.0857833483753200,-5.910049785882920,73.70735886943550,3.004860246993730,-1.0525293843237100,-4.966611240877510,-5.111803659858780,0.4697410584809170,4.547215412159580,20.77949686516090,-25.222345574650300,57.69292476973900,1768.2244032724700,-832.9057246585990,90.46609264135770,-0.8788493411340460,-0.42613214877609100,-0.21455821440281400,6.5423264618409900,88.11689938374480,26.44488249464110,0.9655816488555070,0.5575872039033020,2.8362953645797500,56.94444021918130,255.16111958714400,39.41635704977090,29.281069728073,0.4865018331518350,0.5190560705174290,0.21404133515424700,-0.8275065573784850,,,0.9963600367616720,0,0.9970535805807940,53.67779863153020,medium,high,38.07636770723490,-5.145923903854280,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
4,06/01/2025,1:38:17 PM,2,1,Jack Wisdom,,Right,Kcl bobcats 2025,Grayson Schnierle,,Right,Kcl bluecaps 2025,Windup,1,Top,0,0,0,Curveball,,BallCalled,,,,,,,75.39844082840270,2.552428584469170,-4.578543381448300,2314.186049249030,74.43364120891050,8:30,5.291649438734180,4.3411314095730300,6.0000001920000000,-48.09343520724570,2.592510427759380,-9.269163759136250,3.6652438125050900,-0.6956490351519880,67.47627045521320,-6.540576259062460,-6.330121452800200,0.5124072892236650,,,,,,,,,,,,3.368638858153420,0.48098692572894300,-3.9620586634626700,50.000000000000000,5.472685896113630,8.986722404699460,-109.09170068682200,3.57875176976806,3.9458078553845900,24.20048188068410,-31.610652300094800,KCL BobCats 2025,KCL BlueCaps 2025,,,,32d7c9ad-b180-4cdf-9dbb-d2b202911ebc,dac0a7d2-fd35-467f-902c-7d15a33986cc,75.60513159331860,5.282353965939580,4.342479644079240,2.662133249662400,-4.595079943095460,67.62133935141250,3.672856282663660,-0.6963165660695550,-6.416309321178840,-6.340667725948650,0.5122093893293810,-9.10773821353779,-0.5170261145138060,-68.0631360903429,42.347400186811800,864.5444133748880,-2146.629923354540,37.358466215602600,0.10025303314212400,-0.9275960867757950,0.3598816877031070,,,,,,,,,,,,,,,,,0.9975739306900370,0,,,medium,high,51.887339831869400,50.140167666312700,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
5,06/01/2025,1:38:28 PM,2,2,Jack Wisdom,,Right,Kcl bobcats 2025,Grayson Schnierle,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,1,0,Curveball,,StrikeSwinging,,,,,,,75.28302734824770,-0.038425681884255200,-3.3874448405317800,2361.589582231150,75.39180359299170,8:30,5.41962196888253,2.591214082271630,6.0000001920000000,-47.885198196139900,2.6755643005770100,-8.788622983497850,1.3934134858899200,-1.2931143181011300,67.84145683747240,-9.055337834869250,-5.053677796979520,0.5117741313868630,,,,,,,,,,,,3.546323908405920,1.4634848778433300,-2.3099090979333000,50.00000000000000,5.388915486056750,6.701343070280220,-109.19616950026200,-1.3696100401039800,4.164965276635580,24.118922116039400,-30.45526589434380,KCL BobCats 2025,KCL BlueCaps 2025,,,,32d7c9ad-b180-4cdf-9dbb-d2b202911ebc,a691b23c-0250-4c49-8642-459a33df0126,75.48047731223370,5.410163032947370,2.5930407402309400,0.07156085601005240,-3.40933811590825,67.97882429944270,1.4015813846541700,-1.2941674160222600,-8.932851619458770,-5.069250358477840,0.511570394891977,-8.578149383305230,-0.386770992446814,-72.29303910868310,39.295143437577200,718.2746073260700,-2249.708190715690,30.414878721114100,0.07670869363949670,-0.9526245405394470,0.29431660007911500,,,,,,,,,,,,,,,,,0.9971743100769510,0,,,medium,high,54.63437090618050,42.597016102911700,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
6,06/01/2025,1:38:43 PM,2,3,Jack Wisdom,,Right,Kcl bobcats 2025,Grayson Schnierle,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,1,1,Curveball,,BallCalled,,,,,,,61.31309330079860,32.86893247615980,-1.5375923810925000,3663.8298154419700,359.4171213193070,6:00,-21.586562543458000,-0.394109357616322,6.0000001920000000,-137.32909066312100,-33.26313059523570,3.408251075019760,1.389982460692330,-1.5394602004236100,48.34847356335390,11.208081497300200,-0.9005352515508230,0.7342194245403600,,,,,,,,,,,,-2.2070351875577800,-26.950308465649200,0.5173568296631840,50.00000000000010,-18.651499655434500,1.947836470264580,-75.00001437040620,45.846280288278700,-1.271356433700580,8.107600369245380,-47.69869923870120,KCL BobCats 2025,KCL BlueCaps 2025,,,,32d7c9ad-b180-4cdf-9dbb-d2b202911ebc,cfb09d4d-e3d3-4699-97a5-0224da6ace74,61.54898062232880,-21.643740280302600,-0.3864454782560040,33.369448843048800,-1.6333900431735800,48.3613345460645,1.4241151564986800,-1.5442580912447400,11.726007467179100,-0.9764838894407210,0.7344174826616040,4.327933469159390,-38.58544733859500,-11.645401121939700,52.49299495001100,3588.412105408290,-739.5589755258110,97.94156077567200,0.9793649268523110,-0.20185407422822600,-0.009963572102122810,,,,,,,,,,,,,,,,,0.9664578813022490,0,,,medium,high,42.75630454499010,-58.93831699335210,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
7,06/01/2025,1:38:59 PM,2,4,Jack Wisdom,,Right,Kcl bobcats 2025,Grayson Schnierle,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,2,1,Fastball,,Foul,,,,,,,82.73064588274180,-1.3738572485620000,-2.675096333970380,2043.5428677029700,190.1277980089550,12:15,6.00142756280116,2.5921179288399900,6.0000001920000000,-20.0922755442611,21.489061672019300,2.8317200812927700,3.0485789472059600,0.3400688720645950,74.19598945022920,-5.175079554294920,-2.1380697237424800,0.46410980999170700,,,,,,,,,,,,-2.4374846762494700,12.089390376112300,-2.375700375662210,49.999999999999900,5.877742877981940,5.526617661056740,-120.09846445599400,-3.4849080269735600,-3.4866803156878800,27.729344328754700,-14.880878529878400,KCL BobCats 2025,KCL BlueCaps 2025,,,,32d7c9ad-b180-4cdf-9dbb-d2b202911ebc,74065769-8075-492a-8114-cf9ddcb91300,82.98011262047520,6.0036097294258200,2.59437342066368,-1.401584903995320,-2.702325403129830,74.4057599365835,3.0477167236683000,0.3382739491095660,-5.186595286536190,-2.1651110025306600,0.46389601592630200,3.0874631141999400,20.295115090970100,-28.00415829559950,62.14091004814920,1804.2716186943400,-959.5162208706050,88.29135161340720,-0.869155941831569,-0.4695356461737160,-0.15525535659393300,,,,,,,,,,,,,,,,,0.9959754918108320,0,,,medium,high,34.0731809566657,70.49103188354790,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
8,06/01/2025,1:39:14 PM,2,5,Jack Wisdom,,Right,Kcl bobcats 2025,Grayson Schnierle,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,2,2,Curveball,,InPlay,,LineDrive,Single,0,1,,75.88587654498510,0.12119492378534900,-3.111848001827610,2375.704701150480,81.83976587274880,8:45,5.537792758361640,2.0483383447009800,6.0000001920000000,-46.37119587394270,3.341590019473070,-8.586777115597780,1.7863305364226300,-1.5622053868954100,68.32118686042230,-8.62107801607182,-4.7406251256766500,0.5074643912452240,70.98251005439150,15.23403816565350,4.450129517118990,2550.5017501641600,16.653681716331300,108.73203246729500,15.691710495782100,180.5182331019470,,10.957984632940400,2.1781777275267700,3.539839078372500,1.7670147975846300,-1.789668684892010,50.00000000000000,5.52096952114393,6.220311704138560,-110.10389125917300,-1.0329298956221000,4.228745913914360,24.43840154296780,-30.063146677795600,KCL BobCats 2025,KCL BlueCaps 2025,,,,32d7c9ad-b180-4cdf-9dbb-d2b202911ebc,9a88ba9b-afc8-46d5-add5-c4453576d04c,76.08763154279870,5.528963131323680,2.0500374306459300,0.22470115804654200,-3.1324561153843400,68.4644767123586,1.794031291647510,-1.5631782791011900,-8.504007744362000,-4.755173916448310,0.5072611936587430,-8.388320435711810,0.38831377635573900,-72.87449245511850,43.91240468535010,699.5637742244750,-2270.370752291640,29.446579530094700,0.04179704912239940,-0.955662019438766,0.2914843242558320,5.314093477139270,68.28174957294100,18.651536649729100,1.4295283742584600,3.559356885574960,2.159941087162490,34.314550368843900,177.22681545193200,21.6534286930373,29.92795381225880,0.48430962696624400,0.6609249518438030,0.04680726098799730,-0.7489908466390420,,,0.9880799607841060,0,0.9849882117181680,38.562045956874200,medium,high,50.47883578318490,-2.609941806346520,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
9,06/01/2025,1:39:55 PM,3,1,Jack Wisdom,,Right,Kcl bobcats 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,82.00335545707620,0.4889490654827580,-2.128773583838540,2010.0978236115700,188.7128242120790,12:15,5.941265185124180,1.2940076624774200,6.0000001920000000,-20.212058799446100,22.130139257492600,2.809956249722770,4.711677905432080,-0.4512088870956130,73.25642245953940,-3.349350504261560,-1.5949663339047300,0.4683367329717330,,,,,,,,,,,,-2.2536814806053600,11.808132983208500,-1.1221539477151900,50.000000000000000,5.969436414742160,4.343962621185400,-119.1042567381390,0.41804927320306200,-3.1643028397923900,27.686361438350300,-15.594728571489700,KCL BobCats 2025,KCL BlueCaps 2025,,,,32d7c9ad-b180-4cdf-9dbb-d2b202911ebc,78c0597f-043b-48ef-9af3-eaae11a1685c,82.25962460813210,5.943803423004000,1.2961403526294200,0.4570538605447100,-2.1542243880552000,73.47081597603200,4.710622683928720,-0.4528642487272610,-3.364040895654740,-1.620230904900220,0.4681116844316630,3.0487423148003100,20.859958409798700,-23.054230245049100,73.14795310437550,1849.560585428750,-787.1587522961470,92.01346141978400,-0.9095162663968350,-0.3916022111211730,-0.13938389219909600,,,,,,,,,,,,,,,,,0.993524581171277,0,,,medium,high,24.166842206062000,-74.42383511673400,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
10,06/01/2025,1:40:10 PM,3,2,Jack Wisdom,,Right,Kcl bobcats 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,1,0,Fastball,,StrikeCalled,,,,,,,81.24550716938420,-1.322274098686450,-3.877832544503290,1967.8364081958400,188.14132723095700,12:15,5.858214150811310,3.8740433852908400,6.0000001920000000,-22.020478719031000,21.197430798737300,2.008875937222280,2.791222233670130,0.43190357489985800,72.89855084421450,-5.48204222020903,-3.4977574550934500,0.4731549636032280,,,,,,,,,,,,-2.400836294068960,11.914796220713900,-3.558856312047730,50.00000000000000,5.737492034250130,7.92624637114111,-117.80324141268800,-3.3719575595810000,-3.304196876874620,26.682613502981700,-15.776083361340100,KCL BobCats 2025,KCL BlueCaps 2025,,,,32d7c9ad-b180-4cdf-9dbb-d2b202911ebc,cf102f58-c684-4d8f-b983-7db6e61be8e6,81.49515506111010,5.8599331729618600,3.8761489780762000,-1.344309269734730,-3.9028896497984100,73.10436625756780,2.7908108261980300,0.4303098757568320,-5.486780811563340,-3.5219748046641700,0.47293455351617700,2.245231765901260,19.89272639705470,-31.53366554667460,70.52717170473320,1677.2519244725400,-1029.1773954349500,85.23330077068160,-0.8437429984730870,-0.5229994684255930,-0.1207033908148040,,,,,,,,,,,,,,,,,0.9936675176132910,0,,,medium,high,26.525545465740100,15.74589574021680,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
