PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,06/07/2025,11:01:20 AM,1,1,Caden Addis,,Left,Kcl bluecaps 2025,Tyler Pippin,,Left,Kcl merchants 2025,Windup,1,Top,0,0,0,Sinker,,Foul,,,,,,,77.8088324484738,0.08860206815929930,1.9713614208483300,1492.177504147630,131.5428620036490,10:30,5.542251181778550,-1.7713570915020300,6.0000001920000000,-31.89057160636770,15.09804362885230,-13.864939380090600,2.9670984459860900,-1.0938746000807700,69.7996782668505,-5.952023859360620,-0.6636359742421900,0.49336444207321600,,,,,,,,,,,,8.17694548249074,8.139141595571710,1.6187371276120600,50.0,5.531026304128740,-3.500390353175140,-113.03239304271200,-0.7226480927521430,10.34739157554840,24.804782243848300,-21.874496365478800,KCL BlueCaps 2025,KCL Merchants 2025,,,,5e4402e6-e0d4-4f9e-8996-142e6a31fcba,62052781-f04b-41fc-93ee-23d8c3262645,78.03415719878400,5.540634772721490,-1.778128643517210,0.10658115326688300,2.0529975108475400,69.97852446480200,2.969416679595470,-1.0883896455067800,-5.916280117269210,-0.5812361250394090,0.4931475269464340,-14.629450054504800,13.241243231244700,11.786767178044100,81.32158495916860,1460.7143325631000,304.80705787264400,97.89145919322120,-0.6491967199053890,0.20426997259066600,0.7326782357637580,,,,,,,,,,,,,,,,,0.9964786724290070,0,,,medium,high,16.81057353674830,27.395086076580100,54.667001749344000,Braxton Waller,,Kcl bluecaps 2025,2022-11
2,06/07/2025,11:01:40 AM,1,2,Caden Addis,,Left,Kcl bluecaps 2025,Tyler Pippin,,Left,Kcl merchants 2025,Windup,1,Top,0,0,1,Sinker,,InPlay,,FlyBall,Out,1,0,,78.63233585978020,-0.25290473436988100,2.0725300932960500,1557.3062691935900,125.80488150517800,10:15,5.428960669933600,-0.8873993658278260,6.0000001920000000,-32.134788731901700,13.87847682350510,-15.50943029795470,2.5158580272414500,-0.25281504989150700,70.59228306458880,-6.335186191052300,-0.8748289752574470,0.488217171766358,86.96508682761420,49.95521647550980,-13.504999691514600,,-24.959349348616100,107.1309053450650,95.23111191681550,280.6348114598010,,-13.352061389141400,5.097227653186380,9.100868734054450,7.595974401682960,0.7274801978754840,50.000000000000100,5.389758298736500,-3.692343502990430,-114.22112193619000,-1.4184869814377400,11.760870341899000,25.31611255797860,-22.357924041380900,KCL BlueCaps 2025,KCL Merchants 2025,,,,5e4402e6-e0d4-4f9e-8996-142e6a31fcba,9a89a55a-2c02-4d25-9e07-2a5066a3d0c3,78.85373166502310,5.426861509812920,-0.894869795406439,-0.22943094456688400,2.1613088985661500,70.76378460954140,2.51839763395206,-0.2470403490266220,-6.29565250956321,-0.7865176776490810,0.48801024211503200,-16.341967257373200,12.015465491332400,7.809118810012700,88.40594959670830,1542.864166202980,211.5962682006830,99.0726228182403,-0.5796013693426540,0.13587325267126300,0.8034928200454890,-13.06651378145140,54.40503213346770,66.57540854617390,0.26225620269442200,1.911591242001900,2.3598514252196300,-64.80809539590870,273.049094805738,,,,,,,,,0.9969171763245160,0,,48.01412248799720,medium,high,10.434645362962500,-87.49555285980470,54.667001749344000,Braxton Waller,,Kcl bluecaps 2025,2022-11
3,06/07/2025,11:02:17 AM,2,1,Caden Addis,,Left,Kcl bluecaps 2025,Lawson Alwan,,Left,Kcl merchants 2025,Windup,1,Top,1,0,0,Sinker,,BallCalled,,,,,,,79.37431036250590,0.8755114305324920,2.6611508971015700,1582.9534218680300,135.25743719778500,10:30,5.475639505370400,-1.3682578657963,6.0000001920000000,-29.00630786832500,16.19995413564590,-13.38340597401660,3.8730836981426400,-0.008504958929621170,71.00701039254360,-4.62753565450206,0.11885294926946200,0.4839169355724940,,,,,,,,,,,,8.152390730011950,8.465854031085550,1.159080527043210,50.0,5.530258015333700,-4.972121146712840,-115.23740403806300,0.9306099080101720,10.723164550930800,25.774319817186500,-21.038574257849500,KCL BlueCaps 2025,KCL Merchants 2025,,,,5e4402e6-e0d4-4f9e-8996-142e6a31fcba,8f6e24f5-e738-413d-8fad-0c4ed068d6fc,79.61151869827830,5.474874178730050,-1.3749730063340600,0.8829688994125550,2.740554902023180,71.19352657839260,3.874624151975090,-0.0033486707532490000,-4.602866813793850,0.19743066955648300,0.4836996782261350,-14.128490606930500,14.500249851955300,11.273387074852100,77.2413453621431,1552.4112317084800,309.452586786826,98.07055661034520,-0.6965723654132830,0.19549064584708000,0.6903407471161140,,,,,,,,,,,,,,,,,0.9950369545921180,0,,,medium,high,20.482789174071200,17.423333730250500,54.667001749344000,Braxton Waller,,Kcl bluecaps 2025,2022-11
4,06/07/2025,11:02:28 AM,2,2,Caden Addis,,Left,Kcl bluecaps 2025,Lawson Alwan,,Left,Kcl merchants 2025,Windup,1,Top,1,1,0,Sinker,,BallCalled,,,,,,,79.89086067418900,-1.945878389418010,2.3695208296127600,1733.1697699649500,134.64537391433600,10:30,5.619535759991870,0.5046152324167880,6.0000001920000000,-27.898171308506700,16.673418879862600,-14.019812892990400,1.4839570956917200,1.539771454714710,71.9122152063078,-7.2085608824983700,-0.29187751098727600,0.48050796034966600,,,,,,,,,,,,8.380694937346220,9.673640898732040,-0.6896116615348050,50.0,5.444676553484060,-4.393508795821940,-115.97425991366300,-4.750416096529480,11.18541631814360,25.742183185191100,-19.26298414650300,KCL BlueCaps 2025,KCL Merchants 2025,,,,5e4402e6-e0d4-4f9e-8996-142e6a31fcba,3e93a641-40e7-4657-aba1-893d5efb3370,80.11565327660620,5.618955958439640,0.49780172480255100,-1.940349127232110,2.4507347668688700,72.0901538972699,1.4852807559174100,1.5450037755057500,-7.187291210390120,-0.21127011947850000,0.48030542428855700,-14.78262427107970,15.106289806722500,9.963003211956950,74.55308556514440,1707.033006195810,299.8595792674970,98.49196747934990,-0.6921195070017720,0.17301223715294800,0.700740575265166,,,,,,,,,,,,,,,,,0.9964776008959670,0,,,medium,high,22.90222299137010,-51.95174936650940,54.667001749344000,Braxton Waller,,Kcl bluecaps 2025,2022-11
5,06/07/2025,11:02:41 AM,2,3,Caden Addis,,Left,Kcl bluecaps 2025,Lawson Alwan,,Left,Kcl merchants 2025,Windup,1,Top,1,2,0,Sinker,,Foul,,,,,,,76.84635767100890,-0.35258041090249300,1.6489129699263200,1509.9483709032000,131.97854992983200,10:30,5.530878159958680,-0.7733924324879700,6.0000001920000000,-32.69109769168270,15.461251154943200,-13.987502113168100,2.4787939928861000,-0.406105161013975,69.03851885570930,-6.537579520094710,-1.0094701906903500,0.4994364796585540,,,,,,,,,,,,8.13202438532291,8.486302074087320,0.6471353715350960,50.0,5.483235476706210,-2.825239877734130,-111.65300531003800,-1.5963061163547500,10.042145273931200,24.18073122585560,-21.694410786556800,KCL BlueCaps 2025,KCL Merchants 2025,,,,5e4402e6-e0d4-4f9e-8996-142e6a31fcba,7a06e303-c669-4f4c-b6c3-a560ebf55ee9,77.06807241973820,5.529158990896280,-0.7801784818005080,-0.33343652395156800,1.7306562781155000,69.21390217255100,2.4812069854506,-0.4006336629210990,-6.500438479766000,-0.9270687150193250,0.4992171663421110,-14.752865641416800,13.55751829823940,10.445836076897800,89.57381985442010,1484.9236072931800,273.7626039046120,98.34267422037420,-0.6577672827703680,0.181305936798923,0.7310747971297820,,,,,,,,,,,,,,,,,0.9960254267659770,0,,,medium,high,9.383562131021980,-5.640884780570800,54.667001749344000,Braxton Waller,,Kcl bluecaps 2025,2022-11
6,06/07/2025,11:03:01 AM,2,4,Caden Addis,,Left,Kcl bluecaps 2025,Lawson Alwan,,Left,Kcl merchants 2025,Windup,1,Top,1,2,1,Sinker,,BallCalled,,,,,,,76.99520637622950,2.6163609957587400,1.6391318774276800,1333.3376303226600,129.5217912684640,10:15,5.508018649560080,-1.3364488242892800,6.0000001920000000,-34.37647071869790,13.773226144695100,-13.359088433751700,5.077629626400470,-0.9258917175645760,68.6813628133666,-3.915434065928260,-0.9023620540563390,0.4994227262753980,,,,,,,,,,,,7.801720676309870,6.545567622552570,1.210612917759310,50.000000000000000,5.701515260498080,-2.826430833978440,-111.74037010699300,4.153129004486310,9.630130483181080,24.583069220427200,-24.094463952657200,KCL BlueCaps 2025,KCL Merchants 2025,,,,5e4402e6-e0d4-4f9e-8996-142e6a31fcba,69cc35d5-19a4-4967-99ac-f3ef5e4ae4e8,77.22993834767380,5.505756021818560,-1.3434776973266400,2.6414835444772800,1.7229571249213500,68.86383195816420,5.0804578099901800,-0.9204186678089300,-3.871145799721880,-0.8189789860716220,0.49919396994178600,-14.14475057112320,11.713954511602200,17.184766121213400,87.19964351985370,1273.8133729127000,393.94000485254500,95.53569508155580,-0.6079620750862180,0.2954540514672290,0.7369457366241160,,,,,,,,,,,,,,,,,0.997719697570052,0,,,medium,high,11.520320832131700,26.528793376406700,54.667001749344000,Braxton Waller,,Kcl bluecaps 2025,2022-11
7,06/07/2025,11:03:15 AM,2,5,Caden Addis,,Left,Kcl bluecaps 2025,Lawson Alwan,,Left,Kcl merchants 2025,Windup,1,Top,1,3,1,Sinker,,Foul,,,,,,,77.41410595567880,-0.9456937647357270,1.8956770645782900,1341.4827590011900,126.58409933352500,10:15,5.1816680910903200,-0.04419701811014120,6.0000001920000000,-34.09093685302260,13.374305189314800,-14.176678298828400,1.461273588232720,0.5368864910956030,69.66386934387270,-7.384357345806930,-0.798255018648759,0.4958603382899680,,,,,,,,,,,,8.317539703196480,7.559187931254180,-0.10206879226044100,50.0,5.084864165782890,-3.324855407161170,-112.45101465961100,-2.8120003529676100,10.420351915558000,24.49611558633790,-22.70377336847430,KCL BlueCaps 2025,KCL Merchants 2025,,,,5e4402e6-e0d4-4f9e-8996-142e6a31fcba,6a436755-cebb-4c34-a072-30a4bd49f62e,77.63078322139270,5.17901931509101,-0.051011268786736700,-0.9154932482041280,1.97708791248754,69.83183286953520,1.4641868511070100,0.5420177379023480,-7.337752525390560,-0.716842566924428,0.49565392992862300,-14.942323009364300,11.406294856565300,10.321734951964500,87.55939675614570,1319.7737297956700,240.36075977303300,98.38171388638020,-0.5863570364277150,0.17917543714985600,0.7899883471000480,,,,,,,,,,,,,,,,,0.9924949784420730,0,,,medium,high,11.196542919468800,28.823324933751900,54.667001749344000,Braxton Waller,,Kcl bluecaps 2025,2022-11
8,06/07/2025,11:03:34 AM,2,6,Caden Addis,,Left,Kcl bluecaps 2025,Lawson Alwan,,Left,Kcl merchants 2025,Windup,1,Top,1,3,2,Sinker,,InPlay,,GroundBall,Out,1,0,,78.91594212177290,-1.6451810355055700,2.177791852326690,1599.7324111167600,135.55568235493800,10:30,5.633633014579300,-1.0015271630911900,6.0000001920000000,-29.41415004202630,16.254274182828000,-12.977771848921500,1.6519070348457600,-0.05800694614358880,71.02758655492610,-7.196306648705330,-0.28647729632369900,0.48638428641554400,97.69571602787480,-3.9941713628317500,-11.6809003395746,2099.068727514380,15.380909318840200,-108.91936249036300,0.1053547750812580,19.865180311313000,,-11.687513367570500,0.13541252462521300,7.755622254616650,9.34818074961971,0.8315664664297310,49.99999999999990,5.482457167812400,-3.986903632695350,-114.59006411946100,-4.133844864160990,10.10158767675520,25.206831043435200,-19.998177120805200,KCL BlueCaps 2025,KCL Merchants 2025,,,,5e4402e6-e0d4-4f9e-8996-142e6a31fcba,8ab3f1eb-7a84-4408-aa17-579e214afc60,79.14113174266460,5.6327378650911500,-1.0080456808325000,-1.6358158507333700,2.256194987513110,71.20628167747110,1.6535565473957700,-0.0528757836359746,-7.170350616675650,-0.2084577902906210,0.48617529047439600,-13.713694803462600,14.592969784678700,14.946201187994600,53.70693642463320,1545.6109396399700,412.59012402467500,96.61684222306850,-0.6897778624210470,0.25791196149901600,0.676526363587984,-19.7315167626892,95.44009759214010,-6.804994345747240,0.04200151433817990,0.9374653979137740,1.6188441862313600,-4.024166766314660,19.45331515803580,-0.15528650581076200,-0.3392972237608070,-0.020101415923554300,-0.13351022063657200,-0.020783874170902000,0.9908294765296510,,,0.9937014801426920,0,0.9959679693383530,58.427901251378900,medium,high,41.66375721783010,73.21641855625600,54.667001749344000,Braxton Waller,,Kcl bluecaps 2025,2022-11
9,06/07/2025,11:04:09 AM,3,1,Caden Addis,,Left,Kcl bluecaps 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,Windup,1,Top,2,0,0,Cutter,,BallCalled,,,,,,,69.10467252610720,3.6004358250362700,-1.495424300630510,1663.150549148640,254.0872787006470,2:30,5.574793836554660,-1.3666881497361700,6.0000001920000000,-54.69181930762940,5.199918891862100,7.99296245754272,4.368917334365420,-2.0907614740345900,61.85299825781840,-6.770341160736740,0.025382664470431000,0.5569997255629180,,,,,,,,,,,,-4.848378244669860,1.5585451972733200,1.4839098340727900,50.00000000000000,5.836973643855610,2.4167567480283600,-100.20058671459600,4.944793113856060,-4.810995051557210,19.809536722835000,-30.627521478389300,KCL BlueCaps 2025,KCL Merchants 2025,,,,5e4402e6-e0d4-4f9e-8996-142e6a31fcba,4a046c1c-02d3-4910-975e-4851a1948263,69.3060524929882,5.565398913179420,-1.3688502200126700,3.711554579359960,-1.4689924048727300,61.99297619048900,4.377535800192150,-2.0894080660166400,-6.637700059159690,0.04593583043975460,0.5567643922261110,7.7401631964491900,1.892923125312600,68.51638300618250,78.43802807603400,609.1042084711430,1547.598724591150,36.623516060103100,-0.10041169965457400,0.9305223302745280,-0.3522011973757930,,,,,,,,,,,,,,,,,0.9942801692113900,0,,,medium,high,19.405774731569400,7.554440665638740,54.667001749344000,Braxton Waller,,Kcl bluecaps 2025,2022-11
10,06/07/2025,11:04:20 AM,3,2,Caden Addis,,Left,Kcl bluecaps 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,Windup,1,Top,2,1,0,Sinker,,BallCalled,,,,,,,78.57202613076880,-0.7144607144597060,0.06524918250178740,,,,4.823919555211800,0.1305469224109780,6.0000001920000000,,,,0.5289565302234590,0.1911891260595220,70.79701559213310,-8.936800727147290,0.0652491825017869,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL Merchants 2025,,,,5e4402e6-e0d4-4f9e-8996-142e6a31fcba,c7a16e12-0f3f-490e-8f35-60a40251f234,78.78102240082410,4.816476140752630,0.13054692241097800,-0.6268951753966090,0.06524918250178700,70.94964484165340,0.5356455208112990,0.1911891260595220,-8.835837667283620,0.06524918250178710,0.48877283430361000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749344000,Braxton Waller,,Kcl bluecaps 2025,2022-11
