PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,06/07/2025,1:32:35 PM,1,1,Matt Brummer,,Right,Kcl bobcats 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,84.72542222488180,-2.350524049788850,-3.3653845169342400,2043.130680497180,213.6409525028610,1:00,5.83170463976253,2.676092745149580,6.0000001920000000,-19.696123777227500,19.97935398921360,11.56998102829910,2.0007964047530900,0.5088888555423550,76.10705949500650,-6.070303599231360,-1.1730168587930400,0.4533489404191750,,,,,,,,,,,,-7.377455131680750,11.586868563489000,-2.408360868163580,50.00000000000000,5.628383151867560,6.870102693994610,-122.86327152273600,-5.655980571066050,-11.06490700393150,28.61095456765640,-14.795750317025000,KCL BobCats 2025,KCL GroundSloths 2025,,,,94f39949-9b72-4aef-9be5-05d58a64e15b,99ff203e-faaf-4cc7-96a4-a6db9b390457,84.9653947375146,5.833500442601630,2.681552034362760,-2.3731813137679000,-3.4308822685659800,76.30449730994320,2.0001523569454500,0.5045255886990760,-6.0786459337992400,-1.2388688497866200,0.4531564384094870,12.185164260944200,18.89118632266930,-8.249783377023640,9.648573490310800,2021.9882194436900,-293.1665363233310,98.9651929142218,-0.8239104553060350,-0.14348888160790100,-0.5482540492256450,,,,,,,,,,,,,,,,,0.9934814927901460,0,,,medium,high,81.31628385872030,-25.545751329435300,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
2,06/07/2025,1:32:47 PM,1,2,Matt Brummer,,Right,Kcl bobcats 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,85.40187425119010,-3.579347049922110,-4.006758995426950,2016.9343330466900,211.11388950181000,1:00,6.103017498811070,2.21601210240037,6.0000001920000000,-19.086378724547700,20.06138335404000,10.120677562000500,1.1733675869858400,-0.670536756166911,76.87374116268190,-7.170737892112300,-2.092614862773860,0.4503238955403560,,,,,,,,,,,,-6.791473259981750,12.026132799968400,-1.894985737619700,50.000000000000000,5.79928787959406,8.34695223973402,-123.62830124179300,-8.341836869189140,-10.326575298378200,28.678234816863000,-13.888066390138400,KCL BobCats 2025,KCL GroundSloths 2025,,,,94f39949-9b72-4aef-9be5-05d58a64e15b,6a7e5c87-2c0d-45e1-a95d-2b1fb9b89fac,85.64269579908240,6.1049730360707200,2.2210943976543700,-3.6035765778315000,-4.067112755161970,77.07160915512200,1.1725971182088800,-0.6745453607901760,-7.180767429820650,-2.1527752694928600,0.4501338738254080,10.688048235382300,19.0600599984466,-15.999767869452500,13.763619304264600,1938.8039685433300,-555.9345963178640,96.1262811970019,-0.8229773151626880,-0.2756334637221900,-0.4967237989105430,,,,,,,,,,,,,,,,,0.9972781606837680,0,,,medium,high,77.61274262616180,-23.26787691241550,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
3,06/07/2025,1:33:02 PM,1,3,Matt Brummer,,Right,Kcl bobcats 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,0,1,1,Fastball,,BallCalled,,,,,,,84.58849020517300,-0.4478411061874430,-2.8001911611581500,2133.7627626949700,216.34218105875300,1:15,5.938443108720350,1.9396663626432900,6.0000001920000000,-20.085364261859000,19.686055502450000,12.76225818371870,3.8479359187027500,0.3986339690890730,75.70486474768880,-4.256790921202220,-0.37750679844046600,0.45389674655261300,,,,,,,,,,,,-7.853998773444520,10.801337912541700,-1.7187846384337600,50.000000000000100,5.890292206700040,5.616339135829780,-122.81217050190800,-1.5758165346743100,-11.74525907797630,29.050883620503900,-16.02119346377640,KCL BobCats 2025,KCL GroundSloths 2025,,,,94f39949-9b72-4aef-9be5-05d58a64e15b,60b9a9fb-5bc8-43f9-882b-fcdbcce95b16,84.83470249184820,5.940295216583250,1.9458383780640600,-0.4710654892563590,-2.8731858217093600,75.90340821414620,3.847318777630630,0.39388151761541400,-4.2649468146200000,-0.4497887321013640,0.45369761713340200,13.44725272400620,18.51240650685090,-5.648988881884900,18.55040071841580,2123.4003594680200,-210.03438022080000,99.5143601056259,-0.8015804331669720,-0.09843380149512230,-0.5897284085806520,,,,,,,,,,,,,,,,,0.9955621017030020,0,,,medium,high,73.3046393534258,-42.2748946191524,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
4,06/07/2025,1:33:05 PM,1,4,Matt Brummer,,Right,Kcl bobcats 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BobCats 2025,KCL GroundSloths 2025,,,,94f39949-9b72-4aef-9be5-05d58a64e15b,47b7bbd5-22cb-4cb9-bd41-5eeb91fc2a9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Theile,,Kcl bobcats 2025,2019-02
5,06/07/2025,1:33:16 PM,1,4,Matt Brummer,,Right,Kcl bobcats 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,0,2,1,Fastball,,BallCalled,,,,,,,84.47329124250000,-1.8504533653446100,-3.4278405394898400,2094.45522683292,215.258068007903,1:15,5.976492386270880,3.434051084390570,6.0000001920000000,-20.00904554479630,19.89522498001780,12.350898724249400,2.5855904915609800,1.2736729601840700,75.81435700177450,-5.633692573354040,-1.0871084106990500,0.4546542032379160,,,,,,,,,,,,-7.824469705546960,11.377115575526100,-3.161664841460780,50.000000000000000,5.81384142386653,6.961500827536060,-122.52615565013700,-4.577436830510090,-11.66711270272280,28.528544343172100,-15.209565774724600,KCL BobCats 2025,KCL GroundSloths 2025,,,,94f39949-9b72-4aef-9be5-05d58a64e15b,fd1a5cc9-0c48-4938-9a26-5d7dad00c10f,84.71360903715390,5.978225678898330,3.439820857525100,-1.8723779325636300,-3.496983856084180,76.01020493870960,2.585017909730800,1.2691468581251300,-5.641126928327390,-1.156179922366750,0.4544618068291880,13.001307556192900,18.778460374501100,-5.630287236875990,2.607198701854560,2084.3508990575800,-205.48485784990800,99.51756773571050,-0.8126209271103840,-0.09810897612770980,-0.5744752889597880,,,,,,,,,,,,,,,,,0.9968377459287690,0,,,medium,high,92.34647883166920,3.604350061896180,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
6,06/07/2025,1:33:28 PM,1,5,Matt Brummer,,Right,Kcl bobcats 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,0,3,1,Fastball,,InPlay,,LineDrive,Out,1,0,,85.00217518664520,-2.4753626706905700,-4.931825054397570,2093.3314844069100,213.9615492177270,1:15,6.06100700492051,3.23149294813271,6.0000001920000000,-19.428470510640600,20.115593882507100,11.669728380308100,2.1313944336872400,-0.39099054757889800,76.35430305333350,-6.14122783545726,-2.7281341836816100,0.4525975250505190,77.37074326261760,23.54625421647220,29.537314223895000,2165.0712586782700,59.91887381519170,92.24818995863810,33.14509784918590,239.60156528440700,,38.24562082595550,3.093691515044220,-7.938787547278830,11.693395187979400,-2.835551728240120,50.0,5.847225349559940,10.256547579765000,-123.01790183381600,-5.934932488594040,-11.949452476466300,28.446776251779900,-14.5731666734456,KCL BobCats 2025,KCL GroundSloths 2025,,,,94f39949-9b72-4aef-9be5-05d58a64e15b,5a9ec36d-16e2-475c-9cbb-822246983c29,85.2427312086742,6.062940692262460,3.237058391537130,-2.4995811381359200,-4.998618720314170,76.5520056937398,2.1306387550120400,-0.3953976754205290,-6.15114958628613,-2.7951231576275400,0.45240937503508800,12.300611367681500,19.093590828735100,-11.322418639076800,19.83101822052600,2052.59088600761,-410.9834039078950,98.05379135111800,-0.8132705552968200,-0.19632982495571500,-0.547764186233511,34.96715493826350,61.71043020043280,30.90878181052880,0.13249472337258800,2.6492971042282100,2.143428144173420,148.32149737950400,188.17450279418700,44.050832074232600,1.3031890343071200,0.4673207524127020,0.5978171607945530,-0.025756987378969500,-0.8012185843205960,,,0.9952318279685460,0,0.9968837249160160,39.829408792724400,medium,high,72.15208360152660,-42.84363558220280,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
7,06/07/2025,1:34:03 PM,2,1,Matt Brummer,,Right,Kcl bobcats 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Windup,1,Top,1,0,0,Fastball,,Foul,,,,,,,85.56414683164080,-2.5714434998656,-3.5695803906170800,2042.1064362947900,216.3120616555560,1:15,5.790966779632180,2.8620683831538600,6.0000001920000000,-19.62066573597700,19.303486373319700,12.289732072273200,1.7597733252834600,0.5643684202874410,76.87748612680250,-6.275272586469530,-1.241552404427250,0.4490359404553620,70.75479624915840,32.515786638984800,-79.36290916012530,3558.9972002740700,-109.43026635804800,11.181091016542300,44.127286539697600,219.99776655347300,,-88.42280033393110,3.327818728239140,-7.832411035653790,11.293406351352000,-2.5780613267719800,50.00000000000000,5.569582509046260,7.3568810578357300,-124.03388121521700,-6.188793402877270,-11.974599441245900,29.112940260409700,-14.908099577877900,KCL BobCats 2025,KCL GroundSloths 2025,,,,94f39949-9b72-4aef-9be5-05d58a64e15b,0ea32dc0-b698-4932-9c4e-7351543ef6af,85.8026615661674,5.79259574274765,2.8678131515624500,-2.5920723291733600,-3.638884487020640,77.07420832704780,1.7592299097073200,0.5597478355544220,-6.282149533093140,-1.31153530430691,0.44884941904828400,12.941344031647000,18.233379760250900,-8.846900235929870,6.848148014580530,2017.8111315905,-314.0651753793770,98.81028215412840,-0.7962168467155170,-0.15379471402539500,-0.5851375213949670,-58.6382588227459,11.013146006059000,38.032964774597900,-0.6360763535919410,2.2181125060687000,1.9214031494065200,-219.91441975159600,6.055185697845890,-8.657197533086480,-35.63500057875790,0.1320382360827910,0.7983928576696810,0.11630146586046700,0.5907984545179070,,,0.9962456342026520,0,0.9960254104337100,27.180990584751000,medium,high,83.83666678687750,-19.05682373648360,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
8,06/07/2025,1:34:22 PM,2,3,Matt Brummer,,Right,Kcl bobcats 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Windup,1,Top,1,0,2,Slider,,StrikeCalled,Strikeout,,,,,,75.68246487612910,0.26877774832797200,-2.807443838873200,2282.5407798267400,29.026345527966300,7:00,6.044873449266900,2.8063908893421900,6.0000001920000000,-53.59739746239720,-3.5909785816928900,-6.0714412694366800,1.8285257824056000,-0.31087329878401900,68.24313395692720,-9.830735119764640,-3.961216925628040,0.5089608764776750,,,,,,,,,,,,2.2772834316626200,-2.0430335150423300,-2.5740349041743800,50.00000000000000,6.035951171964450,5.551065985158730,-109.82930721248700,-0.9426316289586200,2.7037289894825600,24.524185204904700,-34.5996628690473,KCL BobCats 2025,KCL GroundSloths 2025,,,,94f39949-9b72-4aef-9be5-05d58a64e15b,19199f97-c375-49de-861d-cc5fefdab3c3,75.85940537402780,6.0328771461588500,2.8100514759626400,0.40922025159343800,-2.8512011507998100,68.35530487545500,1.8384753907295000,-0.3133165104955500,-9.68242638359856,-3.99780644010559,0.5087832953220930,-5.655481671063230,-6.921884809077950,-67.96071316018370,0.3692372564248950,856.5057407861130,-2115.7481720593500,37.52422512473690,0.32811058295147100,-0.9269267785962420,0.1820719431335850,,,,,,,,,,,,,,,,,0.9940755194351370,0,,,medium,high,90.33231353078240,39.009550661364700,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
9,06/07/2025,1:34:36 PM,2,3,Matt Brummer,,Right,Kcl bobcats 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Windup,1,Top,1,0,2,Fastball,,HitByPitch,,,,,,,86.48005338563090,-2.200309140394970,-5.4305157633522500,2234.3058365984500,208.39557671078400,1:00,5.593952160156430,2.303946639548680,6.0000001920000000,-17.064375568819000,21.197993438327000,9.727976866064410,2.1167372504799300,-1.9476432807981300,77.57430167475030,-5.422205593258510,-3.5962793249704000,0.4452023522913980,,,,,,,,,,,,-7.0615496446828,12.191344368814800,-1.8659217269605000,50.000000000000000,5.403928833172150,11.586804798559200,-125.0792994083030,-5.360467820729880,-10.984068849315500,29.495651390518400,-13.210709717164200,KCL BobCats 2025,KCL GroundSloths 2025,,,,94f39949-9b72-4aef-9be5-05d58a64e15b,a8f867ef-a886-471f-8846-c2e2b4bb20c3,86.72792463416460,5.5967598958932000,2.3088152445351600,-2.2350698274643000,-5.488872782193350,77.7810466160284,2.1152527252152300,-1.9515664322517000,-5.44285041200284,-3.6551126651236200,0.44501329907019200,10.279261207501500,20.30176667250830,-17.591880790240500,95.15700980247510,2129.815184542430,-675.2850147533040,95.32335053042280,-0.8385454914941800,-0.30223481660029700,-0.4533161968531120,,,,,,,,,,,,,,,,,0.9965225033191890,0,,,medium,high,4.358691177772380,-52.217243562245700,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
10,06/07/2025,1:35:34 PM,3,1,Matt Brummer,,Right,Kcl bobcats 2025,Bennett Summers,,Right,Kcl groundsloths 2025,Windup,1,Top,1,0,0,Slider,,Foul,,,,,,,75.95855817188510,1.756009396880420,-4.003889362663220,2133.686165570400,46.38630756367640,7:30,6.072187942892410,4.063706463283380,6.0000001920000000,-50.7631566881172,-0.9727884572088430,-6.930201279692640,3.478454135325150,-0.24106894313893100,68.16962535567600,-7.834173084140220,-5.316390833841510,0.5078602142162170,,,,,,,,,,,,2.3152726256641900,-1.159312657574210,-3.733049998803780,50.00000000000000,6.186394605504220,7.891722203002180,-110.0462818087880,1.9973975091269200,2.761097602519240,24.532182603514400,-33.55659752610710,KCL BobCats 2025,KCL GroundSloths 2025,,,,94f39949-9b72-4aef-9be5-05d58a64e15b,d09a00b9-8cf3-4888-83ec-8a02e57573ed,76.15402011500770,6.0613805359483700,4.06650101572674,1.8820171046123300,-4.037280486323840,68.30057264320830,3.487521604285980,-0.24285616148187100,-7.69699461737745,-5.3431365737411400,0.5076697673574230,-6.610940737370000,-4.1546864338808500,-69.4269587344202,36.26829816881880,749.779806075747,-1997.6102962158300,35.140116582014300,0.24239391863259700,-0.9362249839970330,0.2544169167914930,,,,,,,,,,,,,,,,,0.9883208277015950,0,,,medium,high,57.35853164806300,45.70644241956200,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
