PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/10/2025,4:58:52 PM,1,1,Cameron Clifton,,Right,Kcl bobcats 2025,Tyler Pippin,,Left,Kcl merchants 2025,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,78.66669052,0.374910598,-7.824462531,1967.710926,201.9423993,12:45,6.102240761,6.634998159,6.000000192,-26.09066159,20.63534515,6.351866103,4.279737934,-0.153231474,70.35234946,-4.537916189,-6.636933759,0.491983861,,,,,,,,,,,,-6.097456513,11.0339802,-5.997346618,50,6.117957657,15.38870294,-113.2899858,0.011490049,-7.76191492,24.65631998,-18.12805921,KCL BobCats 2025,KCL Merchants 2025,,,,12d685e0-ed41-4887-989e-bce93e07fe53,45a8d9d7-9aad-4402-b137-ae37f2658e4e,78.91738211,6.103503304,6.639439121,0.358163281,-7.876669951,70.55550776,4.27980902,-0.156376869,-4.53486755,-6.687860307,0.491760925,6.854154322,19.18321,-35.73995114,83.27503117,1597.14459,-1149.354361,81.16764352,-0.752878583,-0.584107323,-0.303302613,,,,,,,,,,,,,,,,,0.992079028,0,,,medium,high,15.05247195,73.43217779,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
2,6/10/2025,4:59:02 PM,1,2,Cameron Clifton,,Right,Kcl bobcats 2025,Tyler Pippin,,Left,Kcl merchants 2025,Windup,1,Top,0,1,0,Fastball,,Foul,,,,,,,78.21815658,0.234228128,-3.192433628,1951.033514,196.9483797,12:30,5.922856982,2.341554901,6.000000192,-26.64924984,19.92317579,4.648101194,3.920115757,-0.241205176,70.04547749,-4.815322152,-2.311024288,0.491174658,,,,,,,,,,,,-3.604585193,10.69933269,-2.083936639,50,5.926546344,6.200290656,-113.5199593,-0.288693014,-4.60255493,24.94728824,-18.51248694,KCL BobCats 2025,KCL Merchants 2025,,,,12d685e0-ed41-4887-989e-bce93e07fe53,2af46c81-f875-4e34-a823-9d9918caa4ca,78.46723508,5.923748582,2.345486212,0.221914288,-3.238767348,70.24663514,3.92050695,-0.244146394,-4.807727169,-2.355638918,0.490937306,5.084009104,18.35841575,-36.07377084,73.40763176,1576.941414,-1148.820068,80.82595213,-0.773155015,-0.588826414,-0.235615741,,,,,,,,,,,,,,,,,0.997253072,0,,,medium,high,23.93313142,-46.00577383,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
3,6/10/2025,4:59:18 PM,2,1,Cameron Clifton,,Right,Kcl bobcats 2025,Tyler Pippin,,Left,Kcl merchants 2025,Windup,1,Top,0,0,0,Changeup,,InPlay,,LineDrive,Triple,0,0,,74.44309448,0.540500551,-3.302836614,1275.904047,222.1960929,1:30,5.618267022,2.384092627,6.000000192,-36.05940757,15.35055628,10.73608824,3.078233013,0.047522192,66.25290799,-6.515914328,-3.054507306,0.516054027,87.83690854,16.07557309,11.43015411,867.1210948,26.14881892,106.8468028,20.631183,216.6039874,,16.52220251,2.232809033,-6.931242594,8.120519484,-2.120977417,50,5.641495972,5.945284376,-108.0286708,0.050230262,-8.018326994,22.51507017,-22.77992152,KCL BobCats 2025,KCL Merchants 2025,,,,12d685e0-ed41-4887-989e-bce93e07fe53,e5f28f14-95d5-406a-8b1a-d282a98a02c4,74.67084359,5.615982064,2.390264109,0.565774612,-3.376125931,66.42913566,3.081174131,0.042801148,-6.469410303,-3.126673028,0.515818651,11.42533769,13.29372033,-24.71128617,36.99616396,1159.064214,-533.3866189,90.84258465,-0.673007652,-0.418046028,-0.610162453,16.72626508,82.72829917,24.32248084,-0.117655266,1.762325456,3.069865461,61.59933055,207.6603232,20.72235593,2.845600146,0.09764741,0.268103707,0.298215981,-0.916071848,,,0.996110473,0,0.994473033,51.8876701,medium,high,56.70345244,-56.15113495,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
4,6/10/2025,5:00:06 PM,2,1,Cameron Clifton,,Right,Kcl bobcats 2025,Lawson Alwan,,Left,Kcl merchants 2025,Windup,1,Top,0,0,0,Fastball,,InPlay,,GroundBall,Out,1,1,,77.89902936,-1.278846689,-1.339551188,1798.50932,202.1095068,12:45,6.22904811,0.780451591,6.000000192,-28.2586852,18.56297057,5.600078134,2.68508316,0.001927508,70.05293907,-6.618564985,-0.275841706,0.492487153,,,,,,,,,,,,-3.482792731,10.47440313,-0.674561678,50,6.108472363,2.488629722,-113.1808313,-3.324465664,-4.424288156,24.63790545,-18.86812493,KCL BobCats 2025,KCL Merchants 2025,,,,12d685e0-ed41-4887-989e-bce93e07fe53,61cd0e05-add4-4a7e-a8fa-3f7599fa4ccd,78.13782834,6.229080638,0.784837571,-1.281007117,-1.391764735,70.24533574,2.686105588,-0.001399164,-6.601690872,-0.326383594,0.492256938,6.090180567,16.936571,-35.55598946,66.10538908,1463.173055,-1045.829999,81.35476633,-0.753724407,-0.581498237,-0.306201436,,,,,,,,,,,,,,,,,0.96812021,0,,,medium,high,30.50514983,77.12700545,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
5,6/10/2025,5:00:37 PM,3,1,Cameron Clifton,,Right,Kcl bobcats 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,Windup,1,Top,1,0,0,Slider,,BallCalled,,,,,,,70.55889018,2.304910121,-3.392778328,1989.934953,68.98061079,8:15,5.016135899,2.406239758,6.000000192,-56.79813991,0.906681249,-11.27287043,2.430045746,-1.690083578,63.41136126,-8.422327918,-5.529646682,0.546735875,,,,,,,,,,,,4.881635556,-0.343681021,-2.12307398,50,5.17163745,6.347566101,-102.253534,2.684340344,5.022165547,21.30685296,-32.52762432,KCL BobCats 2025,KCL Merchants 2025,,,,12d685e0-ed41-4887-989e-bce93e07fe53,dbbcf7ed-bf00-4855-afae-197c8494158c,70.74030463,5.004284028,2.407221286,2.44310279,-3.40473005,63.52653725,2.440178094,-1.690500715,-8.271489258,-5.535602057,0.546530524,-11.15589002,-2.748214198,-61.38620038,34.57033279,952.9864094,-1746.899545,47.89032967,0.171774882,-0.877867662,0.44703664,,,,,,,,,,,,,,,,,0.997227924,0,,,medium,high,58.88670049,0.045695792,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
6,6/10/2025,5:00:47 PM,3,2,Cameron Clifton,,Right,Kcl bobcats 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,Windup,1,Top,1,1,0,Slider,,BallCalled,,,,,,,70.35906414,1.082116806,-3.95163639,2007.369122,53.9864101,7:45,5.413929232,2.473232784,6.000000192,-59.60752447,-1.506436404,-10.5895827,1.454864372,-2.087692681,63.50843976,-10.12953046,-5.957500248,0.548609919,,,,,,,,,,,,4.294873634,-1.213056272,-2.144757346,50,5.4680394,7.31009512,-101.9554587,0.426634523,4.38696708,21.38314847,-33.41311699,KCL BobCats 2025,KCL Merchants 2025,,,,12d685e0-ed41-4887-989e-bce93e07fe53,e6a62ff3-0e9a-4903-be27-7f7c09b3a0b2,70.52304413,5.401266045,2.474923841,1.23259527,-3.972301779,63.60766838,1.465646498,-2.088674717,-9.967428083,-5.972187831,0.548423394,-10.39007886,-5.335390969,-61.13641298,30.82989197,969.0090589,-1757.996654,48.27258965,0.283831785,-0.875771494,0.390466143,,,,,,,,,,,,,,,,,0.991030043,0,,,medium,high,62.25309723,19.88012935,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
7,6/10/2025,5:00:57 PM,3,4,Cameron Clifton,,Right,Kcl bobcats 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,Windup,1,Top,1,2,1,Fastball,,BallCalled,,,,,,,78.24174005,-0.920879135,0.112681673,1904.8523,202.5788572,12:45,5.676738285,0.544269813,6.000000192,-27.19520508,19.21427715,6.285507668,2.554536479,1.172787914,70.27702576,-6.065479325,1.307111763,0.490314666,,,,,,,,,,,,-3.362293229,10.70959171,-0.557085214,50,5.585986052,-0.401678089,-113.717077,-2.598156546,-4.308303422,25.02522514,-18.4512219,KCL BobCats 2025,KCL Merchants 2025,,,,12d685e0-ed41-4887-989e-bce93e07fe53,0d129343-dbee-4ac9-8a28-f0935b2c2e41,78.48189411,5.677259026,0.548840334,-0.928879804,0.058207144,70.47275883,2.55519479,1.169248722,-6.05425453,1.253732199,0.490081905,6.795731867,17.62026823,-31.97345193,83.16549754,1615.873903,-1008.669328,84.82935412,-0.783273507,-0.529526267,-0.325706225,,,,,,,,,,,,,,,,,0.997658537,0,,,medium,high,15.15105221,-73.83642989,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
8,6/10/2025,5:01:08 PM,3,4,Cameron Clifton,,Right,Kcl bobcats 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,Windup,1,Top,1,2,1,Fastball,,Foul,,,,,,,63.21688405,4.234156098,-1.082059031,1828.885033,42.07126371,7:30,5.54028985,1.390245871,6.000000192,-81.66279459,-9.653639952,-13.65393572,2.678136989,-0.753360559,57.05705069,-11.17482311,-3.682864511,0.610752676,,,,,,,,,,,,7.007153182,-6.780980298,-1.294249182,50,5.838936375,2.039077071,-91.57481094,4.930225728,5.775280325,17.2263231,-37.76291871,KCL BobCats 2025,KCL Merchants 2025,,,,12d685e0-ed41-4887-989e-bce93e07fe53,fe91d11e-2ed5-49b5-9697-9e5b22e015f9,63.31972784,5.520554544,1.389540199,4.466913629,-1.073749176,57.07454722,2.693374218,-0.752701088,-10.94970731,-3.672789981,0.610634866,-13.73026434,-14.72273812,-33.24437813,49.48775551,1529.569612,-1002.615212,83.63399476,0.620825175,-0.548211175,0.560393263,,,,,,,,,,,,,,,,,0.994605675,0,,,medium,high,45.46102004,55.70646356,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
9,6/10/2025,5:01:29 PM,3,4,Cameron Clifton,,Right,Kcl bobcats 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,Windup,1,Top,1,2,1,Slider,,InPlay,,LineDrive,Double,0,0,,70.26080219,2.356343939,-0.726575633,2041.610924,59.87738902,8:00,5.144905333,1.002314992,6.000000192,-60.67056636,-2.721601562,-12.4608867,2.280407395,-0.711403282,63.22799998,-9.116615686,-3.099015621,0.547891249,,,,,,,,,,,,6.491209607,-2.319354947,-0.935953948,50,5.302029855,1.608578663,-101.9958018,2.663260362,6.651695428,21.03464567,-34.55074725,KCL BobCats 2025,KCL Merchants 2025,,,,12d685e0-ed41-4887-989e-bce93e07fe53,133cca26-a1f3-4c34-abc0-9e87008becff,70.42162843,5.131349544,1.002722973,2.516624365,-0.731819895,63.32053398,2.291781477,-0.711417,-8.947508957,-3.098946063,0.547710824,-12.40744981,-6.516599335,-55.13488273,25.04135762,1167.07961,-1675.14189,57.16464367,0.286881975,-0.820500062,0.494447551,,,,,,,,,,,,,,,,,0.997143634,0,,,medium,high,67.46277814,-26.7766514,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
10,6/10/2025,5:02:08 PM,4,1,Cameron Clifton,,Right,Kcl bobcats 2025,Jake Parpet,,Right,Kcl merchants 2025,Stretch,1,Top,1,0,0,Curveball,,StrikeCalled,,,,,,,62.85523993,3.541586979,-0.564663591,1862.298846,45.2411947,7:30,5.658920097,1.475926717,6.000000192,-80.90038168,-8.208231491,-13.92669107,2.213108342,-0.209442692,56.87174381,-11.70738081,-3.218904579,0.613642287,,,,,,,,,,,,7.34377075,-5.741687961,-1.421925489,50,5.901277404,1.212370962,-91.13849011,3.816039912,5.996064539,17.04474473,-36.86204064,KCL BobCats 2025,KCL Merchants 2025,,,,12d685e0-ed41-4887-989e-bce93e07fe53,3278a2ef-06a4-4f87-86ad-c4439e487920,62.96063445,5.639942858,1.475792718,3.767181894,-0.563197228,56.8940217,2.227537087,-0.209182963,-11.48761758,-3.214776465,0.613516273,-13.93832187,-13.24592882,-38.41198081,43.60056128,1459.229498,-1157.06796,78.35635517,0.551725791,-0.621311645,0.556390592,,,,,,,,,,,,,,,,,0.974833272,0,,,medium,high,50.75949485,32.37104148,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
