PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/13/2025,7:28:37 PM,1,1,Andrew Tay,,Right,Kcl bobcats 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,85.22165453173744,-2.307782154,-2.960166832,1916.621799587325,208.74406360753437,1:00,6.0937031822168315,2.346104571078166,6.0000001920000035,-20.9616769,18.251365457671934,7.845172558965268,2.198030627427497,0.24625820803299148,76.55779236463324,-6.265419948,-1.472735434,0.4506992046392872,,,,,,,,,,,,-5.236851841,10.64618039157046,-2.109316985,50,5.893223661748258,6.150935672184433,-123.6274689,-5.635269859,-7.945271682,29.169179124282348,-16.02182719,KCL BobCats 2025,KCL BlueCaps 2025,,,,d70f066d-1e55-4b57-ab7d-c9d77bf4f8d3,6c29348b-0cd0-4af0-9877-dca3ea460b85,85.46944234142114,6.0950570258528005,2.3508125375268047,-2.325068546,-3.015932988,76.76072704116933,2.197797299847174,0.24260660905335765,-6.267586649,-1.52782224,0.45050043912468357,8.368496955947174,17.089012433056507,-30.67414322,19.42082604898299,1648.4530269012726,-977.7738699,86.00825824,-0.75410027,-0.510154831,-0.413611933,,,,,,,,,,,,,,,,,0.9967191484977793,0,,,medium,high,107.47874344408469,-17.30111252,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
2,6/13/2025,7:29:41 PM,1,2,Andrew Tay,,Right,Kcl bobcats 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BobCats 2025,KCL BlueCaps 2025,,,,d70f066d-1e55-4b57-ab7d-c9d77bf4f8d3,66dd6b69-8ed1-4c76-a919-ad1248761610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zach Pomatto,,Kcl bobcats 2025,2019-02
3,6/13/2025,7:29:43 PM,1,3,Andrew Tay,,Right,Kcl bobcats 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,2,0,Fastball,,BallCalled,,,,,,,87.77126404,-3.772012449,-4.66095803,2156.6070025499607,205.9386123873421,12:45,6.037349984237585,2.1901281247563853,6.0000001920000035,-17.61553004,19.53918176222844,7.147405109676574,1.046982447,-1.555700639,78.95896467443531,-7.08380157,-3.311567366,0.43871094660260956,,,,,,,,,,,,-5.406142287,11.813632173166571,-1.813780322,49.999999999999964,5.718413362529191,10.120885592349255,-126.917879,-8.95385296,-8.660348442,30.30906100312752,-13.24924784,KCL BobCats 2025,KCL BlueCaps 2025,,,,d70f066d-1e55-4b57-ab7d-c9d77bf4f8d3,aa846780-b91a-4b1c-8c18-aeea48f22b3e,88.02167055846279,6.039607841459057,2.1943497471552567,-3.799777327,-4.710979583,79.16495713,1.0459623499123665,-1.558973026,-7.097511342,-3.360853384,0.4385246129467405,7.619101857480882,18.624039854295557,-31.50107165,73.32525870537935,1838.788667259774,-1126.858465,85.26303888866168,-0.766739139,-0.522514516,-0.372947279,,,,,,,,,,,,,,,,,0.9952923347689877,0,,,medium,high,24.007267165158613,39.065375910653074,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
4,6/13/2025,7:29:58 PM,1,4,Andrew Tay,,Right,Kcl bobcats 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,3,0,Fastball,,StrikeCalled,,,,,,,87.26534762337448,-2.754250003,-3.979320112,2188.0803215222977,204.65076222081004,12:45,5.926208669,2.655660283965356,6.0000001920000035,-17.77428144,19.705084055338812,6.999357947542139,1.877071508170838,-0.46537277,78.37253606270748,-6.107162381,-2.655195822,0.4406234812160407,,,,,,,,,,,,-5.113263704,11.57566660062721,-2.335062987,49.99999999999997,5.690840477500255,8.573350543476185,-126.4185549,-6.657233636,-8.118093752,30.324766021634034,-13.7958958,KCL BobCats 2025,KCL BlueCaps 2025,,,,d70f066d-1e55-4b57-ab7d-c9d77bf4f8d3,404ced70-afee-4074-9052-215be3fdaa21,87.51647095256008,5.928536530992628,2.659780406312872,-2.783313763,-4.02884645,78.58116848156396,1.875992491958325,-0.468628806,-6.121953752,-2.704476595,0.4404342285318133,7.465904049308737,18.745464559223727,-31.23383964,93.83055116875047,1870.935922454656,-1134.589912,85.50581548820854,-0.777134089,-0.518532113,-0.356632942,,,,,,,,,,,,,,,,,0.9951527615826724,0,,,medium,high,5.552503948124578,89.55685335599411,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
5,6/13/2025,7:30:12 PM,1,5,Andrew Tay,,Right,Kcl bobcats 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,3,1,Fastball,,BallCalled,Walk,,,,,,85.94233428798786,-0.933922467,-2.96699842,1948.6662546601065,203.75664434929416,12:45,5.858001209914537,2.311161114551147,6.0000001920000035,-19.48214929,19.067558284271083,6.821227633301732,3.3652649913193273,0.11961975174055803,76.96212883471925,-4.62506427,-1.673058305,0.4468708916593354,,,,,,,,,,,,-4.697486221,10.632177159862524,-2.073218091,49.99999999999993,5.770542092468396,6.253582611741234,-124.7461745,-2.641884126,-7.247368645,29.988099030413462,-15.77052997,KCL BobCats 2025,KCL BlueCaps 2025,,,,d70f066d-1e55-4b57-ab7d-c9d77bf4f8d3,6e4fcd53-8b9f-4faa-848f-c06b8e142590,86.19712700035265,5.859883747,2.315258304979678,-0.957775243,-3.015942301,77.17340101039804,3.3645980085812766,0.11639841646766463,-4.633822928,-1.721884674,0.4466697040704061,7.280753647618039,17.93730932161058,-29.71125864,11.995258599060096,1692.4831649687471,-965.8161877,86.85341376,-0.794938696,-0.495629349,-0.349891437,,,,,,,,,,,,,,,,,0.9970944954302186,0,,,medium,high,100.7957327391541,-1.073244237,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
6,6/13/2025,7:30:42 PM,2,1,Andrew Tay,,Right,Kcl bobcats 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Fastball,,InPlay,,GroundBall,Out,2,0,,85.15095538097732,-2.062767356,-5.008285054,2085.7472343264967,203.24014307373963,12:45,6.029235258946559,3.2468869,6.0000001920000035,-18.84829081,20.588153063663402,7.042081661,2.5332419840973146,-0.832832688,76.41038525307357,-5.619727779,-3.679244536,0.4519812256485134,93.81966034045973,1.9685898540543754,-4.686643225,1260.1210054818198,,,,61.42794438603605,,-5.075787125,0.4686021447701666,-5.482150303,11.822991203343065,-2.841980352,50.00000000000001,5.8495677668905675,10.583779554662728,-123.2437172,-5.035712872,-8.271741978,28.829903926294847,-14.3349304,KCL BobCats 2025,KCL BlueCaps 2025,,,,d70f066d-1e55-4b57-ab7d-c9d77bf4f8d3,2df53330-b34c-4bdb-8808-6bf55d0c63bc,85.40248905936133,6.031602008249841,3.2510003046778446,-2.092024404,-5.056843783,76.61717178067079,2.532218560423118,-0.836007599,-5.633577296,-3.727191951,0.451781618,7.500383690689349,19.561350844946688,-27.22719095,88.62720028568799,1854.6450756165987,-954.2710144,88.91993454880344,-0.817048916,-0.457519971,-0.350865422,-7.66112098,93.45078429560127,3.222856849139106,0.8177622042258206,1.2373414376027956,2.519550757278872,-5.434737103,61.18705732515538,-0.27371963,-12.61391934,-0.109845438,-0.680545116,-0.043093654,0.7314378183396435,,,0.9890476576491182,0,0.9960209969273495,54.47379507918742,medium,high,10.235519742880866,56.31455711011666,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
7,6/13/2025,7:31:18 PM,3,1,Andrew Tay,,Right,Kcl bobcats 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Windup,1,Top,2,0,0,Fastball,,BallCalled,,,,,,,86.84164969941716,-3.027956164,-4.432026826,2071.247459867259,204.8673266515815,12:45,6.008869599982683,2.370543693,6.0000001920000035,-19.5927153,18.316888671299466,6.081950008926295,1.5509088622375589,-1.249960138,78.06261566900974,-6.717036881,-3.282779938,0.44314529862954816,,,,,,,,,,,,-4.769495887,10.917798629301274,-2.012339707,49.99999999999995,5.749897998426328,9.552044830479392,-125.7010191,-7.283823208,-7.486299049,29.990679665485082,-15.03724783,KCL BobCats 2025,KCL BlueCaps 2025,,,,d70f066d-1e55-4b57-ab7d-c9d77bf4f8d3,de91da75-db63-440c-a1c7-f4aa3d756239,87.09432492233147,6.010483579793058,2.3746417191677622,-3.048077376,-4.48025206,78.26838699763975,1.5504525164623943,-1.253046981,-6.722449645,-3.329697626,0.44295259319655644,6.536840822753397,17.258600634887372,-37.9278983,4.593551141433345,1633.768682583865,-1273.132331,78.87848816908479,-0.715651875,-0.61466935,-0.331698632,,,,,,,,,,,,,,,,,0.9901081713731229,0,,,medium,high,85.86580397,2.4666630557354616,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
8,6/13/2025,7:31:31 PM,3,2,Andrew Tay,,Right,Kcl bobcats 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Windup,1,Top,2,1,0,Fastball,,StrikeCalled,,,,,,,86.91516102876339,-2.764069219,-4.156862739,2167.904051001898,206.50838808048147,1:00,5.968421712521442,2.047051087179881,6.0000001920000035,-18.51590706,19.28165840754891,7.393690811346418,1.8477451769847564,-1.206962662,78.07251644728973,-6.255884932,-2.758587738,0.44248997561211806,,,,,,,,,,,,-5.385302898,11.349675556084087,-1.712147807,49.99999999999997,5.731769642940142,8.916672052990133,-125.8828943,-6.675368322,-8.478123433,30.056545850811137,-14.30616878,KCL BobCats 2025,KCL BlueCaps 2025,,,,d70f066d-1e55-4b57-ab7d-c9d77bf4f8d3,87515291-ac6d-4dcc-8d0c-4e3982410f1a,87.16428282848669,5.970519229785958,2.0514050554629795,-2.790387749,-4.209195149,78.28072530997571,1.8468440806895685,-1.210450675,-6.267895698,-2.811037839,0.4422997974277987,7.886357998,18.289409004856342,-32.35462348,68.95621475765428,1831.3413187925216,-1160.171086,84.47520165600346,-0.755942417,-0.535157949,-0.377037176,,,,,,,,,,,,,,,,,0.9359100675599565,0,,,medium,high,27.93940671811111,32.27842283133728,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
9,6/13/2025,7:31:48 PM,3,3,Andrew Tay,,Right,Kcl bobcats 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Windup,1,Top,2,1,1,Fastball,,InPlay,,LineDrive,Single,0,0,,87.18389708578863,-1.912033593,-3.414876752,2120.669107,203.8986834838167,12:45,6.314110716872992,2.1130582838501692,6.0000001920000035,-18.41967793,19.07330956,6.591115652224364,2.998283508,-0.515210261,78.18984697097973,-5.39462985,-2.166078281,0.44070354691438746,84.94692609409687,14.635976197875548,-38.58660148,1275.0849324976625,-69.44304886,85.30921969020547,10.104297883616018,149.86364304559424,,-39.86228254,1.4567671662683725,-4.715334043,10.960522278477736,-1.838389672,50.00000000000001,6.147360769332373,7.337477485092481,-126.4474549,-4.809606422,-7.481630084,30.593528393906983,-14.78343156,KCL BobCats 2025,KCL BlueCaps 2025,,,,d70f066d-1e55-4b57-ab7d-c9d77bf4f8d3,f938f269-7872-4887-b3aa-8caef9deea10,87.43826706445458,6.316210603149819,2.1171372229719316,-1.938374581,-3.463580018,78.40081294300694,2.9974112657831258,-0.518406446,-5.406407876,-2.214457993,0.4405094444560156,7.048950092553839,18.04251151008423,-33.28506447,58.51661989881083,1772.7742860206429,-1163.833661,83.59504462,-0.764278784,-0.54880493,-0.338660729,-51.26192761,64.24551499108118,21.464129017046524,0.6169666263663832,1.666161373183016,2.9884585810011397,-96.05427365,115.03342132049193,19.431355259555446,-32.32313149,-0.463736985,-0.535065531,-0.751820378,0.38531934346289626,,,0.9407406209051903,0,0.9953732437463244,45.160044027892596,medium,high,37.33504209107022,53.235709364052155,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
10,6/13/2025,7:32:22 PM,4,1,Andrew Tay,,Right,Kcl bobcats 2025,Justin Trusner,,Right,Kcl bluecaps 2025,Windup,1,Top,2,0,0,Fastball,,StrikeCalled,,,,,,,84.96232076771376,-0.978804842,-4.039320769,2094.108095785209,202.8018400341028,12:45,6.125830678255826,1.5827635166959988,6.0000001920000035,-19.74470079,19.774231389532044,6.625208510624486,3.5683897462106096,-1.625486844,76.09784956217828,-4.715922216,-2.785255206,0.45245367809964804,,,,,,,,,,,,-4.950566875,11.027498848100189,-1.257033064,49.999999999999964,6.034461758386681,8.495430190993323,-123.1847857,-2.716172725,-7.451363236,29.136233501939646,-15.5759707,KCL BobCats 2025,KCL BlueCaps 2025,,,,d70f066d-1e55-4b57-ab7d-c9d77bf4f8d3,5d63bfad-5c2e-469a-a74d-d6ab286f9ce4,85.21635178323602,6.127933820542582,1.5868957312578635,-1.00530692,-4.088581624,76.30791861188598,3.567578424626184,-1.628726029,-4.72665531,-2.834110842,0.45224955560614155,7.088917720846747,18.65477861967036,-31.79219391,90.17699286282232,1779.9174902563511,-1103.259917,84.99644759689214,-0.783540352,-0.526840004,-0.329399646,,,,,,,,,,,,,,,,,0.9936392887223066,0,,,medium,high,8.840706423459906,9.178170930385065,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
