PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/13/2025,4:58:49 PM,1,1,Kellen Hershberger,,Right,Kcl groundsloths 2025,Owen Shissler,,Left,Kcl merchants 2025,Windup,1,Top,0,0,0,Fastball,,InPlay,,FlyBall,Out,1,0,,79.64438637489886,0.22555371921356476,-2.089261378,2027.2082989404983,218.47073584558976,1:15,5.031213662151602,1.4471478682322565,6.0000001920000035,-27.87071275,16.979498922118147,10.865531854760283,2.918422875603108,0.4100015164067273,71.33638333654197,-5.059183945,-0.024706233,0.48200747236551755,86.64874456598884,31.210860277449303,8.673936912547942,2826.3499092379266,16.199996535266717,108.8005519846524,60.98801484266434,329.5901930194644,,9.224135579001086,4.999303378156201,-6.593498233,9.110119123564104,-1.28317802,50,5.033475795871448,3.9074437291749717,-115.6905895,-0.347188801,-8.741701622,25.962539636822292,-20.09579608,KCL GroundSloths 2025,KCL Merchants 2025,,,,fd69b413-82e4-4a5a-beee-ce0c2aca9167,876d08ea-206e-4d84-8c9e-9436236fb2ff,79.88408363436064,5.031449641261452,1.4539762736427246,0.22098735842361336,-2.170523928,71.52877840532445,2.919266254083583,0.40471561647783816,-5.045030198,-0.104555808,0.48178725389802896,11.627712652042208,15.406375546132756,-33.31760325,72.24813760340668,1694.0135864476995,-1113.504134,83.56386402586553,-0.654243225,-0.549279585,-0.519863194,11.17627210359329,73.26012943946664,44.90043776224254,-0.39966409,1.576759349189297,2.7312110113537655,52.83231917919888,325.3282056397125,11.327043665766729,49.03353759638556,1.3843883953406113,0.9769388464245946,-0.20635861,-0.054832604,,,0.9973806794013845,0,0.996357038,49.15862589,medium,high,24.97667615693395,-16.5349655,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
2,6/13/2025,4:59:20 PM,2,1,Kellen Hershberger,,Right,Kcl groundsloths 2025,Cole Yates,,Right,Kcl merchants 2025,Windup,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,78.70317555282237,0.49837763548976255,-6.297389004,1961.280282788088,211.57391700821574,1:00,5.2416217890882795,3.6324203437751375,6.0000001920000035,-28.48860937,17.88556100210104,8.176878000868534,3.3335835324460237,-1.56260863,70.42528968344877,-4.881723285,-4.758557098,0.49012809647529393,,,,,,,,,,,,-6.559110102,9.504955209897785,-3.122129194,50,5.265966136871418,12.317324909519828,-113.716,0.18759153767112616,-8.413075495,24.82915725790349,-19.98247108,KCL GroundSloths 2025,KCL Merchants 2025,,,,fd69b413-82e4-4a5a-beee-ce0c2aca9167,751cf77a-aaeb-4d3c-8f7d-4b25dd9fcd40,78.94702926657492,5.241878849854189,3.638087195869697,0.49354871436821457,-6.36525681,70.62526900630914,3.334452110030241,-1.567095196,-4.866676433,-4.826076601,0.4899045687031807,8.821266203629055,16.331708224782407,-41.14116668,65.67777748971847,1477.0222811626938,-1290.358682,75.30908734,-0.641607354,-0.657916512,-0.394316963,,,,,,,,,,,,,,,,,0.9962676704040144,0,,,medium,high,30.890000259253384,-28.69561053,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
3,6/13/2025,4:59:33 PM,2,2,Kellen Hershberger,,Right,Kcl groundsloths 2025,Cole Yates,,Right,Kcl merchants 2025,Windup,1,Top,1,1,0,Fastball,,BallCalled,,,,,,,79.64867038191427,-1.579899637,-3.74823149,1942.4415360726246,221.61900768956818,1:30,5.141327704048353,2.634975739231783,6.0000001920000035,-28.2771604,16.641802038561966,11.301726486038717,1.3130281422843142,0.088225675,71.63513013034297,-6.916317962,-1.607238499,0.48237676485395004,,,,,,,,,,,,-7.369278385,9.530081247604667,-2.335779199,50.00000000000005,4.995940285084807,7.241106333686714,-115.5010536,-4.007303441,-9.760748768,25.425316601839953,-19.55127651,KCL GroundSloths 2025,KCL Merchants 2025,,,,fd69b413-82e4-4a5a-beee-ce0c2aca9167,db0b4430-d6e5-44ce-9847-3652653be8c0,79.87918792880052,5.141190839095884,2.641711518580512,-1.579720459,-3.82905727,71.82115357992355,1.3141179644742027,0.082898355,-6.898446654,-1.687402692,0.48216826903410087,12.062349981711865,15.135459225279293,-32.28657362,68.96627498488624,1642.1148705169367,-1037.563431,84.53870245367018,-0.631992567,-0.534154265,-0.561484298,,,,,,,,,,,,,,,,,0.9952146095807328,0,,,medium,high,27.930352513602344,2.512587108814544,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
4,6/13/2025,4:59:47 PM,2,3,Kellen Hershberger,,Right,Kcl groundsloths 2025,Cole Yates,,Right,Kcl merchants 2025,Windup,1,Top,1,2,0,Fastball,,BallCalled,,,,,,,78.94812750611919,1.0816192747268898,-4.675825845,1906.2661137442135,216.9696412377243,1:15,5.241653347833174,3.1662930567395247,6.0000001920000035,-29.31431189,16.565067521606238,9.570599791,3.8075206165225595,-0.391513003,70.58137532233242,-4.470715859,-2.865083748,0.48750636442973383,,,,,,,,,,,,-6.770847373,8.592686124004407,-2.7901172,49.999999999999936,5.313094549026555,9.080754455250213,-114.3588417,1.3311075650382553,-8.776781801,25.249500879405062,-21.03569023,KCL GroundSloths 2025,KCL Merchants 2025,,,,fd69b413-82e4-4a5a-beee-ce0c2aca9167,2d66fa54-0c38-4d93-903b-d1aab1f6427d,79.19287025197508,5.241506122,3.1728053018321973,1.0814611977390283,-4.752886982,70.77653765610621,3.808675432304907,-0.396421184,-4.451334514,-2.940224633,0.48728357468689226,10.29884130043872,14.942639209239466,-39.71201638,68.93827082746637,1466.4248853018587,-1217.969028,76.92655682902343,-0.614608015,-0.638929171,-0.462629984,,,,,,,,,,,,,,,,,0.9913371745466008,0,,,medium,high,27.955556255280253,-3.298399766,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
5,6/13/2025,5:00:01 PM,2,4,Kellen Hershberger,,Right,Kcl groundsloths 2025,Cole Yates,,Right,Kcl merchants 2025,Windup,1,Top,1,3,0,Fastball,,StrikeCalled,,,,,,,78.96804251885723,-0.871515542,-4.244818804,1920.9350653565648,217.85252488811057,1:15,5.136145077,2.8529335700502996,6.0000001920000035,-28.88403849,16.858449002867008,9.831645010408884,1.9168700853450107,-0.280104158,70.92355331,-6.327992956,-2.384095738,0.4867785261510629,,,,,,,,,,,,-6.746418529,9.411181651312782,-2.512236313,49.99999999999997,5.048219808,8.215658070559757,-114.4722299,-2.570767407,-8.774116628,25.043803602896855,-19.93425079,KCL GroundSloths 2025,KCL Merchants 2025,,,,fd69b413-82e4-4a5a-beee-ce0c2aca9167,45997437-fecd-4c93-9747-08a7a5924e62,79.20293103294536,5.135983346486729,2.859243767333738,-0.871144457,-4.320541547,71.11308915387215,1.918012001447265,-0.285026793,-6.309023632,-2.458811221,0.4865639812874345,10.546101993480024,15.301439168388631,-36.84409971,68.73875273089612,1537.2668407173674,-1151.868997,80.02700707803567,-0.631887493,-0.599639737,-0.491070649,,,,,,,,,,,,,,,,,0.9970312360009541,0,,,medium,high,28.135122542193507,-57.28773445,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
6,6/13/2025,5:00:16 PM,2,5,Kellen Hershberger,,Right,Kcl groundsloths 2025,Cole Yates,,Right,Kcl merchants 2025,Windup,1,Top,1,3,1,Curveball,,StrikeCalled,,,,,,,67.49484282236881,2.9448030897628374,-1.238787582,1923.144898651808,69.02235523,8:15,4.787518031,3.2349493307030595,6.0000001920000035,-64.30599636,-1.378783475,-15.78489341,2.1686189422745636,0.7680407039279745,60.74072669285759,-9.210665324,-4.241710152,0.5709403945452212,,,,,,,,,,,,8.107185459,-1.811517702,-3.124946779,50.00000000000001,4.990654302826258,2.500172403053574,-97.91283771,3.4781922881862837,7.648665734508348,19.514680337274722,-33.88311292,KCL GroundSloths 2025,KCL Merchants 2025,,,,fd69b413-82e4-4a5a-beee-ce0c2aca9167,514b9b89-028b-40bf-b6db-3b249f353aa6,67.64878791068233,4.7735087681029125,3.2332870788628116,3.110700735956166,-1.219099806,60.82368743181291,2.180265203495435,0.7695704599911919,-9.036460059,-4.218274457,0.570757143,-15.96626268,-5.472426785,-45.69627557,28.97555240405062,1343.243250294214,-1376.293527,69.84618014148984,0.2500518847563908,-0.715647338,0.6521678794340622,,,,,,,,,,,,,,,,,0.9963235047499184,0,,,medium,high,116.0779971636456,15.491945668138122,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
7,6/13/2025,5:00:31 PM,2,6,Kellen Hershberger,,Right,Kcl groundsloths 2025,Cole Yates,,Right,Kcl merchants 2025,Windup,1,Top,1,3,2,Fastball,,Foul,,,,,,,80.73937728309704,-0.799406216,-4.364334184,1920.101995968053,217.50836333687948,1:15,5.096784982884186,2.969117029493572,6.0000001920000035,-27.28734028,16.488541183001068,9.491546196589715,2.0776677869167433,-0.303968474,72.45284679019026,-5.956778563,-2.568386147,0.4761995408268002,80.58568825566984,31.353019964705027,54.43402558419109,,89.06997821697954,64.54873337543665,45.33894679159373,251.89540989528828,,54.274743578441374,3.3977236363220014,-6.60515052,9.187592347023891,-2.618431752,50.000000000000014,5.0156677525304945,8.654133480757384,-117.0224556,-2.433879151,-8.975954551,26.20469224725383,-19.68873058,KCL GroundSloths 2025,KCL Merchants 2025,,,,fd69b413-82e4-4a5a-beee-ce0c2aca9167,be90ced2-4bf7-4aec-9319-723eae7b396c,80.98096998,5.096817944770006,2.975391063346922,-0.801306863,-4.438139566,72.64509004,2.0785978456217173,-0.308664883,-5.941020692,-2.639981339,0.4759881186548001,10.187908240636235,15.011880265425582,-38.17188493,73.62386885744927,1509.5078617737163,-1186.66663,78.61602482282049,-0.623632994,-0.618022705,-0.478675072,55.98005929348014,40.02752373113179,41.92950580548422,0.12305839218084395,0.5887714686919349,1.777102838837401,204.49529808148594,147.0815100169954,,,,,,,,,0.9946268873208964,0,,40.54857059225939,medium,high,23.73851802829564,-49.71177896,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
8,6/13/2025,5:00:49 PM,2,7,Kellen Hershberger,,Right,Kcl groundsloths 2025,Cole Yates,,Right,Kcl merchants 2025,Windup,1,Top,1,3,2,Fastball,,BallCalled,Walk,,Walk,0,0,,81.73599794475858,1.138956686682004,-3.610312062,2025.3395389247346,208.33298380280166,1:00,5.299800348843214,3.3336626445573025,6.0000001920000035,-25.1038044,17.625119402262584,7.608110376038504,4.268600353304289,0.6078227559985719,72.98391157165318,-3.624283307,-2.167500294,0.4704706112753239,,,,,,,,,,,,-5.356969969,9.146069496222314,-3.043596089,49.99999999999999,5.3782532922385675,7.255197704763806,-118.5462145,1.6206995323285238,-7.454148044,27.345730207051687,-19.44742307,KCL GroundSloths 2025,KCL Merchants 2025,,,,fd69b413-82e4-4a5a-beee-ce0c2aca9167,0b564e3a-cb59-449d-af8f-fa8e4d00d513,81.98967795,5.300666195360869,3.3390112748755443,1.1269562009580627,-3.673694865,73.19064083088631,4.268915895,0.6037132671887591,-3.617945095,-2.229811401,0.470249964,8.204367801312221,16.178970771874898,-39.93228658,83.18766795164805,1553.0375780233564,-1300.028665,76.68035646249585,-0.674943784,-0.641881837,-0.363921138,,,,,,,,,,,,,,,,,0.9972131294792039,0,,,medium,high,15.131098843516803,-45.59348744,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
9,6/13/2025,5:01:24 PM,3,1,Kellen Hershberger,,Right,Kcl groundsloths 2025,Lawson Alwan,,Left,Kcl merchants 2025,Windup,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,78.88000625373532,-0.593369706,-2.439717817,1829.4394139164176,209.3719021707952,1:00,5.867789877,2.5169275581446344,6.0000001920000035,-27.33094162,18.37973027242115,8.162974290267941,3.0382171771691233,0.928345736,70.78708102750967,-5.766651944,-0.890128884,0.4866092104391405,,,,,,,,,,,,-5.24325058,10.14388845783131,-2.322807101,49.999999999999964,5.803588749253296,4.647781258890928,-114.5547212,-1.967718525,-6.822274392,25.269614788010543,-18.97529256,KCL GroundSloths 2025,KCL Merchants 2025,,,,fd69b413-82e4-4a5a-beee-ce0c2aca9167,f8fb82f0-ce17-464c-8c26-77163d3e6fc7,79.12103207312693,5.868151184,2.522282774279791,-0.599296075,-2.503037626,70.98112238061721,3.038963919933069,0.9242674430436962,-5.75384823,-0.952040343,0.48638357799887244,8.757276089,16.824651765111525,-31.88450717,74.04586216,1553.4036140046744,-966.3259187,84.91145441538221,-0.739964644,-0.528208757,-0.416470689,,,,,,,,,,,,,,,,,0.9846431863737658,0,,,medium,high,23.358724052445524,55.675295620277026,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
10,6/13/2025,5:01:43 PM,3,2,Kellen Hershberger,,Right,Kcl groundsloths 2025,Lawson Alwan,,Left,Kcl merchants 2025,Windup,1,Top,1,0,1,Fastball,,BallCalled,,,,,,,79.93916823299524,1.4459674672557432,-2.936705726,1833.108196823617,204.42632590807105,12:45,5.691145515927024,3.709624434310212,6.0000001920000035,-26.60355127,18.039705830299624,6.646026362736718,4.8201087413146375,1.5317116638170314,71.36094139605628,-3.605105772,-1.67482996,0.4808941109114651,,,,,,,,,,,,-4.609580407,9.264191135656604,-3.474048277,49.99999999999995,5.7937285392390265,5.7589795957131615,-116.0000026,2.1640547753167274,-6.138331823,26.28828597,-19.83742147,KCL GroundSloths 2025,KCL Merchants 2025,,,,fd69b413-82e4-4a5a-beee-ce0c2aca9167,1a9eecda-ed5d-492b-afea-49d322540f35,80.18925044450845,5.691698308510095,3.714312902215317,1.4376085825698668,-2.993434021,71.56760678279025,4.820709936,1.5280305146983526,-3.594298617,-1.731412025,0.4806677386449245,7.179963397060038,16.463050295342477,-37.49643152,85.59540615,1454.372003527499,-1115.834995,79.33912499260073,-0.722377778,-0.608712021,-0.328085388,,,,,,,,,,,,,,,,,0.9979208129071723,0,,,medium,high,12.964134467429654,-47.60326768,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
