PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/14/2025,7:18:33 PM,1,1,Nolan Vanduzer,,Right,Kcl merchants 2025,Nolan Galla,,Right,Kcl bobcats 2025,Windup,1,Top,0,0,0,Fastball,,StrikeSwinging,,,,,,,81.78125203853020,-1.335119784,-2.684523822,1924.117535852070,194.27656847674600,12:30,5.945341401651970,1.9915520940056600,6.0000001920000000,-26.14556145,16.432041915713400,2.4025527752673100,2.524104481484020,-0.305041949,73.44355173,-6.275750281,-2.228764902,0.4696368088825630,,,,,,,,,,,,-2.214116738,9.344942643964770,-1.774115658,50.00000000000000,5.821319871486740,5.495303549762880,-118.7157717,-3.543109936,-3.092544569,27.235901820605800,-19.12159796,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,2dd8d310-7b42-4ed3-87a1-beac9599973f,82.02658760441510,5.945085490319740,1.9947830909985900,-1.333562016,-2.723371179,73.64535343511330,2.525252256161010,-0.307516057,-6.25703367,-2.266238848,0.46942213985112100,2.7683117415912500,14.905307501437600,-49.23676621,70.58414752547560,1256.3231183560300,-1457.353943,65.29347064027930,-0.632769903,-0.757414199,-0.161015465,,,,,,,,,,,,,,,,,0.9760206643517890,0,,,medium,high,26.474267227071900,-45.15428611,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
2,6/14/2025,7:18:45 PM,1,2,Nolan Vanduzer,,Right,Kcl merchants 2025,Nolan Galla,,Right,Kcl bobcats 2025,Windup,1,Top,0,0,1,Fastball,,StrikeSwinging,,,,,,,82.46677297273990,-1.585540543,-4.334893232,2057.562090274430,197.35444799042000,12:30,5.746540500404490,2.8478894167699500,6.0000001920000000,-24.46208374,17.543484770540600,3.4160953299751600,2.2298371037560900,-0.90396315,74.05316931810330,-6.200688397,-3.689068697,0.4664713292974490,,,,,,,,,,,,-3.317620704,10.027997972012100,-2.496095392,50.00000000000000,5.602823211260730,8.956060528,-119.4915621,-4.045558375,-4.697707737,27.454889931639100,-17.97453497,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,c39e8630-6fdc-428b-bc01-faf5a92a921f,82.71549024631350,5.746995534675470,2.851438544942750,-1.592434728,-4.377016689,74.25567231712380,2.230388880078190,-0.906592552,-6.190710285,-3.729504865,0.4662608576250410,3.8144701134319400,16.148038415856200,-47.2321447,62.16488193629020,1397.1454538755200,-1510.478843,67.90295468989590,-0.64811861,-0.734110942,-0.202542322,,,,,,,,,,,,,,,,,0.9970186922115090,0,,,medium,high,34.05160625733880,-39.18752069,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
3,6/14/2025,7:18:56 PM,1,3,Nolan Vanduzer,,Right,Kcl merchants 2025,Nolan Galla,,Right,Kcl bobcats 2025,Windup,1,Top,0,0,2,Fastball,,InPlay,,GroundBall,Out,1,0,,83.32126927940840,-1.764219087,-4.162617926,2001.7602584761200,196.82738966333900,12:30,5.831395134271190,2.2558364544923600,6.0000001920000000,-23.46183804,17.672293168761700,3.378703240666380,2.2317312784114600,-1.338136737,74.82190529076130,-6.190671308,-3.523633406,0.4616073198675080,66.81713557801590,-13.81990466,-16.2604078,2535.334466,28.863977032396900,-106.1455171,1.7924462970670100,10.738257119118600,,-6.389392764,0.084799619,-3.237600426,10.157535757898500,-1.918130995,50.00000000000010,5.6736797465682400,8.686170374,-120.7464135,-4.435113793,-4.681627299,28.014672190368600,-17.48607379,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,dc945985-0697-4279-b606-8f1b22f33393,83.57199358780060,5.832029143204050,2.259221838722490,-1.773126848,-4.202565336,75.02650156638140,2.2321345408745000,-1.340707212,-6.183163955,-3.562079089,0.4613958699573630,3.755138022,16.329336757146800,-45.45265119,65.15597692248160,1404.231708157110,-1426.596454,70.14984447868470,-0.671461137,-0.712670984,-0.203076364,-18.16742438,62.28749080105810,-15.96066376,1.1536041036523600,3.011839665583100,2.269842505205530,-1.195006437,10.67155684851130,0.030576325091914100,-0.180763216,-0.002840228,-0.902796361,-0.173518856,0.3935097680200170,,,0.9975619316521980,0,0.9954623234208100,33.141486331872800,medium,high,31.359620769766600,-42.83352103,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
4,6/14/2025,7:19:26 PM,2,1,Nolan Vanduzer,,Right,Kcl merchants 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,82.72259999505290,-1.773238737,-4.727034417,2046.3605225537000,199.23589327317100,12:45,5.676362413263360,3.953344333623200,6.0000001920000000,-23.00193828,18.77413405180490,4.494276854,2.105344342005860,-0.075403477,74.28328124404330,-6.111162914,-3.878275148,0.46519530786658300,,,,,,,,,,,,-4.02530334,10.75295428585000,-3.570033556,50.000000000000000,5.5180591438682800,9.771250917688930,-119.7908204,-4.408346881,-5.731963196,27.460070097435000,-16.86202636,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,69d16ff2-163e-4eaa-9964-b4f387eabe45,82.97165291768860,5.677453829658490,3.957051405796680,-1.787578951,-4.770835656,74.48707523121140,2.1053972089375200,-0.078198497,-6.108754742,-3.92081953,0.4649851682233550,4.908126253372940,17.483251607932700,-41.30164288,74.59932385552460,1537.3185288475400,-1350.645449,75.12452043050010,-0.709303308,-0.660023214,-0.247503887,,,,,,,,,,,,,,,,,0.9890690417779800,0,,,medium,high,22.860608530027800,-6.091969535,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
5,6/14/2025,7:19:35 PM,2,2,Nolan Vanduzer,,Right,Kcl merchants 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,1,0,1,Fastball,,StrikeSwinging,,,,,,,81.64422760581060,-1.286757972,-3.816743203,2000.0330247987900,194.24425762765900,12:30,5.6293236328468300,2.6294561606355900,6.0000001920000000,-29.74781199,13.10118296346040,1.1090463250429200,1.951574566336930,-0.830636636,73.35984854,-6.898572135,-3.60676144,0.47113117460939600,,,,,,,,,,,,-1.910984024,7.531796911566410,-2.318745741,50.00000000000010,5.507057902168870,7.864796147,-118.3791194,-3.541581941,-2.651668631,27.264644484261500,-21.72297864,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,560f22a7-9d92-4bb7-ab8e-cf7d78c38d4e,81.88583862800290,5.627471375,2.632898858,-1.265859774,-3.858277504,73.55603114,1.9540379990251400,-0.833260468,-6.860397911,-3.646019406,0.47091921694095200,1.501552783317850,11.358524643893500,-63.04445259,75.10121652555180,906.6131146275610,-1782.74641,45.32990723,-0.439362653,-0.891358486,-0.111537026,,,,,,,,,,,,,,,,,0.9932979086981410,0,,,medium,high,22.408905127003400,-61.12724865,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
6,6/14/2025,7:19:47 PM,2,3,Nolan Vanduzer,,Right,Kcl merchants 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,1,0,2,Fastball,,BallCalled,,,,,,,84.02416027505090,-2.763176414,-3.11850013,2045.4715113251300,198.86371006128600,12:45,5.661377016510800,2.730197637266160,6.0000001920000000,-22.87006288,17.517448419699400,3.7433346305385500,1.1816553530715900,0.14096251226945400,75.59336743121420,-7.07040393,-2.409245069,0.45739885033824500,,,,,,,,,,,,-3.074135519,10.405192438241000,-2.478099305,50.00000000000000,5.422544569779860,6.5236670479973300,-121.8275974,-6.58345492,-4.528140782,28.377762119692700,-16.84740705,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,b31a13fa-2e45-4c4c-ae7f-7b527d3a996b,84.27051967,5.662026911275130,2.7336453421285800,-2.772299047,-3.159774907,75.79612417709900,1.1820001640915000,0.1383102613271180,-7.063799393,-2.449352509,0.4571955873385220,4.131845920114480,16.23018098,-44.51789369,62.309628043774900,1458.485646179630,-1434.145503,71.30315128343030,-0.674734827,-0.701131986,-0.23053601,,,,,,,,,,,,,,,,,0.9955433010540560,0,,,medium,high,33.921334760602600,-53.40024185,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
7,6/14/2025,7:19:58 PM,2,4,Nolan Vanduzer,,Right,Kcl merchants 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,1,1,2,Slider,,BallCalled,,,,,,,75.27657026073800,-1.339160596,-2.712859988,2046.6890237745700,54.68577697947980,7:45,5.3090378984226800,2.794948815116020,6.0000001920000000,-49.69184416,0.8418007245133690,-6.874137258,-0.078180077,-0.301096736,68.09361568252140,-10.66255391,-4.01874379,0.5116368712330510,,,,,,,,,,,,2.7514804671886300,0.936731681,-2.569850807,49.99999999999990,5.171203647493030,5.361646582904190,-109.2255032,-3.90174651,3.233198071017640,24.13204540261410,-31.07331887,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,2c849563-bce5-4ac6-bad8-dc5919500e2f,75.46325421743320,5.299024768473710,2.7977445574725500,-1.222357057,-2.746291664,68.22078985169310,-0.069567807,-0.302909367,-10.53458846,-4.0458381,0.5114410796762440,-6.55573597,-2.271506406,-75.49141354,37.820570957538200,512.7469279101460,-1981.420336,25.052507828694100,0.14481857770604700,-0.96811011,0.20442699039479900,,,,,,,,,,,,,,,,,0.9952155132935610,0,,,medium,high,55.96148613821570,0.558327434,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
8,6/14/2025,7:20:09 PM,2,5,Nolan Vanduzer,,Right,Kcl merchants 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,1,2,2,Fastball,,BallCalled,,,,,,,82.70794674211060,-3.095840901,-4.0490057,2033.6507475324800,197.5564502715110,12:30,5.637262379268040,2.3723812333003700,6.0000001920000000,-24.1876179,17.593601306493200,3.130383263,0.7343626083510740,-1.136150687,74.49870954,-7.639881683,-3.457142529,0.46522396339413700,,,,,,,,,,,,-3.052903457,10.556188232949700,-2.043835334,50,5.370197320035330,8.384151836936130,-119.7642316,-7.21630515,-4.347193992,27.35853142569320,-17.14252346,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,6acb5023-5820-4a75-9390-906d35829704,82.95211938081740,5.637610796205340,2.375738813995050,-3.1013631,-4.088919742,74.69729242961810,0.7349729187292370,-1.138678961,-7.629222728,-3.49532041,0.46501675717158200,3.5071559365070900,16.241042613400100,-46.52759559,59.691753649307800,1399.1621382346400,-1475.832197,68.80051257239260,-0.655957998,-0.725705827,-0.20753351,,,,,,,,,,,,,,,,,0.9967075420868280,0,,,medium,high,36.277421715623000,-47.15753297,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
9,6/14/2025,7:20:20 PM,2,6,Nolan Vanduzer,,Right,Kcl merchants 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,1,3,2,Fastball,,StrikeCalled,Strikeout,,StrikeoutLooking,1,0,,82.54936001954320,-1.021011687,-5.014154814,2027.3967309821000,198.08791451313600,12:30,5.701009102539650,4.840363987120560,6.0000001920000000,-23.85868388,18.132989526859200,4.000106521494890,2.760117353959630,0.5016491958666510,74.01954639785160,-5.525757768,-4.259093537,0.4663941704327150,,,,,,,,,,,,-3.868016921,10.156614146662300,-4.433208201,50.000000000000000,5.6037022131258500,10.367298497395500,-119.5204933,-2.848899351,-5.478604685,27.51066869264270,-17.78836437,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,2a91dc35-a671-447a-888e-ed0a83fef78a,82.79904452375650,5.701792505529080,4.843945756162860,-1.031906197,-5.057060999,74.22425513676410,2.760395670052730,0.49906809594004100,-5.519724762,-4.300772945,0.46618918813856700,4.408388298703060,16.769657457766500,-44.76085139,56.90366314748650,1439.5571499477100,-1427.589828,71.00520228472340,-0.674962134,-0.704149221,-0.220454061,,,,,,,,,,,,,,,,,0.9978401866544340,0,,,medium,high,38.78670316726220,-55.44276552,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
10,6/14/2025,7:20:46 PM,3,1,Nolan Vanduzer,,Right,Kcl merchants 2025,Kyler Lapp,,Right,Kcl bobcats 2025,Windup,1,Top,2,0,0,Fastball,,StrikeCalled,,,,,,,82.72315188,-2.090364762,-4.098318532,2035.1411350781200,200.29763248094600,12:45,5.607868961680430,3.2054226320687400,6.0000001920000000,-23.45293778,18.265278337267500,4.561210130984560,1.7048403052892700,-0.229937208,74.34267021921840,-6.512213229,-3.235611833,0.4648730688138830,,,,,,,,,,,,-3.847896491,10.583865227773600,-2.873668016,50.00000000000000,5.423499363331640,8.452587329659990,-119.8711944,-5.087600324,-5.487015953,27.484540090659000,-17.08169004,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,928d94b3-3d3a-4351-aaa7-bec83e1b6123,82.96774843743430,5.608699596,3.2091239924455100,-2.101704008,-4.143024383,74.54610817872610,1.705077275844870,-0.232834791,-6.507051481,-3.279756625,0.46466702797228000,4.983202655357960,16.952316465038700,-42.26346057,56.71827486989830,1506.1268387753400,-1368.715232,74.00601426679580,-0.694104827,-0.672540694,-0.256724567,,,,,,,,,,,,,,,,,0.9965386293750040,0,,,medium,high,38.953552617091500,-57.76328397,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
