PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/15/2025,2:59:24 PM,1,1,Caden Addis,,Left,Kcl bluecaps 2025,Jackson Newton,,Left,Kcl merchants 2025,,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,78.59051521,0.183195204,3.241335368,1729.776964,132.9648092,10:30,5.368446451,-1.152872381,6.000000192,-29.95795134,16.14967107,-14.17377939,3.042484238,0.68167368,70.44305969,-5.491495704,0.55171186,0.488717495,,,,,,,,,,,,8.767222985,8.674020807,0.89677457,50,5.366048759,-6.056640641,-114.0606188,-0.486269066,11.30928924,25.05243643,-20.98498661,KCL BlueCaps 2025,KCL Merchants 2025,,,,83661acf-cb04-4f7a-913c-4c3f526cb8c1,76d0f556-33ec-4d1a-a7d6-cbe381e102e7,78.82138661,5.367650591,-1.16030818,0.191017708,3.329067245,70.62415317,3.044080538,0.687408091,-5.466144653,0.638252098,0.488502216,-14.99741024,14.46525243,16.16389589,65.22632706,1661.397664,481.5455825,96.04692966,-0.654606924,0.278385938,0.702844965,,,,,,,,,,,,,,,,,0.987073777,0,,,medium,high,31.29630565,10.55909474,54.66700175,Braxton Waller,,Kcl bluecaps 2025,2022-11
2,6/15/2025,2:59:36 PM,1,2,Caden Addis,,Left,Kcl bluecaps 2025,Jackson Newton,,Left,Kcl merchants 2025,,1,Top,0,0,1,Slider,,InPlay,,GroundBall,Out,1,0,,69.5090067,1.293772043,0.658687119,1755.162101,236.1825668,1:45,5.319760992,-0.990503082,6.000000192,-52.7123409,6.27146665,5.136681243,2.129773129,0.049760322,62.61999872,-8.669467455,1.636047145,0.552761675,,,,,,,,,,,,-2.550829763,2.943063354,0.933882818,50,5.394744463,-1.289901001,-100.9852583,0.958108552,-2.569855818,20.18506371,-29.2090346,KCL BlueCaps 2025,KCL Merchants 2025,,,,83661acf-cb04-4f7a-913c-4c3f526cb8c1,87da99fb-b444-4703-9400-ebfa104a61b3,69.70801126,5.311118607,-0.994213227,1.395125462,0.703502068,62.7602406,2.137917067,0.052350339,-8.547837129,1.674655618,0.552523753,4.712403791,3.073204393,77.78312717,4.748119883,371.4144351,1715.414037,21.16126111,-0.117772667,0.977353622,-0.175810967,,,,,,,,,,,,,,,,,0.990955561,0,,,medium,high,85.72669211,-1.453771005,54.66700175,Braxton Waller,,Kcl bluecaps 2025,2022-11
3,6/15/2025,3:00:11 PM,2,1,Caden Addis,,Left,Kcl bluecaps 2025,Lawson Alwan,,Left,Kcl merchants 2025,,1,Top,1,0,0,Fastball,,Foul,,,,,,,78.16283307,-0.565389486,1.444298219,1670.878977,135.8397658,10:30,5.661453154,-0.033959754,6.000000192,-30.26123004,16.27194736,-12.86647966,2.614030388,0.236439572,70.19916095,-6.291381734,-1.001001919,0.490967649,79.40396381,49.93183901,-60.32631993,,-94.81654059,55.76579265,89.78178286,251.6496837,,-59.98188839,4.78735702,7.454828598,8.997278484,-0.076266147,50,5.597876364,-2.499633515,-113.574179,-1.977059804,9.526468158,24.99909394,-20.67649658,KCL BlueCaps 2025,KCL Merchants 2025,,,,83661acf-cb04-4f7a-913c-4c3f526cb8c1,a78f3739-4327-40d7-93a0-14a00b72c425,78.39101943,5.660632972,-0.040849574,-0.557196664,1.526842384,70.37993851,2.615671199,0.241805066,-6.265389181,-0.919194316,0.49075059,-13.64062746,14.52991008,19.54838637,65.48705672,1574.568266,559.0807926,94.23592536,-0.676043155,0.334602805,0.656510941,-44.40930456,25.30358979,60.76620345,-0.191795824,1.936040019,2.897299304,-217.8952339,125.8937264,,,,,,,,,0.995750041,0,,39.20242108,medium,high,31.06164895,-47.77131377,54.66700175,Braxton Waller,,Kcl bluecaps 2025,2022-11
4,6/15/2025,3:00:34 PM,2,2,Caden Addis,,Left,Kcl bluecaps 2025,Lawson Alwan,,Left,Kcl merchants 2025,,1,Top,1,0,1,Fastball,,Foul,,,,,,,77.82273234,-0.062197424,1.687301824,1591.310612,133.3756084,10:30,5.514594955,-0.057819632,6.000000192,-31.76705726,15.19284429,-12.86089816,2.809509059,0.439059925,69.83612068,-6.078106218,-0.757184955,0.493213677,,,,,,,,,,,,7.536858357,8.242211799,-0.072219935,50,5.491152823,-2.968694833,-113.0700121,-1.017111836,9.543068771,24.83472808,-21.73787177,KCL BlueCaps 2025,KCL Merchants 2025,,,,83661acf-cb04-4f7a-913c-4c3f526cb8c1,e744f22e-ad15-42b3-828f-e7fa0cd39584,78.04977889,5.513293618,-0.064832702,-0.048140253,1.771767496,70.01657661,2.811583497,0.44464021,-6.045720572,-0.672799638,0.492995435,-13.65265926,13.36858853,22.79778188,79.5321196,1466.994485,616.6008781,92.18781516,-0.633125758,0.387479901,0.670082906,,,,,,,,,,,,,,,,,0.997260889,0,,,medium,high,18.42109236,-71.62994481,54.66700175,Braxton Waller,,Kcl bluecaps 2025,2022-11
5,6/15/2025,3:00:55 PM,2,3,Caden Addis,,Left,Kcl bluecaps 2025,Lawson Alwan,,Left,Kcl merchants 2025,,1,Top,1,0,2,Fastball,,BallCalled,,,,,,,78.98469593,-1.768861281,2.729975253,1576.267543,140.0265526,10:45,5.586953694,-0.277351605,6.000000192,-28.60615296,17.00347912,-11.53494399,1.556748052,1.300546525,71.09084182,-7.166151507,0.541406622,0.486071107,,,,,,,,,,,,7.156715713,9.791352247,0.061497617,50,5.426087963,-5.136577308,-114.6395057,-4.362227227,9.334809458,25.12005469,-19.40277136,KCL BlueCaps 2025,KCL Merchants 2025,,,,83661acf-cb04-4f7a-913c-4c3f526cb8c1,0b605258-8323-42e3-80ad-7870fe0510ed,79.21200007,5.58639718,-0.283254203,-1.763519326,2.801257097,71.27477632,1.558147411,1.305259742,-7.143731618,0.61316782,0.485860702,-12.20439614,15.40496614,18.13893729,70.12266457,1497.933951,490.7272617,95.03043806,-0.728258396,0.311322316,0.610506449,,,,,,,,,,,,,,,,,0.996236616,0,,,medium,high,26.88960189,-63.83354342,54.66700175,Braxton Waller,,Kcl bluecaps 2025,2022-11
6,6/15/2025,3:01:14 PM,2,4,Caden Addis,,Left,Kcl bluecaps 2025,Lawson Alwan,,Left,Kcl merchants 2025,,1,Top,1,1,2,Slider,,BallCalled,,,,,,,67.79402793,3.18819352,-1.153944789,1604.449879,269.1204446,3:00,5.313955721,-0.664151707,6.000000192,-58.76297781,3.41605975,7.610603563,3.383791219,-1.102548727,60.85525675,-7.94169022,0.294529882,0.567536138,,,,,,,,,,,,-4.52386647,0.734030531,0.753765416,50,5.540050057,1.795107367,-98.35338064,4.043361478,-4.323487938,19.13539215,-31.47253194,KCL BlueCaps 2025,KCL Merchants 2025,,,,83661acf-cb04-4f7a-913c-4c3f526cb8c1,148b7034-78ba-496a-ad3d-4571989e7476,67.98396486,5.303061563,-0.667058002,3.315391073,-1.119031543,60.97922547,3.393202136,-1.100711355,-7.796296309,0.322818765,0.567307091,7.277996551,-0.135287874,71.12586005,28.60035192,519.024078,1518.180957,32.34903657,-0.00496575,0.946231464,-0.32345225,,,,,,,,,,,,,,,,,0.997047112,0,,,medium,high,64.25968327,-21.85958517,54.66700175,Braxton Waller,,Kcl bluecaps 2025,2022-11
7,6/15/2025,3:01:29 PM,2,5,Caden Addis,,Left,Kcl bluecaps 2025,Lawson Alwan,,Left,Kcl merchants 2025,,1,Top,1,2,2,Fastball,,BallCalled,,,,,,,78.55985534,-0.64563523,3.922068127,1508.910624,140.3889369,10:45,5.60737783,-1.321274896,6.000000192,-30.03377083,16.15704696,-10.40743425,2.5030801,1.462288359,70.54582214,-6.322377824,1.950645373,0.489158211,,,,,,,,,,,,6.953075976,8.956959704,1.007333166,50,5.537265232,-7.515393392,-113.9297144,-2.14004365,8.954391526,24.87058388,-20.63899311,KCL BlueCaps 2025,KCL Merchants 2025,,,,83661acf-cb04-4f7a-913c-4c3f526cb8c1,44796ce5-f603-4166-aede-d7441156a9ab,78.7923499,5.606511554,-1.3271657,-0.636668895,3.992968903,70.7334543,2.504791933,1.467010758,-6.295238912,2.021667032,0.48894139,-11.07459725,14.48808687,27.59976975,60.30088125,1337.204802,699.0669416,88.6205439,-0.682723941,0.463292478,0.565020443,,,,,,,,,,,,,,,,,0.99679392,0,,,medium,high,35.72920688,-57.24890663,54.66700175,Braxton Waller,,Kcl bluecaps 2025,2022-11
8,6/15/2025,3:01:45 PM,2,6,Caden Addis,,Left,Kcl bluecaps 2025,Lawson Alwan,,Left,Kcl merchants 2025,,1,Top,1,3,2,Fastball,,BallCalled,Walk,,Walk,0,0,,77.76997328,-2.022955841,3.27047086,1530.281351,138.4390847,10:30,5.704224984,-1.163079062,6.000000192,-30.46538382,16.61766198,-11.65812849,1.281470537,0.908270557,70.09295979,-7.762083601,1.060492867,0.493859938,,,,,,,,,,,,7.399471795,9.664215519,0.90315239,50,5.521449056,-6.118016893,-112.8082272,-4.848592611,9.350651266,24.22198594,-19.96146042,KCL BlueCaps 2025,KCL Merchants 2025,,,,83661acf-cb04-4f7a-913c-4c3f526cb8c1,b4d194cb-0e84-4cc5-9207-a099675759ce,77.99453047,5.70319619,-1.169229607,-2.012104197,3.344085585,70.27116686,1.283247717,0.913066123,-7.733948111,1.133512349,0.493646702,-12.35052157,14.94313006,19.80754326,68.47908325,1439.744035,518.5538805,94.08361633,-0.703981429,0.338861792,0.62416571,,,,,,,,,,,,,,,,,0.996685283,0,,,medium,high,28.36882508,-31.68896144,54.66700175,Braxton Waller,,Kcl bluecaps 2025,2022-11
9,6/15/2025,3:02:21 PM,3,1,Caden Addis,,Left,Kcl bluecaps 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,,1,Top,1,0,0,Fastball,,Foul,,,,,,,77.88351738,-0.902291769,2.045489562,1664.293764,135.3273245,10:30,5.649814236,-0.767037236,6.000000192,-30.77320077,16.10370962,-12.76627041,2.246192389,0.070979966,70.01489025,-6.719370199,-0.379493843,0.492777662,85.61023613,-3.698621795,-58.12918343,,,,,27.29763801,,-53.51158247,0.214857251,7.600999349,9.018288881,0.607741728,50,5.558452504,-3.680608721,-113.1286673,-2.650277451,9.643582985,24.67908678,-20.73231499,KCL BlueCaps 2025,KCL Merchants 2025,,,,83661acf-cb04-4f7a-913c-4c3f526cb8c1,898c53d9-d293-4bf8-b23a-0ce7704779df,78.10864892,5.648871044,-0.773878525,-0.892453767,2.128037859,70.19448486,2.247944375,0.076376198,-6.691588169,-0.297079739,0.492563337,-13.54128095,14.36676606,21.38512956,64.73248327,1549.707942,606.8599742,93.11504827,-0.662173553,0.364635131,0.6546506,-72.55227051,45.10855553,-5.522571151,0.033755207,2.420956433,2.38327018,-21.94667555,16.23282088,,,,,,,,,0.995956526,0,,45.4100633,medium,high,31.74076506,-32.42333831,54.66700175,Braxton Waller,,Kcl bluecaps 2025,2022-11
10,6/15/2025,3:03:02 PM,4,1,Caden Addis,,Left,Kcl bluecaps 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,,1,Top,1,0,1,Fastball,,InPlay,,FlyBall,HomeRun,0,2,,76.40879374,-0.311958489,3.267458685,1765.057271,130.4982291,10:15,5.459783543,-1.676317397,6.000000192,-32.87751673,15.88418367,-14.86414919,2.429583132,0.125055188,68.64458838,-6.529268588,0.447403875,0.502586644,103.0524763,26.25660659,-21.96929078,1940.332254,-42.50714077,101.4551279,51.65055264,396.4667636,,-25.82588787,5.069455562,9.144260634,8.697135434,1.418487794,50,5.415290269,-5.919973036,-110.8937135,-1.513691479,11.15486459,23.59737643,-21.56462232,KCL BlueCaps 2025,KCL Merchants 2025,,,,83661acf-cb04-4f7a-913c-4c3f526cb8c1,d09d4c26-936d-4414-8bee-12b23dd49df4,76.62889045,5.45844315,-1.684059958,-0.297496365,3.360424799,68.81811946,2.431703279,0.131232157,-6.496209985,0.540317064,0.502370341,-15.73741675,14.07217213,17.56004524,9.465395775,1682.80788,532.5268154,95.34012905,-0.6191622,0.30170512,0.724991166,-34.57509641,85.70859817,45.5896017,-0.126411078,3.040034561,2.592137547,-172.7159264,356.868468,-50.79873255,51.94787872,1.495998915,0.982783921,0.07124235,0.170470795,,,0.948459462,0,0.997800132,62.43985559,medium,high,81.4811438,-47.94164629,54.66700175,Braxton Waller,,Kcl bluecaps 2025,2022-11
