PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,06/17/2025,5:02:36 PM,1,1,Brody Stonecipher,,Right,Kcl bluecaps 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,Stretch,1,Top,0,0,0,Fastball,,Foul,,,,,,,86.29392740127340,-0.2530890459542850,-5.811558686991630,2058.879876603280,226.38686847396700,1:30,4.676120058052280,4.265461394261300,6.0000001920000000,-22.12125972861430,16.336607045909500,14.04842602222210,2.596245555416320,0.016338208616701800,77.18746634463450,-4.4382890508250900,-3.1613629937512700,0.44633826174691000,,,,,,,,,,,,-9.54423296754318,8.918677441299780,-3.7985979191304800,50.00000000000000,4.64257345796355,12.265675295704700,-124.8104196563440,-1.2431448260695200,-14.766600504061700,29.609072165982800,-18.375293075327500,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,402a6c88-9a37-46a7-8c92-029473ddb58f,86.53814475988090,4.6770374623377,4.272693586715100,-0.26535069084151500,-5.898087666337940,77.38635778468310,2.5962995802222100,0.010637766198863800,-4.435969610047190,-3.2483508170910700,0.44615509328913400,14.868415801811900,15.188184036831000,-22.635538125556700,70.30051580692080,1900.2878108004600,-792.3967329596670,92.29716761987740,-0.6366524767411210,-0.38486787984297300,-0.6682442210184630,,,,,,,,,,,,,,,,,0.9953422385278150,0,,,medium,high,26.72953577377120,-49.36764866459870,54.667001749344000,Zach Bava,,Kcl bluecaps 2025,2022-11
2,06/17/2025,5:02:54 PM,1,2,Brody Stonecipher,,Right,Kcl bluecaps 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,Stretch,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,86.85086070860750,-0.5687196718384500,-3.8420080603462100,2010.0916926297400,232.07757475674000,1:45,4.60267375776015,4.143206026898790,6.0000001920000000,-22.82270857765650,14.965772400679400,16.258066177477400,2.1710088491912200,1.92194541453547,77.76183705401380,-4.892898251454560,-0.7594663358161750,0.4424367970734180,,,,,,,,,,,,-10.091952362559500,8.287056491926460,-3.8392036358769500,49.999999999999900,4.543024366100320,7.948855442296620,-125.96630452785800,-1.9699508144501100,-15.886131590907000,30.43063192804130,-19.129074223211500,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,b54309fe-1ef4-48e7-8951-16c339f4b351,87.0875972955622,4.602749407499410,4.1509424244095100,-0.5707488796376420,-3.934645035799110,77.95129258111370,2.1716663437018800,1.9158973731338200,-4.8817412583039900,-0.8522973583538120,0.4422592436155040,17.130580601394800,13.700637073135500,-8.666094982653130,80.07868425794240,1987.142923524810,-302.8722738455500,98.85832227509440,-0.6075773133252650,-0.15067584974161600,-0.7798375450291520,,,,,,,,,,,,,,,,,0.9847092877312660,0,,,medium,high,17.929184167851800,80.8474776480226,54.667001749344000,Zach Bava,,Kcl bluecaps 2025,2022-11
3,06/17/2025,5:03:09 PM,1,3,Brody Stonecipher,,Right,Kcl bluecaps 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,Stretch,1,Top,0,1,1,Slider,,InPlay,,Popup,Out,1,0,,75.95730040186070,2.6247665058663500,-3.0585112633948400,2434.813256928720,68.53855649820150,8:15,4.0616713853592800,3.0958051148265300,6.0000001920000000,-48.98914806781130,0.7508976672390300,-9.847322773585050,2.42387369922442,-0.5700692562855380,67.99069770511420,-6.653959863702490,-4.926512337109710,0.5076035053869590,76.76408057350430,66.90256945047660,-34.34916720851770,338.199527102402,-51.643332806741600,97.12345842406400,117.90443626827800,177.30142883187400,,-27.77130231789220,5.401412487633090,4.238093766469780,-0.5360692651576590,-2.8407688086347100,50.00000000000010,4.247719149032600,6.151285442816470,-110.09408167101900,3.7172112841918600,5.05951812987353,24.52026883744850,-32.81401942040800,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,6caf4bdb-1432-410c-97b1-6d41cc04f369,76.15807829698730,4.051505308830800,3.096977543847670,2.744448154713630,-3.072933116787620,68.12927656663160,2.432473995908480,-0.5706353333373250,-6.5208322870165,-4.9349267830178300,0.5074094375518310,-9.70688052841226,-2.3736885166890400,-65.8946851878519,0.6715971044973300,994.4145597267730,-2222.4885330456100,40.8415124608419,0.14942889621251900,-0.9127963003820130,0.3800972493791800,-16.991495606947100,24.862743533855000,70.61060208852720,0.5651553203012480,1.8684327859732000,2.360856406208460,-82.61245231778440,156.87886851920500,14.216826088237400,12.359199204565000,-0.12696141501842500,-0.8096821572938830,0.4319324001898550,-0.39730241105001400,,,0.7434123601608530,0,0.5837510892159750,38.22060713538220,medium,high,90.60443739404760,38.79795647970800,54.667001749344000,Zach Bava,,Kcl bluecaps 2025,2022-11
4,06/17/2025,5:03:47 PM,2,1,Brody Stonecipher,,Right,Kcl bluecaps 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,1,0,0,Slider,,StrikeSwinging,,,,,,,75.7290171316055,2.886712301409330,-1.8154237773487200,,,,4.459976536137210,1.3160456207957500,6.0000001920000000,,,,3.2254240785184700,-0.37176261413435700,67.72381796629500,-6.040781719348020,-1.8154237773487100,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,06f4467d-dbd6-4dfc-a15d-70e2c70a2c83,75.94613112634520,4.451849098346170,1.316045620795750,2.98100171339664,-1.8154237773487200,67.8788937251512,3.232642344993710,-0.3717626141343590,-5.9307769902114000,-1.8154237773487200,0.507898494041289,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749344000,Zach Bava,,Kcl bluecaps 2025,2022-11
5,06/17/2025,5:04:02 PM,2,2,Brody Stonecipher,,Right,Kcl bluecaps 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,1,0,1,Slider,,BallCalled,,,,,,,75.74696377997040,2.571609975723770,-2.3755986071601600,2425.4076348644200,64.9500075902762,8:15,4.103242592083110,1.3893467937097800,6.0000001920000000,-51.00639272400890,-1.0377396496531400,-11.75427796297140,2.246411098099440,-1.7993087872096800,67.85603869316680,-7.090055668016140,-4.608127907693890,0.5087686516715560,,,,,,,,,,,,5.5151406164287,-1.4877633492390900,-1.1889664109637100,50.000000000000000,4.283672178279200,4.877401679441310,-109.8538633342850,3.5494130317285900,6.553504475648230,24.463673372884100,-33.94192178474320,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,2a116d5d-1f80-49ac-ac45-ede0e9881ca3,75.93792445500100,4.091765393982130,1.3895267818139000,2.7057448719818700,-2.378141476601040,67.9808918649474,2.2559137018866700,-1.79913164522799,-6.946624418898770,-4.605117116593610,0.508581737121107,-11.725903334861100,-4.308421567552450,-59.60340698318110,6.857362392553,1227.2137397267700,-2092.0202275036500,50.59824674772130,0.21423747160017000,-0.8625437627191280,0.4583890958091120,,,,,,,,,,,,,,,,,0.9815033847749210,0,,,medium,high,83.8283738467023,44.135945838342100,54.667001749344000,Zach Bava,,Kcl bluecaps 2025,2022-11
6,06/17/2025,5:04:17 PM,2,3,Brody Stonecipher,,Right,Kcl bluecaps 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,1,1,1,Fastball,,StrikeCalled,,,,,,,85.98362361792980,-0.24108558198000600,-4.780175436621610,2114.0293672117700,233.2255728834550,1:45,4.3845623548402200,2.4741512702690000,6.0000001920000000,-23.837536010518300,14.787300416407200,16.21655307441790,2.1732541097747100,-0.6274705979603920,76.95174058422350,-4.755422550695720,-1.7113853753071800,0.44730612912924700,,,,,,,,,,,,-10.377574099914000,8.078139851982070,-2.0932757477830100,50.000000000000000,4.351042428051980,9.912744702860530,-124.56502033015000,-1.2666330604095200,-15.984487533807200,29.612142338380700,-19.73136071505970,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,90f643a5-9e24-4a7f-84a6-4ed1e31b4db9,86.22064213454120,4.384748432865620,2.4823506370504800,-0.2444707320832370,-4.878609849288060,77.14044226622040,2.1738796023868900,-0.6339214316016560,-4.744658814249270,-1.8092535565859700,0.44712693196249600,17.14639935218570,13.531520252761600,-18.03724496215170,78.82745031429120,2010.136321720150,-654.5778284781790,95.08554388586130,-0.5692449625205760,-0.30963516336649200,-0.7616339266681560,,,,,,,,,,,,,,,,,0.9966856936074190,0,,,medium,high,19.055294717137800,89.00879287405840,54.667001749344000,Zach Bava,,Kcl bluecaps 2025,2022-11
7,06/17/2025,5:04:36 PM,2,4,Brody Stonecipher,,Right,Kcl bluecaps 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,1,1,2,Fastball,,BallCalled,,,,,,,86.17602036614740,0.06636819118757120,-7.234791587707760,2052.6317679023100,226.4610864406880,1:30,4.835377860485160,3.531970401344310,6.0000001920000000,-22.375103724844500,16.383439619304600,13.887052573374200,3.0329630227915800,-2.0707105276643800,77.01953459206010,-4.158468209221010,-4.627935441964220,0.4480796761457890,,,,,,,,,,,,-9.922841284769270,8.835347102928520,-2.94756708896734,50.00000000000000,4.827848054261980,15.347610262505500,-124.2932105575090,-0.5492393397405860,-15.235802564951700,29.208808187198400,-18.60801540386930,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,447109e4-c790-471d-bb0c-c7db5366b7de,86.42514421364620,4.836328196820600,3.5393720630980000,0.05373697726355660,-7.32201942321529,77.2192817888043,3.033012793310760,-2.076432783338070,-4.15608637232773,-4.714246382675570,0.4478940189649560,14.718262835255500,15.257994576273800,-25.192831181978200,68.36700224826900,1857.386084803250,-873.7357189568340,90.48803169900310,-0.6233241543489830,-0.4256660803071110,-0.6559537991970960,,,,,,,,,,,,,,,,,0.9965011622314740,0,,,medium,high,28.46969797655790,57.52803099702300,54.667001749344000,Zach Bava,,Kcl bluecaps 2025,2022-11
8,06/17/2025,5:04:52 PM,2,5,Brody Stonecipher,,Right,Kcl bluecaps 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,1,2,2,Slider,,Foul,,,,,,,74.23086003219430,3.343541513588730,-1.2207087044995400,2409.7625365516700,65.45349602091950,8:15,4.314837676779630,2.360334907794610,6.0000001920000000,-53.63287038726630,-1.6362670781162200,-12.4218886746038,2.957136320144640,0.19048682697698700,66.42653633752520,-6.827373744187240,-3.583591021712050,0.5189900234951850,54.660909811355700,50.171118775269900,82.06094187384710,,108.72198251415600,16.719166192147300,40.08231649002960,146.5879762594120,,81.45811473518490,3.539728750630490,6.294008699462430,-2.080868516772060,-2.253732005604290,50.0,4.556660794675940,2.625632185033140,-107.65457970140800,4.858848485447840,7.1888469298695200,23.346042770600000,-34.550761465908400,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,e27e6017-87a5-40bd-b5ad-625dc5ec9302,74.41550230987360,4.302691669723930,2.3603108001415200,3.4860089704338900,-1.2208193038902200,66.5440194620051,2.9670635970130600,0.19081009268906200,-6.675128574725500,-3.5782980593231600,0.5188065460867850,-12.41648614988530,-5.025709344128110,-57.131509444863800,24.083047234335500,1307.8085320781400,-2024.0040330966600,54.271261679982500,0.2254600107989580,-0.8399184576887730,0.49366463106470100,34.67458929089950,4.835591708862310,41.97743407758240,-0.3093251008536490,1.3248325664171000,2.7768626322502900,144.96195574855000,21.77306063431220,,,,,,,,,0.9974757508250170,0,,16.873105692394000,medium,high,68.32525748909800,56.0576697496206,54.667001749344000,Zach Bava,,Kcl bluecaps 2025,2022-11
9,06/17/2025,5:05:13 PM,2,6,Brody Stonecipher,,Right,Kcl bluecaps 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,1,2,2,Fastball,,StrikeCalled,Strikeout,,StrikeoutLooking,1,0,,85.38557933248090,-0.8195099849660910,-4.518616956888700,2087.5907191234300,225.7584226799740,1:30,4.826882549098050,1.7833313550458800,6.0000001920000000,-22.82272486156310,16.320668557295200,13.62481323952250,2.16091446987244,-1.2895698369515800,76.49725992739070,-5.139042397442150,-1.9401134574458000,0.4502987680917950,,,,,,,,,,,,-8.886483112940490,9.10171857057118,-1.422400498178960,50.00000000000000,4.746690541711460,9.357961915373840,-123.73363121735000,-2.4798607382794700,-13.506690556898400,29.201148646357500,-18.340219632543600,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,3b716e2f-307d-47c8-89fc-4d63c100068b,85.62778376935360,4.8277289169117,1.7906797627797000,-0.8307810834220610,-4.605510006744610,76.69155612118540,2.161064731041480,-1.295153739010160,-5.135323425507320,-2.0259533430312000,0.45011134890551100,14.444889831139100,15.117719011103400,-24.66498271648010,67.04183826936040,1897.1260245795000,-871.1761345637510,90.87633927478370,-0.6340307270840850,-0.4173117491773270,-0.6510421961069700,,,,,,,,,,,,,,,,,0.996671053471433,0,,,medium,high,29.662345557575600,-81.10324363084630,54.667001749344000,Zach Bava,,Kcl bluecaps 2025,2022-11
10,06/17/2025,5:05:45 PM,3,1,Brody Stonecipher,,Right,Kcl bluecaps 2025,Kyler Lapp,,Right,Kcl bobcats 2025,Stretch,1,Top,2,0,0,Fastball,,BallCalled,,,,,,,85.25254544183870,-0.12915919281216800,-6.789683981663390,2113.9837696804400,224.3924356030560,1:30,4.370737115087920,3.004140308115040,6.0000001920000000,-22.041249055888300,17.484153837616600,14.220751408091500,2.4130785183912000,-2.1507912745125500,76.23197116508900,-4.293734282078090,-4.115831779739620,0.4524907183099090,,,,,,,,,,,,-9.952055119781580,9.495692200814750,-2.4567356947713700,49.999999999999900,4.347356094153970,14.216790051952600,-123.07903751765100,-0.9567670295458510,-14.984384425945800,28.628876465783800,-17.876791319751000,KCL BlueCaps 2025,KCL BobCats 2025,,,,6b60b1f0-f900-4e83-a62b-51417f9156a4,0f8c56e4-9606-44f9-b561-0469d5d37016,85.49553383928690,4.371910951208900,3.011248883501870,-0.14459292398608800,-6.8751964737848200,76.42927314378380,2.412947487692720,-2.15611633335018,-4.294299749052010,-4.201533940506190,0.4523110976827650,15.038936572687900,16.361945330092000,-19.580465855723400,90.434113538157,1991.735817843070,-708.4601685298430,94.21717642345700,-0.673243009580632,-0.3351303726598310,-0.6591141656584960,,,,,,,,,,,,,,,,,0.9608500703773880,0,,,medium,high,8.609297815658670,57.00437518388400,54.667001749344000,Zach Bava,,Kcl bluecaps 2025,2022-11
