PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,06/19/2025,5:04:48 PM,1,1,Matt Brummer,,Right,Kcl bobcats 2025,Tyler Pippin,,Left,Kcl merchants 2025,Stretch,1,Top,0,0,0,,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,41215f9b-4dca-459b-ba27-931adbf59f25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Theile,,Kcl bobcats 2025,2019-02
2,06/19/2025,5:05:02 PM,1,2,Matt Brummer,,Right,Kcl bobcats 2025,Tyler Pippin,,Left,Kcl merchants 2025,Stretch,1,Top,0,0,1,,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,3a022582-c4eb-4917-905f-fc728eb9da2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Theile,,Kcl bobcats 2025,2019-02
3,06/19/2025,5:05:12 PM,1,3,Matt Brummer,,Right,Kcl bobcats 2025,Tyler Pippin,,Left,Kcl merchants 2025,Stretch,1,Top,0,0,2,,,StrikeCalled,Strikeout,,StrikeoutLooking,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,8d54dc2f-8187-45f8-8407-422be1164219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Theile,,Kcl bobcats 2025,2019-02
4,06/19/2025,5:05:43 PM,2,1,Matt Brummer,,Right,Kcl bobcats 2025,Jackson Newton,,Left,Kcl merchants 2025,Stretch,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,86.64289037889400,-1.2998936284709900,-3.7624342452556000,2181.6932576061500,216.23302717540500,1:15,5.69796437326881,1.4680556930280200,6.0000001920000000,-18.44600760240060,19.507215840035900,12.43468689120000,2.949866847419970,-0.9975378188260850,77.62731212923990,-4.792813840113930,-1.4064577719198900,0.44340017080917400,,,,,,,,,,,,-7.987398567716400,10.985899374909600,-1.1683536176163300,50.00000000000000,5.5811447611292400,7.873566871827560,-125.6565391459750,-3.4356906997895500,-12.521000856023200,30.105125497484900,-14.952615809876900,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,58503128-b441-401b-aa88-b7330d917bc6,86.89180124265950,5.70018322719145,1.474301369832900,-1.3270341465188800,-3.835685367763310,77.8270804983906,2.9489455764301300,-1.0022672526150400,-4.805484764211850,-1.4782694382920100,0.44321007400547700,13.123537472220000,18.487561116979600,-11.539923092003900,20.326924983009100,2137.5915259851500,-436.4492391110550,97.97855489229540,-0.7903143583858370,-0.2000506888809590,-0.5791225576744850,,,,,,,,,,,,,,,,,0.988788402861397,0,,,medium,high,108.29423248470800,-14.679100202416700,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
5,06/19/2025,5:05:57 PM,2,2,Matt Brummer,,Right,Kcl bobcats 2025,Jackson Newton,,Left,Kcl merchants 2025,Stretch,1,Top,1,0,1,Changeup,,BallCalled,,,,,,,79.6348845734278,-3.2239648563707200,-5.349296175166160,2195.2733201335100,220.79967476725900,1:15,5.564283138660680,3.1659873976716800,6.0000001920000000,-25.663170766628200,19.439687022572600,15.193246732538600,0.41306621547448100,-0.5540063968744000,71.83798024198520,-8.044948058988830,-2.4835110064047700,0.4833631660728850,,,,,,,,,,,,-9.951969555062870,11.556611637912500,-2.737823538412710,50.00000000000000,5.285332404164070,10.341105476371800,-115.11315126334800,-7.251509328346700,-13.138964715748400,24.572925475292900,-16.91657600712500,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,2d56e6aa-eb2b-4a85-ae2c-cdaf8c2a2dc1,79.85395589083320,5.564307638402530,3.1722331508053500,-3.2251800531169600,-5.424296058708210,72.01507332537560,0.413891619235545,-0.5590851913608350,-8.031163201346910,-2.559620020321950,0.48316717381040200,15.901242669020400,18.107342947201300,7.6892232859297400,17.727673901575400,2175.5342640439200,293.7271115523150,99.10083833714220,-0.7501921220240930,0.1337997910594800,-0.647541038055063,,,,,,,,,,,,,,,,,0.9966694432907960,0,,,medium,high,74.04509348858220,-52.11335023338070,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
6,06/19/2025,5:06:17 PM,2,3,Matt Brummer,,Right,Kcl bobcats 2025,Jackson Newton,,Left,Kcl merchants 2025,Stretch,1,Top,1,1,1,Fastball,,Foul,,,,,,,87.79600008254590,-1.4462728482855100,-2.9479687827064600,2145.6114884793700,215.69546125773700,1:15,5.765055784481380,2.0422479702536000,6.0000001920000000,-17.672707507688700,19.251469894812300,12.04739257065690,2.9461061648827400,0.3039536054859110,78.66130362607290,-4.793607014286140,-0.6623345679301990,0.43734779057954400,,,,,,,,,,,,-7.509717147454070,10.900166586247400,-1.8088892876956500,50.00000000000000,5.636831552925690,6.179117063462240,-127.42242816342100,-3.7828879881161700,-12.09862989911680,31.09060921361190,-14.613190930965800,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,630293a7-2eb3-4106-811a-4bbefaa9ec0d,88.04568740007630,5.767310130598190,2.048239225773660,-1.4740100630179400,-3.0187487654218000,78.86385482747650,2.945120279064160,0.2993894232790190,-4.80751505099068,-0.7323812836048530,0.43716154784051700,12.712261091510100,18.25243271280910,-12.0597247733134,5.07014517452414,2098.258579029050,-448.28517154335600,97.79303430725560,-0.7942063251760570,-0.20893119465027800,-0.5705997449634470,,,,,,,,,,,,,,,,,0.9964366917199190,0,,,medium,high,85.43686934292830,11.424617702235900,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
7,06/19/2025,5:06:37 PM,2,4,Matt Brummer,,Right,Kcl bobcats 2025,Jackson Newton,,Left,Kcl merchants 2025,Stretch,1,Top,1,1,2,Curveball,,InPlay,,GroundBall,Out,1,0,,75.39153425120290,2.2387991177965800,-1.6295578624720500,1814.6187784310900,22.70155264606650,6:45,5.153331489523190,2.756437755439070,6.0000001920000000,-59.03687481711700,-8.662796004773950,-6.046445925127250,2.3162192740006700,0.7376579761626040,67.74649816799100,-8.932189848957960,-2.7807045636409000,0.510828455051157,71.1626301830695,-5.989384020484490,2.2285617665362400,,,,,17.66273794845660,,0.1636181636495880,0.1764888876912090,2.6903396470388700,-5.499877466325380,-2.620186775574030,50.00000000000000,5.301877431341060,3.2766611944381200,-109.41428249960200,2.6783786338784100,3.1710717248853700,24.282494525025300,-38.65669052057290,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,29b2f5cf-c55a-4467-8050-605167c285f5,75.54981959282450,5.138975460507980,2.759184817081040,2.407612254492810,-1.6625447892407500,67.83432719669970,2.327712424111890,0.7358473262011190,-8.759882829879770,-2.8079693761498200,0.5106763050975410,-5.732940566576200,-12.240095478692900,-51.807991888296800,24.387006837316600,1121.9765549386000,-1426.1871971108400,61.829876791457600,0.5703976979435540,-0.7859431490860630,0.23862068767266800,2.752119718277750,70.72064125563170,-7.425407195624420,-0.6500298709276550,-0.2845911432519140,2.219730607117310,0.05043898250187220,17.662665929720100,,,,,,,,,0.9957394273341010,0,,38.78681164276620,medium,high,68.051693846415,-27.312412508602300,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
8,06/19/2025,5:07:20 PM,3,1,Matt Brummer,,Right,Kcl bobcats 2025,Lawson Alwan,,Left,Kcl merchants 2025,Stretch,1,Top,2,0,0,Fastball,,StrikeSwinging,,,,,,,86.27812232343910,-1.0658308361021900,-3.3589468551860000,2198.2403098225900,215.0001122812200,1:15,5.729345474468800,2.400674219672630,6.0000001920000000,-18.429652914935100,19.822435322838300,12.10577231096670,3.201145403040730,0.28412337792900500,77.26806161260920,-4.557687834098710,-1.063441844537340,0.44514253725223800,,,,,,,,,,,,-7.679531206516290,11.080444039472100,-2.1337718740779000,50.00000000000000,5.63169274818008,6.969654076139000,-125.18865867241300,-2.9083940970747000,-11.94286712093070,29.997868644783700,-14.942233314189400,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,5cab87c1-cdfa-450a-9ad9-5e5565e7b6fe,86.52597865534710,5.73164223046041,2.406691810401370,-1.0942935663756600,-3.4302559231973300,77.47002927975000,3.200137176451860,0.279453806273335,-4.571679498149580,-1.1343342979064200,0.44495060458960600,12.775614969581500,18.785397653708900,-11.795217091152300,14.285262595079300,2151.8232693869900,-449.35184104842000,97.88844557948510,-0.8018541027953800,-0.2044143395244560,-0.5614666291303490,,,,,,,,,,,,,,,,,0.9742154983013520,0,,,medium,high,102.8567363355710,15.483668999491400,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
9,06/19/2025,5:07:38 PM,3,2,Matt Brummer,,Right,Kcl bobcats 2025,Lawson Alwan,,Left,Kcl merchants 2025,Stretch,1,Top,2,0,1,Curveball,,StrikeCalled,,,,,,,76.19317120565770,0.03945411783309170,-3.561610116462150,,,,6.366006837928550,3.6091722396516500,6.0000001920000000,,,,2.527334221525560,0.29476416946102900,68.61127247225290,-8.729972174351570,-3.561610116462190,,,,,,,,,,,,,,,,,,,,,,,,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,fb82b78b-1df4-406f-bb03-865ad689646e,76.39974307214030,6.357928316829460,3.609172239651650,0.13328721242312900,-3.5616101164621600,68.75851523276590,2.534464863803270,0.29476416946103400,-8.622434113954320,-3.561610116462160,0.5049977898573170,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
10,06/19/2025,5:07:53 PM,3,3,Matt Brummer,,Right,Kcl bobcats 2025,Lawson Alwan,,Left,Kcl merchants 2025,Stretch,1,Top,2,0,2,Fastball,,BallCalled,,,,,,,87.63130633067660,-0.8754159976513500,-1.9921180752294300,2265.829658654390,212.9084410825330,1:00,5.67601149598294,0.3425724931286150,6.0000001920000000,-17.352783802008400,19.68125477320640,11.052114869224900,3.415784634944970,-0.5886262530377240,78.42564015514990,-4.16648204002772,0.10749422965233300,0.43799793173940000,,,,,,,,,,,,-6.6575001327123400,10.945904476316700,-0.186636078452532,50.000000000000000,5.594613805757610,4.0770828116859600,-127.29048563336000,-2.496448601247210,-10.690755686733000,31.308751715388800,-14.59688275251710,KCL BobCats 2025,KCL Merchants 2025,,,,136e9a7b-d351-4a55-a13e-a25c1684ceb0,feed0741-f5da-4184-8b77-bea640577695,87.88315647738340,5.678629453736670,0.348296105407493,-0.9079603121264990,-2.060460871616780,78.63338387232020,3.414491191604580,-0.5931577041126910,-4.184797688952560,0.03909252047028250,0.43780603136589200,11.692216618008200,18.677775780427600,-18.25027431297560,47.75171247685490,2151.8530476865400,-709.5861492447530,94.96976259744380,-0.7973089857597410,-0.31316835602997500,-0.515968954500419,,,,,,,,,,,,,,,,,0.996928249811693,0,,,medium,high,47.023458770830600,18.163044439854100,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
