PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,06/24/2025,5:00:58 PM,1,1,Kellen Hershberger,,Right,Kcl groundsloths 2025,Jackson Newton,,Left,Kcl merchants 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,78.16155103036301,0.25715990886337853,-0.8492406885315602,1849.0185497032942,222.3849832905518,1:30,5.205512948497049,1.2868497024619159,6.0000001920000035,-31.124236447562403,15.429794298121315,11.217011086904018,2.850857099642098,1.4322639456848933,70.07161709484689,-5.642300010349634,1.2837384010723143,0.491077647813925,,,,,,,,,,,,-6.363136050419421,8.261991984191045,-1.2241540799985091,49.99999999999995,5.208470964187177,1.366732485855905,-113.59254192849652,-0.3698752957147343,-8.125751688523177,25.19984713407383,-21.623450827125406,KCL GroundSloths 2025,KCL Merchants 2025,,,,ed8241dd-1f8b-4745-b313-58d8cd6069dd,738da962-472f-426a-8327-6912951815a0,78.39462727685165,5.204697463205969,1.2939960128582362,0.2650921084895294,-0.9347084452046636,70.25758233893168,2.8525845016202833,1.4266789226765328,-5.615086869999015,1.199418947752268,0.49085314265222224,12.01766458441201,13.640451015378375,-34.34386283226293,85.55276718355644,1526.6729361773266,-1043.1391772388638,82.56666415933506,-0.6098638390298802,-0.5641583084205688,-0.5565891670557187,,,,,,,,,,,,,,,,,0.9888755174335505,0,,,medium,high,13.002509534799241,-56.26520770590169,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
2,06/24/2025,5:01:15 PM,1,1,Kellen Hershberger,,Right,Kcl groundsloths 2025,Jackson Newton,,Left,Kcl merchants 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,77.5826424858515,-0.7190522871369097,-4.71648642379556,1670.1722920075338,236.4491082298561,2:00,5.098077164330227,4.321344783913528,6.0000001920000035,-33.87665261432582,13.548507990458738,15.397256435424778,1.6044341350043276,1.2110487706598385,69.75977966578381,-7.112981995839472,-1.803278054743012,0.4956509325031482,,,,,,,,,,,,-9.907232202055736,7.567716667472032,-3.945220710210979,49.99999999999999,5.019667735752774,8.841688122468668,-112.39974080936454,-2.365531570818434,-12.42943423909216,24.043115202067852,-22.679729200644797,KCL GroundSloths 2025,KCL Merchants 2025,,,,ed8241dd-1f8b-4745-b313-58d8cd6069dd,f79a63a7-0f3f-4984-8534-9073e2727535,77.80063745736412,5.095914728403149,4.329663392547917,-0.6949449599293223,-4.81460596230557,69.92716408678541,1.607057404619485,1.2046850958049438,-7.072042323693605,-1.8997063811080188,0.49544705053775506,16.322974814025322,11.753387626035302,-21.16199855849733,84.81438267310341,1557.54162225997,-602.9424349948177,93.25634425343132,-0.5154067844675787,-0.36100612965509427,-0.7771939403239323,,,,,,,,,,,,,,,,,0.9926596406644687,0,,,medium,high,13.667055594206891,26.022097356418527,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
3,06/24/2025,5:00:46 PM,1,1,Kellen Hershberger,,Right,Kcl groundsloths 2025,Jackson Newton,,Left,Kcl merchants 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,77.3370760773604,0.5108845485044696,-3.5020008448125037,1842.5021465810942,229.05144138488913,1:45,4.96578501743745,4.461155845020755,6.0000001920000035,-32.46592104575212,15.180191004451466,13.584737714630654,2.7360052273377162,2.334420832692496,69.31709587353372,-5.637996860399602,-0.9250492266057312,0.49680419723501285,,,,,,,,,,,,-8.538083184082277,8.038308232419233,-4.183410441446611,50.00000000000004,4.988683238902676,6.486959009737742,-112.20697225737489,0.09461666127428756,-10.657897378784982,24.257696805372557,-22.14001004889573,KCL GroundSloths 2025,KCL Merchants 2025,,,,ed8241dd-1f8b-4745-b313-58d8cd6069dd,f73890d9-35e1-421f-8c80-362b651a53f2,77.56612488884467,4.964647242878372,4.469228488030904,0.5225547888659132,-3.5976759021173197,69.49566581045606,2.7379223975850686,2.3282830238191585,-5.607376250040016,-1.0185855757896933,0.4965864890766364,14.485356439630513,13.403195123169409,-29.214883744510892,80.90787101311437,1608.1272397866746,-899.3002506460404,87.27953141170987,-0.5720136142642183,-0.48808640593160874,-0.6592208169051937,,,,,,,,,,,,,,,,,0.9823116759475932,0,,,medium,high,17.182916088196997,-33.6149288944565,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
4,06/24/2025,5:01:41 PM,1,2,Kellen Hershberger,,Right,Kcl groundsloths 2025,Jackson Newton,,Left,Kcl merchants 2025,Stretch,1,Top,0,1,0,Fastball,,BallCalled,,,Walk,0,0,,77.86533959460681,-0.3095649713172574,-1.8014078342749718,1756.6552727058368,224.48689350048133,1:30,5.269616928852233,2.9510317121169973,6.0000001920000035,-31.060319036161314,15.840371857488844,12.381373651995043,2.3934040919221786,2.3080439817520837,69.90426201979405,-6.189159591597698,0.5514195510453213,0.49290263813501045,,,,,,,,,,,,-7.314036423929275,8.676256810514593,-2.8114138130884374,49.999999999999986,5.226418583477238,3.209080485198994,-113.1261688669751,-1.486619616005848,-9.27342446413943,24.79282702700945,-21.1734737752826,KCL GroundSloths 2025,KCL Merchants 2025,,,,ed8241dd-1f8b-4745-b313-58d8cd6069dd,9f4a5809-adb4-41a2-bf6d-cd76a7b1ddac,78.0937179700669,5.268747827818043,2.958194533242656,-0.30087355220578343,-1.8872146243385335,70.08626794704892,2.3951411418893276,2.3024034582630457,-6.161809522048901,0.46622166223303174,0.49268300899017775,13.185705370348598,14.083047423442233,-27.274719254734507,90.64061485608535,1561.349487799498,-805.0003255114019,88.88195151656008,-0.6340934098934262,-0.45825742706560296,-0.6228367989039673,,,,,,,,,,,,,,,,,0.9967043667863026,0,,,medium,high,8.42344662952324,-56.71437985741375,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
5,06/24/2025,5:02:16 PM,1,3,Kellen Hershberger,,Right,Kcl groundsloths 2025,Jackson Newton,,Left,Kcl merchants 2025,Stretch,1,Top,0,2,0,Fastball,,BallCalled,,,,,,,76.83700779116091,-1.5955091408418647,-5.842479224445208,1818.3784594005426,217.50075874665035,1:15,5.304078699247906,3.841171569681468,6.0000001920000035,-29.99453199357297,18.499784175399427,10.880269144524428,1.3135498248972939,-0.7010013478956978,69.17209109091688,-7.240158092438559,-3.7930204862449863,0.5012067857994258,,,,,,,,,,,,-7.818096985733769,10.530247282718545,-3.369933104935355,49.999999999999986,5.155997478824681,11.065793562181618,-111.09386262796136,-3.9429336427287494,-9.595515822868403,23.22873873467504,-19.2497849466097,KCL GroundSloths 2025,KCL Merchants 2025,,,,ed8241dd-1f8b-4745-b313-58d8cd6069dd,cfe2e271-6100-4127-85db-beecd3b7afed,77.06662328476179,5.3038963602733515,3.847553635531379,-1.5948684981288457,-5.917702269339946,69.35501586451353,1.3147092317790912,-0.7058244600043806,-7.220528139201221,-3.8669125597959315,0.5009883234712993,11.593647356027905,16.94466019558279,-27.776895234945318,91.31561148992633,1608.844843224705,-847.4187229706256,88.47689736464906,-0.7019272879127829,-0.46602989525623323,-0.5386225201482663,,,,,,,,,,,,,,,,,0.6141330422785898,0,,,medium,high,7.815949659066263,12.352968612847333,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
6,06/24/2025,5:02:37 PM,1,3,Kellen Hershberger,,Right,Kcl groundsloths 2025,Jackson Newton,,Left,Kcl merchants 2025,Stretch,1,Top,0,2,0,Curveball,,BallCalled,,,,,,,66.8487211467388,1.1807311777124212,-2.7929738911679904,2085.610898726999,63.45924753542199,8:00,5.02186306878607,3.1072125609128487,6.0000001920000035,-67.88145359827453,-3.5121307089671063,-18.054771314890626,0.4638997076404157,-0.9951820639394042,60.57411774908602,-11.56234335726221,-6.221287163413215,0.5774454887566576,,,,,,,,,,,,8.750968354258777,-2.346702699714286,-2.8691796327325267,50.0,5.079245544670866,5.162642473646007,-96.96351388342975,0.37568051918209533,8.06289500096049,19.709121108468935,-34.33623515224748,KCL GroundSloths 2025,KCL Merchants 2025,,,,ed8241dd-1f8b-4745-b313-58d8cd6069dd,183d5a4a-26db-45da-bf26-e4e7da80ba20,66.97655220052042,5.006605338712159,3.1043152690077114,1.3627663127726544,-2.7583122142554544,60.63041342253347,0.47649525393806963,-0.9927342366410731,-11.378227876848271,-6.184225602562198,0.5772833558112348,-18.37811063987221,-8.006763738268322,-38.42009056225313,62.13912023752963,1634.0252547304017,-1296.0456349188044,78.34756021498386,0.3500837216395672,-0.621422546127792,0.7009104129680499,,,,,,,,,,,,,,,,,0.9973470831911793,0,,,medium,high,34.07479178622333,77.49745403363498,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
7,06/24/2025,5:02:59 PM,1,4,Kellen Hershberger,,Right,Kcl groundsloths 2025,Jackson Newton,,Left,Kcl merchants 2025,Stretch,1,Top,0,3,0,Fastball,,StrikeCalled,,,,,,,78.18052275779249,-0.9487590570330527,-5.681251174755732,1892.855796365614,219.92661678859525,1:15,5.263407068156915,3.743331154508823,6.0000001920000035,-30.312735967361174,16.530912665102196,9.964267097544834,1.8511413207662732,-0.723805184055875,70.25129369498595,-6.663150067383648,-3.8027270581955914,0.4926028042232686,,,,,,,,,,,,-7.291391417452738,9.25713984935857,-3.2848216536227817,49.99999999999997,5.168163711832938,10.969047115264749,-113.0873414917188,-2.737468149956,-9.261620984079112,24.30342653559343,-20.415509168576303,KCL GroundSloths 2025,KCL Merchants 2025,,,,ed8241dd-1f8b-4745-b313-58d8cd6069dd,55da0427-f509-416d-b058-d04ef0ed4418,78.41398833874702,5.2628979009802,3.7498821806852956,-0.9442477770009591,-5.759404736581212,70.43799473228619,1.852566618204985,-0.728857657886876,-6.639685583879019,-3.879395834779189,0.49238817695774917,10.705396503798411,14.93816183509197,-39.024308590741164,83.77759223944932,1470.5197083071878,-1191.8367561520524,77.68788891000918,-0.5957628477123051,-0.6296500549278206,-0.4986054929652476,,,,,,,,,,,,,,,,,0.9773370744067986,0,,,medium,high,14.600166984495646,-11.18926566031871,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
8,06/24/2025,5:03:19 PM,1,5,Kellen Hershberger,,Right,Kcl groundsloths 2025,Jackson Newton,,Left,Kcl merchants 2025,Stretch,1,Top,0,3,1,Curveball,,InPlay,,GroundBall,Out,1,0,,68.94690203649417,2.9741127997419667,-2.256769292116475,2032.7683933332967,66.64269471032291,8:15,4.868162937490681,2.087530695089686,6.0000001920000035,-61.826479878429204,-1.4194339219191079,-14.69503481163479,2.4847103829044976,-1.2355680407508098,61.96142414777737,-8.714161865171436,-5.04835609554035,0.5593908026718324,72.62217361425203,-13.268756143089277,-0.7703145170463366,3014.2995597214353,2.2948550583177063,-109.97605936818734,2.8066917636074336,10.927158658138012,,6.319543476981648,0.08301191083882797,7.145723790365084,-1.8503759983428376,-1.8951609537133185,49.99999999999997,5.075270150909438,4.302904545611736,-99.95825308539636,3.667113257060052,7.021767953219477,20.429974542662112,-33.99232737950906,KCL GroundSloths 2025,KCL Merchants 2025,,,,ed8241dd-1f8b-4745-b313-58d8cd6069dd,52d070e8-61d5-4389-8c58-bd79b960d56b,69.10707359517068,4.854868224028872,2.0866156487755507,3.133183549824803,-2.2459854387347193,62.05288049536067,2.495301902522655,-1.2346334714118545,-8.545011526795639,-5.033042950578595,0.5592124754866562,-14.79329464940031,-5.392600750078749,-49.54479322980184,78.08879645156406,1318.9686158353293,-1546.7608513846826,64.88533667490316,0.2572469385154672,-0.7609134697575322,0.5956800350573893,-0.950276953410887,70.67707674761789,-16.668170162969666,1.2354676274131489,2.3525266525133723,2.4085043575746043,1.2027888809740894,10.860759423167684,0.0014973081400111706,-0.23927827521803424,-0.0018737589119340176,-0.9847048738361727,-0.16135186804672963,0.06574105354432637,,,0.9946308943994667,0,0.7867659284062555,40.95660629439097,medium,high,19.720083193592274,72.48991584269386,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
9,06/24/2025,5:04:07 PM,2,1,Kellen Hershberger,,Right,Kcl groundsloths 2025,Kaiden Maurer,,Right,Kcl merchants 2025,Stretch,1,Top,1,0,0,Fastball,,StrikeSwinging,,,,,,,79.2657036453668,-0.821865666845948,-2.745093516006233,1930.4084421188002,216.1156532177752,1:15,5.1710796511016675,2.367357121377338,6.0000001920000035,-27.184269075740943,18.208608159677837,10.131105565381885,2.0631176531970983,0.3034196977860024,71.3406228000882,-6.162308427326104,-4.156976895788783,0.48431879901766584,,,,,,,,,,,,-6.335556435065276,9.727473183761859,-2.1493737058079034,49.999999999999936,5.087947974198176,5.231252247476959,-115.08368491738598,-2.450636155740575,-8.322278653533994,25.446462171486502,-19.39620706186319,KCL GroundSloths 2025,KCL Merchants 2025,,,,ed8241dd-1f8b-4745-b313-58d8cd6069dd,280da9c6-4adf-465b-9c9f-7a9f8e90febb,79.50221772609757,5.171243649553878,2.3735984845763656,-0.8254909261343865,-2.8195727690812045,71.53302175122937,2.0637491327675086,0.2988101596410318,-6.150603637771304,-4.228822291439159,0.4841019236956122,10.818422735360562,16.78715351084794,-32.62452909573509,79.09215570269447,1625.8318065083165,-1040.7438159073715,84.22216620249635,-0.6803709863169202,-0.53913140514712,-0.49641983135470436,,,,,,,,,,,,,,,,,0.9851587463831936,0,,,medium,high,18.817059867574965,75.13904755965002,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
10,06/24/2025,5:04:27 PM,2,2,Kellen Hershberger,,Right,Kcl groundsloths 2025,Kaiden Maurer,,Right,Kcl merchants 2025,Stretch,1,Top,1,0,1,Curveball,,BallCalled,,,,,1,,67.49625741112091,0.9689241979421559,-3.229253893166018,2073.708683630211,56.19755369657283,7:45,4.873955262976988,3.2144743722084277,6.0000001920000035,-69.89194935629891,-6.606510286242319,-18.123033212386844,-0.04834396960804496,-1.3002085511478818,61.2153806239508,-12.13121345936673,-6.669312429650196,0.5725631865132516,,,,,,,,,,,,8.611502764558223,-3.953177135257275,-2.940782538468022,50.00000000000001,4.912998029004985,5.958515673923234,-97.85844836978337,-0.028627537013306614,8.066700519878776,20.32887793878036,-35.877131025327465,KCL GroundSloths 2025,KCL Merchants 2025,,,,ed8241dd-1f8b-4745-b313-58d8cd6069dd,c15cdf4a-c0a3-45d8-9a53-7e5f8c533189,67.6094864702034,4.857431327239994,3.210783543097561,1.1640846211516722,-3.1855693285100357,61.254878740040525,-0.035554448244438645,-1.297351332772163,-11.939808453887357,-6.6248255823038065,0.5724224270662386,-18.533188505502217,-11.254625247292775,-31.153035246813776,63.18325920404568,1774.6562337064056,-1072.782809673206,85.57885915777294,0.4761018040245318,-0.517325706422372,0.711126701565326,,,,,,,,,,,,,,,,,0.9852715332343083,0,,,medium,high,33.135066716358885,53.756823800629775,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
