PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/24/2025,7:17:54 PM,1,1,Braden Alexander,,Right,Kcl bobcats 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Windup,1,Top,0,0,0,Fastball,,InPlay,,LineDrive,Out,1,0,,83.89612335,-1.768969662,-3.883269791,1846.021031,220.3355734,1:15,5.84746461,1.83043766,6.000000192,-22.83729626,17.65750761,12.57967591,2.295980177,-0.735878702,75.33033358,-6.084101693,-1.500685054,0.458006005,86.28842827,17.02783824,13.02650076,2800.238061,32.77785142,105.0029164,25.20258184,250.3686196,,22.65649008,2.797238529,-8.101642191,10.14057862,-1.520935299,50,5.689756989,7.874556664,-121.6321898,-4.458301215,-11.90406816,28.12658623,-17.27409026,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,4515bd98-565b-4cda-a556-b7e9076ffa46,84.13411179,5.848200981,1.836639356,-1.778951631,-3.957528929,75.52321758,2.29621005,-0.740787793,-6.079291669,-1.574899038,0.457812534,13.27842781,16.40996196,-14.63343198,55.56691428,1786.139659,-466.3676293,96.75619232,-0.737540146,-0.252633974,-0.626267202,18.59694023,80.38255653,25.26838485,0.703678449,1.603449795,2.330688268,96.44333518,231.0478928,49.02385878,27.38221696,0.611043196,0.583080618,0.098438467,-0.80642846,,,0.996889609,0,0.995938574,48.47308949,medium,high,39.98977715,0.30246246,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
2,6/24/2025,7:18:30 PM,1,1,Braden Alexander,,Right,Kcl bobcats 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Windup,1,Top,1,0,0,Slider,,BallCalled,,,,,,,67.75578561,3.814581056,-2.153819358,1948.362788,64.92504067,8:15,5.256068897,2.88008451,6.000000192,-62.82182579,-0.257656683,-11.18371373,3.573921469,-0.054581191,60.76421537,-8.076360894,-4.278850549,0.569291059,,,,,,,,,,,,5.287394899,-1.509545449,-2.698124009,50,5.531291766,3.963958819,-98.1627958,5.020899405,5.018402767,19.48732899,-33.60679808,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,4cb90f34-761e-417d-b033-b7935287f5a7,67.92839416,5.242935864,2.881644004,3.969505629,-2.172880175,60.86697104,3.585105783,-0.055444039,-7.907366929,-4.291691517,0.569089483,-10.99989847,-4.208584046,-59.73682516,22.22754214,981.9214399,-1682.83922,50.39725897,0.213585403,-0.863719647,0.456475242,,,,,,,,,,,,,,,,,0.997374813,0,,,medium,high,69.99521207,-1.902525874,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
3,6/24/2025,7:19:27 PM,2,1,Braden Alexander,,Right,Kcl bobcats 2025,Josh  Eisfelder,,Right,Kcl bluecaps 2025,Windup,1,Top,1,0,0,Slider,,BallCalled,,,,,,,66.61068932,1.342649974,-2.801134618,1994.298408,55.09049632,7:45,5.194417991,1.806179831,6.000000192,-65.22758363,-0.611681756,-9.821802054,1.008357628,-1.61773662,60.28668286,-10.92646649,-4.666532302,0.578550439,,,,,,,,,,,,4.308596941,-0.818144436,-1.572183146,50,5.266414392,4.963299911,-96.63641518,0.70652921,3.958380279,19.05181441,-32.9256926,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,36db3cab-ebe0-41f4-967b-5c9b6368267a,66.76690812,5.180972076,1.809182882,1.502387468,-2.837612495,60.37540902,1.019963232,-1.619719686,-10.75421781,-4.696286393,0.578354542,-9.473821115,-4.735253977,-65.1286769,53.30130346,838.7655545,-1809.336476,42.05817702,0.240691336,-0.907254636,0.344901009,,,,,,,,,,,,,,,,,0.950160025,0,,,medium,high,42.02882688,-9.652268582,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
4,6/24/2025,7:18:45 PM,1,1,Braden Alexander,,Right,Kcl bobcats 2025,Josh  Eisfelder,,Right,Kcl bluecaps 2025,Windup,1,Top,1,0,0,Fastball,,InPlay,,GroundBall,Single,0,0,,83.7913712,-1.959288883,-8.081238952,1923.720867,225.9276756,1:30,5.756905301,5.43421282,6.000000192,-23.89422034,17.21613398,15.03837449,1.92578836,-0.873445453,75.23446535,-6.453424905,-5.270131044,0.461473888,,,,,,,,,,,,-10.76357397,9.94383889,-4.780301536,50,5.58175815,16.66503814,-120.5650653,-4.886597859,-15.59123921,26.91661572,-17.77021205,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,38597a6f-ab03-4957-a8f5-54d70dd4c2cf,84.02368004,5.757179202,5.441103397,-1.963375141,-8.163741604,75.42165547,1.926303817,-0.878639259,-6.443377385,-5.353094942,0.461297988,15.83223386,16.05338206,-9.247182514,71.22468918,1898.720709,-309.1304623,98.70042696,-0.686526453,-0.160694032,-0.709125418,,,,,,,,,,,,,,,,,0.993059526,0,,,medium,high,25.89777974,-26.57734786,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
5,6/24/2025,7:19:47 PM,2,2,Braden Alexander,,Right,Kcl bobcats 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,1,0,Fastball,,StrikeCalled,,,,,,,80.97241187,-1.682289629,-5.189392741,1863.292446,226.2815371,1:30,5.398597373,2.879398223,6.000000192,-26.86246658,16.72085068,14.14803836,1.589662786,-0.777818841,72.79153904,-6.748736489,-2.517512983,0.475151018,,,,,,,,,,,,-9.370364698,9.598335384,-2.463748353,50,5.245376736,10.22961557,-117.195189,-4.242432726,-12.79594082,25.89267307,-19.06679757,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,6babc050-4aea-45ea-9cf3-eecb0db0abb1,81.20272324,5.398455114,2.886727734,-1.681823993,-5.275557921,72.97289392,1.590638069,-0.78340512,-6.732471641,-2.602076258,0.474953029,14.96208487,15.32380317,-17.36921442,90.72076504,1778.327927,-556.2450214,95.44008675,-0.659601083,-0.298528029,-0.689787958,,,,,,,,,,,,,,,,,0.997239356,0,,,medium,high,8.351311461,-38.29950147,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
6,6/24/2025,7:20:02 PM,2,2,Braden Alexander,,Right,Kcl bobcats 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Stretch,1,Top,1,1,0,Slider,,Foul,,,,,,,66.73794192,2.391994137,0.132547108,1919.198732,68.06995551,8:15,5.39051409,1.224288011,6.000000192,-64.40633348,-0.249136188,-11.62977508,2.247721989,0.378328702,60.19167203,-9.775019408,-2.082275284,0.576493234,,,,,,,,,,,,6.346549407,-0.984504623,-1.228381945,50,5.548347045,0.055457343,-96.89407106,2.499012622,5.875748581,18.82894526,-33.08552152,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,d6412955-27bd-400d-96d0-c59ed1c78acb,66.89974064,5.376869374,1.2258824,2.551851471,0.113262167,60.28330652,2.259196421,0.377453589,-9.604567939,-2.095247018,0.576292164,-11.4443285,-4.238393284,-60.7444734,35.23670652,937.9227637,-1674.402777,48.87053895,0.182518886,-0.872448877,0.453342932,,,,,,,,,,,,,,,,,0.985036648,0,,,medium,high,58.28696413,24.94838816,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
7,6/24/2025,7:20:47 PM,2,3,Braden Alexander,,Right,Kcl bobcats 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,,1,Top,2,1,2,Fastball,,InPlay,,GroundBall,Out,2,0,,83.38641982,-0.070898887,-3.310631105,1670.391883,221.4418414,1:30,5.861545631,2.38851456,6.000000192,-24.88610035,16.08491386,11.66097502,3.721700668,0.279954093,74.64683348,-4.788004168,-1.098279126,0.460691161,50.11648681,-32.95868759,3.496015503,,-6.833685742,-109.7875254,31.14147191,6.233465635,,2.335756823,0.07703837,-7.434318967,8.725845953,-2.12529764,50,5.841356487,6.648398272,-121.0111367,-0.900328738,-10.79154899,28.25311513,-19.50773886,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,f38874e0-1d6a-43ca-a01d-84895415a797,83.62983021,5.861684993,2.394727775,-0.073978834,-3.384768366,74.84322447,3.722436743,0.275200133,-4.775314498,-1.172185312,0.460491506,12.35903056,14.67364174,-23.03692124,77.44761952,1537.182932,-653.664803,92.02528749,-0.689847261,-0.391324221,-0.609078082,2.564226696,41.97263757,-27.26508183,-0.157540498,1.515030367,3.461511715,0.254047112,6.228286593,,,,,,,,,0.996461047,0,,18.83534305,medium,high,20.29714243,64.04711783,54.66700175,Zach Pomatto,,Kcl bobcats 2025,2022-11
8,6/24/2025,7:24:04 PM,1,1,Caden Addis,,Left,Kcl bluecaps 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,,1,Bottom,0,0,0,Fastball,,InPlay,,LineDrive,Out,1,0,,78.8175372,-0.44108526,1.434009446,1598.136784,123.4562455,10:00,5.295779827,-0.715207708,6.000000192,-32.57503719,13.21884308,-15.92092893,2.171114875,-0.708914191,70.79536337,-6.603732952,-1.59280129,0.487051903,74.20293627,9.511097424,-41.45503477,,-71.95905931,83.19791935,0.466863268,112.0096489,,-40.86772263,1.184223056,9.109005565,7.305319748,0.607581416,50,5.241006186,-2.413089234,-114.5220253,-1.810402362,11.82594997,25.57219522,-22.68977106,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,c4e9bcd3-b4a8-4e57-8b97-fbc4787ca6ec,79.03653223,5.293539304,-0.723063694,-0.41583187,1.527834879,70.96383348,2.173779048,-0.702809562,-6.562732459,-1.499975537,0.486847123,-16.80051029,11.3230827,10.7341091,60.45910626,1570.172733,297.6554521,98.25020918,-0.541653421,0.186251549,0.819708443,-48.44943618,54.84880182,12.26119176,0.816188883,0.666544943,2.064939893,-73.28958254,84.70418259,,,,,,,,,0.994467835,0,,38.52478511,medium,high,35.58680437,-86.98849201,54.66700175,Zach Bava,,Kcl bluecaps 2025,2022-11
9,6/24/2025,7:24:38 PM,2,2,Caden Addis,,Left,Kcl bluecaps 2025,Cody Delfavero,,Left,Kcl bobcats 2025,,1,Bottom,1,1,0,Slider,,BallCalled,,,,,,,69.85869701,3.327229605,-2.772444658,1568.224101,236.0581238,1:45,5.327772001,0.573432326,6.000000192,-53.66335422,4.994139158,4.381187136,3.955240262,-1.640174184,62.55238716,-6.840050638,-1.940176385,0.551230542,,,,,,,,,,,,-3.336651253,1.543822044,-0.349957831,50,5.568422267,4.792410634,-101.2405748,4.541961451,-3.380777456,20.18881511,-30.60981096,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,a9929d6d-2b3c-4dfb-8433-8a1ebe5b8588,70.06596775,5.318597042,0.569465374,3.43343144,-2.725216302,62.69556981,3.963477499,-1.637506026,-6.714156746,-1.899679541,0.550988299,3.932869398,1.78665485,77.17017829,75.48116192,348.2335841,1529.071679,22.20560084,-0.123985327,0.975033912,-0.184218646,,,,,,,,,,,,,,,,,0.994280236,0,,,medium,high,22.06695427,-11.68313199,54.66700175,Zach Bava,,Kcl bluecaps 2025,2022-11
10,6/24/2025,7:24:49 PM,2,2,Caden Addis,,Left,Kcl bluecaps 2025,Cody Delfavero,,Left,Kcl bobcats 2025,,1,Bottom,1,1,0,Fastball,,BallCalled,,,,,,,80.7002178,-3.752745753,3.19968194,1682.300096,133.7864578,10:30,5.929775738,-0.914895055,6.000000192,-27.57004518,16.24620941,-13.72995896,0.134044169,0.917801044,72.9008726,-8.922651596,0.597446116,0.476419082,,,,,,,,,,,,8.485527811,10.03201002,0.661960046,50,5.607188005,-6.134105157,-116.8961193,-8.484091678,11.52521278,25.81922108,-18.54837388,KCL BobCats 2025,KCL BlueCaps 2025,,,,ec922003-abed-4f9f-9342-e8fefb76ea90,6e5a6e46-0663-4aac-849c-f2742dc65c5f,80.9207872,5.92903873,-0.921607156,-3.745149324,3.279513674,73.07490532,0.135444683,0.922956662,-8.900427882,0.676314637,0.476224732,-14.48074019,14.76825409,12.4340545,56.9795985,1642.840864,362.2257727,97.65444747,-0.675741982,0.215315789,0.704990698,,,,,,,,,,,,,,,,,0.997217006,0,,,medium,high,38.71836135,30.76650684,54.66700175,Zach Bava,,Kcl bluecaps 2025,2022-11
