PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,06/25/2025,5:01:49 PM,1,1,Madden Johnson,,Right,Kcl groundsloths 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,1,Top,0,0,0,Fastball,,StrikeSwinging,,,,,,,85.51043153506710,-1.740336284595080,-5.995620656126360,2084.0012052198700,220.69664893389100,1:15,5.505550876685200,3.9991885809340000,6.0000001920000000,-21.203996964319800,17.98011723227150,12.598693794463700,2.1116968077023800,-0.5436408913241460,76.70774464842870,-5.742563055805360,-3.622462467706000,0.45053292956922900,,,,,,,,,,,,-8.79873487313591,10.297852810153000,-3.5163390671508300,49.999999999999900,5.350663569925750,12.591410620002400,-123.59061942854300,-4.430416246681470,-13.36488038671080,28.755488387973000,-16.532076844230500,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,38f3da75-8b65-44a6-ac03-8ecdec9fe94f,e97263bb-504e-4ae4-8dd0-970b08f59d9d,85.75372106141610,5.506950902226250,4.005788844382750,-1.7580608748457800,-6.073686376401780,76.90461427796540,2.111395209624680,-0.5486955052121350,-5.745530034784400,-3.699805745107710,0.4503472141625380,13.339210989136500,16.906619421845600,-22.671771917861100,57.05361856615350,1922.9664758211300,-803.2813680311080,92.2728101598315,-0.6995870478669350,-0.3854514891925700,-0.6016686064072620,,,,,,,,,,,,,,,,,0.8776379173104440,0,,,medium,high,38.651743290461800,34.90423482941780,54.667001749344000,Will Vogel,,Kcl groundsloths 2025,2022-11
2,06/25/2025,5:02:01 PM,1,2,Madden Johnson,,Right,Kcl groundsloths 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,87.43011998478870,-1.901668487561450,-6.9913564692098200,2055.4317088581800,222.32395895360600,1:30,5.211119504883440,3.9745012614289100,6.0000001920000000,-20.667226091953700,16.960638823013400,12.086080348569300,1.7075578822814600,-1.5484901258345100,78.40662238014260,-5.797483508271840,-4.722820809481810,0.44149552970015900,,,,,,,,,,,,-8.848496877410560,9.799390979980770,-3.4091958286371500,50.0,5.0430054347784300,15.083846464114700,-126.1066644924910,-4.869590464209770,-13.997336922011900,29.87018488631410,-16.672504060512300,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,38f3da75-8b65-44a6-ac03-8ecdec9fe94f,e156e574-3170-46a7-a54f-5e03b7199fd0,87.68001347183340,5.212451246411550,3.9811600692324800,-1.9181833360661200,-7.0689175984215,78.60697306607580,1.7072997915961500,-1.5535239529584400,-5.79962645395182,-4.798825761940490,0.4413130652704260,12.82394142751590,15.942195506472200,-28.743572659976500,71.1015066428924,1802.1628617585100,-988.4374180887980,87.67807045069050,-0.648247464603748,-0.48089042016282200,-0.5903555102058730,,,,,,,,,,,,,,,,,0.9916581920171020,0,,,medium,high,26.008644021396800,82.28530209980580,54.667001749344000,Will Vogel,,Kcl groundsloths 2025,2022-11
3,06/25/2025,5:02:16 PM,1,3,Madden Johnson,,Right,Kcl groundsloths 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,1,Top,0,1,1,Slider,,BallCalled,,,,,,,75.07429546254500,0.006601030635069360,-4.960946003344750,1955.5845770119400,47.60357721313250,7:30,5.085518427677480,3.7018680271891900,6.0000001920000000,-52.6090771030798,-1.4524385328468100,-8.762641357127220,0.7075864712532970,-1.6505805798936300,67.71143153177300,-9.869135283402300,-6.6163182844112400,0.514781015617034,,,,,,,,,,,,2.9326142901580700,-0.789850987650016,-3.2917283175376300,49.99999999999990,5.055827550846840,9.667290098486380,-108.65787841355300,-1.401828666744460,3.4020842013346700,24.296963710433400,-33.09034450262470,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,38f3da75-8b65-44a6-ac03-8ecdec9fe94f,7f4de951-3695-4598-a3bd-69193944579b,75.2559059234277,5.074031987310960,3.703736032798850,0.1401261958294110,-4.983202594839390,67.82914193899820,0.7172272398016650,-1.6516836771954400,-9.726622546256680,-6.632478815747800,0.5145929353107980,-8.54819429171908,-4.839407906892560,-64.80365100905400,11.975326810335600,832.5346420530840,-1769.5188915715200,42.5721624029766,0.28704547914694500,-0.9048541865038030,0.3143943289371520,,,,,,,,,,,,,,,,,0.9431347949457610,0,,,medium,high,79.22220587069800,50.40044244400950,54.667001749344000,Will Vogel,,Kcl groundsloths 2025,2022-11
4,06/25/2025,5:02:28 PM,1,4,Madden Johnson,,Right,Kcl groundsloths 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,1,Top,0,2,1,Fastball,,Foul,,,,,,,85.2051288134171,-0.7990231577354540,-5.842632569732300,2070.1641217426000,218.40604913969200,1:15,5.197470681624090,3.250744806981510,6.0000001920000000,-22.626532075750200,16.84436405800610,10.246742103074100,2.5653929724120700,-1.3443660438121300,76.30900377238870,-5.0743185753574900,-3.91126178099994,0.45217861128542500,,,,,,,,,,,,-7.505646237416470,9.378191919300680,-2.779118096175100,50.0,5.118928745903480,12.293394391566800,-123.21506796398900,-2.422898826836060,-11.313527153859600,28.936960435038600,-18.037967818091400,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,38f3da75-8b65-44a6-ac03-8ecdec9fe94f,403edbc2-fd34-47f8-ad24-8cf192a70cd6,85.45320934357280,5.19850578608501,3.256760461641180,-0.8127156559960410,-5.914826104196230,76.51372160570610,2.565418485188090,-1.3492070464730900,-5.072281080414410,-3.983681374014550,0.4519844012258030,10.930152902054100,15.658584241897000,-36.397621321620100,65.37623284195970,1666.3132537391300,-1228.4053204718800,80.49184295284180,-0.6307565175039160,-0.5933854748858490,-0.5000398922294380,,,,,,,,,,,,,,,,,0.9848356635116180,0,,,medium,high,31.161390442236300,37.918845259181500,54.667001749344000,Will Vogel,,Kcl groundsloths 2025,2022-11
5,06/25/2025,5:02:45 PM,1,5,Madden Johnson,,Right,Kcl groundsloths 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,1,Top,0,2,2,Curveball,,BallCalled,,,,,,,75.3886293734773,3.1434762430050000,-1.9195618911416800,2210.3247960506100,52.05316668140750,7:45,5.227579562679060,3.7486824705138600,6.0000001920000000,-55.9213574668812,-5.44096537177446,-12.525783337516400,3.493570013236670,0.9201706796030650,67.52582872314140,-7.452205655776770,-4.30082372229353,0.5113672165293720,,,,,,,,,,,,6.095913626585430,-4.082976115742740,-3.5850587248281500,50.0,5.451850225452820,4.002794386091330,-109.3098442172340,4.491983870816920,7.169594889561500,24.281668255604500,-36.9761656405918,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,38f3da75-8b65-44a6-ac03-8ecdec9fe94f,37ad813f-0955-461f-afe2-0c0a8adb534a,75.55937927197590,5.21382097748108,3.7481689316386000,3.304168469378310,-1.9138577067453300,67.62596815586990,3.5045253822921900,0.9208173817424180,-7.28706546734792,-4.2907026661130700,0.5112032084565060,-12.57554888448300,-8.972011750493500,-49.33245590456070,2.903684674763070,1440.3997931903300,-1676.5393344068600,65.16688387896770,0.4007307116602830,-0.7585036087920170,0.5138941254594470,,,,,,,,,,,,,,,,,0.9960229412947850,0,,,medium,high,87.38668379271320,8.556668081392240,54.667001749344000,Will Vogel,,Kcl groundsloths 2025,2022-11
6,06/25/2025,5:03:01 PM,1,6,Madden Johnson,,Right,Kcl groundsloths 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,1,Top,0,3,2,Fastball,,InPlay,,LineDrive,Double,0,0,,86.56891000328450,0.25262193556430400,-3.078175373215510,2024.9929339814500,216.77681247590700,1:15,5.287085373716960,1.9296569449576500,6.0000001920000000,-21.126578408897000,16.891676760350400,10.460565459450200,3.761663074173620,-0.06222153329848950,77.36345671404010,-3.7567964130643700,-1.0926030726105200,0.44377988476650000,88.81040440711530,18.11537267627530,-33.58216583956830,1835.7294772735500,-66.05244343598270,87.96064290971210,23.779956987518400,218.1983275368720,,-41.36222713900100,2.2337046092122300,-6.712073069899550,9.053134250793720,-1.684735727995300,50.000000000000100,5.295470247748670,6.429722201723800,-125.6517343653590,-0.10627740846437700,-10.498303928776400,30.603728670533300,-18.01410914985240,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,38f3da75-8b65-44a6-ac03-8ecdec9fe94f,7a9ae3e8-f9a0-4a83-b18b-04511d410e9c,86.82510953533790,5.288461663459580,1.9357788809471500,0.23502716280085500,-3.1502945947566400,77.5707026511357,3.761435732330120,-0.0669238517578245,-3.7589348371963100,-1.1636140688965400,0.4435808350888820,11.137381181654600,15.695487225938300,-31.36426933789790,86.48398858538280,1729.0919341032700,-1053.9627441678500,85.38755395573680,-0.6839318753677950,-0.5204772453677620,-0.5112148539609130,-46.68894331232810,70.31998586193260,27.61394741269660,-0.3539590713039360,3.2990937146150600,4.075669557661410,-144.1892084651250,163.76807473402500,-17.227195728458900,-29.487370847680200,-0.16411452349838000,-0.03366773845889130,-0.25534031024772400,0.9662648753575080,,,0.9856624444290090,0,0.9958995124444430,48.55286252120000,medium,high,12.164410273155500,-83.13675105681250,54.667001749344000,Will Vogel,,Kcl groundsloths 2025,2022-11
7,06/25/2025,5:03:50 PM,2,1,Madden Johnson,,Right,Kcl groundsloths 2025,Grayson Schnierle,,Right,Kcl bluecaps 2025,Windup,1,Top,0,0,0,Slider,,BallCalled,,,,,,,74.78075719989680,4.417005288841800,-1.5176639791269800,2067.8457844526000,66.99781941586490,8:15,4.562106211519450,3.73726897373413,6.0000001920000000,-51.79169471307010,-0.44607728758894900,-9.99514341072199,4.360863368950040,1.4935030371054500,66.68142752920470,-5.413863335304370,-3.4181722245614100,0.5157309710065420,,,,,,,,,,,,4.875534319459750,-1.8119051442106400,-3.607858417534170,50.00000000000000,4.892880603332050,3.138139398016800,-108.3060144668290,6.976992233162650,5.640268285822740,23.50912962345500,-34.27015443363090,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,38f3da75-8b65-44a6-ac03-8ecdec9fe94f,6bbd402f-c3d3-4f90-b4ee-8e8105596c86,74.98047896516940,4.55117584990215,3.738165118348100,4.546215347996740,-1.528815309504010,66.81596391151090,4.370284423007760,1.493119838843760,-5.270405471180930,-3.4236735465645500,0.5155362289009780,-9.886039876052750,-3.667102990057770,-61.66486391972460,2.554031457196490,981.4576238965030,-1820.0898661258000,47.46280555715200,0.18546858323702500,-0.8801864625546100,0.43689037042220600,,,,,,,,,,,,,,,,,0.9968762121695640,0,,,medium,high,92.29862831147680,5.734136363993280,54.667001749344000,Will Vogel,,Kcl groundsloths 2025,2022-11
8,06/25/2025,5:04:14 PM,2,2,Madden Johnson,,Right,Kcl groundsloths 2025,Grayson Schnierle,,Right,Kcl bluecaps 2025,Windup,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,84.89810503650620,1.377827587764530,-4.926907869115130,2002.052552153150,216.83993367102900,1:15,5.206418147278130,3.7956289613837300,6.0000001920000000,-22.763579918222,16.96449961840960,10.371061209438800,4.594994181725070,0.06952719065297420,75.70725352066880,-2.9371647088139900,-2.9651138458536100,0.45364936601302100,,,,,,,,,,,,-7.29705215044323,8.706693271709640,-3.399318035020330,49.999999999999900,5.3059164285311,10.278197346395800,-122.91490793275500,2.270507854547680,-10.922240232187400,29.269947047058400,-19.141856094576700,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,38f3da75-8b65-44a6-ac03-8ecdec9fe94f,7131c6f4-ed62-4c33-9523-ed59bff41789,85.15474378678350,5.2075849772167,3.8017896838858900,1.3622841956669100,-5.000184060253210,75.91685866573560,4.59496233881877,0.06468679173899500,-2.936168905404950,-3.0380779713246300,0.45344480107013200,11.062440927275900,15.69413350754210,-34.48811900748900,81.77749796616530,1650.17904147269,-1133.6329003108600,82.42436192286610,-0.6596534380196540,-0.5662353363759960,-0.4942012601643310,,,,,,,,,,,,,,,,,0.9971493875719690,0,,,medium,high,16.400251830451300,66.15240346977590,54.667001749344000,Will Vogel,,Kcl groundsloths 2025,2022-11
9,06/25/2025,5:04:26 PM,2,3,Madden Johnson,,Right,Kcl groundsloths 2025,Grayson Schnierle,,Right,Kcl bluecaps 2025,Windup,1,Top,0,2,0,Fastball,,StrikeSwinging,,,,,,,86.03027558588060,-0.7050212041292180,-6.216390806662340,2018.8311246600300,218.8736574355710,1:15,5.272225178109920,3.690825416831020,6.0000001920000000,-22.194344399626300,16.572670396722400,10.229823191834500,2.763545274423640,-1.2569406396122400,77.0167680404738,-4.897535018068790,-4.290511011196870,0.4481286418425960,,,,,,,,,,,,-7.621950742652370,9.199508736722180,-3.1884051167843400,50.00000000000000,5.20159149710283,13.22479120177360,-124.32580142139400,-2.2273535262806400,-11.697606976912100,29.447376541933500,-18.05532313180660,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,38f3da75-8b65-44a6-ac03-8ecdec9fe94f,7d743850-10ef-4f95-8cc9-9696fdace647,86.28258893433220,5.273260657875530,3.696929195143040,-0.7185719769659500,-6.288270572726640,77.22145228777170,2.7635630601911200,-1.2615795424313800,-4.8956238859761500,-4.361449734752690,0.44793679247027500,10.912188695370100,15.411678547855300,-36.48959560543020,89.34661622482810,1623.0692792739400,-1200.5520499225600,80.39648584015470,-0.625912193372144,-0.5946768084055240,-0.5045725118679090,,,,,,,,,,,,,,,,,0.9927160131041250,0,,,medium,high,9.588045397654680,62.158478852607100,54.667001749344000,Will Vogel,,Kcl groundsloths 2025,2022-11
10,06/25/2025,5:04:41 PM,2,4,Madden Johnson,,Right,Kcl groundsloths 2025,Grayson Schnierle,,Right,Kcl bluecaps 2025,Windup,1,Top,0,2,1,Fastball,,InPlay,,GroundBall,Out,1,1,,86.39160116259960,-0.815123341510169,-3.1633111229375400,2055.9274189624800,221.53645626481400,1:30,5.240779318241400,2.431126016364100,6.0000001920000000,-21.917815970128200,16.23872188623530,11.677557125185700,2.655516824190030,0.46130367092186600,77.37954121318280,-4.967621322136060,-0.9477173626531660,0.4445862260066200,46.886007131036600,-14.365618362210200,-10.700267275392100,,,,,9.914340350000070,,-11.360743577849300,0.12397486335691900,-7.389844021707140,9.060914360512760,-2.179958640776010,50.00000000000000,5.1615885031905800,6.5644338169261200,-125.38045696446200,-2.4714424596502600,-11.519066100527000,30.260906067636400,-18.05016941432500,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,38f3da75-8b65-44a6-ac03-8ecdec9fe94f,338452c5-a0c5-4f26-9f13-7f21d1925000,86.63818688582110,5.24178091021152,2.4375968904201900,-0.828430380333567,-3.2412914249969400,77.58077138968400,2.655537082435160,0.45620393853676400,-4.966025506466860,-1.0254700383221100,0.44439693484814400,12.411125127752000,15.038791318974700,-30.18348183858810,56.577139757892700,1777.184332240430,-1033.6601962351400,86.44197824538390,-0.6470475594874730,-0.5027707625771980,-0.5731936985512390,-8.43318321167983,44.63021984549360,-11.632822621907600,-0.4469065360123580,1.6798490190039000,2.5107436468658400,-1.9529828525129900,9.72008243552645,,,,,,,,,0.9936217975972820,0,,17.339758629840400,medium,high,39.08057421789660,-48.39076419689320,54.667001749344000,Will Vogel,,Kcl groundsloths 2025,2022-11
