PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,06/26/2025,7:35:02 PM,1,1,Jackson Beiler,,Right,Kcl bobcats 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Windup,1,Top,0,0,0,Fastball,,StrikeSwinging,,,,,,,87.342428444779,-2.5316282941205572,-3.6942113831733545,1831.687989199837,213.62125777411376,1:00,5.988421666445608,3.03401411149958,6.0000001920000035,-19.021079046346426,18.356268742235255,10.23076755469793,2.0440176029805914,0.4484357890199228,78.43144406172186,-6.122999701702125,-1.7566911869046182,0.4400233906666494,,,,,,,,,,,,-6.765921409849717,10.77225520999943,-2.738618092133964,50.000000000000064,5.7706163379812345,7.8504230745511805,-126.59452087288311,-6.209865967538153,-10.771067142911502,30.42676997645151,-15.025064677814479,KCL BobCats 2025,KCL GroundSloths 2025,,,,f2add6b0-ef67-4b0a-aeca-c2afdb13f46b,f67cd6fa-a12c-4055-a479-7f0a13d238e3,87.58974466726085,5.9899682356667805,3.039118705502367,-2.5511774799676306,-3.755308430981798,78.63429324572371,2.0435350953027376,0.4444117029847271,-6.1289894501398114,-1.8177759583339206,0.4398373906897041,10.805509815112092,17.308918346023223,-17.52668709919128,78.83819979134094,1746.6551427728102,-551.6128189266777,95.35767844041098,-0.7940585169437074,-0.3011499896156697,-0.527995980499513,,,,,,,,,,,,,,,,,0.9977309659379009,0,,,medium,high,19.0456201877931,69.89375998697064,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
2,06/26/2025,7:35:19 PM,1,2,Jackson Beiler,,Right,Kcl bobcats 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Windup,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,86.47383849557085,-1.4321483710178344,-2.4388653649914973,1771.2090305697873,213.2151010504466,1:00,6.249292557623573,2.918199384613386,6.0000001920000035,-20.176669571658074,17.871315870991822,9.832823151168627,3.235389435478846,1.469565342670793,77.5231964400785,-5.251990995175398,-0.5722299863606747,0.4439533687794601,,,,,,,,,,,,-6.144648694819437,10.152264714148762,-2.7251161309895298,50.000000000000036,6.120824604347985,5.039811706087852,-125.55219342139243,-3.7731607165508327,-9.605762892468903,30.309799265957576,-16.30328910657486,KCL BobCats 2025,KCL GroundSloths 2025,,,,f2add6b0-ef67-4b0a-aeca-c2afdb13f46b,caf6232e-9629-44ba-8336-1761510753b9,86.72320970054527,6.250603833425014,2.923304910309269,-1.4490522626605253,-2.4998684510940237,77.72820725098511,3.2351349870790385,1.4655031244555998,-5.254636313056912,-0.6334073390118142,0.443758488026499,10.404426157092823,16.70873030090029,-20.090733238365072,63.4293722411607,1663.4306434929993,-608.4241318853415,93.91498207063023,-0.7857114919733873,-0.34350780816062976,-0.5144510055521652,,,,,,,,,,,,,,,,,0.997056553176125,0,,,medium,high,32.913564982955364,79.75412217921553,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
3,06/26/2025,7:35:34 PM,1,3,Jackson Beiler,,Right,Kcl bobcats 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Windup,1,Top,0,1,1,Changeup,,Foul,,,,,,,82.36286671616844,-2.2259947100460087,-3.7791692067037834,1478.9379899501662,220.4386985264392,1:15,6.285589516773035,3.050371391347375,6.0000001920000035,-26.014582939480317,16.014610273966024,12.1819836519649,2.0433298332803,0.5480983458377902,74.09870922802817,-7.131276182567056,-1.4716524510029332,0.46660248688022715,,,,,,,,,,,,-7.851494670631478,9.405232383478925,-2.7491560472508763,50.000000000000014,6.088703860799992,7.523391681239046,-119.39069821354151,-5.425930951894838,-11.115380050865449,27.09672833887569,-18.85903928609908,KCL BobCats 2025,KCL GroundSloths 2025,,,,f2add6b0-ef67-4b0a-aeca-c2afdb13f46b,ceed6b58-2882-45ed-b687-925f4b55f104,82.59661334666625,6.2844912510915805,3.055135792511506,-2.2141191877069075,-3.8355740141451378,74.28416675880986,2.0449565830642698,0.5443658078069533,-7.105597821639375,-1.5285792472629005,0.46640346654618803,12.711873667585396,14.508631177370768,12.641335477860924,15.798254005373144,1443.0872467654642,323.6615150751024,97.57591302486523,-0.742650647613063,0.21884725206498237,-0.6329106539342693,,,,,,,,,,,,,,,,,0.996043398654309,0,,,medium,high,104.21842860483584,-29.619749965111012,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
4,06/26/2025,7:36:07 PM,1,4,Jackson Beiler,,Right,Kcl bobcats 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Windup,1,Top,0,1,2,Fastball,,BallCalled,,,,,,,88.43712550966094,-0.976118697834743,-3.995568944356192,1687.471542169624,212.36812584918766,1:00,6.437292475938617,3.8670337328876467,6.0000001920000035,-18.899545632641676,17.569764161876613,9.373262648295622,3.9528333531409197,0.9286511407297822,79.16503004342994,-4.555773015209623,-2.2203620434143017,0.43464560694598997,,,,,,,,,,,,-6.421680919855718,9.833982100249466,-3.546476250114696,50.0,6.346636359013059,8.657127912937685,-128.2301087135949,-2.79427541450114,-10.473961175804556,31.563141583432387,-16.134519125510522,KCL BobCats 2025,KCL GroundSloths 2025,,,,f2add6b0-ef67-4b0a-aeca-c2afdb13f46b,e3c9043a-2a93-4617-8062-174873019b74,88.69398278989827,6.438713901062249,3.8718403566949675,-0.9942112596890966,-4.052717121113892,79.37551416602946,3.952456070000407,0.9248955114751796,-4.560264980184716,-2.27753630264185,0.43445623760680707,9.91102787085139,16.4833915669844,-20.30076421860315,65.20201232231881,1582.6530761457839,-585.4651537014107,93.78843059545335,-0.7921613572912526,-0.3469481642035063,-0.5021029330429143,,,,,,,,,,,,,,,,,0.9974732661565642,0,,,medium,high,31.318188909913072,82.10706327264879,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
5,06/26/2025,7:36:23 PM,1,5,Jackson Beiler,,Right,Kcl bobcats 2025,Trey Thompson,,Left,Kcl groundsloths 2025,Windup,1,Top,0,2,2,Fastball,,StrikeCalled,Strikeout,,StrikeoutLooking,1,0,,87.23247780850934,-2.7174093778759456,-3.913002467310876,1673.6283888267908,213.9392632258213,1:15,6.177246170188177,3.7814819661677426,6.0000001920000035,-19.711539717528186,17.785171877117033,10.025889346405204,2.0012736564458926,0.9745883794966987,78.371205878973,-6.436134101279043,-2.0152051589423263,0.4407254335337261,,,,,,,,,,,,-6.726505190201715,10.52435210705016,-3.4680675636015117,49.99999999999995,5.943786605336048,8.328643037583886,-126.38557687586032,-6.634517108817595,-10.674625108983111,30.290596364164212,-15.472432612397695,KCL BobCats 2025,KCL GroundSloths 2025,,,,f2add6b0-ef67-4b0a-aeca-c2afdb13f46b,1157067c-bca6-4b6b-a1c5-9e37adc966b6,87.48056904234413,6.178411471831444,3.7864796836760637,-2.7321081415448525,-3.9718969749239252,78.57262257900585,2.0011075309072712,0.9707371335809857,-6.43736989334742,-2.0736962606104234,0.44053748428788553,10.579655726284377,16.693569272349038,-15.643363684444441,55.34515424978571,1611.6351201455263,-451.29172760031196,96.2958761278708,-0.7988993642775337,-0.2696487049414036,-0.5376331292623031,,,,,,,,,,,,,,,,,0.9957934798593151,0,,,medium,high,40.18936117519286,83.3328848372019,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
6,06/26/2025,7:36:58 PM,2,1,Jackson Beiler,,Right,Kcl bobcats 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,87.25867796401452,-0.7696990331998816,-5.4218807865925776,1707.3791153419397,213.6177351106768,1:00,6.190043559237998,4.617725437919033,6.0000001920000035,-19.801720441993464,17.786958594389095,9.890263850994273,3.8212885555843132,0.38775713823346875,78.09045663362853,-4.5154860352523665,-3.5553752444830646,0.44126558180396086,,,,,,,,,,,,-7.175002276226714,9.879057587491886,-4.1804965174969935,49.99999999999999,6.1155884147995225,11.67363971501823,-126.27478649807311,-2.3277375271083187,-11.355974499924416,30.453082405029722,-16.53832966176316,KCL BobCats 2025,KCL GroundSloths 2025,,,,f2add6b0-ef67-4b0a-aeca-c2afdb13f46b,1d3cefb5-8d6e-481c-8fa7-852183d8be73,87.51502883837325,6.191405634623381,4.6228532923047005,-0.7869404132490105,-5.482150175751195,78.29866997963715,3.820996655842046,0.38379732872970684,-4.518511498317931,-3.615256730728695,0.441072552416654,10.459502921779318,16.68119877215967,-20.438425310507284,65.16760614577827,1599.8961996201497,-596.2177403825106,93.70480084030639,-0.7803266410677323,-0.3492005583441291,-0.518796013180613,,,,,,,,,,,,,,,,,0.9963049831219588,0,,,medium,high,31.349154468799544,-88.26229114067185,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
7,06/26/2025,7:37:15 PM,2,2,Jackson Beiler,,Right,Kcl bobcats 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,1,1,0,Slider,,StrikeSwinging,,,,,,,78.49751763136275,-0.9364137388541479,-3.3181033191720393,1835.1136585522383,42.1623379847443,7:30,6.064919922124419,2.9157876822766484,6.0000001920000035,-43.53106138085452,2.9051941377909216,-2.7371222925178023,1.5654952233603205,-0.3995822075766853,70.75180762350737,-9.130434708670833,-3.837395217767276,0.4904560753460164,,,,,,,,,,,,0.3092313537009252,1.9047223698724163,-2.6436322344714416,49.99999999999999,5.963408783431783,6.678895707098106,-113.86521430348841,-3.0947576516011064,0.39560466024771146,25.887163770370947,-29.73730752546379,KCL BobCats 2025,KCL GroundSloths 2025,,,,f2add6b0-ef67-4b0a-aeca-c2afdb13f46b,fd78c793-2bf0-4a7c-a1ab-9d821fc950b2,78.70688633610398,6.05723675938982,2.9195537333388675,-0.8465587757273385,-3.363205943105713,70.90457300130976,1.5723537846417166,-0.40220873181843847,-9.026745044478725,-3.8770451682562057,0.49025780612159825,-2.309102170461335,0.266504811318055,-86.29615364905504,65.7143356602009,118.5470324542042,-1831.2806286588855,6.4599286208642015,0.04788396093745167,-0.9979112847449586,0.04336120459127777,,,,,,,,,,,,,,,,,0.9963095124421864,0,,,medium,high,30.85709790581921,-72.16577299485859,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
8,06/26/2025,7:37:29 PM,2,3,Jackson Beiler,,Right,Kcl bobcats 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,1,1,1,Fastball,,BallCalled,,,,,,,87.10817594163882,-1.1673947462598813,-2.567847195434781,1777.6242133029389,211.26134831827477,1:00,6.395988173068661,2.4157537903388513,6.0000001920000035,-19.53781343102491,17.96378792092406,9.146981457647973,3.6816268203753935,0.7898621931476529,78.03673378821543,-4.868702532230697,-0.8315573883036863,0.4407541689889636,,,,,,,,,,,,-5.819010012521756,10.113680071643172,-2.2117463591076656,50.000000000000014,6.28947859214956,5.383666445389052,-126.4724214708531,-3.195602029120621,-9.228819288782711,30.799456517207044,-16.133979965066544,KCL BobCats 2025,KCL GroundSloths 2025,,,,f2add6b0-ef67-4b0a-aeca-c2afdb13f46b,00d0802b-9e71-4349-8dde-5803dcf1710e,87.36225782795583,6.397501024793226,2.420678175073123,-1.1864349636455043,-2.6260132007747665,78.24383277099115,3.681238761328488,0.7860979053955973,-4.873444296273083,-0.8892420118318906,0.4405596729596649,9.69276133103756,16.831122875299865,-22.163413040797085,70.86873862547986,1646.2785285090488,-670.6078215253484,92.61116698282133,-0.7916486855879143,-0.3772494864250957,-0.48059877611051943,,,,,,,,,,,,,,,,,0.9939045285013647,0,,,medium,high,26.218135237068072,81.07607915543247,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
9,06/26/2025,7:37:48 PM,2,4,Jackson Beiler,,Right,Kcl bobcats 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,1,2,1,Slider,,StrikeCalled,,,,,,,76.77173985042911,1.3011556855171582,-4.132237773157459,1813.683532824843,15.714925053314907,6:30,6.012668324035119,3.143951307730423,6.0000001920000035,-48.82729124004906,-0.15353636235797552,-2.4312015831426366,3.156373369284889,-0.9057970570932495,68.93575498920575,-7.921188859765145,-4.592743777717251,0.5021332124808009,,,,,,,,,,,,-0.15183750855452835,-0.5461186490311761,-2.805375707051936,49.99999999999995,6.09080586125355,8.10387088145642,-111.24089345097079,1.1854272335187443,-0.1852935326487949,24.808864168026826,-32.840500548530336,KCL BobCats 2025,KCL GroundSloths 2025,,,,f2add6b0-ef67-4b0a-aeca-c2afdb13f46b,9636615f-667b-45b4-aeab-a1dc4ea89c7a,76.97402955549772,6.003102947921165,3.1484717529856607,1.4126381417409164,-4.186020852718173,69.07611600907295,3.1646597544432304,-0.9089664834782581,-7.7963202967944705,-4.64019259086802,0.5019394654348166,-1.92048031909559,-3.0967229109651173,-77.35135017488213,62.301570963181916,397.14555039529796,-1769.6675871590176,21.897180142377813,0.21078690366076694,-0.975731187459551,0.05930877729207614,,,,,,,,,,,,,,,,,0.9963854078026272,0,,,medium,high,33.92858613313631,-67.7570708898833,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
10,06/26/2025,7:38:27 PM,2,5,Jackson Beiler,,Right,Kcl bobcats 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,Windup,1,Top,1,2,2,Fastball,,InPlay,,LineDrive,Single,0,0,,87.06050490161695,-2.7052877928598917,-5.623315499857988,1717.931196433879,209.76014951880273,1:00,6.373618090799792,4.039706552843493,6.0000001920000035,-19.54812602222633,18.27059942006137,8.330334597518233,2.216292820612069,-0.5092183405038144,78.19225552525707,-6.3874940181768025,-4.053757627220623,0.44261381645896747,64.3660506805591,23.91657273140905,-31.778967931758743,3286.6030883829494,-64.24597984585955,89.28859987235928,25.896265151384647,184.81124793570567,,-38.2964507651965,2.7075600175425705,-6.37650518380462,10.78089213168696,-3.585017803768759,49.999999999999986,6.140690350961177,12.127468061025972,-125.82736341236667,-6.588391286210874,-10.034003031641998,29.930635260178622,-15.209348513082801,KCL BobCats 2025,KCL GroundSloths 2025,,,,f2add6b0-ef67-4b0a-aeca-c2afdb13f46b,27e3ff2f-d1ea-449a-9ed3-4cd939b9ad13,87.31008041055775,6.374991066314671,4.0441007125835435,-2.722693443714566,-5.675772274564621,78.39923662962791,2.2159503954651587,-0.5127497613662635,-6.391099988373465,-4.106574226939522,0.4424245067464802,8.825988713282264,17.21554018581427,-24.865728911197845,65.50378457849804,1558.6715704986605,-722.3783849202431,90.72956901499819,-0.7876332779839594,-0.4204931992735057,-0.45035462557519573,-30.98738895489805,50.018529752073725,26.094384212145723,0.5751543645389082,0.8435787845409746,2.1094143743912848,-114.53315174576147,145.04259551847264,-29.509687845727743,5.982368757250648,0.41908156056096013,0.7867361529237081,-0.11799093564324471,0.6059078847389555,,,0.9976018167402217,0,0.9973413860027711,29.70975980398912,medium,high,31.04659387935178,87.79785044361498,54.667001749343996,Zach Pomatto,,Kcl bobcats 2025,2022-11
