PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,7/5/2025,5:00:20 PM,1,1,Kellen Hershberger,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Windup,1,Top,0,0,0,Curveball,,BallCalled,,,,,,,68.11463840114226,3.246915478967841,-5.787676202,2044.3955768219698,70.74300730307307,8:15,4.5148746767400585,4.5888454545486494,6.0000001920000035,-62.68727099,0.049403035,-17.19317079,2.3273105067770636,-2.241319049,61.14500027863115,-8.550081598,-9.020389942,0.570075357,,,,,,,,,,,,7.138947268622956,-1.205884831,-4.105955668,49.99999999999997,4.745087281721375,10.376974188789033,-98.26712829,4.083893082,6.746605269800488,20.43023541921022,-33.31366144,KCL GroundSloths 2025,KCL BobCats 2025,,,,0353345b-fdf9-49f3-b59a-c23907f15b43,77d6138e-2c5d-4729-9df2-e81f8acc4861,68.27880244837368,4.501154493914335,4.586249841148901,3.4066727256299907,-5.757457845,61.23720397247015,2.3387600897622174,-2.239069566,-8.381059158,-8.986812961,0.5698760708050052,-17.47549085,-4.273752428,-42.84443074,21.470493180923427,1498.9564753244158,-1390.20961,73.3202758,0.2418145695982783,-0.680010085,0.6921791662834994,,,,,,,,,,,,,,,,,0.9913997099284869,0,,,medium,high,109.32344386283107,7.673957678203681,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
2,7/5/2025,5:00:33 PM,1,2,Kellen Hershberger,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Windup,1,Top,0,1,0,Curveball,,BallCalled,,,,,,,65.54926901452133,1.2526997005014893,-1.655056921,2003.773808481649,70.62715077267025,8:15,5.119263054268286,3.3720174126337192,6.0000001920000035,-68.45870839,-1.704666432,-19.23861996,0.5792931030814812,0.23017159516915645,59.44376301094384,-11.60796567,-5.314254636,0.5880446540185782,,,,,,,,,,,,9.822369637971445,-1.386590964,-3.226122829,50.000000000000036,5.182056881476813,3.2021436234391083,-95.15936623,0.4712533102128315,8.730055524265417,18.77732044944124,-33.40644223,KCL GroundSloths 2025,KCL BobCats 2025,,,,0353345b-fdf9-49f3-b59a-c23907f15b43,cd484899-9cdf-49e1-bc95-ee3dfc5d354c,65.67897078428818,5.104152921,3.3681423539103617,1.4305315339757814,-1.609143316,59.50124401277745,0.5916358329180824,0.23330322576564855,-11.42834015,-5.267047393,0.5878736456955426,-19.6670172,-6.181287193,-35.98004523,24.951433541948408,1621.4971550639839,-1177.224045,80.92216537617419,0.2684302563121373,-0.58750346,0.7634034859843705,,,,,,,,,,,,,,,,,0.926504912,0,,,medium,high,112.45629018775354,1.6301344041752013,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
3,7/5/2025,5:00:48 PM,1,3,Kellen Hershberger,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Windup,1,Top,0,2,0,Fastball,,BallCalled,,,,,,,80.33446038079822,-1.829745211,-4.981335455,2025.5826840040306,222.9953525229498,1:30,5.290389785353814,3.2223892023982876,6.0000001920000035,-27.3820817,16.88867805,11.953171127509464,1.3009680933935943,-0.422834806,72.25999162062362,-6.99095198,-2.723433909,0.4788836503866628,,,,,,,,,,,,-8.120206606,9.740617868,-2.822545155,49.99999999999998,5.124848990045534,9.789449060474958,-116.2974467,-4.524412897,-10.91562034,25.56870363775882,-19.0801849,KCL GroundSloths 2025,KCL BobCats 2025,,,,0353345b-fdf9-49f3-b59a-c23907f15b43,5926f2e6-cd6d-4d64-a19d-7764e58262b5,80.56740307937865,5.290515449326554,3.229541508818221,-1.832535826,-5.06531229,72.44497513935457,1.3018157483273554,-0.428288716,-6.976537518,-2.80538672,0.4786784714814907,12.745703283930839,15.481781465723515,-31.49485227,84.79085001552986,1727.1882289738444,-1058.208879,85.26871021427075,-0.623663037,-0.522421961,-0.58148062,,,,,,,,,,,,,,,,,0.9964720164820936,0,,,medium,high,13.688234986023021,-76.62305127,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
4,7/5/2025,5:01:02 PM,1,4,Kellen Hershberger,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Windup,1,Top,0,3,0,Fastball,,BallCalled,Walk,,Walk,0,0,,80.58608755,-0.233037965,-5.030998661,2013.6775973207386,222.07200331606688,1:30,5.216759562564339,2.207076621263891,6.0000001920000035,-27.55073323,16.458877517836097,11.360823046116394,2.703442161500501,-1.534020575,72.22291635602951,-5.442561516,-2.884073231,0.47746911671297665,,,,,,,,,,,,-7.838209112,8.979768189419492,-1.802805383,50.00000000000001,5.181739994343277,9.942949878930484,-116.7008995,-1.278415691,-10.5956342,26.013762331718524,-20.03526411,KCL GroundSloths 2025,KCL BobCats 2025,,,,0353345b-fdf9-49f3-b59a-c23907f15b43,fc7b40c6-4d9d-4b5c-a89d-1ee36a4234ba,80.82584399333689,5.216887550061439,2.2141036742105444,-0.236193457,-5.114207126,72.41426196573495,2.704303730850437,-1.539391197,-5.427794193,-2.965553773,0.4772604516523544,12.147364170143957,15.000639597581005,-35.35683643,84.08755203252333,1642.2828765108752,-1165.248651,81.55639605346875,-0.605395857,-0.578666939,-0.546480037,,,,,,,,,,,,,,,,,0.9966767523104646,0,,,medium,high,14.321203170728975,-46.96789819,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
5,7/5/2025,5:01:36 PM,2,1,Kellen Hershberger,,Right,Kcl groundsloths 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,0,0,0,Fastball,,InPlay,,LineDrive,Out,1,0,,80.33641118175656,-0.584558411,-6.062165182,1990.1685845228615,215.14608833562292,1:15,5.425558254648205,4.528456296373334,6.0000001920000035,-25.90325607,18.512528989160554,10.131544324836211,2.7205944367210977,-0.282504896,72.01803320364125,-5.474141109,-4.154227723,0.4796673896700504,101.34829765111631,15.770968335729846,20.796140124624355,1407.2960595891282,43.48859315310744,101.0383207436217,25.588040000474273,289.3657138198531,,28.254576040369933,2.848754958782936,-7.510113027,10.206484241181071,-4.038688398,49.99999999999997,5.362656094735378,12.04020832302935,-116.1363807,-1.942304873,-10.06092639,25.628733245317456,-18.50092825,KCL GroundSloths 2025,KCL BobCats 2025,,,,0353345b-fdf9-49f3-b59a-c23907f15b43,28be1f22-cd24-4801-9519-74b16824dadf,80.57623466078553,5.426345027943632,4.534393773082623,-0.595551542,-6.133567705,72.21380509380202,2.720914289847896,-0.286958159,-5.46724476,-4.225301951,0.4794633614604482,10.81227668308924,17.14704235,-32.11482638,87.66228028,1685.6417061875973,-1058.008995,84.69843807687911,-0.692568052,-0.531617775,-0.487577722,34.62854951785347,91.17880306320825,27.545723207596552,0.1918987446684087,1.993610776198738,2.7947359118383703,136.98284098025775,254.88863766643374,48.310539011608796,19.776742538499718,0.5167459934150505,0.6085156370889699,0.17619528511461713,-0.773733766,,,0.976564929,0,0.990816221,60.44346343245945,medium,high,11.10394774892067,-29.21881387,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
6,7/5/2025,5:02:09 PM,3,1,Kellen Hershberger,,Right,Kcl groundsloths 2025,Kyler Lapp,,Right,Kcl bobcats 2025,Stretch,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,81.56968450344182,-0.603420268,-3.17407596,,,,4.370190899093566,2.036804362644308,6.0000001920000035,,,,0.4294046705010209,-0.916183227,73.36056865882543,-8.254551859,-3.17407596,,,,,,,,,,,,,,,,,,,,,,,,KCL GroundSloths 2025,KCL BobCats 2025,,,,0353345b-fdf9-49f3-b59a-c23907f15b43,b66b2978-5473-4e57-b203-d78792bd660b,81.78971381,4.363176896867179,2.0368043626443066,-0.521701601,-3.17407596,73.52322926409552,0.4356722039386011,-0.916183227,-8.160394376,-3.17407596,0.47154051144244463,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
7,7/5/2025,5:02:26 PM,3,2,Kellen Hershberger,,Right,Kcl groundsloths 2025,Kyler Lapp,,Right,Kcl bobcats 2025,Stretch,1,Top,1,1,0,Fastball,,HitByPitch,,,,,,,79.85528570243343,0.9971960690759557,-2.111446814,2017.3973243253592,213.50474202846064,1:00,5.442301901926647,2.297451779331675,6.0000001920000035,-25.80249423,18.851224007350456,10.500972153277706,4.219604978350327,1.2092787140485042,71.35699592134526,-3.902493728,-0.115570808,0.480950451,,,,,,,,,,,,-6.408774113,9.858635434371651,-2.131458234,50.000000000000036,5.508673346787128,3.9726514531708115,-115.9735325,1.2752420685832373,-8.532829778,26.218488352802996,-19.04797328,KCL GroundSloths 2025,KCL BobCats 2025,,,,0353345b-fdf9-49f3-b59a-c23907f15b43,2279a271-5cfe-4fcb-bfe3-496b19013d06,80.09924923191006,5.443351376283133,2.303577561280055,0.982858774,-2.184965655,71.55698557771461,4.2197984446496015,1.2044894391276295,-3.898066933,-0.189164151,0.48072811053545733,11.191080599959095,17.345613528746618,-26.69111066,91.32332790296358,1802.425657836061,-906.1753209,89.34410867422027,-0.74498704,-0.449180392,-0.49318484,,,,,,,,,,,,,,,,,0.9920666381231787,0,,,medium,high,7.809004887332799,-70.14361078,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
8,7/5/2025,5:03:08 PM,4,1,Kellen Hershberger,,Right,Kcl groundsloths 2025,Ryan Theile,,Right,Kcl bobcats 2025,Stretch,1,Top,1,0,0,Curveball,,StrikeCalled,,,,,,,66.50769452176523,4.340440886546271,-2.131433459,2050.300460652269,63.10974596097909,8:00,4.750404006437014,2.6319374445719315,6.0000001920000035,-68.98034785,-3.827548164,-17.31000862,3.0465524405963897,-0.79241842,59.67243825189543,-8.70655225,-5.41992596,0.580949074,,,,,,,,,,,,8.605454408,-3.664340857,-2.448294649,50,5.065234134962105,3.9956399428095692,-96.27801862,5.669196518524079,7.838711560399428,19.060688640656675,-35.51189901,KCL GroundSloths 2025,KCL BobCats 2025,,,,0353345b-fdf9-49f3-b59a-c23907f15b43,c04b7c7a-a2c7-49af-913c-b6ac9939a2a8,66.64953844017388,4.734684954205923,2.6291573348269592,4.526503166963735,-2.098284017,59.73846776,3.059406989679768,-0.790086793,-8.514158043,-5.384416355,0.5807833850526989,-17.6188785,-8.254285109,-37.23419879,33.594794373896335,1632.385459575579,-1240.584415,79.61688986092618,0.3600936649783944,-0.605074446,0.7100827188117683,,,,,,,,,,,,,,,,,0.9963309053959567,0,,,medium,high,120.23531493650671,-5.559056922,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
9,7/5/2025,5:03:26 PM,4,2,Kellen Hershberger,,Right,Kcl groundsloths 2025,Ryan Theile,,Right,Kcl bobcats 2025,Stretch,1,Top,1,0,1,Curveball,,Foul,,,,,,,66.73639406240086,3.9977617658508633,-0.186848444,2009.1493400858235,61.766280619410786,8:00,4.9248267377227135,1.654037706846544,6.0000001920000035,-70.13410807,-5.656936398,-18.55467252,2.8018730199477395,-0.065841459,59.979719498525455,-9.269895817,-3.720276931,0.5779290321984297,61.58013630366113,-35.29128037,-59.70957935,,96.33930311464592,-53.09179479,51.28809504963786,6.725421685723883,,-35.5905344,0.058530694,9.987986259231384,-4.510736687,-1.628142029,49.999999999999986,5.210640129657684,0.7600661793810766,-96.72710533,5.079430735275151,9.196677458378668,19.038519913140554,-36.32741838,KCL GroundSloths 2025,KCL BobCats 2025,,,,0353345b-fdf9-49f3-b59a-c23907f15b43,173bd184-6aa2-4e56-be26-d27a9fc81026,66.86510362915953,4.908350204694037,1.6494269348156982,4.191894741200594,-0.131964609,60.03076980947695,2.8149771820361784,-0.062244812,-9.075774633,-3.665833974,0.5777827022347872,-19.06829252,-10.02844001,-28.57811884,58.19696663602518,1764.3660784774527,-961.0897002,87.81657208229655,0.4154332802549026,-0.478356527,0.7736861268532413,-43.40133062,25.351956722835435,-35.5769023,-0.110600099,3.3052468428694266,3.1212015449195007,-3.914118975,5.469092201000581,,,,,,,,,0.9970776614186815,0,,27.901158875340514,medium,high,37.62273002757734,-87.01127452,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
10,7/5/2025,5:03:51 PM,4,3,Kellen Hershberger,,Right,Kcl groundsloths 2025,Ryan Theile,,Right,Kcl bobcats 2025,Stretch,1,Top,1,0,2,Fastball,,BallCalled,,,,,,,78.86208079038046,1.689842212866098,-2.585776944,2028.257257323643,211.80087389023234,1:00,5.327651438763786,2.6555364245307826,6.0000001920000035,-28.48138804,17.374560466741773,8.73143661,4.526787719993305,0.9783185428120722,70.39798604,-3.719038364,-0.926840249,0.48738186215448087,,,,,,,,,,,,-5.617298337,8.820098072312147,-2.449816881,50.000000000000014,5.449014501364236,4.920332955944641,-114.4572653,2.5689987985135114,-7.282378898,25.599846035793977,-20.73949649,KCL GroundSloths 2025,KCL BobCats 2025,,,,0353345b-fdf9-49f3-b59a-c23907f15b43,f0b8ed49-cbaa-4b2d-84e5-8b4e4a8238e0,79.10892836593051,5.327968323522567,2.6616301576364254,1.6841279362090076,-2.658864027,70.59859676223697,4.527627814634611,0.9736085312591144,-3.704550501,-0.998980712,0.48715222377339357,9.418621656478365,15.726701018360016,-39.26386235,87.20545110584014,1570.3569627801792,-1283.66916,77.42395384559455,-0.658014304,-0.632892674,-0.408000048,,,,,,,,,,,,,,,,,0.9960061294461847,0,,,medium,high,11.515094004743824,66.57119442655653,54.667001749343996,Nolan Bowles,,Kcl groundsloths 2025,2022-11
