PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,7/5/2025,7:15:46 PM,1,1,Roy Rolston,,Right,Kcl merchants 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Fastball,,InPlay,,GroundBall,Single,0,0,,87.92410026666765,-1.602574087,-4.752063568,1763.9655172884816,226.48837889688738,1:30,5.792406233,2.6344297922882958,6.0000001920000035,-21.35959293,15.583577748220925,13.82817180422155,2.5174904577974893,-0.639915238,78.83889053043914,-5.64103619,-2.136958133,0.4374602588627589,,,,,,,,,,,,-9.066508133,8.963053260168964,-2.254480147,50.000000000000064,5.649000607987202,10.146157183023444,-127.338141,-4.253674915,-14.60299797,30.79462132311614,-17.73768151,KCL Merchants 2025,KCL BlueCaps 2025,,,,520cbc1e-e04d-4c57-9eb4-40f1b3220504,b5077282-b9a8-4228-84ff-78fa7c3b1354,88.16926971263959,5.7927951882051225,2.6411481343987546,-1.608091278,-4.831003256,79.03418640243991,2.5178967720469916,-0.645070211,-5.633653647,-2.215032265,0.4372798491878557,14.572270662541936,14.423427124132449,-11.50409527,29.604870065499668,1728.5282469346516,-351.8017137,97.99104517596788,-0.674669999,-0.199437977,-0.710665101,,,,,,,,,,,,,,,,,0.9794534636130564,0,,,medium,high,63.35561694105031,-1.811744821,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
2,7/5/2025,7:16:22 PM,2,1,Roy Rolston,,Right,Kcl merchants 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,85.70495494,-1.516324746,-6.060158134,1802.2693679584804,224.77484171661462,1:30,5.428671971103541,2.921147577007658,6.0000001920000035,-22.41559692,16.590705763189213,14.203896982814513,2.1431921002775236,-1.548564507,76.86443658727966,-5.748544487,-3.384092857,0.4495095425349924,,,,,,,,,,,,-9.687596134,9.472214552225731,-2.433914279,50,5.291428490673637,12.711382837490842,-123.870984,-3.99099784,-14.78217678,28.881223042358133,-17.72052076,KCL Merchants 2025,KCL BlueCaps 2025,,,,520cbc1e-e04d-4c57-9eb4-40f1b3220504,74872ff8-775a-4a77-bd57-83a7f3da01d2,85.94533038526335,5.428945723639422,2.9276701016069193,-1.520566729,-6.137335789,77.05718368,2.143709838734572,-1.553696212,-5.739327472,-3.46126183,0.4493251674281658,14.934613899895494,15.397325902638094,-4.940618636,68.37132194723358,1795.5730203134892,-155.217278,99.62844912286467,-0.707242504,-0.08612324,-0.701705656,,,,,,,,,,,,,,,,,0.9974305551819173,0,,,medium,high,28.465810247489816,80.59001825676711,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
3,7/5/2025,7:16:40 PM,2,2,Roy Rolston,,Right,Kcl merchants 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,1,Slider,,InPlay,,GroundBall,Single,0,0,,78.14326115166529,-0.065484113,-4.015168772,1983.571269652388,142.22540390209124,10:45,5.9306422444292695,3.969853041218332,6.0000001920000035,-40.01804066,6.874362560616966,-3.435311341,2.5347950603042406,-0.054216039,70.23089913831957,-7.61464221,-4.665513763,0.4928590865618578,78.06908791598009,-6.305362609,33.35995843901745,2329.222100562039,-55.9450579,-94.71087826,1.5048157553294834,18.45196230428823,,33.089611468327064,0.16446128680685576,0.4473565594399204,3.7455763047754456,-3.640280936,50.000000000000014,5.902207680350312,8.048306743464199,-113.2828612,-1.255776089,0.5668303495696321,25.50434180180297,-27.42815667,KCL Merchants 2025,KCL BlueCaps 2025,,,,520cbc1e-e04d-4c57-9eb4-40f1b3220504,c1c9c40c-7dfb-4704-9aed-184e050a2d30,78.36654057733962,5.924732163535868,3.9728981039329967,0.003819272,-4.051897173,70.40102965716817,2.540460106453519,-0.05634689,-7.528413115,-4.697472294,0.49264717018890913,-3.085763811,4.4221894734649725,-81.28447085,38.73887666560451,300.56801212557576,-1960.666686,15.152871828913359,-0.119772343,-0.988452855,0.092819925,42.67027311980148,64.81137817454011,-8.574120307,0.009563292,0.23912348582957738,2.4132458084051236,10.07384996106912,15.459380965638355,0.1558355931830528,-0.091040968,-0.021055959,-0.41583916,-0.635108949,-0.650933496,,,0.9685189273001243,0,0.9950742853898102,41.63952345215147,medium,high,55.13501100095594,-59.6057139,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
4,7/5/2025,7:17:29 PM,3,1,Roy Rolston,,Right,Kcl merchants 2025,Josh  Eisfelder,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,86.60301425,-1.949685059,-4.026822872,1836.576009796972,217.88006792008466,1:15,5.713084454,2.379612006699328,6.0000001920000035,-19.92372395,18.09565184079482,12.313495582214438,2.2355631788970247,-0.342941198,77.70493183926284,-5.715899722,-1.695460636,0.44378642511181543,,,,,,,,,,,,-8.004119238,10.437116180833486,-2.058207163,49.99999999999996,5.542267547,8.450755785606857,-125.5231522,-4.907706893,-12.52691783,29.924070633342744,-15.8393483,KCL Merchants 2025,KCL BlueCaps 2025,,,,520cbc1e-e04d-4c57-9eb4-40f1b3220504,fb0759c8-1903-4e53-a4b0-918cb16f1fc0,86.84668061008668,5.714211924591964,2.385227737629538,-1.964214384,-4.094052988,77.90326784521172,2.2354050356675788,-0.347334362,-5.717111508,-1.762923855,0.44360171544381405,12.946966163888641,16.979142560002646,-4.925039887,63.41962474817397,1829.7951348932106,-157.6743609,99.63078713499524,-0.786383546,-0.085852347,-0.61174365,,,,,,,,,,,,,,,,,0.9972425236323104,0,,,medium,high,32.922337726643484,75.33720955259255,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
5,7/5/2025,7:17:51 PM,3,2,Roy Rolston,,Right,Kcl merchants 2025,Josh  Eisfelder,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,1,Fastball,,StrikeCalled,,,,,,,84.43189708638893,-2.111552164,-4.99122024,1861.2741373351807,214.53403590946962,1:15,5.734152971293169,2.4004370215656996,6.0000001920000035,-20.82082883,19.26154834613691,11.541151016544736,2.0282583584138143,-1.288378787,75.81475067515484,-6.041485293,-2.811701183,0.4556677135727787,,,,,,,,,,,,-7.896006969,11.114943424627285,-1.999544309,50.000000000000064,5.549343878439208,10.320800318384688,-122.2090767,-5.158484552,-11.72420684,28.169317220232898,-15.67027797,KCL Merchants 2025,KCL BlueCaps 2025,,,,520cbc1e-e04d-4c57-9eb4-40f1b3220504,ff61a3cd-97e2-43c4-b902-3b712f1d5c6a,84.67291439223237,5.735435543126132,2.4057586106088014,-2.12796185,-5.05476215,76.01269329873917,2.028022493,-1.292666233,-6.043551735,-2.875860607,0.45547377424160124,12.139982592583209,18.129382848372778,-6.959467828,83.00207949,1847.5604852852275,-225.5253146,99.26321159388229,-0.81771999,-0.121167167,-0.562718878,,,,,,,,,,,,,,,,,0.9003665896255345,0,,,medium,high,15.298128460181083,-22.01599299,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
6,7/5/2025,7:18:13 PM,3,3,Roy Rolston,,Right,Kcl merchants 2025,Josh  Eisfelder,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,88.55774937048848,-0.995761815,-5.215809579,1987.6857751952402,213.87295023635187,1:15,5.695509676600077,2.819256104214608,6.0000001920000035,-17.20028018,19.260592396405197,11.394864481353132,3.332756703,-1.092147319,79.23763922659165,-4.251788586,-3.063872865,0.43459532612989954,,,,,,,,,,,,-7.912147567,10.74998382,-2.399832161,49.99999999999998,5.604084891653248,11.337717654143043,-128.1933227,-2.787537607,-12.91127814,31.288095958577085,-14.63190569,KCL Merchants 2025,KCL BlueCaps 2025,,,,520cbc1e-e04d-4c57-9eb4-40f1b3220504,83426d17-0ec5-4df8-a421-c11f76ef9aa5,88.80936675569147,5.697593703598743,2.824489404810582,-1.022012886,-5.279086632,79.44671379366274,3.3318234033964886,-1.096247921,-4.265130213,-3.128206287,0.4344158511882964,11.994521876918352,18.297279756232818,-8.747220663,83.06456162626618,1964.5667800931094,-302.2781955,98.83688884,-0.820618481,-0.152075443,-0.550870555,,,,,,,,,,,,,,,,,0.9977534830551645,0,,,medium,high,15.241894536360425,-84.21119992,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
7,7/5/2025,7:18:47 PM,4,1,Roy Rolston,,Right,Kcl merchants 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Stretch,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,86.40361687334504,-1.781724873,-5.980378821,1756.9779811868075,218.5458723026787,1:15,6.029601880364806,3.0686097296221724,6.0000001920000035,-20.63436544,17.74808037771986,12.165280574365102,2.6445491544148063,-1.496015991,77.49621256429495,-5.676730863,-3.688854048,0.4459003827901015,,,,,,,,,,,,-8.561977568,10.187205748092682,-2.586763067,50,5.871657545035819,12.702860993469058,-124.8811172,-4.549521625,-13.27644598,29.39069585512435,-16.37747856,KCL Merchants 2025,KCL BlueCaps 2025,,,,520cbc1e-e04d-4c57-9eb4-40f1b3220504,6b83395b-6316-46b4-aecf-f850b052b139,86.65096047,6.030571856436072,3.0743956265782306,-1.79413494,-6.048248382,77.69472653364265,2.6445376434425913,-1.500456157,-5.675451958,-3.756087287,0.44571296577231656,12.807900339843107,16.641290055092032,-9.208293775,19.687667228534895,1734.3360011627287,-281.1587833,98.71131111109403,-0.772030548,-0.160024079,-0.615110662,,,,,,,,,,,,,,,,,0.996823296,0,,,medium,high,72.28109949431858,19.993425413556746,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
8,7/5/2025,7:19:05 PM,4,2,Roy Rolston,,Right,Kcl merchants 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Stretch,1,Top,1,0,1,Fastball,,BallCalled,,,,,,,85.62488739746897,-1.904473894,-6.401134779,1663.6282966174529,223.40374831607915,1:30,5.797849681231413,2.379980242901789,6.0000001920000035,-22.69529201,16.440095893607598,13.28676608057098,2.124809062882471,-2.486839213,76.85422273973212,-6.183787276,-3.901415479,0.45025271871087613,,,,,,,,,,,,-9.299620578,9.517930503,-1.864111378,49.99999999999994,5.628516507341346,13.461829790235178,-123.652389,-4.838591397,-14.14440242,28.711302672789525,-17.69760529,KCL Merchants 2025,KCL BlueCaps 2025,,,,520cbc1e-e04d-4c57-9eb4-40f1b3220504,c4ce61a2-b406-49ab-8213-37798244429a,85.86807051359995,5.797993149991714,2.3862268651558023,-1.907012325,-6.473888368,77.04630908643631,2.125432483173945,-2.491567136,-6.172904208,-3.973030379,0.45006615603334377,13.976802119826617,15.23765208074483,-6.72707062,24.819238198978564,1652.1749061564797,-194.8773686,99.31154149732481,-0.721527864,-0.11713997,-0.682404403,,,,,,,,,,,,,,,,,0.9956581071390651,0,,,medium,high,67.66268562091926,4.670804721790938,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
9,7/5/2025,7:19:31 PM,4,3,Roy Rolston,,Right,Kcl merchants 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Stretch,1,Top,1,1,1,Fastball,,BallCalled,,,,,,,86.15230965,-3.397752117,-5.948761161,1809.6954204683393,219.94072130158193,1:15,5.721573751260883,3.713825706927164,6.0000001920000035,-20.97587104,17.675406765550242,13.219025858110552,0.7949108795391863,-0.733281882,77.51906362262575,-7.343306913,-3.459641775,0.4474592089490489,,,,,,,,,,,,-9.093534702,10.668848290151145,-3.235203115,50.00000000000006,5.430800183291691,12.54913831551814,-124.3783989,-8.076869754,-14.00750812,28.82666277783183,-15.73995834,KCL Merchants 2025,KCL BlueCaps 2025,,,,520cbc1e-e04d-4c57-9eb4-40f1b3220504,8f985042-5385-404d-818d-4be452ee1e15,86.38982835615909,5.722100844995002,3.7195750621518235,-3.404682904,-6.016506921,77.71070997413231,0.7951961195271606,-0.737757807,-7.337549009,-3.527545795,0.4472782031324596,13.860170214220503,16.57179880123928,1.7872497186289593,59.12260816895258,1808.815049942866,56.44138520861097,99.95135255825284,-0.766336082,0.031188334,-0.641682396,,,,,,,,,,,,,,,,,0.9974006697466742,0,,,medium,high,36.78965264794267,70.82618141292703,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
10,7/5/2025,7:19:53 PM,4,4,Roy Rolston,,Right,Kcl merchants 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Stretch,1,Top,1,2,1,Slider,,StrikeCalled,,,,,,,78.47470981594853,-0.240453049,-3.799138612,1975.7658987416885,174.87019373499123,11:45,5.733412826701194,2.070068504004936,6.0000001920000035,-38.16083569,8.275867737478634,-1.757441296,2.329373990654493,-1.612464194,70.52779819416925,-7.442065596,-4.132011989,0.49045844070772837,,,,,,,,,,,,-0.375148196,4.564486794593847,-1.759142397,50.000000000000036,5.691751258,7.606484522771502,-113.7985815,-1.558017525,-0.480106922,25.566883976912113,-26.33251356,KCL Merchants 2025,KCL BlueCaps 2025,,,,520cbc1e-e04d-4c57-9eb4-40f1b3220504,00c35041-67b3-4ef5-ab0d-6951b3206f2a,78.70391336523484,5.728312790307283,2.073675146309098,-0.181834121,-3.841959207,70.70321757227323,2.3343297792262425,-1.615001961,-7.366530024,-4.170070212,0.49024163247498087,-1.351478173,5.972567429945944,-78.8303316,15.15803906205187,382.73550648793196,-1938.340635,19.371500780111944,-0.192939118,-0.981057845,0.017320532,,,,,,,,,,,,,,,,,0.9972575951516803,0,,,medium,high,76.35776484415334,55.88384962929289,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
