PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,7/10/2025,7:56:14 PM,1,1,Roy Rolston,,Right,Kcl merchants 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,88.03368864,-0.792489089,-4.865957288,1555.745284,223.0366119,1:30,5.884865699,3.115435381,6.000000192,-21.37427471,15.49408382,12.22673649,3.364430395,-0.398963956,78.80925198,-4.838224029,-2.554026391,0.437017093,,,,,,,,,,,,-8.251668603,8.646850635,-2.725209676,50,5.807691734,10.46601454,-127.5062668,-2.449814151,-13.31493046,31.06923388,-18.22145158,KCL Merchants 2025,KCL GroundSloths 2025,,,,37b7d226-463e-4b24-adf6-646261c8e4e8,2551edbe-1193-48ef-873f-91e8a335a7db,88.28292723,5.885139668,3.12119458,-0.796839704,-4.934598943,79.01187163,3.364914769,-0.403395436,-4.829464851,-2.623290642,0.436835849,12.87561697,14.29315776,-12.06745711,0.077512301,1521.366639,-325.2490393,97.79021379,-0.714766037,-0.209063169,-0.667384525,,,,,,,,,,,,,,,,,0.997246233,0,,,medium,high,89.93023893,0.392819305,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
2,7/10/2025,7:56:33 PM,1,2,Roy Rolston,,Right,Kcl merchants 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,,1,Top,0,1,0,Fastball,,StrikeSwinging,,,,,,,87.94546885,-0.974225801,-5.036666641,1688.226841,219.4099592,1:15,5.485608468,3.197503328,6.000000192,-19.97498373,16.97619755,12.1235761,2.911989794,-0.485339767,78.73991086,-4.754316299,-2.745680438,0.437507685,,,,,,,,,,,,-8.246798733,9.507664879,-2.793210865,50,5.394360316,10.83802029,-127.3430024,-2.808485849,-13.27860245,30.88936553,-16.86526054,KCL Merchants 2025,KCL GroundSloths 2025,,,,37b7d226-463e-4b24-adf6-646261c8e4e8,381e4066-a220-4ed5-9dad-ebb15cca4d05,88.19767975,5.486472077,3.20316627,-0.985508203,-5.103443872,78.94264186,2.912032567,-0.4896886,-4.752447986,-2.812086266,0.437322325,12.75404509,15.85015639,-6.780104323,92.58808417,1676.420334,-199.3106425,99.30065633,-0.767219941,-0.11805916,-0.630424934,,,,,,,,,,,,,,,,,0.997310879,0,,,medium,high,6.670724246,-76.28445722,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
3,7/10/2025,7:56:51 PM,1,3,Roy Rolston,,Right,Kcl merchants 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,,1,Top,0,1,1,Fastball,,BallCalled,,,,,,,88.67532539,0.147130476,-6.220197245,1647.791674,220.0555072,1:15,5.521075832,3.264892818,6.000000192,-19.89446614,16.60009642,12.08226427,4.000755796,-1.53208282,79.19915084,-3.61658693,-3.944063457,0.434796064,,,,,,,,,,,,-8.63140113,8.927833921,-2.763230597,50,5.521603456,13.58147308,-128.1538242,-0.304869648,-14.07058848,31.36684265,-17.62022742,KCL Merchants 2025,KCL GroundSloths 2025,,,,37b7d226-463e-4b24-adf6-646261c8e4e8,c442360d-8b52-4185-a25d-621862edfac5,88.93312936,5.521931954,3.270574278,0.135793198,-6.287243604,79.40842151,4.000798322,-1.536566497,-3.614659825,-4.011485181,0.434609278,12.71701161,15.48079942,-9.378279279,86.050924,1625.767302,-268.5108571,98.6634007,-0.755190745,-0.162951944,-0.634928029,,,,,,,,,,,,,,,,,0.994397734,0,,,medium,high,12.5541684,73.11801687,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
4,7/10/2025,7:57:12 PM,1,4,Roy Rolston,,Right,Kcl merchants 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,0,2,1,Fastball,,Foul,,,,,,,86.39219064,-1.299522563,-4.808280849,1634.665674,225.5813482,1:30,5.682174047,2.616129441,6.000000192,-22.72560747,15.54131622,13.40883512,2.57613196,-0.745773671,77.45767535,-5.596489783,-2.272749705,0.44522885,79.17160901,27.14158014,54.23785155,,88.53205491,65.28457132,37.60596299,238.8864172,,53.94161393,3.021749171,-8.861419227,8.839716992,-2.231324371,50,5.562755612,10.10656012,-125.1245415,-3.557997098,-13.77835806,29.77348341,-18.42943568,KCL Merchants 2025,KCL GroundSloths 2025,,,,37b7d226-463e-4b24-adf6-646261c8e4e8,c4ca74aa-5329-4625-bdb7-15ad1c98fe24,86.63468524,5.682182019,2.62243513,-1.300582338,-4.88289151,77.65071774,2.57681733,-0.750387137,-5.584337521,-2.346802906,0.445048874,14.1158975,14.28672444,-8.859772402,4.219524853,1615.161243,-251.765811,98.80682448,-0.691544903,-0.154016699,-0.705722681,57.16940761,41.17449091,36.11736153,1.1458784,2.966079924,2.935102196,193.1199851,140.6107809,,,,,,,,,0.996060061,0,,37.70232008,medium,high,93.79757237,-8.593139254,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
5,7/10/2025,7:57:39 PM,1,5,Roy Rolston,,Right,Kcl merchants 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,,1,Top,0,2,2,Changeup,,Foul,,,,,,,82.84013687,-1.672667701,-4.962537775,2066.727932,193.2212671,12:30,5.651501354,2.808028332,6.000000192,-31.29108028,10.50678546,-0.09870532,1.483051708,-1.823916102,74.48469585,-7.558670157,-4.981172546,0.465316632,,,,,,,,,,,,-1.666209465,6.26734285,-2.4027362,50,5.49662206,10.41388917,-119.9005216,-4.447782778,-2.369629712,28.16552445,-23.2608354,KCL Merchants 2025,KCL GroundSloths 2025,,,,37b7d226-463e-4b24-adf6-646261c8e4e8,c45c6079-24f4-490b-9671-062de3842f35,83.08017901,5.648526494,2.81137178,-1.638393022,-5.002661069,74.67695792,1.486346657,-1.826400992,-7.508185143,-5.018280709,0.465112124,0.282239885,8.65391013,-72.52825369,31.42224387,620.5050017,-1971.379691,30.02354554,-0.292277437,-0.953865122,-0.06866752,,,,,,,,,,,,,,,,,0.992319756,0,,,medium,high,118.2800195,-2.669548711,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
6,7/10/2025,7:58:10 PM,1,6,Roy Rolston,,Right,Kcl merchants 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,,1,Top,0,2,2,Fastball,,Foul,,,,,,,89.685043,-2.143042968,-4.187062453,1997.237376,212.9412895,1:00,6.199119963,3.393709419,6.000000192,-16.20280123,19.26833226,10.93542053,2.850893891,0.406623064,80.40280925,-5.207516051,-2.117754564,0.428656147,68.73131867,-13.75239298,-55.36234247,,91.75344725,-60.67375801,12.89083674,13.59002173,,-45.91309325,0.131275085,-7.3114818,11.13531934,-3.058386504,50,6.014615538,9.158712968,-129.9492932,-5.401296759,-12.26522555,32.04913034,-13.4942242,KCL Merchants 2025,KCL GroundSloths 2025,,,,37b7d226-463e-4b24-adf6-646261c8e4e8,032ce91a-6b45-4d16-9cff-24a7a86ae77d,89.93803746,6.201399339,3.398906691,-2.171138768,-4.248823467,80.61027491,2.849794564,0.402558622,-5.222903303,-2.179485847,0.428476122,11.51683003,18.36707758,-9.728102418,8.795778537,1968.51852,-337.4788483,98.56207096,-0.827160708,-0.168972828,-0.535960209,-54.92842888,37.9458914,-16.33925312,-0.033377999,2.253025476,3.095967957,-9.761512961,9.45523957,,,,,,,,,0.996563983,0,,28.77136158,medium,high,97.91620068,-8.211507939,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
7,7/10/2025,7:58:37 PM,1,7,Roy Rolston,,Right,Kcl merchants 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,,1,Top,0,2,2,Fastball,,Foul,,,,,,,89.69405488,-0.952033178,-4.453956854,1961.785032,211.3476885,1:00,5.783380421,2.495346727,6.000000192,-16.22554828,19.25782671,10.23798897,3.543675854,-0.799325189,80.2345241,-4.026142103,-2.516858694,0.428730108,,,,,,,,,,,,-7.039441229,10.73700286,-2.137750226,50,5.696191125,9.792723156,-129.980116,-2.692419711,-11.80169388,32.33327975,-14.17335652,KCL Merchants 2025,KCL GroundSloths 2025,,,,37b7d226-463e-4b24-adf6-646261c8e4e8,355aeb03-78fc-4981-b368-f11e81ea8465,89.95330258,5.785805379,2.500397694,-0.981760488,-4.513490084,80.44720017,3.542495647,-0.803277384,-4.042673076,-2.576357842,0.428543607,10.79799145,18.32992913,-13.30159119,92.33091061,1909.155211,-451.3611552,97.31724831,-0.831114727,-0.230076766,-0.506273634,,,,,,,,,,,,,,,,,0.9973459,0,,,medium,high,6.902180448,32.34268422,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
8,7/10/2025,7:59:03 PM,1,8,Roy Rolston,,Right,Kcl merchants 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,,1,Top,0,2,2,Cutter,,InPlay,,FlyBall,Out,1,0,,80.79799585,-0.683494248,-2.051923705,2125.491569,154.2801486,11:15,5.852163614,1.981254145,6.000000192,-36.21857213,7.455239103,-3.490371557,2.198276152,-0.217470794,72.6306435,-7.524975149,-2.715051364,0.47564405,77.2690345,32.70637795,1.988210026,3335.316782,10.16704141,109.5291343,54.91041845,274.2704577,,11.52150927,4.221808085,1.173873952,4.274671771,-1.812028961,50,5.775540632,4.305984591,-117.3430651,-2.457130172,1.597337106,27.18488309,-26.35733321,KCL Merchants 2025,KCL GroundSloths 2025,,,,37b7d226-463e-4b24-adf6-646261c8e4e8,1145e3cb-eb01-4840-b31b-909f9326eae7,81.02816672,5.847037604,1.983884943,-0.62402409,-2.083507606,72.80782548,2.203116988,-0.219242304,-7.450258234,-2.742052722,0.47543798,-3.190493571,5.245592795,-78.09325658,22.7218413,438.5300123,-2079.761005,20.63193374,-0.185878603,-0.978484712,0.089536662,2.255727296,64.97893677,41.75108578,0.104782791,3.332430599,2.445668361,54.78162696,268.7438507,46.29914332,23.40568298,0.783148206,0.654790865,-0.270759367,-0.705647425,,,0.994334926,0,0.991571009,41.60296871,medium,high,69.55034283,61.00335844,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
9,7/10/2025,7:59:39 PM,2,1,Roy Rolston,,Right,Kcl merchants 2025,Brandon Schultz,,Left,Kcl groundsloths 2025,,1,Top,1,0,0,Fastball,,Foul,,,,,,,88.12508202,-2.037328226,-4.386517755,1807.774303,217.259979,1:15,5.696516132,3.795995039,6.000000192,-18.82203411,17.92707856,12.04572062,2.228169753,0.715019442,79.04624558,-5.595235167,-2.107691939,0.436309783,,,,,,,,,,,,-7.977318598,10.37408083,-3.44497863,50,5.519094157,9.409237569,-127.6650972,-5.154548712,-12.91711269,30.90921431,-15.37602786,KCL Merchants 2025,KCL GroundSloths 2025,,,,37b7d226-463e-4b24-adf6-646261c8e4e8,e362f1f6-3fb8-4a0b-b21c-f660731536d5,88.37300949,5.697753989,3.80146584,-2.052854244,-4.451246634,79.24607413,2.227922821,0.711013551,-5.598022845,-2.17199095,0.436131865,12.65821475,16.86960718,-2.891867293,85.81683906,1805.472154,-91.20434546,99.87265284,-0.794883017,-0.050451179,-0.604661615,,,,,,,,,,,,,,,,,0.997394401,0,,,medium,high,12.76484484,-77.19174235,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
10,7/10/2025,8:00:02 PM,2,2,Roy Rolston,,Right,Kcl merchants 2025,Brandon Schultz,,Left,Kcl groundsloths 2025,,1,Top,1,0,1,Changeup,,Foul,,,,,,,80.73990401,-0.372061333,-4.947032619,1591.294956,241.7001712,2:00,5.199414895,3.500463532,6.000000192,-32.33660491,11.48544176,17.26823997,2.157608411,0.330283312,72.46319499,-6.482896815,-1.68000238,0.47645057,72.63689247,-15.85903997,53.15036461,,-89.96457084,-63.29593969,17.69954641,10.77580381,,35.30012507,0.074895204,-11.00034471,6.336261777,-3.106508935,50,5.150253947,9.618167464,-116.9391162,-1.705553158,-14.93475509,26.06890439,-23.57154481,KCL Merchants 2025,KCL GroundSloths 2025,,,,37b7d226-463e-4b24-adf6-646261c8e4e8,2704f2b8-0261-48d9-9f8f-b47d1b2d4ad3,80.95776491,5.19615815,3.507822637,-0.334596886,-5.034106026,72.62977779,2.16094586,0.324480034,-6.431846938,-1.767480887,0.476261574,18.08880215,9.682080012,6.652107237,25.74642953,1580.582082,184.3364346,99.32678259,-0.470893951,0.11584052,-0.874551234,55.91250891,41.90349445,-19.8496007,-0.211091221,4.231238736,2.390957819,6.22689959,8.794524962,,,,,,,,,0.996050236,0,,33.94583559,medium,high,113.1717866,-4.156089612,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
