PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,7/17/2025,4:59:29 PM,1,1,Miles Woolsey,,Right,Kcl bobcats 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,85.97891854057744,-2.80731102,-5.697511946,2080.297343068575,218.11189216362547,1:15,5.460822696519872,2.2040051540642986,6.0000001920000035,-19.52370641,19.214555045477375,13.264640002716943,1.2096964803946946,-2.003362752,77.26140020911173,-6.487719732,-3.197694154,0.44796242338499626,,,,,,,,,,,,-9.040015509,11.30849677884247,-1.746085704,50.000000000000036,5.219495062836094,11.984409065980854,-124.2508118,-6.729457783,-13.89292956,28.826344207384764,-14.79485935,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,e7be53c8-1cc3-470e-8362-dc60b5cea8b0,86.21799281,5.4623283161095495,2.210062756194982,-2.826113847,-5.769714484,77.45586153,1.2092323,-2.008170689,-6.493115391,-3.269905978,0.4477802081450891,13.947626628980442,18.20666938272281,-4.693343292,79.21584285708457,2073.3218975641903,-170.2155829,99.66468997676574,-0.784168692,-0.081822718,-0.615129665,,,,,,,,,,,,,,,,,0.9971550799223102,0,,,medium,high,18.705741428623874,4.786713070442304,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
2,7/17/2025,4:59:41 PM,1,2,Miles Woolsey,,Right,Kcl bobcats 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,0,1,0,Fastball,,StrikeCalled,,,,,,,85.35162788093177,-1.449237289,-6.523858969,2014.195482670988,219.9543649174455,1:15,5.515108647382997,3.1358182778283124,6.0000001920000035,-20.9924604,18.398733257614733,12.93939225496597,2.409757101,-1.875471585,76.51276873051765,-5.411393613,-4.090546658,0.45172184479589306,,,,,,,,,,,,-9.155191722,10.426449818704164,-2.609622347,50.00000000000001,5.3840821652217965,13.69675717,-123.2555803,-3.785022091,-13.83391919,28.552980752387104,-16.41920046,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,17fb478d-837f-4c02-9515-601e0f6e192a,85.59545417766128,5.516488697094566,3.1422315083393286,-1.4667661,-6.600089615,76.71060302241585,2.409449699725429,-1.880521026,-5.414368556,-4.166554623,0.45153460835572934,13.663269426367979,17.325490827496676,-16.4051736,81.59130785395908,1932.194513896188,-568.8653645,95.92884754829953,-0.735348499,-0.282428081,-0.616033249,,,,,,,,,,,,,,,,,0.9971443632421756,0,,,medium,high,16.567822931436837,-50.4186175,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
3,7/17/2025,4:59:54 PM,1,3,Miles Woolsey,,Right,Kcl bobcats 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,0,1,1,Slider,,StrikeCalled,,,,,,,76.06082312218263,0.001138664,-3.259775182,2309.1694929899527,76.18388911076802,8:30,5.414274460707946,4.050976545053733,6.0000001920000035,-46.82078646,2.6889344696930024,-8.51401838,1.5136020399450323,0.30858744897857854,68.5024126,-8.820992817,-4.874406702,0.5064268947160966,,,,,,,,,,,,3.4452603427784885,1.4564487327558133,-3.780263157,49.99999999999992,5.387404414856684,6.517385423334734,-110.3402171,-1.278734327,4.132383742494869,24.589085931725904,-30.42712643,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,7aaa8995-ea63-48a8-b73b-339ba701149c,76.26108722964052,5.405102723166196,4.052735210169491,0.10801727359359603,-3.280933245,68.64323645307168,1.521561679958425,0.30757079703953083,-8.701404137,-4.889447504,0.5062245275842653,-8.310581704,-0.294661572,-72.6476778,49.85413971041755,688.7019998184504,-2204.076519,29.824662152742505,0.071223238,-0.954488844,0.28961750235813605,,,,,,,,,,,,,,,,,0.9890623441638521,0,,,medium,high,45.13127426,14.740800623418199,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
4,7/17/2025,5:00:06 PM,1,4,Miles Woolsey,,Right,Kcl bobcats 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,0,1,2,Fastball,,BallCalled,,,,,,,87.98957006742718,-2.699253229,-6.551630928,2181.3511798791233,214.65197454485988,1:15,5.553892499908671,3.1322618204292967,6.0000001920000035,-17.32876617,19.773412849533294,11.462353166458882,1.582799201,-2.028264723,78.97509875548971,-5.965806892,-4.39801845,0.43840069175222224,,,,,,,,,,,,-8.350288659,11.57704675802143,-2.602920886,50.000000000000014,5.3223523091439855,14.217850725183414,-126.964142,-6.575149815,-13.39860174,30.115715735393405,-13.59789669,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,7c8180f5-abf7-4962-935f-3cbce739c9a6,88.23833487499124,5.556308591139363,3.1380172582179746,-2.728756723,-6.619561019,79.17819310239184,1.5816341874688247,-2.032743943,-5.98161578,-4.465409765,0.4382204907272631,12.107240644709979,18.917419420772013,-18.22165313,79.36767853305446,2071.965025091758,-682.0952314,94.98539457,-0.78136973,-0.312693911,-0.540077645,,,,,,,,,,,,,,,,,0.997485834,0,,,medium,high,18.569089320251024,-76.97672734,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
5,7/17/2025,5:00:22 PM,1,5,Miles Woolsey,,Right,Kcl bobcats 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,0,2,2,Slider,,InPlay,,GroundBall,Out,1,0,,74.14175237220164,0.7874899474493523,-3.922924028,2406.140106676314,63.69398965993503,8:00,5.106867705206042,3.990194583999746,6.0000001920000035,-52.88594103,-0.566074315,-12.42114565,1.4333589531582938,-0.696549636,66.76856854165278,-9.170587247,-6.274801657,0.5206008069101228,62.154382541916085,-14.24835039,-11.75403852,3593.841471246584,,,,11.291935426983105,,-5.661924599,0.067183035,5.296550086947233,-0.595748121,-3.663017539,49.999999999999964,5.140780481933316,7.6984711100513845,-107.448266,0.074491168,6.007661589607548,23.779895950625043,-32.84978248,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,2d9eb133-ff25-4a97-bfd8-864ee91bfd4d,74.31988877109269,5.095307950284365,3.9904000259375563,0.9238650088687789,-3.925776555,66.88382198306365,1.443212511623434,-0.696382853,-9.023990362,-6.271959666,0.5204129550638923,-12.38964641,-4.039404206,-59.84659696,23.20112092,1208.6447989685514,-2080.549918,50.23168832167861,0.2226093770901542,-0.864683612,0.45029692026057627,-12.27202284,58.979173543513184,-15.2977715,0.1698091296414066,5.469996848673607,1.8340068853042084,-1.114045101,11.236846052147094,0.029285864159118043,-0.107521196,0.004875797,-0.81879492,-0.562922158,-0.112665537,,,0.9935534604099499,0,0.9965016449018792,31.506722004865622,medium,high,69.11899117,27.82675279792388,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
6,7/17/2025,5:00:55 PM,2,1,Miles Woolsey,,Right,Kcl bobcats 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,1,0,0,Slider,,StrikeCalled,,,,,,,74.90786961853027,1.0972070358233237,-4.41829482,2208.421759772591,84.36083776081527,8:45,5.337212339,3.8937584623486825,6.0000001920000035,-47.08341159,4.144066618066944,-8.886341906,2.4364963101382817,-0.96126422,67.28628768139197,-7.783814688,-6.098270924,0.5151373162685021,,,,,,,,,,,,3.2242334292564467,1.850000813903531,-3.528038028,50.00000000000001,5.399759990296936,8.622151858276796,-108.4965178,0.8180873882597804,3.737112307,23.866127958998664,-30.0297691,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,e72090f1-90ad-49ec-b4c0-cd422daadb74,75.11353568,5.328517591739175,3.8952062430466023,1.1992326502892672,-4.435891291,67.43311489,2.4442598426748927,-0.962061437,-7.666411035,-6.109997354,0.5149264225956764,-8.71585696,1.1078278156671204,-70.82045308,21.43494374882306,725.5316918,-2085.840462,32.85294978509673,0.032282335,-0.94449371,0.32693956903670107,,,,,,,,,,,,,,,,,0.9919086787119831,0,,,medium,high,70.70855062605924,23.297266094331373,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
7,7/17/2025,5:01:05 PM,2,2,Miles Woolsey,,Right,Kcl bobcats 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,1,0,1,Fastball,,Foul,,,,,,,87.71231551918467,-1.420045001,-4.040630703,2127.380643,218.6659227,1:15,5.289754194483411,3.000228224163879,6.0000001920000035,-18.73906515,18.320364727948032,12.451358036212577,2.4048248267510854,0.27626683153438497,78.59106244646058,-4.967320582,-1.682659474,0.43814805625381387,,,,,,,,,,,,-8.089208921,10.38417830685116,-2.677770392,50.000000000000064,5.162912204,8.587489303918488,-127.1596235,-3.754546506,-12.98663455,30.81399548076065,-15.50300917,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,38ee8ba8-4cb9-4285-af8c-59cf37228ed7,87.96116526417136,5.291669990028611,3.006597052,-1.443865583,-4.115948138,78.79291835002059,2.4040824908530434,0.2713250363437398,-4.977183175,-1.757300626,0.4379626769086139,13.159895498272153,17.306422119570435,-17.87718013,82.72429112316709,2024.6637745102491,-653.0581897,95.17167421183399,-0.743102468,-0.306977593,-0.594612041,,,,,,,,,,,,,,,,,0.9872151678110439,0,,,medium,high,15.54813798914959,-66.64323969,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
8,7/17/2025,5:01:24 PM,2,3,Miles Woolsey,,Right,Kcl bobcats 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,1,0,2,Fastball,,BallCalled,,,,,,,90.54987668651036,-0.871881271,-10.25466318,2100.2674952411835,213.31264379694716,1:00,5.756241078029334,6.231310982407946,6.0000001920000035,-16.06645221,19.599557956268598,10.654450648461586,3.5938314725445317,-2.514522989,80.87111817597507,-3.887132114,-8.286001467,0.4298320419448255,86.05588698180387,-2.938391877,163.79223199347263,,-26.7102047,106.70784849986792,1.4033399010403482,29.981365608927295,,155.8632374214749,0.3745245986124295,-9.181077272,10.887149471813402,-5.393171019,49.999999999999936,5.674739215970033,23.090352043327997,-129.5377158,-2.52325359,-15.32162818,31.563841997951037,-14.00528233,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,1d000ed4-2651-400d-b7f5-626bd8cdcee1,90.81451062600605,5.758947875,6.236707950101051,-0.905088838,-10.31793684,81.09032434787612,3.5924217277871318,-2.518716289,-3.907089168,-8.349810288,0.42965469894044495,11.268283430117464,18.81558898,-24.60716775,65.42987504147119,1909.5296513003102,-874.5399147,90.91840232860577,-0.759792528,-0.416394539,-0.499330455,23.988450073720283,-82.52702238,-4.411408514,0.15101470029959121,15.780103050805563,4.473254367597068,12.259862386623688,-27.36015457,,,,,,,,,0.9974874489489647,0,,19.977913188740548,medium,high,31.113112462675907,2.3364270252586676,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
9,7/17/2025,5:01:40 PM,2,5,Miles Woolsey,,Right,Kcl bobcats 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,1,2,2,Changeup,,BallCalled,,,,,,,77.82841629865189,0.3828780205418847,-6.684976294,1957.4364434739005,234.11610605882544,1:45,5.697771844355126,6.481644194,6.0000001920000035,-32.19313925,15.18157318716181,17.899009252222786,3.3732957202590956,1.7319068842421486,69.74312339184804,-5.693166027,-3.31631249,0.4953872398348742,,,,,,,,,,,,-11.88855401,8.079072062,-5.945027861,50.00000000000005,5.710485922096416,12.670174423993359,-112.3887,-0.147766312,-14.93708802,23.728577791002294,-22.02329362,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,ee56073f-6387-4574-8c50-1c8538c72acf,78.04840486851461,5.695670075241397,6.489446227361657,0.4063334297092254,-6.777035478,69.91320338920362,3.375795348603769,1.7258457914395566,-5.653588313,-3.408715901,0.49518741,18.773663773787444,13.472126102308085,4.949629308504274,66.29567907238479,1950.1370350768223,168.88746152847668,99.62709346597616,-0.583958856,0.086279921,-0.807185127,,,,,,,,,,,,,,,,,0.9977097118738979,0,,,medium,high,30.33388883485375,1.7820693188910566,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
10,7/17/2025,5:01:54 PM,2,5,Miles Woolsey,,Right,Kcl bobcats 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,1,2,2,Slider,,BallCalled,,,,,,,74.85166742436697,-0.616012726,-4.54731844,2360.248105206222,83.54918929971576,8:45,5.409563151264704,4.104549097559475,6.0000001920000035,-47.04048186,4.272424682988202,-8.598893199,0.9151744702188654,-0.847170367,67.53327074206572,-9.445274985,-6.172481548,0.5155666658203755,,,,,,,,,,,,3.0209517928196488,2.537344571387083,-3.728420252,49.999999999999936,5.332149823723126,8.853092406861924,-108.409076,-2.433090756,3.4956051545839353,23.83979918893512,-29.23803625,KCL BobCats 2025,KCL GroundSloths 2025,,,,a0983048-7355-4c9d-9800-6f5ddc851d07,af3c8b0d-24fd-49f5-aeb8-0746305bd773,75.05062231030999,5.400930401883897,4.106380099405294,-0.514228424,-4.569544672,67.67514989468393,0.9229403951476873,-0.848263639,-9.329003822,-6.188625991,0.5153588986618889,-8.384525785,1.2408164820527947,-73.9151191,47.09453060938688,653.9329457999986,-2267.849823,27.706110402442736,0.031127864,-0.960852301,0.2753069404605974,,,,,,,,,,,,,,,,,0.9942084969506348,0,,,medium,high,47.61492245,-20.86327308,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
