PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,07/18/2025,5:04:52 PM,1,1,Joe Stellano,,Left,Kcl merchants 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,86.59808800958130,-1.3959062570937800,-7.591555413744120,1910.4984880954000,223.76389879154500,1:30,5.094386197108710,5.667303113817990,6.0000001920000000,-23.3247626763481,15.14583124543450,10.34767401270360,1.841578651253420,-0.567514417132055,77.61925022413610,-5.787167791524210,-5.653992663953940,0.4464121106542570,,,,,,,,,,,,-8.132466760415040,8.65681132588234,-5.051294048575670,49.99999999999990,4.966126387133910,16.305904907936400,-124.76290028975000,-3.7936127987443500,-12.579926255624400,29.456164029410300,-18.783026751632300,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,794b5ec9-4e2e-4d8d-99a0-6c7844d8bbe8,86.84977149583500,5.094780613769470,5.673619960188370,-1.4016466374260800,-7.665274623036740,77.82174533426110,1.8420732294988500,-0.5723272209231070,-5.777886330571240,-5.7263825528432900,0.4462241856520990,11.051036485960200,13.966239777424700,-40.050130611177600,66.53640575428470,1462.4517119869300,-1229.324799685300,76.5481742644491,-0.5528280009579500,-0.6434576145154810,-0.5294747394152850,,,,,,,,,,,,,,,,,0.9970274087775310,0,,,medium,high,30.117234821143700,-26.46645335838840,54.667001749344000,Lawson Alwan,,Kcl merchants 2025,2022-11
2,07/18/2025,5:05:05 PM,1,2,Joe Stellano,,Left,Kcl merchants 2025,Lucas Rink,,Left,Kcl groundsloths 2025,Windup,1,Top,0,0,1,Changeup,,InPlay,,GroundBall,Out,1,0,,80.78534989995180,-0.4596295924114930,-6.876072041266200,1417.6736385518100,236.5375582865090,2:00,5.188087600224810,5.813347749941190,6.0000001920000000,-32.86323177955790,11.223940223848200,10.697172259836400,2.0192039875135800,0.28334324323199000,72.49283934143610,-6.64940023591143,-4.86618579593718,0.4778896703222550,83.49545451087920,-10.63558640768540,-37.80722327848990,3123.5151880852800,60.74251903551160,-91.70794002673980,7.4245997128112300,10.761391231639600,,-35.892728249034400,0.07672826557543820,-8.104227726895390,6.225358179904540,-5.256754726646860,50.0,5.13133316432844,13.749042269451700,-116.59499294841600,-1.8978676528884000,-10.936155940372000,25.952043968889000,-23.77331232461170,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,3c249b94-ffa3-4de4-8f13-8cb17f1a5f40,81.01778001297380,5.185586863895270,5.8201900983496700,-0.4312657180926840,-6.957120594788910,72.67591244154970,2.0221223669251600,0.27798165661807200,-6.6040905851894500,-4.9463349703579800,0.47769000904493300,11.467938779220500,9.492311416583470,-42.84491150466110,21.974250634145100,1039.434132570250,-964.0410932593420,73.31970520606260,-0.40427769957938400,-0.6800162371955600,-0.611667768296805,-50.303987861407300,64.83463108286340,-15.410072730739800,-0.4515380100768180,1.5365358808225200,1.9477527933870400,-6.309075938479500,8.717975799628570,0.02908971456665450,-0.13543891865983100,-0.007556643811460480,-0.2702175218899900,-0.27172479940533800,0.9236601779073090,,,0.9972456906755200,0,0.9808987161014810,45.58392203526160,medium,high,70.22317442926940,-19.34118813026050,54.667001749344000,Lawson Alwan,,Kcl merchants 2025,2022-11
3,07/18/2025,5:05:40 PM,2,1,Joe Stellano,,Left,Kcl merchants 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,1,0,0,Fastball,,BallCalled,,,,,,,87.93605605184100,-2.233935356829880,-6.921352889430460,1972.6448813834000,222.7746306159880,1:30,5.113511945717710,4.65504869996589,6.0000001920000000,-21.379891799635700,15.834366837183200,10.853026448936900,1.2393469608046000,-0.9046677442964790,78.91091928959810,-6.260114128192420,-4.8841237919158,0.43906236081523600,,,,,,,,,,,,-8.16750204235819,9.304516643973350,-4.094812371272540,50.00000000000010,4.917712721558660,15.051718304415200,-126.82523938031500,-5.660913131649130,-13.062371137773200,30.30899057636130,-17.293239145936000,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,82e63517-7672-4571-8b3f-22deee85c1af,88.18742474891760,5.114397723383400,4.661342459888390,-2.2452688575695500,-6.994874684305820,79.11265285654410,1.2394219529081700,-0.9094286897612130,-6.257233301593010,-4.956058994742790,0.43888036271139300,11.552551283861500,14.766898552198300,-35.372798077079400,66.82670022308820,1608.5000057964200,-1141.952520642180,81.54027219883560,-0.598530577883007,-0.5788941189664820,-0.5537533262789970,,,,,,,,,,,,,,,,,0.9870254646816010,0,,,medium,high,29.855969799220600,-45.34815541007830,54.667001749344000,Lawson Alwan,,Kcl merchants 2025,2022-11
4,07/18/2025,5:05:53 PM,2,2,Joe Stellano,,Left,Kcl merchants 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,1,1,0,Fastball,,StrikeCalled,,,,,,,87.88489410107780,-1.3991674407912500,-7.077634594753370,1932.4882268631800,222.74697666887200,1:30,5.01290682844239,5.356185405621950,6.0000001920000000,-22.075647121551300,15.199930214702800,10.2190448685983,1.8626467553064600,-0.40379959781962700,78.74729784380410,-5.560280166406950,-5.16012197146801,0.43942393797361700,,,,,,,,,,,,-7.895506804562800,8.688331997492290,-4.782655400810760,49.99999999999990,4.885239046862520,15.41528635251330,-126.76050335340000,-3.8183468099311900,-12.60406570096130,30.47351129145430,-18.30435001650910,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,89c7f83b-35e8-4471-bcb8-982b0568cd9e,88.13904682356900,5.013534929673560,5.362298236767550,-1.4077229746554400,-7.149545556706210,78.95255756901040,1.8629293304721500,-0.40849883568601300,-5.554309704289970,-5.23088775216522,0.4392393177310660,10.903793957676200,14.072467360630100,-39.432836670997200,88.08838910332180,1492.5953009195800,-1227.4648730768600,77.23696735489890,-0.5671961010986000,-0.6351732735103300,-0.5242551816784640,,,,,,,,,,,,,,,,,0.997019356368809,0,,,medium,high,10.720449807010300,-8.065671554080880,54.667001749344000,Lawson Alwan,,Kcl merchants 2025,2022-11
5,07/18/2025,5:06:07 PM,2,3,Joe Stellano,,Left,Kcl merchants 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,1,1,1,Fastball,,StrikeCalled,,,,,,,87.64723540438600,-1.482889625374840,-6.84863037176788,1908.4445937171900,223.28946323098100,1:30,5.013328593523320,5.4417561566672600,6.0000001920000000,-22.258910319539800,15.183943296584000,10.5035923034877,1.7700165297223800,-0.07850651531194240,78.55462519542800,-5.679518638030370,-4.875921168220940,0.4404088042948860,,,,,,,,,,,,-7.971070579126490,8.707318395543260,-4.887323053674740,50.000000000000100,4.8787372654752500,14.858542992170500,-126.47513242976300,-4.000293848222370,-12.667967186206900,30.32710236409950,-18.336005797572600,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,d69951d6-f084-45b9-a5f0-8fc6e9fab4cc,87.89858441513770,5.013895100699300,5.4478801045065600,-1.4907257412660700,-6.92120265202037,78.75927487744130,1.770344413171380,-0.08329522328796460,-5.672875178455070,-4.948029228803200,0.4402249735889690,11.193819582593400,14.045796340351600,-37.96231843740570,64.31195261254360,1504.647260316390,-1173.9665196719900,78.84154799515020,-0.5738867355633790,-0.615143097964077,-0.5406042765013660,,,,,,,,,,,,,,,,,0.9960974834169550,0,,,medium,high,32.11924264871080,-27.31611415403950,54.667001749344000,Lawson Alwan,,Kcl merchants 2025,2022-11
6,07/18/2025,5:06:22 PM,2,4,Joe Stellano,,Left,Kcl merchants 2025,Cameron Heinold,,Right,Kcl groundsloths 2025,Windup,1,Top,1,1,2,Slider,,InPlay,,GroundBall,Single,0,0,,80.37273719269930,0.8351785431623970,-6.094036890355870,2081.9100380813000,94.14379345810550,9:15,4.805953098578060,5.07070786715712,6.0000001920000000,-39.36105749977330,5.351611365873010,-5.736276420116310,2.306541044605090,-1.0925290160406700,72.00513856655370,-6.581858311497580,-7.172874402335240,0.4812678151122530,84.42253538212220,-9.26390667727403,-3.3116042830184000,2177.058815959380,9.933822046542260,-109.55053253813600,0.9046624062282380,15.942464430195100,,0.824057904620342,0.09995599645805810,0.917962945126799,2.5988147807329600,-4.569137338083060,50.00000000000000,4.851707910699530,12.561657405261700,-116.11156431564300,0.5691459883117620,1.2191472137116600,27.242586953980700,-28.72256190264300,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,8993ea75-cee2-4ef6-a26f-6cb274fd69bc,80.59943716797340,4.799640255329560,5.07258210550866,0.9101867952076500,-6.116883525659580,72.17968642418590,2.3123542201461800,-1.0937185971759300,-6.490066988498630,-7.191194166077940,0.4810685342281620,-5.515324688939210,2.850160636282970,-77.8571538755709,31.187232350785400,437.92911955114100,-2035.3298241102900,21.034968444397300,-0.015199827662738200,-0.9776262119308800,0.2097997973895640,-4.813164844143860,83.18230413312090,-13.590518887582900,0.8374577193171410,3.9230316543233600,2.4057378726291600,0.2292849668521940,15.940815553540900,0.05780306598021820,-0.5081622430112130,-0.0012452455998231100,-0.9550796075710510,-0.006612659099626890,-0.29627557432491600,,,0.9917038921317010,0,0.9962197091419570,47.860841202930600,medium,high,61.93149088429310,50.49440296622760,54.667001749344000,Lawson Alwan,,Kcl merchants 2025,2022-11
7,07/18/2025,5:06:54 PM,3,1,Joe Stellano,,Left,Kcl merchants 2025,Brayden Zilis,,Left,Kcl groundsloths 2025,Windup,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,88.1371101350107,-1.3963480206199600,-8.094797105910130,2009.6582673941800,227.2911033867450,1:30,4.858039662959060,5.798914053533980,6.0000001920000000,-21.828868083534100,15.368668765353600,12.41094437432760,1.7278902398126200,-0.7405520713640130,78.95176166334040,-5.50643023837129,-5.775091582921310,0.4389637059865450,,,,,,,,,,,,-9.394497199770020,8.772230373761670,-5.142337885516990,50.00000000000000,4.7304623976467900,17.646216307417900,-126.83469205552800,-3.8145197383612800,-15.032920411582400,30.219420277010100,-18.13687034834450,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,da5c52b1-f817-40c2-968c-d0aaa65972cd,88.38830527670560,4.8588145205243600,5.8058284719048600,-1.4065471672758500,-8.176106205858830,79.15399509602560,1.728035826712280,-0.7458691265552830,-5.50239746965895,-5.855401520294570,0.43878599281980900,13.189515954778100,14.312549769675000,-33.757764381598600,94.97853192961940,1670.8184569540500,-1116.7327503066500,83.1394314178856,-0.5639129605721810,-0.5556829080969380,-0.6109162614856870,,,,,,,,,,,,,,,,,0.9702598441128830,0,,,medium,high,4.519321263342470,-9.457886447073380,54.667001749344000,Lawson Alwan,,Kcl merchants 2025,2022-11
8,07/18/2025,5:07:08 PM,3,2,Joe Stellano,,Left,Kcl merchants 2025,Brayden Zilis,,Left,Kcl groundsloths 2025,Windup,1,Top,1,0,1,Fastball,,InPlay,,,Single,0,0,,87.16805775416090,-2.113520720235190,-7.242705444157280,1974.71317954011,224.84465067628500,1:30,5.2005300284428200,5.504733295561410,6.0000001920000000,-22.529283141585200,15.387135325853800,11.090152044489900,1.3420991441428900,-0.3384964385723350,78.22822191266070,-6.3537701723000000,-5.163387768935900,0.443185125958697,,,,,,,,,,,,-8.401438808863800,9.022270547842360,-4.918055353064890,50.000000000000000,5.013836423698730,15.619244063228600,-125.64086601911400,-5.381053167115410,-13.18799094336950,29.7231834095937,-18.01152040730260,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,e468cd41-7acd-4892-9379-6471a33ffc79,87.41829925207630,5.201141615012980,5.511331834525840,-2.121557943136940,-7.3193521833576400,78.42710091679220,1.3424083289909200,-0.3433957843667830,-6.347289461490140,-5.237785605256420,0.4430020130525450,11.820951762861200,14.271350431658900,-36.97098374832470,71.47293262148570,1577.6777046968100,-1187.6132373597100,79.89401808034920,-0.5664656845198250,-0.6014104983267940,-0.5634022015965180,,,,,,,,,,,,,,,,,0.9949485639465900,0,,,medium,high,25.674360640662800,-65.16988979703800,54.667001749344000,Lawson Alwan,,Kcl merchants 2025,2022-11
9,07/18/2025,5:07:41 PM,4,1,Joe Stellano,,Left,Kcl merchants 2025,Drew Wichtowski,,Right,Kcl groundsloths 2025,Stretch,1,Top,1,0,0,Changeup,,BallCalled,,,,,,,82.76612961594700,-1.8860429084054900,-7.843824649610090,1371.535346217420,231.9960441149140,1:45,5.176481720629570,3.995156781728450,6.0000001920000000,-29.237552304371700,12.930445671753700,11.505797549146700,0.9699479227619400,-2.3819142380377600,74.39841485351060,-7.374446936071550,-5.691256953215390,0.4673723477361470,,,,,,,,,,,,-8.832063248857830,7.620374099104590,-3.3588962288863700,50.00000000000000,5.004382858720850,16.071413839082900,-119.14573430530600,-4.830482881791100,-12.465656582594400,26.76181987174230,-21.418582389519100,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,479a6329-88d6-40bb-abaa-38b56a3bc546,83.00174509503140,5.174816506472140,4.001633627849010,-1.8674618153746000,-7.919558478773280,74.5845213257513,0.972095468795143,-2.3869517392684400,-7.340741516220350,-5.766186938650160,0.4671791363130700,12.228451023854600,11.429163169389000,-32.00209418701880,24.697072010544800,1163.1013697754800,-726.8455197290210,84.80287241471480,-0.5221447527112830,-0.5299502646676950,-0.6682197050332420,,,,,,,,,,,,,,,,,0.992614290493484,0,,,medium,high,67.7726351905097,-5.111668713134470,54.667001749344000,Lawson Alwan,,Kcl merchants 2025,2022-11
10,07/18/2025,5:07:57 PM,4,2,Joe Stellano,,Left,Kcl merchants 2025,Drew Wichtowski,,Right,Kcl groundsloths 2025,Stretch,1,Top,1,1,0,Fastball,,BallCalled,,,,,,,87.8139288562306,0.8832538011094260,-9.696056210650190,2048.7342188812500,218.3877057197000,1:15,5.181259898967490,7.179932676924720,6.0000001920000000,-21.328979569865300,16.53503899273230,9.680504585757530,4.236697620560510,-1.1118326393238900,78.26801422901000,-3.121517807607930,-7.90076037287469,0.4428787825813010,,,,,,,,,,,,-8.526911866777710,8.641350652423310,-6.3881268277225000,50.00000000000000,5.241895634173300,21.19433703907090,-125.82121778939400,1.298604226588830,-13.397086147381900,30.265938639202600,-18.597162557144300,KCL Merchants 2025,KCL GroundSloths 2025,,,,8d7983fc-7610-45fb-84be-efedb597dfdc,440581d2-d3db-4d09-9a6d-9c39d868e31b,88.08072300938680,5.182587575657330,7.185934249193570,0.8661940374125490,-9.76556664013862,78.48516052259440,4.236500718444920,-1.1162683041718800,-3.1229339347867300,-7.969543232473220,0.4426887098746830,10.35328618271820,15.441371305882000,-42.88767359266470,90.88952260880600,1501.0856921502800,-1394.2932419102900,73.26893251043430,-0.5743014722959180,-0.6805632614813570,-0.4549851272740670,,,,,,,,,,,,,,,,,0.9289533003489990,0,,,medium,high,8.199429652074750,-81.63858094848500,54.667001749344000,Lawson Alwan,,Kcl merchants 2025,2022-11
