PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,07/18/2025,7:18:48 PM,1,1,Luke Gallet,,Right,Kcl bobcats 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,82.5314615697704,-2.2840839012806200,-6.468113836003100,2011.0265223675100,227.50166655105000,1:30,5.073756634034490,3.747508165098380,6.0000001920000000,-26.255319799699500,15.893536927063900,12.861340111991900,0.7482687285672630,-1.217805151743770,74.23397256167180,-7.223324262170660,-4.049451513262310,0.46726625891839500,,,,,,,,,,,,-9.088300686570900,9.347039944725080,-3.225868309877800,50.000000000000000,4.87117327072062,13.124448442509200,-119.14198802160400,-5.564197626488830,-12.835266720337800,26.617250095965900,-18.97336940675910,KCL BobCats 2025,KCL BlueCaps 2025,,,,1af8eed1-da59-4bcd-bc63-87a05173f52d,3408f961-5358-472c-97b6-5dcc12782b06,82.76540223174110,5.073814933107260,3.7549275155878400,-2.285824991275010,-6.555081413584890,74.41939245102530,0.7490763503314590,-1.2234147949596900,-7.209236503415870,-4.134447785624070,0.46707521950785500,13.687554013711400,14.603341905742300,-31.404500871193400,84.46464170636340,1716.4309739307100,-1047.8990339707600,85.35098641613210,-0.5766046025331220,-0.5210766851235280,-0.6292902514406970,,,,,,,,,,,,,,,,,0.9971406214137600,0,,,medium,high,13.981822464272900,57.24516037863260,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
2,07/18/2025,7:18:58 PM,1,2,Luke Gallet,,Right,Kcl bobcats 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,1,0,Fastball,,InPlay,,GroundBall,Error,0,0,,83.41077433754150,-1.519214797403950,-6.358060347103860,2030.1251486811800,227.43841100981500,1:30,5.099006396959510,4.389233570914420,6.0000001920000000,-25.707039160342,15.531446108401600,12.563815462812400,1.5357330711059200,-0.49729821637326900,74.88159668810070,-6.365029925562990,-3.993814513688160,0.46219247972485800,63.02130785085130,-2.959493760864050,-30.258447560854700,2923.828775402660,,,,19.49667509400730,,-26.34162438857180,0.19519163855017900,-8.90624464853404,8.90267089687811,-3.8764940174081100,50.00000000000000,4.959548837577060,13.047178439414800,-120.48455849581700,-3.988712948925050,-12.853449689201100,27.383231105448300,-19.325757518099900,KCL BobCats 2025,KCL BlueCaps 2025,,,,1af8eed1-da59-4bcd-bc63-87a05173f52d,c0cef22b-ec12-4fc3-bcdf-282062b92a5d,83.6491123766566,5.0991603409442700,4.3965719629216400,-1.5222515245711000,-6.444435216007490,75.07199927437490,1.5364675525212500,-0.502925795939327,-6.352138027724480,-4.078739228478000,0.46200110271317400,13.38366389776330,14.247910515165200,-33.74710118943870,84.11757342975930,1688.0444257664300,-1127.7917076954800,83.14977167112210,-0.5624103706390560,-0.5555281694964050,-0.6124402239350490,-31.714166918543700,54.362760529028700,-3.253786649120120,0.4422509811534200,2.3342109181178300,1.6364378768540300,-8.651110600346950,17.472224389065300,0.2821939299294180,-0.9427882771583890,-0.014498604379121800,-0.3763111741394170,-0.24441035021546900,0.8936741469491920,,,0.9946198469520280,0,0.9974823992786450,29.870839038103800,medium,high,14.294183913216600,44.119696835112000,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
3,07/18/2025,7:19:42 PM,2,1,Luke Gallet,,Right,Kcl bobcats 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,82.4939763657323,-0.41080387782518400,-6.032164222337940,1976.2421292380700,227.0078376718660,1:30,5.0814003407756,4.926102635836680,6.0000001920000000,-26.62061124790060,15.493601724532700,12.595842953686500,2.4790850872608600,0.3486952909165780,73.9134753512121,-5.43908279811233,-3.658439424595480,0.46707418745477400,,,,,,,,,,,,-8.831595874714400,8.515568304385490,-4.44023486957842,50.00000000000000,5.032317331878200,12.228109996081400,-119.26554273053600,-1.6522248229863300,-12.477978475377300,27.018702846296100,-20.142579904291600,KCL BobCats 2025,KCL BlueCaps 2025,,,,1af8eed1-da59-4bcd-bc63-87a05173f52d,780b033c-d0f7-4297-a4e3-393fb5124fb3,82.73338494601610,5.081421563746360,4.9334589163435800,-0.41250711366328400,-6.119167685150030,74.1052547400317,2.4799508291575500,0.3430725507091640,-5.424113954158370,-3.744421348799700,0.4668780797756040,13.421413675356100,14.12615756663400,-33.453876325606600,70.66288608121700,1648.837826370680,-1089.4341539095600,83.43298637229130,-0.5689281236242870,-0.5512655244980460,-0.6102680654017890,,,,,,,,,,,,,,,,,0.9953834469296190,0,,,medium,high,26.40340252690470,-53.82490104970260,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
4,07/18/2025,7:20:00 PM,2,2,Luke Gallet,,Right,Kcl bobcats 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,0,1,Changeup,,BallCalled,,,,,,,75.73275981542920,3.667679568218130,-7.527120866957450,1744.5420704601600,238.3537570496230,2:00,4.137192588766740,6.753054253172590,6.0000001920000000,-38.034119380948900,12.50291011778950,13.59442493061820,4.410733135911780,0.8497390119080660,67.37315373280740,-3.5021448301239800,-4.97598106356766,0.5116540050332200,,,,,,,,,,,,-9.905427273308910,5.513413296887670,-6.14425856920831,50.00000000000010,4.416920248391690,14.023130960631200,-108.92209247401700,6.009756528702400,-11.659351976086700,22.73868749352030,-25.684392507676300,KCL BobCats 2025,KCL BlueCaps 2025,,,,1af8eed1-da59-4bcd-bc63-87a05173f52d,e315f1d4-bd40-4ae0-ae7b-78f766859dc6,75.96649560691500,4.134720375084320,6.761899699495390,3.694662336476160,-7.633039669096460,67.5555349877533,4.413726987638170,0.8430697299107700,-3.4527490667280700,-5.081160312961810,0.5114389268972980,14.61045085647100,10.530696965901500,-41.72461578104160,9.38389834942134,1302.043001574870,-1161.0818479570400,74.6352308506626,-0.39159102194379700,-0.6655510736125590,-0.6353725206099040,,,,,,,,,,,,,,,,,0.9968913955016460,0,,,medium,high,81.55449148552080,8.516038444200200,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
5,07/18/2025,7:20:20 PM,2,3,Luke Gallet,,Right,Kcl bobcats 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,1,1,Slider,,StrikeCalled,,,,,,,70.39766538645070,1.8546891986671700,-3.85590727004297,2007.3204209079900,49.684422874676700,7:45,4.881777682988680,5.018818291574390,6.0000001920000000,-60.861373775442100,-2.8029221358148500,-10.484943260390100,1.538247204905750,0.5559971377854180,63.42278726856270,-9.613987052995660,-5.8424687176449900,0.5484085880032670,,,,,,,,,,,,4.274410983049030,-2.198329599815420,-4.698236309215340,50.0,4.99826870791679,7.138654580932670,-101.98853197517200,1.7740268250475000,4.369391254344810,21.379997974015900,-34.42122754003690,KCL BobCats 2025,KCL BlueCaps 2025,,,,1af8eed1-da59-4bcd-bc63-87a05173f52d,5b6a74cc-cf5b-4567-9eca-92985bb81e00,70.55989979434920,4.868447892432580,5.020542695555830,2.012931515847070,-3.876937557305820,63.5178750268793,1.5496804800145300,0.554968493384534,-9.445275102679740,-5.8575421535917500,0.548226186477027,-10.282363536962400,-6.690907401711660,-58.54979813776590,2.795091809998060,1047.3340724717100,-1712.4329513397200,52.17572947312310,0.33757545861088000,-0.8530939721945920,0.39783600182601200,,,,,,,,,,,,,,,,,0.978927988375952,0,,,medium,high,87.48441737100180,38.94541776042260,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
6,07/18/2025,7:20:43 PM,2,4,Luke Gallet,,Right,Kcl bobcats 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,1,2,Fastball,,InPlay,,FlyBall,Out,1,1,,84.17188459690610,-1.7176029618419600,-6.254788097479040,2143.5243604482500,225.38198950880600,1:30,5.103862857178520,3.795604223134760,6.0000001920000000,-24.423222181052500,16.06472649000080,12.126196630081200,1.4622242087350000,-1.0302429444987000,75.56404979211740,-6.321669573218990,-3.9724204148568200,0.45796723661050500,,,,,,,,,,,,-8.635096369727830,9.25702382232536,-3.2911254798679700,50.0,4.948905636873130,12.95900729549820,-121.59626695972800,-4.409773766217730,-12.693136586777100,27.891403023919700,-18.566712419995800,KCL BobCats 2025,KCL BlueCaps 2025,,,,1af8eed1-da59-4bcd-bc63-87a05173f52d,a35388cb-7c45-4955-8af1-1010fb77bc67,84.411360419805,5.1044297129922800,3.80263607920829,-1.7255348922992700,-6.338593934062830,75.75781014400850,1.4626218936796300,-1.0357307333408800,-6.313827770800920,-4.055432542124380,0.4577788698017110,12.922004375702600,14.85191663627280,-34.94905775965630,72.5586661057394,1756.964799325990,-1227.913424376670,81.96616897596540,-0.5757113860936870,-0.5728478980849530,-0.5834395303557490,,,,,,,,,,,,,,,,,0.995461561447248,0,,,medium,high,24.69720050483450,-41.758583139122200,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
7,07/18/2025,7:21:40 PM,3,1,Luke Gallet,,Right,Kcl bobcats 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Stretch,1,Top,1,0,0,Curveball,,StrikeCalled,,,,,,,70.33982938718970,2.7531217045580000,-4.753206924924340,1977.6383871503900,48.918093769825000,7:45,4.522499046392990,4.925589252888010,6.0000001920000000,-63.46727906798280,-5.0101299633056700,-12.66158322036310,1.8031008590667200,-0.5573054488160530,63.23879274413150,-9.20613414574078,-7.145500460959880,0.5502883748018150,,,,,,,,,,,,5.103044155538980,-3.740957193696950,-4.530262217769280,50.00000000000000,4.711278768674920,8.775288439640140,-101.70850507828200,3.312681029896760,5.178633848084210,21.52900623162580,-35.97042033197620,KCL BobCats 2025,KCL BlueCaps 2025,,,,1af8eed1-da59-4bcd-bc63-87a05173f52d,d4680d34-28d2-4822-ac73-b0fd757e1173,70.49258583940380,4.507693187275330,4.925739469753270,2.9273029955397500,-4.755317082261310,63.31969104773460,1.8147936834405700,-0.5571510394566510,-9.026255479834090,-7.142848170399740,0.5501230037658280,-12.637836124431200,-9.14106195042809,-47.595289234097800,5.977018195873780,1333.6463423828200,-1460.287993438190,67.43630944100400,0.44314910317234500,-0.738399903099747,0.5083153110617760,,,,,,,,,,,,,,,,,0.980057429050139,0,,,medium,high,95.37931637628640,0.011952827632612600,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
8,07/18/2025,7:21:52 PM,3,2,Luke Gallet,,Right,Kcl bobcats 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Stretch,1,Top,1,0,1,Curveball,,StrikeCalled,,,,,,,71.98151022340730,1.95248680133128,-4.175488599457660,2088.306502176270,50.624748313077900,7:45,4.757299481749750,4.977049377999590,6.0000001920000000,-60.097869276143800,-4.451652289474870,-12.563776821245600,1.5693063092173300,0.04251063411763040,64.78183870966580,-9.372166412407060,-6.553556246489400,0.536894981958635,,,,,,,,,,,,5.270189984108680,-3.1365532466083100,-4.6291207483187400,50.00000000000000,4.882321954766370,7.932860784220300,-104.22732431865200,2.014165753738280,5.619052897592850,22.53519538291820,-35.51822857422470,KCL BobCats 2025,KCL BlueCaps 2025,,,,1af8eed1-da59-4bcd-bc63-87a05173f52d,f38414fa-066c-47f8-8ce5-ff0940b62ded,72.13997935962940,4.743182616875860,4.9771901780771900,2.118087334850260,-4.177525006733850,64.87054111479970,1.580787432432550,0.04268901394905670,-9.20117412753374,-6.550577126490370,0.5367243034130570,-12.54049327051780,-8.363375906555330,-50.6212171132878,7.804610458397350,1324.9141857247500,-1614.1952941007600,63.444431377483400,0.4024893661838220,-0.7729685716242160,0.4904303185878350,,,,,,,,,,,,,,,,,0.9880213257885520,0,,,medium,high,97.0241494125576,10.082055116410500,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
9,07/18/2025,7:22:13 PM,3,3,Luke Gallet,,Right,Kcl bobcats 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Stretch,1,Top,1,0,2,Curveball,,HitByPitch,,,,,,,72.49434539824930,5.055481634385470,-1.6974461503739000,1993.2680633306700,55.89829237307500,7:45,4.416579336252610,4.011409679447080,6.0000001920000000,-58.44854055230000,-3.676995315058950,-11.409401960533900,4.2586994819471300,1.482568706078700,64.64734250212900,-6.031121499848260,-3.8662821220237300,0.5326586931520410,,,,,,,,,,,,5.575944768299910,-3.7982191224220600,-3.8665311772553500,50.000000000000000,4.795950428639320,3.405063336103050,-104.88479004733400,7.762017346288550,6.0462977097409800,22.130955748306500,-36.29266347750690,KCL BobCats 2025,KCL BlueCaps 2025,,,,1af8eed1-da59-4bcd-bc63-87a05173f52d,9107d947-3832-4406-a304-d722dc95fe12,72.67383067768190,4.4030491592430600,4.011793204090980,5.213512732864930,-1.7023713865939900,64.75544954353030,4.269881751110740,1.4825660458333500,-5.8627118611252600,-3.866034923216420,0.5324782408046120,-11.359058000775800,-7.301452890990720,-52.772360062451300,29.59651176271030,1205.8938713378100,-1587.1161089737300,60.49832902669430,0.33919215397931200,-0.7962381669436500,0.5009525568166020,,,,,,,,,,,,,,,,,0.996818301071912,0,,,medium,high,116.63686058643900,1.8295051059011800,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
10,07/18/2025,7:22:50 PM,4,1,Luke Gallet,,Right,Kcl bobcats 2025,Jake Morrill,,Left,Kcl bluecaps 2025,Stretch,1,Top,1,0,0,Changeup,,BallCalled,,,,,,,77.64549551237130,-0.7128456539772160,-5.915678946789380,1949.368299576400,225.50650502897500,1:30,4.928839587210290,4.056225667023630,6.0000001920000000,-32.53252811137270,14.998520973774900,10.397201398966800,1.551699821402650,-0.5949556038223650,69.77545975020920,-6.843953011798420,-3.9565419117475300,0.4962039560488580,,,,,,,,,,,,-7.607143660236300,8.350002692240070,-3.5786743322241400,50.000000000000000,4.851602331752940,11.342011260901600,-112.27244037696700,-2.315761005623980,-9.52263381406978,23.97982712729570,-21.721503724360600,KCL BobCats 2025,KCL BlueCaps 2025,,,,1af8eed1-da59-4bcd-bc63-87a05173f52d,fd028499-bca6-458c-809d-552fbed81268,77.87737618195730,4.92763985773767,4.063608296274360,-0.7003749109239120,-6.002374759606830,69.95704826252590,1.5536581844442500,-0.6004789629909950,-6.812354627489520,-4.040289301757880,0.49598857154257300,11.219758919064100,13.305168018047800,-43.78059837857230,58.17063140070290,1407.4333018932600,-1348.7654607511400,72.19945570055140,-0.5059942046258050,-0.6918987351154880,-0.5150203930240890,,,,,,,,,,,,,,,,,0.991579734406275,0,,,medium,high,37.646431739367400,41.15403386056070,54.667001749344000,Ryan Theile,,Kcl bobcats 2025,2022-11
