PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,7/19/2025,8:11:12 PM,1,1,Andrew Tay,,Right,Kcl bobcats 2025,Kaiden Maurer,,Right,Kcl merchants 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,87.83002522712171,-2.055713286,-2.124683704,2021.3372489165954,203.6916270512467,12:45,5.731213528,2.5144853184571008,6.0000001920000035,-17.56733097,19.31104941636967,6.870999702970872,2.354567082418157,1.111495424539843,78.77759766039912,-5.378527549,-0.820451713,0.4370764854193061,,,,,,,,,,,,-4.433433218,11.139185757265041,-2.345320502,50,5.553404148686619,4.512154308310558,-127.509995,-5.138513736,-7.151106852,31.175293708468303,-14.20659555,KCL BobCats 2025,KCL Merchants 2025,,,,f1c437ed-4b89-453e-9456-3d3c0fb7b042,9b3cc26f-b076-44e7-be7b-9c85d210ef85,88.08446827264665,5.733438713148356,2.518460880101283,-2.083510943,-2.172156981,78.98895122056665,2.353573081022457,1.1083682590034407,-5.392298851,-0.867819454,0.4368837419437248,7.3159684756458665,18.302717738268342,-27.47176632,24.458386844233406,1793.4077428864496,-932.4660539,88.72382596460277,-0.812462992,-0.461311468,-0.35650472,,,,,,,,,,,,,,,,,0.9936666920570996,0,,,medium,high,112.01254815981008,-14.13780622,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
2,7/19/2025,8:11:26 PM,1,2,Andrew Tay,,Right,Kcl bobcats 2025,Kaiden Maurer,,Right,Kcl merchants 2025,Stretch,1,Top,0,1,0,Fastball,,Foul,,,,,,,87.03317441266877,-1.563054652,-3.202873815,2151.415908757949,194.45020676066162,12:30,5.654140237198782,2.077386708,6.0000001920000035,-19.26965956,18.35394172355214,3.2110817710978536,2.593008329695683,-0.634858323,78.01906455397811,-5.207594011,-2.594298407,0.44147051596243525,,,,,,,,,,,,-2.824622234,10.459964752581751,-1.818084871,50.00000000000001,5.5154363380301525,6.964982644,-126.2714234,-4.057321624,-4.465165425,30.722308381738387,-15.63892769,KCL BobCats 2025,KCL Merchants 2025,,,,f1c437ed-4b89-453e-9456-3d3c0fb7b042,4736fcbc-22b4-4150-b501-1d9c7b0fde8a,87.29325884574158,5.655798476660036,2.080315548251239,-1.584017346,-3.23751749,78.23152448247937,2.5925298476001326,-0.637050965,-5.21355527,-2.627645538,0.4412706448159253,3.537218351198505,17.229778153558666,-42.06377094,86.10403149,1597.2103315600828,-1441.35685,74.23996099769387,-0.718913701,-0.669957326,-0.185257311,,,,,,,,,,,,,,,,,0.9971825218539806,0,,,medium,high,12.506371659498052,82.59918944052201,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
3,7/19/2025,8:11:48 PM,1,3,Andrew Tay,,Right,Kcl bobcats 2025,Kaiden Maurer,,Right,Kcl merchants 2025,Stretch,1,Top,0,1,1,Slider,,StrikeCalled,,,,,,,81.01984718140453,-0.93888289,-5.07343872,2068.0092290727484,133.17003276128153,10:30,5.551189646225961,3.606989725797549,6.0000001920000035,-38.77922562,4.998449325570306,-2.27764104,1.443484995625587,-1.310398009,72.87537559656283,-8.232400972,-5.503513724,0.4762092955728596,,,,,,,,,,,,-0.559670259,3.0392653504757887,-3.191338009,50.00000000000005,5.452040506894056,10.476861551271895,-117.2618068,-3.058339388,-0.759518087,27.409798985416924,-28.04951917,KCL BobCats 2025,KCL Merchants 2025,,,,f1c437ed-4b89-453e-9456-3d3c0fb7b042,097cc03e-934f-4523-ae48-9d2f8e69a9f8,81.24181513316374,5.545250333179365,3.6104408369872067,-0.86816857,-5.115456284,73.04612275003907,1.4488769731121232,-1.312777705,-8.145898849,-5.541260306,0.47601847192632135,-1.875276043,2.6487452676631755,-88.01008512,41.202505228427185,71.80866537,-2066.762126,3.4723571038595553,-0.023756678,-0.999396955,0.025324822765998928,,,,,,,,,,,,,,,,,0.9222984760594255,0,,,medium,high,52.91774529441553,-0.976898511,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
4,7/19/2025,8:12:08 PM,1,4,Andrew Tay,,Right,Kcl bobcats 2025,Kaiden Maurer,,Right,Kcl merchants 2025,Stretch,1,Top,0,1,2,Fastball,,Foul,,,,,,,90.28264341,-1.003739001,-1.428284459,2207.2147673142517,194.18700526914466,12:30,5.701098505451251,1.0490121644391175,6.0000001920000035,-16.69299255,18.19737139409364,3.4521310344285987,3.366367636474094,-0.416141943,80.29657476523269,-4.20801872,-2.800510361,0.42513246634159435,,,,,,,,,,,,-2.356378438,10.189703508555446,-0.934644688,50,5.609649532913471,3.1577755239782097,-131.1704958,-2.844100198,-4.015860266,33.388404004910754,-14.80823738,KCL BobCats 2025,KCL Merchants 2025,,,,f1c437ed-4b89-453e-9456-3d3c0fb7b042,15c7f63c-d284-4297-982e-547bdd56676e,90.54940262651085,5.703248530418369,1.0518086934071293,-1.030597604,-1.461565706,80.51708243709226,3.365308366729615,-0.418255098,-4.222891644,-2.832705138,0.42493962878752795,3.764155744967653,17.191288990218244,-39.70175687,94.64432205,1698.1868183905435,-1409.949843,76.93799640788488,-0.745914614,-0.638791414,-0.188565419,,,,,,,,,,,,,,,,,0.9977282996574165,0,,,medium,high,4.820110153102175,-33.33177942,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
5,7/19/2025,8:12:34 PM,1,5,Andrew Tay,,Right,Kcl bobcats 2025,Kaiden Maurer,,Right,Kcl merchants 2025,Stretch,1,Top,0,1,2,Slider,,HitByPitch,,,,,,,81.68376729677735,2.189877254243313,-2.464634962,2105.7575732509995,54.906059093649674,7:45,5.225086326061948,3.0031313530360486,6.0000001920000035,-42.14208139,0.7286338850838945,-4.558854725,3.751381087507428,0.33119675144965655,73.03656896,-5.803806933,-3.330698883,0.4712505686007713,,,,,,,,,,,,1.5980896083595593,-0.379841005,-2.799622953,50,5.379413661266931,5.234897622829646,-118.5054993,3.2959517750401397,2.2145014872287914,28.039095768319758,-32.70040209,KCL BobCats 2025,KCL Merchants 2025,,,,f1c437ed-4b89-453e-9456-3d3c0fb7b042,7970e287-524e-4910-8631-c0dd4001a472,81.90664918,5.216887530635095,3.0059431743815974,2.286317350996733,-2.498616274,73.19999973040314,3.758636550273244,0.329287949,-5.693702225,-3.359214174,0.4710601833097459,-4.235806162,-1.841193526,-77.38964489,11.897767875914164,459.7281600741643,-2054.961064,21.831960426688973,0.12551602930657063,-0.975877323,0.17863139700053696,,,,,,,,,,,,,,,,,0.8809153577089199,0,,,medium,high,79.29200891167726,20.42694589288944,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
6,7/19/2025,8:13:48 PM,2,1,Andrew Tay,,Right,Kcl bobcats 2025,Lawson Shickel,,Switch,Kcl merchants 2025,Stretch,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,85.97975305833246,-2.727668476,-3.840733937,1932.6192257089856,202.09831746598834,12:45,5.734309543637326,2.958933095464615,6.0000001920000035,-20.22814151,18.383475833401633,5.386056394852984,1.505925599148932,-0.167138877,77.27067408478946,-6.540072181,-2.821562027,0.44722957886512044,,,,,,,,,,,,-4.200616601,10.857317366480038,-2.648740225,49.99999999999997,5.499735643105995,8.19584162,-124.5752321,-6.577155444,-6.47275872,29.56322940914275,-15.44393533,KCL BobCats 2025,KCL Merchants 2025,,,,f1c437ed-4b89-453e-9456-3d3c0fb7b042,d344a091-a21e-47ae-b82d-b26bbbafedf1,86.2311844,5.735707303797144,2.9626330094784588,-2.745450658,-3.884546235,77.47714073173651,1.5056338200894683,-0.169999837,-6.543008906,-2.864521418,0.4470315156775533,5.798179879136636,17.25777870078607,-36.40908792,0.36910156556170304,1555.3712943604241,-1147.099476,80.47996592757856,-0.745678818,-0.593546551,-0.302763261,,,,,,,,,,,,,,,,,0.9903318635077231,0,,,medium,high,90.33219140900553,-13.03851951,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
7,7/19/2025,8:14:16 PM,2,2,Andrew Tay,,Right,Kcl bobcats 2025,Lawson Shickel,,Switch,Kcl merchants 2025,Stretch,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,88.57865422,-2.967979656,-3.575512685,2147.115730405201,197.22207510523046,12:30,5.584848085730752,2.6311352409028697,6.0000001920000035,-17.30577356,19.070449678898278,4.093521001816949,1.3764241519527876,-0.355117274,79.55534539867521,-6.230318748,-2.800646013,0.4340905441526711,,,,,,,,,,,,-3.413740772,11.310654683840838,-2.341887236,50.000000000000036,5.332374638725119,7.889049832167081,-128.351481,-7.221780335,-5.583353466,31.41067799960393,-13.67487602,KCL BobCats 2025,KCL Merchants 2025,,,,f1c437ed-4b89-453e-9456-3d3c0fb7b042,6c821a75-bd73-4ded-b362-8868da3e4c6d,88.83395317920981,5.586928010631659,2.634073984526004,-2.994090508,-3.61086144,79.76900682,1.3755069430589004,-0.357434599,-6.242778266,-2.835717217,0.4339019114670392,4.426237653597088,18.096391065357352,-37.42929804,85.96621204164009,1705.0330464889564,-1304.978264,79.41039331714015,-0.758499775,-0.607781987,-0.23511518,,,,,,,,,,,,,,,,,0.9952996781360006,0,,,medium,high,12.630409162523911,27.161363121277102,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
8,7/19/2025,8:14:34 PM,2,3,Andrew Tay,,Right,Kcl bobcats 2025,Lawson Shickel,,Switch,Kcl merchants 2025,Stretch,1,Top,0,1,1,Slider,,StrikeSwinging,,Throwdown,,,,,80.74751641,-0.173567493,-4.320738415,2091.699234760287,42.03527438466289,7:30,5.529166066751521,2.990888160620542,6.0000001920000035,-41.77612653,2.220687539643329,-3.367276193,1.8860492197434007,-1.313014653,72.56948631575895,-8.049279269,-4.958055048,0.4773996947724399,,,,,,,,,,,,0.28824369654139115,1.2646068123881795,-2.636334906,49.999999999999986,5.490909374384318,8.937863176768873,-117.0030987,-1.568382288,0.3891500925462742,27.440844322681667,-30.46673781,KCL BobCats 2025,KCL Merchants 2025,,,,f1c437ed-4b89-453e-9456-3d3c0fb7b042,a2049aba-6994-4f9d-a852-14b1cd8c7093,80.96375170922002,5.521649063771101,2.9943050115659373,-0.084990005,-4.361925227,72.73023502720957,1.8927624804657683,-1.315387511,-7.946348996,-4.994093734,0.477208775,-2.974760235,-0.330632316,-82.93940163,27.468810503478608,257.1096197523109,-2075.837261,12.291901984740946,0.091295979,-0.992416704,0.082305101,,,,,,,,,,,,,,,,,0.9938534284704256,0,,,medium,high,65.27807054686923,0.8093780468964332,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
9,7/19/2025,8:15:06 PM,2,4,Andrew Tay,,Right,Kcl bobcats 2025,Lawson Shickel,,Switch,Kcl merchants 2025,Stretch,1,Top,0,1,2,Fastball,,StrikeCalled,Strikeout,,StrikeoutLooking,1,0,,87.72094447634042,-2.094217849,-3.619085193,2117.0719119801174,202.22787837218831,12:45,5.718189513,3.354316163686112,6.0000001920000035,-18.42255728,18.635483555467086,5.706031372185913,2.2318652968078943,0.4617834521614508,78.69421732726086,-5.574988282,-2.538556224,0.43813984490764457,,,,,,,,,,,,-4.305026057,10.784923985309558,-3.062438381,49.99999999999995,5.536515649098234,7.863341680904895,-127.1848039,-5.244415614,-6.910869605,30.938837066590953,-14.86098286,KCL BobCats 2025,KCL Merchants 2025,,,,f1c437ed-4b89-453e-9456-3d3c0fb7b042,a9f3c908-c79a-44c1-8b40-a1888cbe8fea,87.97986972,5.720198395107816,3.3582016171850544,-2.118949642,-3.664640431,78.90399118770645,2.2311243881455587,0.4588975020233341,-5.58493045,-2.582608364,0.4379455144176498,6.134897758354172,17.604887610864882,-36.74706554,84.70920747979507,1696.3768067578835,-1266.609336,80.12844519632998,-0.741738304,-0.598283567,-0.303118891,,,,,,,,,,,,,,,,,0.9940100909918825,0,,,medium,high,13.761713268184405,31.12239073437571,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
10,7/19/2025,8:15:42 PM,3,1,Andrew Tay,,Right,Kcl bobcats 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,Stretch,1,Top,1,0,0,Changeup,,BallCalled,,,,,,,82.15085518094679,-1.35752109,-6.869105035,1925.531006439919,222.6241659264158,1:30,5.310404183095264,2.933695576780107,6.0000001920000035,-35.32782071,7.490178388359048,0.7436180569311291,1.0953878310005223,-3.419202667,73.86433862314547,-7.982877603,-6.729573897,0.47096074171003255,,,,,,,,,,,,-2.80643523,4.531261560066568,-2.37190891,49.99999999999997,5.178608649709376,14.253787211314284,-118.5037009,-3.869242292,-3.895287457,27.696747029203795,-25.88473062,KCL BobCats 2025,KCL Merchants 2025,,,,f1c437ed-4b89-453e-9456-3d3c0fb7b042,a0badecd-f2ab-43d4-8b68-e532674370c8,82.38612396285716,5.305898056534495,2.938003433771758,-1.305408544,-6.920153701,74.04662672649306,1.0998281981879305,-3.422357179,-7.915219755,-6.77653839,0.4707601396677861,1.231725644222603,5.414645249764954,-80.4980818,59.03863469429228,317.8678392899139,-1899.11287,16.50806132,-0.121468219,-0.986280077,-0.111790342,,,,,,,,,,,,,,,,,0.9960646065952719,0,,,medium,high,36.86522877513693,-3.886172029,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
