PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,7/19/2025,5:00:46 PM,1,1,Braden Mehn,,Left,Kcl merchants 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Sinker,,InPlay,,GroundBall,Single,0,0,,75.97662389727864,-0.374607901,2.1676543933787937,1649.9294989626108,112.1373956746115,9:45,4.922933923,-0.944492599,6.0000001920000035,-39.57955725,9.737997055643042,-16.26736401,1.2762248297957166,-0.284540328,68.39337318345768,-7.850463337,-0.92449293,0.5054431185849264,94.88093959,5.149086372302757,-36.52566576,2412.453567085312,-70.24344417,84.65139411348427,0.025969568037781648,110.1914735271579,,-39.69526124,0.8867453009832773,9.548202188551008,5.398572847906445,0.777248674,50.000000000000014,4.869513514599339,-3.730073867,-110.3513038,-1.809131345,11.510703988541245,23.727765991533765,-25.66587425,KCL Merchants 2025,KCL BlueCaps 2025,,,,4eb9868f-290c-4b7e-a1cf-8c22eefae10a,deb37e2b-e196-4dd3-8e48-fdd036a6e8a5,76.18143582761412,4.918891680361774,-0.953999939,-0.328509251,2.279910288383202,68.54344083541902,1.2802989675842968,-0.277396399,-7.788418677,-0.815947893,0.5052393072835111,-17.321396,7.536043323,26.31256174983636,6.4255631539215985,1478.9790931237594,731.3605086753275,89.63892663617833,-0.337785388,0.4432677330365744,0.8303100315846275,-56.24361648,75.93772026443548,8.515335784696887,0.43593876340613213,2.437321825395433,1.4264290527942713,-70.37975481,84.78709188554309,-8.209221957,-2.478507507,0.017615043505745942,0.1268663287802242,-0.06554962,0.9897515758595221,,,0.9966122863855789,0,0.9478739024509699,55.72821786687646,medium,high,95.78300683852942,9.263698197197181,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
2,7/19/2025,5:01:17 PM,2,1,Braden Mehn,,Left,Kcl merchants 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Sinker,,StrikeCalled,,,,,,,74.33529677704267,0.9575587085105092,1.5753855270399373,1620.5952985574072,103.72451616347917,9:30,4.893066185046447,-0.237787717,6.0000001920000035,-44.70816915,6.852622170573497,-15.51777286,2.057753648804738,-0.066413094,66.79862793451245,-7.503850044,-1.376732486,0.5168104771786717,,,,,,,,,,,,8.948137310703688,3.376600207027503,0.1183950237590647,50.000000000000036,4.945280175473534,-2.55315258,-107.9809932,0.6052101084313216,10.314501801813785,22.95698548810681,-28.28184859,KCL Merchants 2025,KCL BlueCaps 2025,,,,4eb9868f-290c-4b7e-a1cf-8c22eefae10a,bccf1ac4-ca6b-4ee0-aa07-15224db843a6,74.53381163346937,4.887570566243406,-0.247796694,1.0211612519115976,1.6948535718813376,66.94080214123466,2.063095679203818,-0.058763576,-7.423039131,-1.260994969,0.5166047925220346,-16.63935122,4.343449727114623,35.22411998083462,27.603575367412443,1323.8678003186162,934.7209043270193,81.69021602722613,-0.193813173,0.5767762655852899,0.7935777172995309,,,,,,,,,,,,,,,,,0.9846210251208235,0,,,medium,high,114.8432178306712,13.921050788223623,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
3,7/19/2025,5:01:29 PM,2,2,Braden Mehn,,Left,Kcl merchants 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,1,Sinker,,InPlay,,LineDrive,Single,0,0,,74.59606307882744,0.8668932194792789,1.253786906,1623.5003435671144,108.6222564155114,9:30,5.211415500819302,-1.69935118,6.0000001920000035,-42.75182122,8.437984269033947,-16.17503511,2.4547030663540212,-1.88182319,67.00869816611083,-7.226074792,-1.823433812,0.5149478652459216,70.86925560098337,14.05571290084252,14.327131401919313,2121.1014799131276,36.776462939145155,103.67011028762428,9.960754768833558,150.0766483211071,,21.000778035676408,1.7469004343674286,9.192801170248078,4.266220635244442,1.6065488368034224,50.00000000000002,5.257362280942407,-1.936154177,-108.3766412,0.4884224899853322,10.673001300170181,23.146755597661002,-27.22089357,KCL Merchants 2025,KCL BlueCaps 2025,,,,4eb9868f-290c-4b7e-a1cf-8c22eefae10a,10beb61d-e477-4ff3-a329-b3e4cc00f0de,74.79589759,5.2067677780737345,-1.708882645,0.9215357408274044,1.3695098986695378,67.15648902923773,2.459443386208964,-1.874390394,-7.152926458,-1.708844947,0.514742868,-17.26276758,6.017111298677609,29.945982814493412,43.11791073532941,1406.7572118235896,810.4242793406793,86.64964053735262,-0.276696082,0.49918331249627906,0.8211305003883558,17.012091427645345,66.60929494458505,17.21168096614112,1.8844036550664864,1.2976597595903703,2.435612150222168,53.78456330330286,140.10789100393404,17.985527582130167,6.044476050796218,0.14308530078980763,0.30227204261084706,0.053341046673587134,-0.951728084,,,0.9968394336457136,0,0.9946606645151712,38.62448099484456,medium,high,128.8061196617965,2.313083154987281,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
4,7/19/2025,5:02:05 PM,3,1,Braden Mehn,,Left,Kcl merchants 2025,Jake Morrill,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Slider,,BallCalled,,,,,,,64.67923530199502,2.3438333135017433,-0.124278711,2092.4354565173985,291.71267285608013,3:45,4.529060936544353,0.44680443142107745,6.0000001920000035,-69.19971392,-0.850369794,14.207801594955779,0.9571310990066045,1.4646005660244485,58.19408317553314,-10.64471365,1.800892452884797,0.595029775,,,,,,,,,,,,-7.741803678,-1.29854038,-0.444864511,49.99999999999997,4.680227389112453,-0.127161258,-93.90349554,2.2321253139841293,-6.726608635,17.785414626214617,-33.3023103,KCL Merchants 2025,KCL BlueCaps 2025,,,,4eb9868f-290c-4b7e-a1cf-8c22eefae10a,f35fff56-500e-44b4-99dc-b57e494a021c,64.82574088901302,4.514129507686762,0.4461165476812342,2.5201722258634076,-0.115757029,58.26542019,0.9688269580486928,1.464855281554309,-10.45883359,1.804888331717056,0.5948397334426045,14.123468171301399,-5.184108947,54.85115429356005,20.065898521086407,1204.6203729674012,1710.899148612522,57.57025236861277,0.2129824477778052,0.8176592225502158,-0.534856871,,,,,,,,,,,,,,,,,0.9933307343507011,0,,,medium,high,71.94069133102222,-43.21110133,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
5,7/19/2025,5:02:21 PM,3,2,Braden Mehn,,Left,Kcl merchants 2025,Jake Morrill,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,1,0,Sinker,,BallCalled,,,,,,,73.35570605007824,0.4345811198689997,0.66059734,1634.1806730012063,110.93972706746908,9:45,5.188703028526951,1.2621075088812317,6.0000001920000035,-43.55764531,9.365847315295532,-16.53645026,1.9628306044942179,0.49805211182075765,66.00702406414324,-7.799626334,-2.485137399,0.5235953380592578,,,,,,,,,,,,9.183323773554779,4.919020666501142,-1.306371795,49.99999999999997,5.1989581488908305,-0.790988327,-106.5998453,-0.345408395,10.311916279880506,22.44796444967428,-26.65050163,KCL Merchants 2025,KCL BlueCaps 2025,,,,4eb9868f-290c-4b7e-a1cf-8c22eefae10a,08e4c490-06ee-4b00-a77c-3e64eef81cc5,73.55409062774312,5.183948627365006,1.252270986827498,0.48925944887414147,0.7777826814006364,66.15124157532091,1.9676644519776625,0.5056327894936744,-7.72687747,-2.370649059,0.5233798046007816,-17.63458599,6.862565541772046,26.98904430628684,13.476242368923641,1456.2074729475491,741.6240744085836,89.10933148372109,-0.318463973,0.4538201232343397,0.8322427490608314,,,,,,,,,,,,,,,,,0.9958667151959153,0,,,medium,high,102.12861813203129,8.914819683572059,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
6,7/19/2025,5:02:38 PM,3,3,Braden Mehn,,Left,Kcl merchants 2025,Jake Morrill,,Left,Kcl bluecaps 2025,Stretch,1,Top,0,2,0,Sinker,,InPlay,,LineDrive,Single,0,0,,73.70632933,0.054108067,0.23056634346107366,1603.1801350099001,120.74583969369277,10:00,5.115538450033332,0.5638979416280454,6.0000001920000035,-40.07753266,12.31697673101683,-15.56778959,1.8260320088364277,-0.519129866,66.32127077658551,-7.520193744,-2.729769309,0.5209720348119417,80.15216889648485,12.524464779552632,21.467516118355384,1431.039722105402,45.79655126988536,100.01337851468537,8.198949268270459,147.5736029359998,,25.987045023552657,1.483198634098948,8.507815832739796,6.648975625,-0.573688399,49.999999999999964,5.096801259324656,-0.016476953,-107.1213546,-0.966170942,9.650724304,22.605003537463958,-24.6318752,KCL Merchants 2025,KCL BlueCaps 2025,,,,4eb9868f-290c-4b7e-a1cf-8c22eefae10a,9858e432-6c90-4aae-84fe-1df1ac8ab1c2,73.91268834963078,5.112110183,0.5551414510704178,0.093382115,0.33581252273789397,66.47775542474355,1.829881002968628,-0.512275249,-7.461477122,-2.625355094,0.520748951,-16.55426686,9.983528626968104,23.189845157534226,7.713956611933251,1473.6514266314953,631.2986758083058,91.92051438576458,-0.469925873,0.39377900338342664,0.790004918,28.635546565467795,72.81660906961866,17.381515909433514,0.4701309733213109,3.1574122589932574,2.076780832071497,64.66201745968954,132.65289963493046,8.365548695170858,-12.36052379,-0.097527209,-0.096565008,0.2237963041000003,-0.969840406,,,0.9965641149578104,0,0.9344669653420712,45.546399849668816,medium,high,96.94256095073993,9.724412959496526,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
7,7/19/2025,5:03:21 PM,4,1,Braden Mehn,,Left,Kcl merchants 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Sinker,,StrikeCalled,,,,,,,73.97741820243465,1.5547927723457726,1.4920569046984753,1654.965087,112.99097360681073,9:45,5.099231530149941,-1.093884746,6.0000001920000035,-42.69872655,9.37023373,-14.67620641,2.9474761061913277,-0.920899878,66.27217212350352,-6.794532782,0.45242447377752326,0.520464922,,,,,,,,,,,,9.049791317987664,4.850887685697641,2.4556976339201304,50.000000000000036,5.399889134546464,-5.671704528,-107.1461357,1.2191296101490234,10.290415213859665,22.28573249007132,-26.65816014,KCL Merchants 2025,KCL BlueCaps 2025,,,,4eb9868f-290c-4b7e-a1cf-8c22eefae10a,41e94620-1d0f-43bb-a969-c462e1688d7b,74.18697372840707,5.094837057393591,-1.103529505,1.6051538424532792,1.6072776755988547,66.42668451206639,2.9519049093171716,-0.913622617,-6.726095721,0.5633955841132741,0.5202507097997621,-15.75820268,6.960850729610087,36.80534003354186,19.401885386571582,1325.0900553689582,991.4866537348083,80.06755343260488,-0.31273274,0.5990982296182289,0.7370749925379078,,,,,,,,,,,,,,,,,0.9888641299153872,0,,,medium,high,107.46169684791444,25.70034684,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
8,7/19/2025,5:03:37 PM,4,2,Braden Mehn,,Left,Kcl merchants 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,1,Sinker,,InPlay,,GroundBall,Out,2,1,,75.61143240841997,0.3778535019962308,2.336799875327692,1609.5922876624832,103.41029107870881,9:30,5.433247934167543,-1.883968681,6.0000001920000035,-44.21871492,6.798710556512447,-16.45031049,2.274089889343424,-1.157215373,67.14318218669212,-7.405169955,-2.199121012,0.5080807129978875,87.33367442775659,-13.94360984,-18.71908065,3129.2522001128746,32.65476467887159,-105.04126,10.597336182948256,9.555053080213817,,-9.252981937,0.067391534,9.629478473983292,3.638966344476341,1.702939901,50,5.439277769821045,-4.035542111,-109.8036277,-0.446309504,11.486781562735397,23.59984781910892,-27.83321102,KCL Merchants 2025,KCL BlueCaps 2025,,,,4eb9868f-290c-4b7e-a1cf-8c22eefae10a,e9b61c9a-4ef4-473d-b648-fee92283d0d7,75.80988557553559,5.427991900179769,-1.893858154,0.43857210491442905,2.4543798362627713,67.28431783541768,2.279451713001202,-1.149456441,-7.324764865,-2.082452169,0.5078829132679654,-17.57407786,4.276630724604959,30.312478879879098,13.803229850022891,1389.5379128017096,812.3864359953425,86.32856428627986,-0.200215471,0.5047156613648565,0.8397475015843073,-27.20197058,80.27671990042953,-21.04451775,1.146352659407023,1.590111900389811,2.241990315759655,-1.536394567,9.430722724150877,0.036118087707145356,-0.189167418,-0.003243187,-0.872487332,-0.166622531,0.45935039772284897,,,0.9971441000756988,0,0.92869097,50.80228037769301,medium,high,102.42290686502061,-22.11620016,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
9,7/19/2025,5:04:12 PM,5,1,Braden Mehn,,Left,Kcl merchants 2025,Braxton Waller,,Right,Kcl bluecaps 2025,Stretch,1,Top,2,0,0,Slider,,StrikeCalled,,,,,,,66.06989043098486,2.645750431055041,1.159775108215059,2000.7085650552679,276.44333058737595,3:15,4.995177462612632,-0.736989717,6.0000001920000035,-62.01749626,3.483056071627864,9.782846264641076,2.2882496698891766,1.156282401981656,59.500713018840386,-9.076862873,3.020786812,0.5824974165172822,,,,,,,,,,,,-4.887804915,0.9482572474703275,0.6368686514117827,50.000000000000036,5.175134117024574,-2.174011137,-95.88746286,2.956029877366571,-4.432641393,18.410747969448515,-31.31409621,KCL Merchants 2025,KCL BlueCaps 2025,,,,4eb9868f-290c-4b7e-a1cf-8c22eefae10a,a6fb1279-3543-49c2-9ad9-84469ad4b74f,66.24861907673224,4.983450158214427,-0.739720717,2.7839128501039934,1.1929281317513076,59.613074736422256,2.2984970596503604,1.1579965092084303,-8.920671203,3.046881513227353,0.5822719012160681,9.466285130700294,-0.376359736,68.24438455199494,28.561079474172065,741.5595418297862,1858.2045657587612,37.06484566428101,0.041594336074629715,0.9287732347501746,-0.368307195,,,,,,,,,,,,,,,,,0.9895509745304797,0,,,medium,high,64.29502847324514,-61.84646073,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
10,7/19/2025,5:04:24 PM,5,2,Braden Mehn,,Left,Kcl merchants 2025,Braxton Waller,,Right,Kcl bluecaps 2025,Stretch,1,Top,2,0,1,Slider,,BallCalled,,,,,,,66.98126054,2.7855962816691706,0.4814763609406525,1939.0153875983888,275.4163593877662,3:15,4.371964074950552,0.8133609212104279,6.0000001920000035,-60.26509014,3.4121272494571855,7.308184495992293,1.9409217519731816,1.8698679441651838,60.244308782632544,-8.617855003,1.8724802580502564,0.5743327226755494,,,,,,,,,,,,-3.788183135,0.8666219166042491,-0.856795824,49.999999999999986,4.564288125742937,-0.993442331,-97.22065283,3.2755496399936774,-3.534485344,18.814105471698422,-31.36546606,KCL Merchants 2025,KCL BlueCaps 2025,,,,4eb9868f-290c-4b7e-a1cf-8c22eefae10a,1892865e-7c40-4482-a712-2593f6750ed0,67.16590588963403,4.360852999340999,0.8095477736945205,2.9162232228989518,0.527608962,60.364119662800896,1.9507298132110935,1.8724138531271648,-8.467745775,1.9114475071386967,0.5741047729226338,6.869949096841331,-0.267555713,74.15810938,18.600255790923185,529.3195342498741,1865.3689994220515,27.298366873997566,0.025767629374620127,0.962018667,-0.271764811,,,,,,,,,,,,,,,,,0.9150523510609849,0,,,medium,high,73.25976978816912,-11.96419537,54.667001749343996,Lawson Alwan,,Kcl merchants 2025,2022-11
