PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,07/28/2025,6:36:41 PM,1,1,Adrian Rapier,,Right,Normal cornbelters,Frederick ragsdale Iii,,Left,Lafayette aviators 2025,Windup,1,Top,0,0,0,Fastball,,InPlay,,Bunt,Single,0,0,,83.34449191858303,-1.135167162075901,0.6626407210371682,2042.3569857148193,143.57449576347346,10:45,5.626001193577682,0.35721644036871103,6.0000001920000035,-21.780193204678906,19.142014018978852,-12.222490395848249,2.755759187571428,-0.04544292422400307,74.73707776826606,-5.258630570203041,-1.660278659912153,0.46041667858958607,15.459896402900913,52.45830804658845,-34.46441563722166,,,,,14.902186008010093,,-35.312857677735714,1.0901856296134496,6.839769230681057,10.745311176589311,-0.40412342651825406,50.000000000000036,5.520918879642552,-1.03215706464301,-121.11504927240718,-3.0569497799973346,9.938679307513183,28.450798162362304,-16.56033540328853,Normal Cornbelters,Lafayette Aviators 2025,,,,4e651d42-eaeb-471a-8933-f66c105fdd84,6dbc8ebc-381b-4391-bdc9-b3d278c97d66,83.58445452548301,5.627450684826232,0.3511200461220313,-1.153940291543274,0.7358180517774785,74.93326461257053,2.755469852455365,-0.040581115542537134,-5.261911632331733,-1.5869538125713374,0.46021309419501805,-12.907240177062087,17.851346756470146,11.921700806895013,63.44026346712379,1998.3050092156645,421.89945157786826,97.84308145895774,-0.787274363027292,0.20657478321803013,0.5809698238793435,-5.330900240620109,7.766837348998102,12.258308896711373,-0.17524923774679613,-0.01255607616205157,1.3384560848919935,-8.614070900362439,12.160301408306491,,,,,,,,,0.9970207436320323,0,,-8.73922585097743,medium,high,32.90376287958858,31.25224608379876,54.667001749343996,Kannan Kleine,,Normal cornbelters,2022-11
2,07/28/2025,6:37:33 PM,2,1,Adrian Rapier,,Right,Normal cornbelters,Gavin Smith,,Right,Lafayette aviators 2025,Windup,1,Top,0,0,0,Fastball,,Foul,,,,,,,83.80305194955116,-2.368088734425153,1.5899223449762927,2182.5162905358006,139.4604605879385,10:45,5.899032600225134,0.05972156617091215,6.0000001920000035,-21.549977789369613,18.94441155588173,-14.041789915048305,1.900212134413884,0.36761551400104786,75.33337143807134,-6.435110909339689,-1.076571241771159,0.45800366103514184,,,,,,,,,,,,8.130325457750024,11.044700659733742,-0.18112707722009871,49.99999999999997,5.69347326694669,-2.951280036686844,-121.67625436814828,-5.687623792150036,11.943600147533198,28.352348730220285,-15.949177763272068,Normal Cornbelters,Lafayette Aviators 2025,,,,4e651d42-eaeb-471a-8933-f66c105fdd84,d2d49bb9-a264-4590-aa16-ed4ae1297bcd,84.03699145951357,5.900342261256161,0.05290407980866179,-2.384840738359731,1.6707403836435415,75.52084486885808,1.9000019913365178,0.37287954312516997,-6.437259724628571,-0.9968580867093557,0.45780975406219526,-14.798883307510108,17.722928234502273,6.83152557335802,73.31326438767931,2167.020880678511,259.6109804254846,99.29002088440377,-0.7545620647856741,0.11895030591581562,0.6453579743901162,,,,,,,,,,,,,,,,,0.9809895889032246,0,,,medium,high,24.01806205108864,70.35358238047044,54.667001749343996,Kannan Kleine,,Normal cornbelters,2022-11
3,07/28/2025,6:38:04 PM,2,2,Adrian Rapier,,Right,Normal cornbelters,Gavin Smith,,Right,Lafayette aviators 2025,Windup,1,Top,0,0,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Lafayette Aviators 2025,,,,4e651d42-eaeb-471a-8933-f66c105fdd84,33b5445a-8cff-487d-9842-ee8b7100b402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannan Kleine,,Normal cornbelters,2019-02
4,07/28/2025,6:38:24 PM,2,2,Adrian Rapier,,Right,Normal cornbelters,Gavin Smith,,Right,Lafayette aviators 2025,Windup,1,Top,1,0,1,Changeup,,BallCalled,,,,,,,71.51485201765523,-0.8027081713637244,2.2946160472709587,1528.757428794122,117.8489230433543,10:00,5.138462581399453,-0.5319771874601595,6.0000001920000035,-43.29213962410635,12.34288513773948,-16.939526641393964,0.7841046701715109,0.1901380439877034,64.60741884830743,-8.956765750792893,-0.9236462503871058,0.536840985911347,,,,,,,,,,,,9.947260252691983,6.951718710223936,0.3547721585891471,50.000000000000014,5.047971077895557,-3.7234646984185167,-103.86045166755044,-2.5763081799781338,10.632505758116146,20.870502515618682,-24.743441826918126,Normal Cornbelters,Lafayette Aviators 2025,,,,4e651d42-eaeb-471a-8933-f66c105fdd84,ab396a47-5123-48ea-a4f6-e67984c10997,71.71087214841735,5.134017248504369,-0.5408238262958713,-0.7517984213774546,2.3996478523031164,64.74974510145103,0.7886379054682041,0.19690136373395994,-8.888204394799176,-0.821012793102555,0.536620775300068,-17.9255661262269,9.911622553048927,14.088275477357247,8.448890497176311,1482.775227044832,372.1248475382445,96.99218457531484,-0.4530910230943214,0.24341654243458047,0.8575878448651981,,,,,,,,,,,,,,,,,0.9959088471796586,0,,,medium,high,97.60400144745869,-0.06128882953344327,54.667001749343996,Kannan Kleine,,Normal cornbelters,2022-11
5,07/28/2025,6:38:42 PM,2,3,Adrian Rapier,,Right,Normal cornbelters,Gavin Smith,,Right,Lafayette aviators 2025,Windup,1,Top,1,1,1,Slider,,StrikeSwinging,,,StrikeoutSwinging,1,0,,68.06072699254814,1.3436406112548818,-1.7382370206080766,2356.3297612040305,277.71683042336554,3:15,6.044042559786748,0.6694166600990283,6.0000001920000035,-59.88454092882989,1.707967650997439,12.841889095291693,2.3032389543436964,0.12357183318281502,61.473314076585666,-9.9546216527425,0.706131153302481,0.5648530378339266,,,,,,,,,,,,-7.5636279454367354,0.4531897602428223,-0.5351957940646873,49.999999999999986,6.119004686141657,2.684153810417636,-98.8376926826906,0.8490156932898604,-7.296633795957216,19.38962735709476,-31.73685730943323,Normal Cornbelters,Lafayette Aviators 2025,,,,4e651d42-eaeb-471a-8933-f66c105fdd84,1d6ca519-b956-4937-a11f-36606afeebf5,68.22831491839405,6.031688908795291,0.6684064679716488,1.4888040385761903,-1.7258574039083785,61.57539564690275,2.31366531854764,0.12398115956885333,-9.797280901423282,0.7121471357672786,0.5646479936847775,12.72073062502148,-1.9779914597216575,62.451561621563656,73.41838378134702,1089.798571451412,2089.1694563147107,46.24983265901415,0.06210301604291756,0.8866201542381713,-0.4583098487890636,,,,,,,,,,,,,,,,,0.9943180853650003,0,,,medium,high,23.92345459678764,-59.59225743173058,54.667001749343996,Kannan Kleine,,Normal cornbelters,2022-11
6,07/28/2025,6:39:20 PM,2,4,Adrian Rapier,,Right,Normal cornbelters,Brody Chrisman,,Left,Lafayette aviators 2025,Windup,1,Top,2,0,0,Fastball,,BallCalled,,,,,,,84.6137219202306,0.48914643870126867,0.8275137891947508,2144.3602063838957,142.0627063143127,10:45,5.519536503498873,-0.570936996604681,6.0000001920000035,-21.03327460344822,18.716025803541804,-12.753741029652941,4.2214316014743725,-0.8646092420054076,75.59285728909573,-3.506445581589565,-1.5983070980482996,0.45377050890854154,,,,,,,,,,,,7.189965794543524,9.961242366065376,0.5108958949816081,50.0,5.547233065214612,-1.3860007548740914,-122.96163611034622,0.4066403281616374,10.751748777904822,29.670832725057593,-17.27818241552805,Normal Cornbelters,Lafayette Aviators 2025,,,,4e651d42-eaeb-471a-8933-f66c105fdd84,22c0588c-4861-4ccd-a2cf-02b6b9929fbf,84.86100125089585,5.521277874283753,-0.5774968608013804,0.4668608916262966,0.9061472215169529,75.79543112794472,4.220913023170252,-0.8593506113920966,-3.5131158465544567,-1.5193390095255346,0.45356562453078697,-13.489096927055286,17.440206577559774,15.297341098258164,97.78695185679106,2068.3847999857508,565.7428867521788,96.45696622368008,-0.7607407375661588,0.26382829016688825,0.5930161578868766,,,,,,,,,,,,,,,,,0.9953324757508113,0,,,medium,high,1.991743328888227,-67.76463284033797,54.667001749343996,Kannan Kleine,,Normal cornbelters,2022-11
7,07/28/2025,6:39:35 PM,2,5,Adrian Rapier,,Right,Normal cornbelters,Brody Chrisman,,Left,Lafayette aviators 2025,Windup,1,Top,2,1,0,Fastball,,BallCalled,,,,,,,84.9772068627838,-0.22450016347887544,-0.21129149184572668,2035.5897676582545,139.1431949205058,10:45,5.806484498554863,0.10829814919833054,6.0000001920000035,-22.128776829751864,17.280316298351792,-12.9173368010165,3.7537681508229315,-1.1645205049245322,76.04548434042474,-4.421261494321195,-2.667097443889046,0.45182446496562473,,,,,,,,,,,,6.919034844174739,9.432033217492364,-0.08362614496891524,50.00000000000001,5.7754157635677625,0.8521495844584217,-123.50331229521507,-1.1635148146456256,10.435269277615616,29.990440739977977,-17.94868308957102,Normal Cornbelters,Lafayette Aviators 2025,,,,4e651d42-eaeb-471a-8933-f66c105fdd84,8cbff0a3-a1d3-44a5-9e84-ccbc68987d47,85.22307100498664,5.807639690457447,0.10142339752616472,-0.23962371761649992,-0.12974414672009454,76.24295853643531,3.753724147328384,-1.159213307123946,-4.420990998572595,-2.586618888921344,0.4516222475974514,-13.680636617537393,15.942756675115268,18.284020543850147,61.634646611252755,1932.8189683724165,638.620809005448,94.95130104706384,-0.7181611832599951,0.31372765728731206,0.6211436805696557,,,,,,,,,,,,,,,,,0.9953946248856694,0,,,medium,high,34.52881804987252,47.40828786495402,54.667001749343996,Kannan Kleine,,Normal cornbelters,2022-11
8,07/28/2025,6:39:49 PM,2,6,Adrian Rapier,,Right,Normal cornbelters,Brody Chrisman,,Left,Lafayette aviators 2025,Windup,1,Top,2,2,0,Fastball,,BallCalled,,,,,,,83.75502499697936,-0.1017841567403722,-0.19034133897412123,2239.1160724938177,141.87354995892105,10:45,5.4534841874749365,0.29739188885645296,6.0000001920000035,-21.45826051787276,19.10852106901308,-13.130602205405872,3.5706975472703095,-0.9737277042519191,74.92955439448414,-4.172561755276508,-2.6866729410937378,0.4584128671890491,,,,,,,,,,,,7.0417419609841785,10.379060965599063,-0.27430316250156017,49.99999999999998,5.432798624682026,0.8018473939069276,-121.72798392913502,-0.8657760102368753,10.317271370753026,29.13295178305764,-16.967075353063308,Normal Cornbelters,Lafayette Aviators 2025,,,,4e651d42-eaeb-471a-8933-f66c105fdd84,a641b43e-efc7-4310-ae91-8e9e774ce84c,83.9973852707263,5.455253651780027,0.29064047401959664,-0.12438837442681566,-0.10962578781219386,75.12794516231949,3.570190782356577,-0.9684531296944049,-4.179347461660021,-2.6057256374716107,0.45820820955287356,-13.886494883147764,17.79781494503675,13.938799998805392,91.53150183793628,2173.1821179691774,539.3702515333406,97.05535790061985,-0.7634860597799187,0.24088534674873574,0.5992188967676803,,,,,,,,,,,,,,,,,0.9938633304102604,0,,,medium,high,7.621648345857421,86.74928620691351,54.667001749343996,Kannan Kleine,,Normal cornbelters,2022-11
9,07/28/2025,6:40:06 PM,2,7,Adrian Rapier,,Right,Normal cornbelters,Brody Chrisman,,Left,Lafayette aviators 2025,Windup,1,Top,2,3,0,Fastball,,StrikeCalled,,,,,,,83.34363027053685,-2.224872756190884,-0.11527927687033039,2094.9619025151424,141.10370054147972,10:45,5.67160682796576,0.15645055728201002,6.0000001920000035,-21.94897781111649,19.007408312575375,-13.30335577596088,1.7736984529601678,-1.0593024555738462,74.90824196166767,-6.364836574565261,-2.6420410132340124,0.4606089122472642,,,,,,,,,,,,7.158479928631528,11.043437195698214,-0.1393635166190085,49.99999999999994,5.477590156446771,0.6446609293825604,-121.05567175343269,-5.364891204372953,10.393594411098482,28.38149658001197,-16.13977858700755,Normal Cornbelters,Lafayette Aviators 2025,,,,4e651d42-eaeb-471a-8933-f66c105fdd84,796ffbbf-ba8b-4340-90af-d6f42fdb0a08,83.57794118701999,5.672849171043284,0.1500291292018027,-2.2411141882571672,-0.0381954727520331,75.09766348085266,1.773556889937568,-1.054244479061919,-6.366169265640376,-2.5654255702920272,0.46041024730908586,-14.025298954687454,17.70592126905153,7.289198400040274,85.95374432213532,2078.0312154183184,265.80376358684566,99.19183794815088,-0.7719939113633871,0.1268776120786399,0.6228382393295077,,,,,,,,,,,,,,,,,0.9875621797424036,0,,,medium,high,12.641630110078253,-78.16071712076905,54.667001749343996,Kannan Kleine,,Normal cornbelters,2022-11
10,07/28/2025,6:40:23 PM,2,8,Adrian Rapier,,Right,Normal cornbelters,Brody Chrisman,,Left,Lafayette aviators 2025,Windup,1,Top,2,3,1,Fastball,,StrikeCalled,,,,,,,85.13436843913513,-0.8039735168675447,0.26668679443305976,2221.362851340951,141.6938346786607,10:45,5.665683645989203,0.8143425711006576,6.0000001920000035,-20.87741559880636,18.358687675555238,-12.507425977987255,3.1786338844755186,0.01991582955197518,76.25645349059408,-4.760091151545906,-2.110904762992192,0.45083171171428865,,,,,,,,,,,,6.860602374135924,10.212129495461882,-0.8288351048309064,49.99999999999992,5.5881222190444975,-0.1907886870651383,-123.72831580964554,-2.3791239944610467,10.395288149204871,29.87520661818757,-16.7004770142197,Normal Cornbelters,Lafayette Aviators 2025,,,,4e651d42-eaeb-471a-8933-f66c105fdd84,a2fd4c42-5c82-45c7-beba-914aac478127,85.37895025822347,5.667424979448904,0.8076297789544595,-0.8259658434922559,0.3462667751784826,76.45503118138056,3.178134691267107,0.025082599477548102,-4.766700911578573,-2.032016243757451,0.45063240882689226,-13.25243030059168,17.129608791955043,19.57332125734137,81.27278225052194,2092.9981704103034,744.1851758646641,94.22135465832795,-0.7393640855147102,0.3350128842820201,0.5840437624151447,,,,,,,,,,,,,,,,,0.9968941410118819,0,,,medium,high,16.854495974530174,-71.96359762858137,54.667001749343996,Kannan Kleine,,Normal cornbelters,2022-11
