PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,5/30/2025,5:00:52 PM,1,1,Cameron Clifton,,Right,Kcl bobcats 2025,Lawson Shickel,,Switch,Kcl merchants 2025,Windup,1,Top,0,0,0,Curveball,,BallCalled,,,,,,,64.10100959,5.231079803,-1.750988258,1866.074997,47.43447163,7:30,5.723827001,4.016322651,6.000000192,-77.20228509,-6.993235008,-13.37495522,4.167866599,1.273878773,57.52939316,-9.366175651,-4.294554112,0.603070481,,,,,,,,,,,,6.615550005,-5.687223895,-3.865957942,50,6.106896843,3.141019597,-92.7020149,6.718490882,5.593836508,17.51323405,-36.98293178,KCL BobCats 2025,KCL Merchants 2025,,,,4a6ceeec-b7f7-469d-8e2a-bd0e4736f25b,d0772188-f334-458e-bdc5-c40ba6f6ce75,64.22945476,5.705601275,4.016490604,5.445913539,-1.753214292,57.57436482,4.182299956,1.273963445,-9.150872586,-4.293167686,0.602923384,-13.35110503,-11.79766144,-40.90398136,68.87888996,1410.394349,-1221.893479,75.58079666,0.511253435,-0.65479334,0.556655736,,,,,,,,,,,,,,,,,0.99728401,0,,,medium,high,28.00899904,79.4419741,54.66700175,Jake Zimmerman,,Kcl bobcats 2025,2022-11
2,5/30/2025,5:01:02 PM,1,2,Cameron Clifton,,Right,Kcl bobcats 2025,Lawson Shickel,,Switch,Kcl merchants 2025,Windup,1,Top,0,1,0,Fastball,,InPlay,,GroundBall,Single,,0,,76.61207806,-1.414754769,-0.227858634,1857.051299,199.0596538,12:45,6.074434656,0.43083481,6.000000192,-29.97647079,18.41880932,4.467166122,2.261253474,0.591327183,68.96756296,-7.074163346,0.620902024,0.500694737,,,,,,,,,,,,-2.493789988,10.44350139,-0.41486075,50,5.941817945,0.318821127,-111.3330066,-3.581313739,-3.064789885,23.87228242,-19.33931307,KCL BobCats 2025,KCL Merchants 2025,,,,4a6ceeec-b7f7-469d-8e2a-bd0e4736f25b,4e821104-53a7-411f-a8ae-a45d746dddc2,76.84689175,6.074077019,0.435009669,-1.412330208,-0.27797882,69.15850731,2.262663352,0.588085394,-7.051750046,0.572239694,0.500457778,4.937153851,16.68508145,-38.77460171,76.92766176,1447.786252,-1162.993765,77.96156478,-0.736876413,-0.626258287,-0.254585368,,,,,,,,,,,,,,,,,0.983558496,0,,,medium,high,20.76510441,72.27163237,54.66700175,Jake Zimmerman,,Kcl bobcats 2025,2022-11
3,5/30/2025,5:01:44 PM,2,1,Cameron Clifton,,Right,Kcl bobcats 2025,Nolan Vanduzer,,Right,Kcl merchants 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,75.94318741,-0.743800363,-1.945426333,1771.00058,198.3577659,12:30,6.108959397,2.675105518,6.000000192,-28.9150437,20.35916083,5.17469121,3.007651414,1.297567732,68.24468429,-6.212224079,-0.962993621,0.505220929,,,,,,,,,,,,-3.457393965,11.26445119,-2.519577192,50,6.031591798,3.605111091,-110.324536,-2.228248799,-4.173505471,23.39445003,-18.57645291,KCL BobCats 2025,KCL Merchants 2025,,,,4a6ceeec-b7f7-469d-8e2a-bd0e4736f25b,438f515c-2a06-414a-9053-e75b4d9227ba,76.18192585,6.109311681,2.679018476,-0.749866731,-1.991960448,68.43847403,3.008504385,1.294567452,-6.19774564,-1.008404351,0.504978351,5.611327716,18.68008066,-29.53771307,82.29041295,1540.826085,-873.0968053,87.00313835,-0.825754117,-0.492996341,-0.27401596,,,,,,,,,,,,,,,,,0.997336877,0,,,medium,high,15.93862835,-64.75573505,54.66700175,Jake Zimmerman,,Kcl bobcats 2025,2022-11
4,5/30/2025,5:02:08 PM,2,2,Cameron Clifton,,Right,Kcl bobcats 2025,Nolan Vanduzer,,Right,Kcl merchants 2025,Stretch,1,Top,0,1,0,Cutter,,StrikeSwinging,,,,,,,72.56099041,-1.470614681,-3.064263125,2000.860059,180.0764157,12:00,5.985539359,2.865907714,6.000000192,-38.81353336,15.33389368,-1.657843624,1.382040435,-0.122871061,65.55226994,-8.766523454,-3.378400461,0.529615193,,,,,,,,,,,,-0.150476506,8.799736056,-2.615112209,50,5.843098829,5.679770235,-105.2874032,-3.72458657,-0.165251359,21.48845358,-22.51029287,KCL BobCats 2025,KCL Merchants 2025,,,,4a6ceeec-b7f7-469d-8e2a-bd0e4736f25b,7c95eadc-3ae4-4729-aa97-4ea5cc40c246,72.78324007,5.982220126,2.869159792,-1.433193623,-3.103114221,65.7265614,1.385866284,-0.125179298,-8.707435317,-3.413379028,0.529368319,-1.290014317,13.03882696,-60.34735434,64.49830106,989.9066594,-1738.828854,49.47405766,-0.494740137,-0.869040714,-0.000659838,,,,,,,,,,,,,,,,,0.996084727,0,,,medium,high,31.95152905,75.0534628,54.66700175,Jake Zimmerman,,Kcl bobcats 2025,2022-11
5,5/30/2025,5:02:28 PM,2,3,Cameron Clifton,,Right,Kcl bobcats 2025,Nolan Vanduzer,,Right,Kcl merchants 2025,Stretch,1,Top,0,1,1,Curveball,,BallCalled,,,,,,,63.6344249,4.137368523,-0.218627127,1880.021439,41.79134202,7:30,5.723760099,2.552393811,6.000000192,-79.35735998,-8.418429905,-12.31775143,2.962616103,1.322722819,57.40027412,-10.84728623,-2.566053094,0.606197079,,,,,,,,,,,,6.596478585,-6.057416045,-2.527497953,50,6.015695027,0.633283961,-92.21521429,4.857577364,5.520654126,17.29909447,-37.24355727,KCL BobCats 2025,KCL Merchants 2025,,,,4a6ceeec-b7f7-469d-8e2a-bd0e4736f25b,acc686cc-5582-4e73-8f37-47db69db24ad,63.74767829,5.705127552,2.553338997,4.359454262,-0.230232062,57.43092477,2.977410907,1.322206813,-10.62714725,-2.573855758,0.606064626,-12.2058571,-13.28402668,-42.19805976,71.71184612,1392.771278,-1262.801954,74.08273383,0.55234361,-0.671695508,0.493702017,,,,,,,,,,,,,,,,,0.99761047,0,,,medium,high,25.45933849,78.70479912,54.66700175,Jake Zimmerman,,Kcl bobcats 2025,2022-11
6,5/30/2025,5:02:55 PM,2,4,Cameron Clifton,,Right,Kcl bobcats 2025,Nolan Vanduzer,,Right,Kcl merchants 2025,Stretch,1,Top,0,2,1,Cutter,,StrikeCalled,,,,,,,72.83603227,1.302090523,-1.253338176,2023.686045,137.7298458,10:30,5.77255944,2.043145946,6.000000192,-43.70896114,10.01851596,-6.747048862,3.340798539,0.315861442,65.38975009,-6.975059892,-2.536061015,0.527557433,,,,,,,,,,,,3.215306893,4.969366865,-1.937144581,50,5.853431656,2.492178209,-105.8016618,1.256106266,3.556375667,22.12289861,-26.67754926,KCL BobCats 2025,KCL Merchants 2025,,,,4a6ceeec-b7f7-469d-8e2a-bd0e4736f25b,ab6ae1f0-6711-4184-9460-2fcfd41cc9e5,73.05633598,5.766458828,2.044943817,1.37269573,-1.275027098,65.5544688,3.346717165,0.314766789,-6.884707283,-2.552422308,0.527316636,-6.539750786,7.299609047,-67.74355511,46.62457662,766.4765819,-1872.917205,37.87527141,-0.280270029,-0.92549791,0.254759356,,,,,,,,,,,,,,,,,0.996260073,0,,,medium,high,48.03788104,65.92047782,54.66700175,Jake Zimmerman,,Kcl bobcats 2025,2022-11
7,5/30/2025,5:03:12 PM,2,5,Cameron Clifton,,Right,Kcl bobcats 2025,Nolan Vanduzer,,Right,Kcl merchants 2025,Stretch,1,Top,0,2,2,Cutter,,InPlay,,FlyBall,Out,,0,,67.72908186,2.653994516,-2.535747496,1993.719489,73.907449,8:30,5.438207747,3.026850367,6.000000192,-61.33548935,1.227568544,-13.50344271,2.797707445,-0.45668416,60.93990264,-8.931430226,-5.099462189,0.569286003,87.82087252,47.44830506,-8.286924884,3743.993078,-10.19436902,109.5265942,110.207114,287.1300791,,-0.818200178,6.046258116,6.401198069,-0.295598829,-2.81239888,50,5.619468903,4.677485229,-98.20279762,3.064583228,6.074101545,19.6508575,-32.45454353,KCL BobCats 2025,KCL Merchants 2025,,,,4a6ceeec-b7f7-469d-8e2a-bd0e4736f25b,455fa342-bf2c-4822-99e3-14a969566d5c,67.89964328,5.425402014,3.02695672,2.803676515,-2.537306898,61.04147608,2.808342994,-0.456442611,-8.770011177,-5.095515371,0.569081107,-13.48439463,-2.732303655,-55.98775579,2.774181668,1115.226971,-1652.630087,55.93700503,0.155051639,-0.828918058,0.537451247,-8.559804949,58.76921501,64.69478152,0.286754237,2.310572106,3.196296839,-4.100160589,287.1008029,37.29766232,-0.725475692,1.063721319,0.908870463,0.052656535,-0.413741187,,,0.992994241,0,0.997011069,52.00162871,medium,high,87.5032365,0.971532363,54.66700175,Jake Zimmerman,,Kcl bobcats 2025,2022-11
8,5/30/2025,5:03:54 PM,3,1,Cameron Clifton,,Right,Kcl bobcats 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,Stretch,1,Top,1,0,0,Cutter,,StrikeSwinging,,,,,,,72.07768548,2.328208028,-1.313316869,1997.416987,119.7062911,10:00,5.565526437,2.176214527,6.000000192,-47.44612651,7.515225685,-7.248929635,3.777264801,0.351334824,64.5964316,-6.665785723,-2.691727366,0.533580841,,,,,,,,,,,,3.464157469,3.251511881,-2.065037731,50,5.727948805,2.587204047,-104.6335783,3.022080575,3.745001764,21.74320703,-28.6589329,KCL BobCats 2025,KCL Merchants 2025,,,,4a6ceeec-b7f7-469d-8e2a-bd0e4736f25b,a8e44f33-8e3c-4a98-be0e-bbbfda2e9451,72.29299182,5.557926092,2.178316838,2.416299107,-1.338608658,64.75206099,3.784231397,0.35005754,-6.558749148,-2.711001087,0.533344713,-7.00726131,4.559007259,-70.67647367,33.49134504,660.9490566,-1884.892825,33.09018903,-0.163979769,-0.943665163,0.287413807,,,,,,,,,,,,,,,,,0.996559113,0,,,medium,high,59.85778946,48.29264563,54.66700175,Jake Zimmerman,,Kcl bobcats 2025,2022-11
9,5/30/2025,5:04:07 PM,3,2,Cameron Clifton,,Right,Kcl bobcats 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,Stretch,1,Top,1,0,1,Cutter,,BallCalled,,,,,,,66.13504795,4.498712591,-1.816525052,1963.080858,78.28232465,8:30,5.422527527,3.368176642,6.000000192,-63.85966185,1.906183752,-14.17890483,4.292683652,0.497768399,59.21148859,-7.596056062,-4.511002724,0.583675853,,,,,,,,,,,,7.030650068,-0.585742144,-3.21199999,50,5.753143469,3.373227418,-95.7500052,6.021681324,6.347837656,18.56485976,-32.70290481,KCL BobCats 2025,KCL Merchants 2025,,,,4a6ceeec-b7f7-469d-8e2a-bd0e4736f25b,08c366a1-6d1f-498f-bb42-728c67835c4c,66.31085635,5.409429431,3.367904287,4.651536835,-1.813567891,59.31574472,4.303875178,0.498302597,-7.427901642,-4.502729512,0.583459694,-14.2022397,-2.173214089,-52.95213454,10.19473156,1182.720871,-1566.798582,60.24819944,0.122357688,-0.798132474,0.589926394,,,,,,,,,,,,,,,,,0.992955485,0,,,medium,high,80.82474159,8.224967183,54.66700175,Jake Zimmerman,,Kcl bobcats 2025,2022-11
10,5/30/2025,5:04:23 PM,3,3,Cameron Clifton,,Right,Kcl bobcats 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,Stretch,1,Top,1,1,1,Curveball,,StrikeCalled,,,,,,,62.53725921,3.912966154,-1.628923095,1813.781888,44.53128814,7:30,5.427298295,1.046881705,6.000000192,-80.74285501,-7.183154004,-12.94759712,2.342549698,-1.54640361,56.50549835,-11.3103007,-4.093387187,0.61729321,,,,,,,,,,,,6.424524079,-5.324712883,-0.906721367,50,5.700247258,2.866938641,-90.60580359,4.389548588,5.183418474,16.86811271,-36.47012114,KCL BobCats 2025,KCL Merchants 2025,,,,4a6ceeec-b7f7-469d-8e2a-bd0e4736f25b,e605e538-432f-42e3-8ebb-7753e97a279e,62.65139127,5.408564108,1.047779138,4.135119151,-1.639865505,56.53619006,2.357623271,-1.546879035,-11.09050482,-4.100453217,0.617152417,-12.84193438,-12.24156588,-42.31435815,63.88890187,1341.22353,-1221.034061,73.94624124,0.527138787,-0.673197847,0.518583993,,,,,,,,,,,,,,,,,0.997634455,0,,,medium,high,32.49998832,65.55975236,54.66700175,Jake Zimmerman,,Kcl bobcats 2025,2022-11
