PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,5/31/2025,7:39:51 PM,1,2,Logan Lynch,,Left,Kcl merchants 2025,Owen Laroe,,Left,Kcl bluecaps 2025,Windup,1,Top,0,0,0,Fastball,,StrikeSwinging,,,,,,,85.49168251,0.960475318,2.217960839,2315.314487,111.9001774,9:45,3.86915405,-1.306447836,6.000000192,-33.45700846,5.545373976,-6.103291721,1.974482496,0.247333547,76.48400976,-5.387410832,1.05773323,0.449486953,,,,,,,,,,,,4.073525143,2.668303374,1.129220082,50,3.928128841,-4.619643173,-124.1427962,1.04996122,6.207833832,30.28846956,-28.10769836,KCL Merchants 2025,KCL BlueCaps 2025,,,,effbe537-32d5-4c27-97c3-20c950b2c2cf,8a932b58-8a8a-4410-826a-c2bb15123867,85.73492575,3.865179383,-1.313205154,1.006091243,2.298497785,76.6717439,1.97840347,0.252312623,-5.326502227,1.133709647,0.449295889,-6.862058183,3.66571399,70.6558113,70.21864648,766.9298164,2184.605189,33.12421793,-0.123550237,0.943545769,0.30733812,,,,,,,,,,,,,,,,,0.993879567,0,,,medium,high,26.80321817,15.77168943,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
2,5/31/2025,7:40:04 PM,1,2,Logan Lynch,,Left,Kcl merchants 2025,Owen Laroe,,Left,Kcl bluecaps 2025,Windup,1,Top,0,0,1,Changeup,,BallCalled,,,,,,,75.64988105,3.619934905,-2.000137209,2394.274205,308.1674279,4:15,5.411789717,0.776154396,6.000000192,-56.98357144,-6.939417553,12.54323256,4.034040481,-0.038246522,67.69751906,-7.184273811,0.387193047,0.509152872,,,,,,,,,,,,-7.49433525,-5.030604387,-0.620405123,50,5.674344376,3.487773612,-109.6528171,5.38919579,-8.898026552,23.8757312,-38.14688773,KCL Merchants 2025,KCL BlueCaps 2025,,,,effbe537-32d5-4c27-97c3-20c950b2c2cf,b04b9996-5935-4928-97c2-e8077ad9255b,75.81377464,5.397849541,0.776600533,3.786737518,-2.00516131,67.79271402,4.045585517,-0.038853985,-7.010248393,0.377643791,0.509000473,12.58669028,-10.36370279,49.92681378,67.33753263,1541.351319,1832.153127,64.37655787,0.39782237,0.765222765,-0.506133858,,,,,,,,,,,,,,,,,0.996985038,0,,,medium,high,29.39622063,78.58774196,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
3,5/31/2025,7:40:15 PM,1,3,Logan Lynch,,Left,Kcl merchants 2025,Owen Laroe,,Left,Kcl bluecaps 2025,Windup,1,Top,0,1,1,Fastball,,StrikeCalled,,,,,,,87.17370319,-1.413568061,3.568007569,2420.078399,137.5343733,10:30,5.025329342,-0.894513116,6.000000192,-26.99543926,10.56232916,-5.394309482,1.459129443,1.976337969,78.22983606,-6.513826434,2.545480001,0.44108411,,,,,,,,,,,,4.140679057,6.199661177,0.606626685,50,4.894325548,-7.713489198,-126.4280349,-3.975690789,6.555533535,31.02396335,-22.35873036,KCL Merchants 2025,KCL BlueCaps 2025,,,,effbe537-32d5-4c27-97c3-20c950b2c2cf,ece23003-0f3e-4f42-9cae-39adec85fe54,87.42553048,5.023793301,-0.900042024,-1.396806442,3.633308201,78.42970024,1.461137804,1.980425029,-6.482165039,2.607362713,0.440892311,-6.010081624,9.06580519,63.87588115,70.45590186,1065.602023,2172.848772,44.03171497,-0.32481426,0.897842307,0.297279143,,,,,,,,,,,,,,,,,0.995457142,0,,,medium,high,26.58968833,35.71879114,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
4,5/31/2025,7:40:28 PM,1,4,Logan Lynch,,Left,Kcl merchants 2025,Owen Laroe,,Left,Kcl bluecaps 2025,Windup,1,Top,0,1,2,Fastball,,InPlay,,GroundBall,Out,1,0,,87.88284853,-0.282210934,1.65134202,2344.155987,139.2056509,10:45,4.894396789,-1.435047922,6.000000192,-25.69003917,11.15718494,-6.694567856,2.49116393,-0.457756681,78.68063969,-5.154027651,0.378614367,0.436891817,75.24455678,-20.40588994,37.839063,2654.923586,-68.59065894,-85.99605518,24.32752981,8.268119219,,32.69487436,0.066975801,4.19202447,6.135497211,1.304371106,50,4.85654971,-3.468264521,-127.6812183,-1.445388144,6.76344645,31.83984844,-22.27498838,KCL Merchants 2025,KCL BlueCaps 2025,,,,effbe537-32d5-4c27-97c3-20c950b2c2cf,20af0e33-8161-4ba6-8256-a0c9d56bfb41,88.13891683,4.893427997,-1.440852683,-0.272186158,1.720311986,78.88552501,2.492751293,-0.453394893,-5.128794956,0.444839739,0.436698005,-7.342438638,9.711875131,58.6303363,76.07737003,1220.268268,2001.502597,52.05576229,-0.394093092,0.85382654,0.34010421,43.26182391,55.69436019,-26.23539899,0.367637045,1.536479339,2.563337878,4.466148926,6.958111036,-0.026373202,-0.036481353,-0.015019988,-0.851146571,-0.437754043,0.289691062,,,0.994248189,0,0.706171343,36.4061105,medium,high,21.53036697,42.23961284,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
5,5/31/2025,7:41:02 PM,2,1,Logan Lynch,,Left,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Windup,1,Top,1,0,0,Curveball,,BallCalled,,,,,,,75.24327956,0.757102032,-1.205154198,2378.293877,315.2816296,4:30,5.393389835,-0.017785925,6.000000192,-58.45097649,-7.961752208,12.12227386,1.226317369,-0.127824284,67.8681484,-10.27459965,1.106003237,0.51141195,,,,,,,,,,,,-7.002532528,-4.586820397,0.108988642,50,5.421434641,1.970867993,-109.2924918,-0.138498717,-8.234832456,24.24125343,-37.56805487,KCL Merchants 2025,KCL BlueCaps 2025,,,,effbe537-32d5-4c27-97c3-20c950b2c2cf,1f8a260b-b66c-4700-99ff-23bdf0182d9b,75.38917499,5.378917314,-0.017811297,0.929594683,-1.204454791,67.94648892,1.238164218,-0.128065019,-10.09955001,1.102041463,0.511264492,12.11188576,-11.57205866,50.44338135,58.47391295,1514.593645,1833.654236,63.68404089,0.452522181,0.770995651,-0.448095283,,,,,,,,,,,,,,,,,0.995965014,0,,,medium,high,37.37347835,51.97010919,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
6,5/31/2025,7:41:14 PM,2,2,Logan Lynch,,Left,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Windup,1,Top,1,1,0,Fastball,,StrikeCalled,,,,,,,88.93931185,-1.118333953,1.640184151,2395.726239,144.2198062,10:45,5.168536848,-0.976661306,6.000000192,-26.18834525,9.801489979,-4.039582145,1.946244046,0.211500142,79.74542815,-6.075902223,0.872308947,0.431778936,,,,,,,,,,,,2.751362605,5.690001093,0.845359379,50,5.062256667,-3.569523184,-129.1936891,-3.364942988,4.544810992,32.60135562,-22.77507779,KCL Merchants 2025,KCL BlueCaps 2025,,,,effbe537-32d5-4c27-97c3-20c950b2c2cf,2792363f-2974-4932-8460-61a51f7e6d2c,89.19564952,5.16681386,-0.981473793,-1.099282031,1.697403244,79.94998267,1.948362135,0.215046873,-6.042620817,0.926397093,0.431589308,-4.577961963,8.305255021,66.12701214,65.1599212,969.5755798,2190.75955,40.47105066,-0.328327866,0.914444862,0.236625034,,,,,,,,,,,,,,,,,0.995758759,0,,,medium,high,31.35607092,36.30661632,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
7,5/31/2025,7:41:28 PM,2,3,Logan Lynch,,Left,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Windup,1,Top,1,1,1,Sinker,,StrikeCalled,,,,,,,89.07612742,0.518396878,2.768133243,2291.74392,105.1025318,9:30,4.236009145,-0.892555649,6.000000192,-29.23219852,6.689375059,-15.64022585,2.282363257,0.378781204,79.67237862,-5.027322678,-0.204132574,0.431369266,,,,,,,,,,,,9.418296712,3.441536634,0.675944012,50,4.261387426,-5.749133469,-129.3141555,0.230726331,15.58725589,32.6510331,-26.47831566,KCL Merchants 2025,KCL BlueCaps 2025,,,,effbe537-32d5-4c27-97c3-20c950b2c2cf,9d93b599-ceff-4c3c-b4fa-f6387e10b1a5,89.31318957,4.233599807,-0.90235168,0.545443344,2.883440587,79.85231516,2.28493479,0.386042032,-4.987224214,-0.093293711,0.431199401,-16.72466802,5.141064451,40.14413353,5.638383189,1751.866386,1477.516281,76.44250174,-0.199168776,0.644712644,0.738022632,,,,,,,,,,,,,,,,,0.994987827,0,,,medium,high,95.07454487,23.22722373,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
8,5/31/2025,7:41:41 PM,2,4,Logan Lynch,,Left,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Windup,1,Top,1,1,2,Slider,,BallCalled,,,,,,,78.76334326,-0.56134035,-0.170778886,2573.570259,319.4770377,4:45,5.067347573,-0.577085969,6.000000192,-53.19324578,-7.102913315,10.42925694,0.112851685,0.133297533,71.09368432,-10.58144205,1.81815275,0.488625854,,,,,,,,,,,,-5.714579462,-3.646356984,0.584998532,50,4.991029068,0.045542218,-114.4279381,-2.62843009,-7.360012672,26.74339878,-36.87032405,KCL Merchants 2025,KCL BlueCaps 2025,,,,effbe537-32d5-4c27-97c3-20c950b2c2cf,0f8e413c-20dc-4e25-808e-838d27b1dbff,78.92405355,5.054277479,-0.577994241,-0.405155536,-0.159413884,71.19034136,0.123694333,0.133709325,-10.42117919,1.824031399,0.488472101,10.31834592,-10.4341653,57.09880652,34.41036682,1397.9426,2160.791606,54.31919318,0.412904971,0.839608555,-0.352940447,,,,,,,,,,,,,,,,,0.976963389,0,,,medium,high,59.03066986,50.74540626,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
9,5/31/2025,7:42:02 PM,2,5,Logan Lynch,,Left,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Windup,1,Top,1,2,2,Cutter,,BallCalled,,,,,,,82.51632127,2.621334194,-1.290980419,2341.07397,190.9025084,12:15,4.089802119,-0.848608736,6.000000192,-36.57537633,5.353761134,0.963249188,3.480425574,-1.968370086,73.62325264,-4.328654953,-1.107721485,0.466046753,,,,,,,,,,,,-0.972341557,1.982457843,0.953226699,50,4.282410961,2.670355142,-119.7668256,4.396004332,-1.37810446,28.35333561,-29.36430236,KCL Merchants 2025,KCL BlueCaps 2025,,,,effbe537-32d5-4c27-97c3-20c950b2c2cf,1ac7bce9-c06e-4c1f-9ee6-ed4a351907af,82.75970363,4.08443823,-0.852669894,2.683580183,-1.242245941,73.81099304,3.485617181,-1.965434404,-4.249744265,-1.063876178,0.465836852,0.503423377,3.169864415,81.01861213,33.95851263,365.4734869,2312.370313,15.61136007,-0.153295818,0.987739107,-0.029527082,,,,,,,,,,,,,,,,,0.995468593,0,,,medium,high,59.43733863,-42.86657564,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
10,5/31/2025,7:42:16 PM,2,6,Logan Lynch,,Left,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,Windup,1,Top,1,3,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,87.54556137,0.930138818,0.27164534,2388.973814,150.503214,11:00,5.00800502,-0.49008067,6.000000192,-29.1979618,7.951081168,-2.666072193,3.439392212,-0.459786011,78.25095291,-4.615842916,-0.23568226,0.438677477,,,,,,,,,,,,1.537770454,3.980759107,0.469493387,50,5.066915021,-0.518834428,-127.2174605,1.141989107,2.460200315,31.88431728,-25.80543665,KCL Merchants 2025,KCL BlueCaps 2025,,,,effbe537-32d5-4c27-97c3-20c950b2c2cf,73a596a1-a153-4072-a8d3-02f47e2f591a,87.80300848,5.005126859,-0.494812713,0.962730565,0.327690107,78.45394487,3.442417541,-0.456384295,-4.568388741,-0.183539231,0.4384806,-3.193536012,6.23993687,72.4858831,55.21487683,718.9396009,2278.227762,30.09407624,-0.261933819,0.953642835,0.148175629,,,,,,,,,,,,,,,,,0.997060216,0,,,medium,high,40.30661085,9.297859708,54.66700175,Lawson Alwan,,Kcl merchants 2025,2022-11
