PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,5/31/2025,5:03:40 PM,1,1,Cooper Stolfa,,Right,Kcl groundsloths 2025,Max Michalak,,Right,Kcl bobcats 2025,Windup,1,Top,0,0,0,Fastball,,Foul,,,,,,,81.13233457,-0.583753251,-5.828223944,2100.07405,215.5713895,1:15,5.387099066,3.584950122,6.000000192,-27.82732844,15.72702102,7.656879883,2.522780415,-1.212451433,72.75407577,-5.834980582,-4.385450107,0.474993086,,,,,,,,,,,,-6.112965113,8.704098166,-3.113005723,50,5.323182337,11.75216412,-117.3281702,-2.01569318,-8.348973286,26.38043588,-20.28615529,KCL GroundSloths 2025,KCL BobCats 2025,,,,fc8fb489-dc74-45a7-bf0a-4bc453518bfd,aaa4d9da-215c-41bb-85a2-1ce398204686,81.37792753,5.386903286,3.590940232,-0.582984279,-5.898383544,72.95076578,2.523916012,-1.216968282,-5.816085143,-4.45329633,0.474780155,8.321518871,14.23259717,-48.88025918,92.8602249,1381.081852,-1582.063188,65.76348355,-0.534914481,-0.753336859,-0.382557283,,,,,,,,,,,,,,,,,0.994193408,0,,,medium,high,6.425797591,6.642895772,54.66700175,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
2,5/31/2025,5:03:59 PM,1,2,Cooper Stolfa,,Right,Kcl groundsloths 2025,Max Michalak,,Right,Kcl bobcats 2025,Windup,1,Top,0,0,1,Slider,,BallCalled,,,,,,,72.27422127,2.895977512,-6.188251913,1803.75885,147.3011882,11:00,5.637327339,4.519138883,6.000000192,-45.75851613,9.621361159,-3.13194759,4.533703534,-1.51564715,64.58476144,-5.741666883,-6.777272912,0.53560857,,,,,,,,,,,,-0.504128416,4.17860408,-4.011303024,50,5.848424917,11.38788091,-104.2802266,4.121927325,-0.540738071,21.76855509,-27.69199653,KCL GroundSloths 2025,KCL BobCats 2025,,,,fc8fb489-dc74-45a7-bf0a-4bc453518bfd,606bb6a4-48bd-4942-8e93-befc52a523c3,72.503071,5.631202678,4.522836605,2.966179627,-6.232211257,64.75627691,4.539641465,-1.518181252,-5.648724565,-6.815848619,0.535363864,-2.71065788,6.772889909,-77.0508697,46.98741138,404.1968632,-1757.888188,22.40858656,-0.188573183,-0.974569405,0.121056309,,,,,,,,,,,,,,,,,0.99580392,0,,,medium,high,47.71132975,63.50289318,54.66700175,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
3,5/31/2025,5:04:15 PM,1,3,Cooper Stolfa,,Right,Kcl groundsloths 2025,Max Michalak,,Right,Kcl bobcats 2025,Windup,1,Top,0,1,1,Fastball,,StrikeSwinging,,,,0,0,,81.71067269,0.225572281,-6.248401988,2141.645944,212.3587661,1:00,5.907048885,4.422741242,6.000000192,-25.55040574,17.46236105,8.197466195,3.988747708,-0.724493712,73.0898821,-4.601328223,-4.705427037,0.472030664,,,,,,,,,,,,-6.553598404,9.368792598,-3.916500423,50,5.910736056,12.68681287,-118.0760537,-0.284411026,-9.062915002,26.7707193,-19.21802669,KCL GroundSloths 2025,KCL BobCats 2025,,,,fc8fb489-dc74-45a7-bf0a-4bc453518bfd,c410396c-037f-4050-b1af-b398c69de2b4,81.96035031,5.907806672,4.428429827,0.214873218,-6.316170182,73.29407272,3.989125054,-0.72895124,-4.593802556,-4.772324669,0.471818061,8.840672698,16.0828892,-43.39962239,85.50485918,1556.075385,-1471.487936,72.65791945,-0.613751126,-0.687082727,-0.388879006,,,,,,,,,,,,,,,,,0.990275222,0,,,medium,high,13.04562673,-86.0079984,54.66700175,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
4,5/31/2025,5:04:35 PM,1,2,Cooper Stolfa,,Right,Kcl groundsloths 2025,Max Michalak,,Right,Kcl bobcats 2025,Windup,1,Top,0,0,1,Curveball,,StrikeSwinging,,,,,,,71.63030265,4.264114173,-2.87523504,1545.690554,29.70999932,7:00,4.884677843,3.214986193,6.000000192,-67.45045289,-11.28753452,-9.072736679,3.239184718,-0.215545878,64.1916543,-8.498128634,-4.598358208,0.539381884,,,,,,,,,,,,3.875898649,-7.665456912,-2.975369626,50,5.194291854,5.438834077,-103.6530067,6.006578094,4.096813719,21.91530105,-40.27641548,KCL GroundSloths 2025,KCL BobCats 2025,,,,fc8fb489-dc74-45a7-bf0a-4bc453518bfd,2a329259-e27e-487d-81e1-d3123a357d26,71.76591056,4.867639013,3.214893378,4.463355193,-2.874349938,64.2491152,3.252348858,-0.215323204,-8.300756443,-4.594809047,0.539250046,-9.078847013,-15.38799726,-30.6603612,17.65425766,1329.611162,-788.2216987,86.02052711,0.747127016,-0.50994793,0.426326554,,,,,,,,,,,,,,,,,0.996722833,0,,,medium,high,74.1111681,-54.56886589,54.66700175,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
5,5/31/2025,5:05:16 PM,1,3,Cooper Stolfa,,Right,Kcl groundsloths 2025,Max Michalak,,Right,Kcl bobcats 2025,Windup,1,Top,0,0,2,Cutter,,Foul,,,,,,,75.65801345,0.808796366,-3.771624219,1952.255556,189.6450145,12:15,5.365451595,3.344945674,6.000000192,-40.13522092,9.807980592,-0.090786552,2.774221518,-0.173015475,67.89696336,-6.779310819,-3.788823366,0.508639064,64.82268477,47.65644537,-61.63602361,,-96.29868859,53.16542651,63.76706077,193.6922755,,-61.33013821,3.951572197,-1.262512314,5.027815304,-3.03723278,50,5.408297697,7.234904458,-109.7110552,0.457293459,-1.502471693,23.67867385,-26.19062266,KCL GroundSloths 2025,KCL BobCats 2025,,,,fc8fb489-dc74-45a7-bf0a-4bc453518bfd,08ec5d93-0104-417e-b19d-6b805ff825b7,75.88794547,5.360639302,3.349535092,0.863624089,-3.825891012,68.0720081,2.779034155,-0.176268265,-6.705081833,-3.83796841,0.508408211,0.422997793,7.418020879,-74.96687313,41.61055826,506.3710927,-1885.441612,25.93774628,-0.255711087,-0.965776026,-0.043456967,-38.42106734,20.74298546,47.91169585,0.401944149,0.750526417,2.636493185,-169.9453401,92.92620173,,,,,,,,,0.996667154,0,,28.53187498,medium,high,52.55049756,67.62165379,54.66700175,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
6,5/31/2025,5:05:44 PM,1,4,Cooper Stolfa,,Right,Kcl groundsloths 2025,Max Michalak,,Right,Kcl bobcats 2025,Windup,1,Top,0,0,2,Fastball,,BallCalled,,,,,,,82.51886459,0.682393233,-7.525135186,2224.724061,216.3250581,1:15,5.57065026,4.591542934,6.000000192,-25.42794833,16.9711338,9.103227415,4.091406259,-1.684161094,73.70907191,-4.113192796,-5.819475995,0.468651218,,,,,,,,,,,,-7.476114009,8.94713437,-3.98031028,50,5.611991463,15.43898038,-118.9176616,0.674766809,-10.48885212,27.10829716,-19.62138263,KCL GroundSloths 2025,KCL BobCats 2025,,,,fc8fb489-dc74-45a7-bf0a-4bc453518bfd,c35388ef-38f4-41b5-845f-3017bd2e297a,82.77089511,5.571441036,4.597710967,0.671253406,-7.598554743,73.91537717,4.091740262,-1.688971203,-4.106201699,-5.89222892,0.468444357,9.804747873,15.6360056,-45.24606188,89.97371386,1566.347078,-1579.858848,70.4063531,-0.567242365,-0.71013699,-0.417063011,,,,,,,,,,,,,,,,,0.997316882,0,,,medium,high,9.023657526,-22.7291345,54.66700175,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
8,5/31/2025,5:07:30 PM,2,1,Cooper Stolfa,,Right,Kcl groundsloths 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,81.81723821,-2.097878608,-4.214215056,2023.236363,219.1659038,1:15,6.07258226,2.632522393,6.000000192,-27.48239583,15.16895866,8.494981699,1.826467349,-0.583305463,73.61082841,-7.276421801,-2.606846127,0.470043375,,,,,,,,,,,,-6.011523683,8.910024022,-2.293557611,50,5.885235525,8.483597067,-118.5423141,-5.166713704,-8.385222702,26.83093133,-19.74583011,KCL GroundSloths 2025,KCL BobCats 2025,,,,fc8fb489-dc74-45a7-bf0a-4bc453518bfd,a1a11555-dce2-4948-8f5f-5b8f49d00165,82.05410286,6.07219082,2.638558195,-2.094633102,-4.286109548,73.80212802,1.827699373,-0.587946363,-7.256230944,-2.677269081,0.469840524,9.173109073,13.70466245,-45.12525184,27.08026999,1427.513257,-1433.768211,70.55593122,-0.547034575,-0.708650871,-0.445608704,,,,,,,,,,,,,,,,,0.997163449,0,,,medium,high,65.62775701,27.94292738,54.66700175,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
9,5/31/2025,5:07:48 PM,2,2,Cooper Stolfa,,Right,Kcl groundsloths 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,1,0,1,Fastball,,BallCalled,,,,,,,82.37112294,-1.681720644,-5.466219786,2070.606042,220.8367626,1:15,5.997498272,2.576870137,6.000000192,-25.48385775,16.69219252,10.72985038,2.313585783,-1.660456267,73.99614547,-6.440928151,-3.570156137,0.46741697,,,,,,,,,,,,-7.625276332,9.58714035,-2.136488839,50,5.845069394,11.08383635,-119.1611536,-4.272609408,-10.75877896,26.89300169,-18.64720552,KCL GroundSloths 2025,KCL BobCats 2025,,,,fc8fb489-dc74-45a7-bf0a-4bc453518bfd,d8121703-d243-4036-aa4c-625b1d9ed5f6,82.61183109,5.997969045,2.58356041,-1.688535367,-5.544630093,74.1891985,2.31410333,-1.665425551,-6.431195393,-3.646787422,0.467216215,11.47162819,15.38258454,-36.27719784,77.98016378,1669.247677,-1225.161856,80.61638202,-0.609923914,-0.591692399,-0.527155503,,,,,,,,,,,,,,,,,0.997622283,0,,,medium,high,19.8178526,24.56314676,54.66700175,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
10,5/31/2025,5:08:09 PM,2,3,Cooper Stolfa,,Right,Kcl groundsloths 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,1,1,1,Fastball,,StrikeCalled,,,,,,,81.10318874,-1.536559627,-5.822238481,2088.350318,224.4142842,1:30,5.774073981,3.807485468,6.000000192,-27.59199946,15.95661779,11.29545774,2.038922526,-0.681080499,72.88170706,-6.736297075,-3.693468134,0.474961828,,,,,,,,,,,,-8.048894807,9.140568705,-3.338150035,50,5.632231349,11.62655108,-117.2639904,-3.96961363,-10.99880044,26.02403345,-19.6834787,KCL GroundSloths 2025,KCL BobCats 2025,,,,fc8fb489-dc74-45a7-bf0a-4bc453518bfd,09393c26-423e-4347-9136-c8ae09593099,81.33831314,5.774034073,3.814577823,-1.537484771,-5.906235469,73.07033568,2.039891853,-0.686580423,-6.719902005,-3.776039124,0.474760333,12.09102817,14.55592228,-38.30015241,76.11611746,1638.884532,-1294.320108,78.47747182,-0.56056319,-0.619781124,-0.54921787,,,,,,,,,,,,,,,,,0.997436015,0,,,medium,high,21.49549429,78.03864228,54.66700175,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
11,5/31/2025,5:08:29 PM,2,4,Cooper Stolfa,,Right,Kcl groundsloths 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,1,1,2,Fastball,,InPlay,,GroundBall,Single,0,0,,82.83502195,-1.052552496,-5.676374029,2192.155024,219.1211625,1:15,5.80391443,3.029939996,6.000000192,-25.79570629,15.95162377,9.196277666,2.671105424,-1.496617855,74.30383819,-5.920860863,-3.942532728,0.465035251,67.4092212,-16.11332646,23.21180578,,-42.50460808,-101.456189,15.72983681,10.29923033,,28.35358083,0.085667427,-6.883163139,8.981267027,-2.571384299,50,5.702797818,11.63420957,-119.8133138,-2.983095269,-9.809238563,27.38320227,-19.37479013,KCL GroundSloths 2025,KCL BobCats 2025,,,,fc8fb489-dc74-45a7-bf0a-4bc453518bfd,0035f26a-fcf3-4cb2-bf93-5fde5570000f,83.07790068,5.804226777,3.03614469,-1.05773943,-5.7506035,74.50103401,2.671747337,-1.501253939,-5.909018203,-4.015538652,0.46483915,9.902336302,14.6047622,-44.67119301,73.39900648,1558.957687,-1541.16663,71.11530297,-0.551722057,-0.703037245,-0.448710824,25.52434618,59.5188885,-18.70862812,1.592814679,1.653771673,2.576622748,4.891221798,9.063668947,,,,,,,,,0.997022451,0,,32.73862391,medium,high,23.94089417,-73.49512854,54.66700175,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
