PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,05/25/2025,5:02:50 PM,2,1,Ethan Plym,,Right,Kcl bluecaps 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,,1,Top,1,0,0,Fastball,,InPlay,,LineDrive,Double,0.0,0.0,,52.34345821703150,3.1238297827263700,-2.256585395398480,1128.9271734019200,188.75580916562200,12:15,5.954972978123210,2.031211810205770,6.0000001920000000,-79.47731068531820,24.51307839104760,2.3298217928457600,2.240266601517240,0.1270223746664930,47.74098266935000,-11.78927034004110,-1.8146796159918600,0.7339527870792370,93.27674780476360,23.16303114316790,-22.623823288634500,1168.469772623480,-42.610068142500700,101.41194255264900,40.88429903785970,334.0748774889690,,-24.36384732152110,4.035312146366370,-2.019110632700530,12.205279777841700,-1.8486574384400000,49.99999999999990,6.163825130373040,2.947628215782600,-75.92248572748750,2.641831978411070,-1.155080711322090,11.020031140750000,-25.191726270304100,KCL BlueCaps 2025,KCL BobCats 2025,,,,5b65661a-d768-4cda-9c86-8fb477a9e97f,8c535bed-f4a1-4baa-82e9-94347084fde9,52.567188111887900,5.94692387138173,2.0353536789701500,3.213102844150060,-2.3059766357515400,47.89080021805770,2.2500423329040300,0.1239420608128060,-11.64223288941440,-1.8611301847372700,0.733492724266271,2.7948766710007700,19.88679546798570,-22.78579155913000,74.89438434263090,1040.824815726260,-437.2187848362,92.19592195569440,-0.9112147821727660,-0.3872869704417510,-0.1403439463457120,-32.98917910802560,79.15862574503660,36.69029453369530,-0.3958358437498160,4.179245092747630,2.919004927797370,-137.81581616036500,304.3235524656640,-32.10632323477830,47.95625922573320,1.028574866386800,0.9790329153529630,0.1501787636271880,0.1376259045779080,,,0.9976138127874190,0.0,0.9977167121994940,60.39244185516910,medium,high,22.595054091632000,-6.24254402414891,54.667001749344,Braxton Waller,,Kcl bluecaps 2025,2022-11
2,05/27/2025,5:04:57 PM,3,1,Ethan Plym,,Right,Kcl bluecaps 2025,Nick Guidici,,Left,Kcl bobcats 2025,,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL BobCats 2025,,,,5b65661a-d768-4cda-9c86-8fb477a9e97f,48e9c57f-77da-471c-ac61-aff1f532beda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Braxton Waller,,Kcl bluecaps 2025,2019-02
3,05/27/2025,5:05:01 PM,3,2,Ethan Plym,,Right,Kcl bluecaps 2025,Nick Guidici,,Left,Kcl bobcats 2025,,1,Top,1,0,1,Fastball,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL BobCats 2025,,,,5b65661a-d768-4cda-9c86-8fb477a9e97f,d2ea2676-c1a4-493f-a605-be8f59531027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Braxton Waller,,Kcl bluecaps 2025,2019-02
4,05/27/2025,5:05:16 PM,3,3,Ethan Plym,,Right,Kcl bluecaps 2025,Nick Guidici,,Left,Kcl bobcats 2025,,1,Top,1,0,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL BobCats 2025,,,,5b65661a-d768-4cda-9c86-8fb477a9e97f,a54a3551-34de-4520-8f5e-0952ef5b42fd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Braxton Waller,,Kcl bluecaps 2025,2019-02
5,05/27/2025,5:05:45 PM,4,1,Ethan Plym,,Right,Kcl bluecaps 2025,Cody Delfavero,,Left,Kcl bobcats 2025,Stretch,1,Top,2,0,0,Fastball,,HitByPitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL BobCats 2025,,,,5b65661a-d768-4cda-9c86-8fb477a9e97f,b76168ff-ef92-4a6b-968d-5195639ed0f3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Braxton Waller,,Kcl bluecaps 2025,2019-02
6,05/27/2025,5:06:28 PM,5,1,Ethan Plym,,Right,Kcl bluecaps 2025,Max Michalak,,Right,Kcl bobcats 2025,Stretch,1,Top,2,0,0,Slider,,StrikeCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL BobCats 2025,,,,5b65661a-d768-4cda-9c86-8fb477a9e97f,0c6ffd97-ce57-4d3d-8821-dcebbc88faf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Braxton Waller,,Kcl bluecaps 2025,2019-02
7,05/27/2025,5:06:34 PM,5,2,Ethan Plym,,Right,Kcl bluecaps 2025,Max Michalak,,Right,Kcl bobcats 2025,Stretch,1,Top,2,0,1,Fastball,,Foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL BobCats 2025,,,,5b65661a-d768-4cda-9c86-8fb477a9e97f,1c74ce4a-8ccf-460f-af90-87f040bff0b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Braxton Waller,,Kcl bluecaps 2025,2019-02
8,05/27/2025,5:06:50 PM,5,3,Ethan Plym,,Right,Kcl bluecaps 2025,Max Michalak,,Right,Kcl bobcats 2025,Stretch,1,Top,2,0,2,Curveball,,BallCalled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL BobCats 2025,,,,5b65661a-d768-4cda-9c86-8fb477a9e97f,e65fb79d-7076-40dd-a34b-e59292c6cf2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Braxton Waller,,Kcl bluecaps 2025,2019-02
10,05/27/2025,5:07:25 PM,5,4,Ethan Plym,,Right,Kcl bluecaps 2025,Max Michalak,,Right,Kcl bobcats 2025,Stretch,1,Top,2,1,2,Curveball,,InPlay,,GroundBall,Out,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL BobCats 2025,,,,5b65661a-d768-4cda-9c86-8fb477a9e97f,c267fab9-8298-41af-a65e-f7461ead80e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Braxton Waller,,Kcl bluecaps 2025,2019-02
11,05/27/2025,5:09:51 PM,1,1,Luke Gallet,,Right,Kcl bobcats 2025,Riley Hendren,,Right,Kcl bluecaps 2025,Windup,1,Bottom,0,0,0,Fastball,,InPlay,,LineDrive,Single,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL BobCats 2025,,,,5b65661a-d768-4cda-9c86-8fb477a9e97f,c0ae1fcc-ae1e-450c-951a-974dca9d85ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will Strehl,,Kcl bobcats 2025,2019-02
