PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/10/2025,8:44:25 PM,1,1,Cooper Stolfa,,Right,Kcl groundsloths 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,,3,Bottom,0,0,0,Fastball,,InPlay,,LineDrive,Out,1,0,,79.54034452,2.870595802,-3.15938541,,,,4.478227329,2.540474138,6.000000192,,,,3.589798147,-0.398818355,71.02423951,-5.23880182,-3.15938541,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,0c6143d7-17cd-44cb-8742-2e9416f1cc29,a799dd96-a64e-482d-9c57-0cbd27373a99,79.76631476,4.471068923,2.540474138,2.955238453,-3.15938541,71.19344803,3.59650402,-0.398818355,-5.137443733,-3.15938541,0.484082381,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
2,6/10/2025,8:44:56 PM,2,1,Cooper Stolfa,,Right,Kcl groundsloths 2025,Cal Darling,,Right,Kcl bluecaps 2025,,3,Bottom,1,0,0,Fastball,,BallCalled,,,,,,,79.66568638,-0.431836028,-4.102792501,,,,4.591921778,1.62667059,6.000000192,,,,0.63994193,-2.192969562,71.67985802,-8.459635838,-4.102792501,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,0c6143d7-17cd-44cb-8742-2e9416f1cc29,f0f7722c-6963-4ca1-97b3-aef68617d1a1,79.88172357,4.584476523,1.62667059,-0.345707946,-4.102792501,71.83692499,0.646500137,-2.192969562,-8.361060699,-4.102792501,0.483319678,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
3,6/10/2025,8:45:11 PM,2,2,Cooper Stolfa,,Right,Kcl groundsloths 2025,Cal Darling,,Right,Kcl bluecaps 2025,,3,Bottom,1,1,0,Fastball,,Foul,,,,,,,78.41049835,-0.915648859,-2.021605698,2061.000266,208.7240314,1:00,5.845145427,2.011884569,6.000000192,-29.54679652,16.70213341,6.563584693,2.531311507,0.679202362,70.46169888,-6.502220412,-0.775163825,0.489465817,101.5098635,0.480759058,-52.34559582,,,,,67.48677375,,-50.14804053,0.466018981,-4.237537684,9.346678307,-1.850946469,50,5.75340609,3.834042668,-113.8951997,-2.659962383,-5.449240308,25.01941178,-20.15473555,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,0c6143d7-17cd-44cb-8742-2e9416f1cc29,2515d487-c2e2-4e44-866a-1bb22954856d,78.64858406,5.84475124,2.017391038,-0.912756158,-2.087004867,70.65299083,2.532684978,0.675023035,-6.480030416,-0.838383485,0.489239523,7.177672526,15.03870098,-44.93475318,21.47850252,1459.005894,-1455.686743,70.79115509,-0.62079926,-0.706301095,-0.340216171,-80.3635382,62.0099077,0.851741858,-0.692430037,3.779359198,2.793652633,-51.80977947,43.24594065,,,,,,,,,0.9962261,0,,58.85578916,medium,high,70.66934773,-10.31547092,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
4,6/10/2025,8:45:32 PM,2,3,Cooper Stolfa,,Right,Kcl groundsloths 2025,Cal Darling,,Right,Kcl bluecaps 2025,,3,Bottom,1,1,1,Fastball,,StrikeCalled,,,,,,,80.88663582,1.62495205,-3.726479509,,,,4.729438387,1.933452855,6.000000192,,,,2.800502306,-1.534805383,72.40300599,-6.199008536,-3.726479509,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,0c6143d7-17cd-44cb-8742-2e9416f1cc29,096c7883-f699-4444-9201-61a798495021,81.11313427,4.722379668,1.933452855,1.707611513,-3.726479509,72.57102693,2.806893729,-1.534805383,-6.102142253,-3.726479509,0.47592371,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
5,6/10/2025,8:45:57 PM,2,4,Cooper Stolfa,,Right,Kcl groundsloths 2025,Cal Darling,,Right,Kcl bluecaps 2025,,3,Bottom,1,1,2,Fastball,,InPlay,,GroundBall,Out,1,0,,80.6243979,-0.529496691,-2.100898,2138.566315,205.7477269,12:45,6.156292865,2.51280867,6.000000192,-27.31810357,16.44138138,5.698101304,3.387328214,1.034213607,72.31771211,-5.702378578,-1.018701708,0.476110351,63.58546975,-19.69151573,-48.61023774,,83.37785528,-71.75049302,21.32293862,11.95477563,,-42.37569859,0.107166825,-3.799593139,9.076173316,-2.344901206,50,6.097326242,4.129907215,-117.1113454,-1.879884877,-5.163431889,26.54881336,-19.84004407,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,0c6143d7-17cd-44cb-8742-2e9416f1cc29,63e591e7-d8a8-4472-ad06-35c5cf06ca62,80.86995445,6.156259665,2.517869209,-0.530736345,-2.160726204,72.51594375,3.38837026,1.030394487,-5.685227682,-1.076396565,0.475888844,6.259716579,14.88437456,-47.30510119,30.41794354,1450.149479,-1571.792725,67.80942304,-0.610769966,-0.734974976,-0.294570592,-44.91398798,39.58274607,-21.42549558,-1.062128787,2.677042676,3.51467839,-8.057388692,8.831486162,,,,,,,,,0.981737856,0,,27.75221903,medium,high,62.62385082,17.32016801,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
6,6/10/2025,8:46:33 PM,3,1,Cooper Stolfa,,Right,Kcl groundsloths 2025,Braxton Waller,,Right,Kcl bluecaps 2025,,3,Bottom,2,0,0,Fastball,,StrikeCalled,,,,,,,80.8140161,0.165711996,-3.884852415,2156.212112,210.9879884,1:00,5.545165612,3.57042757,6.000000192,-26.97249937,16.71145933,7.469410584,3.451824028,0.576778082,72.35509202,-4.943030378,-2.469749798,0.475699304,,,,,,,,,,,,-5.365056882,8.984593493,-3.257825554,50,5.543085225,7.740828526,-117.2021797,-0.447764739,-7.303827529,26.54295645,-19.94269347,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,0c6143d7-17cd-44cb-8742-2e9416f1cc29,04ef5eb6-d42f-4479-b7ca-3b21430aaaef,81.06017109,5.545449315,3.576082124,0.160598101,-3.952301436,72.55460037,3.452578802,0.572580174,-4.929590582,-2.535580495,0.475485704,8.106951006,15.20928388,-45.404894,33.17658629,1513.859763,-1535.40851,70.20922266,-0.601886293,-0.712086024,-0.361478057,,,,,,,,,,,,,,,,,0.992370535,0,,,medium,high,60.14107234,-3.061170794,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
7,6/10/2025,8:46:50 PM,3,2,Cooper Stolfa,,Right,Kcl groundsloths 2025,Braxton Waller,,Right,Kcl bluecaps 2025,,3,Bottom,2,0,1,Curveball,,HitByPitch,,,,,,,56.61217705,28.16601255,-2.755480643,,,,-17.85516842,-0.439358431,6.000000192,,,,1.634664122,-3.002260892,44.76210487,9.835984813,-2.755480643,,,,,,,,,,,,,,,,,,,,,,,,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,0c6143d7-17cd-44cb-8742-2e9416f1cc29,6dddc91f-16e7-4fd5-a89f-71779f550e34,56.97255513,-17.87360725,-0.439358431,28.33459798,-2.755480643,44.98376795,1.652257611,-3.002260892,10.11427617,-2.755480643,0.772748406,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
8,6/10/2025,8:47:22 PM,4,1,Cooper Stolfa,,Right,Kcl groundsloths 2025,Jacob Trusner,,Right,Kcl bluecaps 2025,,3,Bottom,2,0,0,Fastball,,Foul,,,,,,,79.80214317,0.005856425,-4.722915689,2212.145515,211.4944143,1:00,5.369172879,3.293552528,6.000000192,-27.83035639,17.04794678,7.582979823,3.055437864,-0.473949284,71.4890917,-5.258430168,-3.28924277,0.482158399,,,,,,,,,,,,-5.706318782,9.220112292,-2.912365995,50,5.353539315,9.333071086,-115.6115033,-0.789980846,-7.562535034,25.7349728,-19.95471434,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,0c6143d7-17cd-44cb-8742-2e9416f1cc29,1ad98334-2026-404e-98ad-5a9ff690df47,80.04512866,5.369417487,3.299285564,0.00125705,-4.791927624,71.68852827,3.056297335,-0.478495807,-5.243731865,-3.357462289,0.48193944,8.234627181,15.52353388,-46.01034721,93.32502399,1536.397987,-1591.561812,69.45284463,-0.592218223,-0.719465244,-0.362832384,,,,,,,,,,,,,,,,,0.963509228,0,,,medium,high,6.007478411,-82.12701862,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
9,6/10/2025,8:47:45 PM,4,2,Cooper Stolfa,,Right,Kcl groundsloths 2025,Justin Trusner,,Right,Kcl bluecaps 2025,,3,Bottom,2,0,1,Fastball,,BallCalled,,,,,,,78.32578521,1.811841387,-4.46292315,2128.367786,209.7546772,1:00,5.552528242,4.029446162,6.000000192,-30.4176228,16.24377054,6.910786028,4.707324696,0.44912344,69.91943079,-3.953505993,-3.154727444,0.491643582,,,,,,,,,,,,-5.275104671,8.166149365,-3.669179775,50,5.683020954,8.659365071,-113.4457806,2.740621339,-6.721438973,25.06451764,-21.76889594,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,0c6143d7-17cd-44cb-8742-2e9416f1cc29,42f70720-87bf-48fe-a26f-7c06878bc1d5,78.57512347,5.552178826,4.035429416,1.81389017,-4.533867438,70.11924175,4.70871462,0.444603522,-3.930569094,-3.223278775,0.491410795,7.580867404,14.51725289,-50.02337298,92.09526734,1367.423207,-1630.982283,64.24750535,-0.557770053,-0.7663066,-0.318852258,,,,,,,,,,,,,,,,,0.989894491,0,,,medium,high,7.114259398,41.87812978,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
10,6/10/2025,8:48:04 PM,4,3,Cooper Stolfa,,Right,Kcl groundsloths 2025,Jacob Trusner,,Right,Kcl bluecaps 2025,,3,Bottom,2,1,1,Fastball,,BallCalled,,,,,,,77.90532081,1.475665265,-0.229384009,2133.340371,213.1080218,1:00,5.694611985,3.858286143,6.000000192,-30.5689871,16.35389332,8.709311089,4.518984547,4.370872918,69.62598189,-4.330891873,1.427482245,0.493019225,,,,,,,,,,,,-4.794266864,8.340173799,-3.844631943,50,5.79718333,0.208039067,-113.1877395,2.055522311,-6.07271061,25.20675698,-21.60987714,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,0c6143d7-17cd-44cb-8742-2e9416f1cc29,2d6d57f5-5491-4de3-ab42-62d7349b4848,78.14887342,5.694356283,3.864933226,1.476744903,-0.308551804,69.82098195,4.520328261,4.365823186,-4.308949582,1.350464876,0.492782827,9.451905445,14.55951768,-42.35629269,29.1298149,1576.473476,-1437.314343,73.89695038,-0.618992078,-0.673738876,-0.403639362,,,,,,,,,,,,,,,,,0.921470932,0,,,medium,high,63.78316659,32.12765238,54.66700175,Nolan Bowles,,Kcl groundsloths 2025,2022-11
