PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/12/25,7:36:27 PM,1,1,Roy Rolston,,Right,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,89.39043434988804,-0.276002055,-4.694462581,1676.7582437159936,224.0652418024102,1:30,5.733889030148558,3.854478595,6.0000001920000035,-20.07630731,15.669282221488906,13.102133309301701,3.803483355254067,0.5735298108953999,79.92041944054245,-4.080344905,-2.215215554,0.4303113036031293,,,,,,,,,,,,-8.672793353,8.568427247907987,-3.478824508,50.000000000000014,5.699702668954096,10.212092101504995,-129.5114168,-1.274267609,-14.43272829,32.14535711392697,-17.91500093,KCL Merchants 2025,KCL BlueCaps 2025,,,,b6f56c4a-95bf-4870-8033-c04a1aa453a9,642bf2f2-c8d2-477c-88f6-a7ce1491f608,89.64417403061769,5.734437687948872,3.860579350264947,-0.283624906,-4.766874025,80.12490011794743,3.8037384871653805,0.5687815846002872,-4.075325696,-2.287707519,0.43013068761647577,13.785060964924496,14.522943270755938,-7.245568843,94.03623810623053,1663.3688371471226,-211.4765223,99.20147065809573,-0.712810518,-0.12612225,-0.689923433,,,,,,,,,,,,,,,,,0.9974269875795445,0,,,medium,high,5.367385704,32.11983747810111,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
2,6/12/25,7:36:47 PM,1,2,Roy Rolston,,Right,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,,1,Top,0,1,0,Slider,,StrikeSwinging,,,,,,,81.21382750543353,-1.164945229,-4.865455811,1778.454942105258,186.6239340853083,12:15,5.845381814276431,2.927705533959124,6.0000001920000035,-34.38576196,9.096815995362071,-0.895276524,1.8931435524396358,-1.679725497,73.02258296,-7.637065528,-5.034543935,0.4746015634379076,,,,,,,,,,,,-1.210652311,5.330929066100635,-2.529919613,49.99999999999998,5.730276661176128,10.035297558399616,-117.5843484,-3.404970888,-1.654776356,27.222018353486586,-24.88748573,KCL Merchants 2025,KCL BlueCaps 2025,,,,b6f56c4a-95bf-4870-8033-c04a1aa453a9,efc0348c-4b1a-41e2-a033-f9792a3ad92f,81.45018729775497,5.841244761709278,2.9309830660800533,-1.117659511,-4.90415224,73.20640062004043,1.8972696974271643,-1.682049557,-7.574045876,-5.069364307,0.47439184162995846,-0.527772882,7.031798456567214,-75.98503596,71.64558541856415,430.6978407350473,-1725.514808,24.217528965069302,-0.240558689,-0.970232513,-0.027935428,,,,,,,,,,,,,,,,,0.9972986171158988,0,,,medium,high,25.518973123292305,-16.68206999,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
3,6/12/25,7:37:10 PM,1,3,Roy Rolston,,Right,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,,1,Top,0,1,1,Fastball,,BallCalled,,,,,,,89.51989384152506,-0.440831368,-6.15954919,1622.0952385786943,223.50034658377882,1:30,5.654663992239219,4.022756938,6.0000001920000035,-20.27899182,15.512475538383189,12.36936408244331,3.5526549247665633,-0.693264775,80.04014197384747,-4.27619124,-3.829129605,0.43058735745018323,,,,,,,,,,,,-8.759036003,8.537055443928688,-3.526261356,49.999999999999986,5.606792966952878,13.564421971796657,-129.388961,-1.655943524,-14.56040866,31.886506103961917,-17.98264588,KCL Merchants 2025,KCL BlueCaps 2025,,,,b6f56c4a-95bf-4870-8033-c04a1aa453a9,521b007d-d207-4ec1-a9b5-2ecac4d5e2ce,89.77312182982217,5.655237479868541,4.028611309617448,-0.448780511,-6.229675431,80.24805714173033,3.552885607326837,-0.697834162,-4.2713075,-3.900427864,0.43041124520994783,13.035591438311075,14.402832853475704,-15.47615051,73.93967050343896,1563.280672930599,-432.8354198,96.37416076138479,-0.69906945,-0.266837242,-0.663400174,,,,,,,,,,,,,,,,,0.9967999047987908,0,,,medium,high,23.454296546904942,-45.66254553,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
4,6/12/25,7:37:27 PM,1,4,Roy Rolston,,Right,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,,1,Top,0,2,1,Slider,,BallCalled,,,,,,,80.31168066,1.1400748845570778,-2.441975563,2004.3418877043669,120.74841503114881,10:00,5.756604890967664,2.1504171295015553,6.0000001920000035,-38.3529019,5.923712334812073,-4.886340321,3.6212110405555764,-0.52770978,71.93373326298794,-6.127371139,-3.369969048,0.47891531380104035,,,,,,,,,,,,1.7872313137357836,2.8066579357849633,-1.948567652,50.000000000000036,5.827440010482546,5.1133435323124585,-116.5834407,1.2116709971001391,2.3982951129908816,27.022565620257993,-28.40778052,KCL Merchants 2025,KCL BlueCaps 2025,,,,b6f56c4a-95bf-4870-8033-c04a1aa453a9,3a615d27-e91c-4174-b4f1-8d14dbc69051,80.54283008717744,5.750570152231417,2.152535022625661,1.210669676588669,-2.467570755,72.10940737556078,3.626849430455691,-0.52909894,-6.041255999,-3.390778546,0.47870776766597234,-4.642444238,3.5490833419905763,-77.5690516,53.26927805607392,431.4603168649514,-1957.352395,21.52628349044363,-0.110057282,-0.976556149,0.18500130505196025,,,,,,,,,,,,,,,,,0.9966802145594081,0,,,medium,high,42.05764974953347,-49.37492362,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
5,6/12/25,7:37:46 PM,1,5,Roy Rolston,,Right,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,,1,Top,0,3,1,Fastball,,StrikeSwinging,,,,,,,89.40404133597039,-1.049515721,-4.695567239,1713.8083873798741,219.4017567829672,1:15,5.5705314554889265,3.040568054785393,6.0000001920000035,-18.95331328,16.778105601839574,11.847429777108058,3.012281073,-0.345972949,80.02746849037526,-4.637995396,-2.454765581,0.4302260008219653,,,,,,,,,,,,-7.987540795,9.427442150723534,-2.664099201,49.999999999999986,5.473763592863139,10.255242429875743,-129.5146874,-2.992902901,-13.29912021,32.03429934,-16.47751799,KCL Merchants 2025,KCL BlueCaps 2025,,,,b6f56c4a-95bf-4870-8033-c04a1aa453a9,f185c008-c6d2-41d0-9df3-25ffe6bef9be,89.65722878035912,5.571627040592039,3.0461502793581916,-1.063655699,-4.762373721,80.23504379,3.012106405394211,-0.350448342,-4.639397939,-2.522250868,0.43004455070031755,12.47691142,15.710000852160148,-11.77211299,84.98593395196643,1677.7615210319132,-349.6504929,97.89668047995316,-0.756461465,-0.204019595,-0.621403297,,,,,,,,,,,,,,,,,0.963172491,0,,,medium,high,13.512659443230092,66.13360944801761,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
6,6/12/25,7:38:06 PM,1,6,Roy Rolston,,Right,Kcl merchants 2025,Ethan Hamrick,,Left,Kcl bluecaps 2025,,1,Top,0,3,2,Fastball,,BallCalled,Walk,,Walk,0,0,,90.37731554162879,-0.506957553,-3.789920008,1664.7449972273469,218.5711014125518,1:15,5.7494972146725525,3.3106470291440226,6.0000001920000035,-18.27842013,16.6291837,11.578715272244786,3.7540873551169196,0.7480661686995802,80.81054912489932,-3.973058838,-1.595088969,0.4252374856977389,,,,,,,,,,,,-7.549593592,9.167694640435153,-3.008193331,50.00000000000004,5.697529270762553,8.305290729278367,-131.0858693,-1.759559889,-12.86333233,33.080006699710594,-16.55372493,KCL Merchants 2025,KCL BlueCaps 2025,,,,b6f56c4a-95bf-4870-8033-c04a1aa453a9,31198f10-7c90-44a0-b2e5-bdb2fc5b4736,90.63565934613524,5.750618308432722,3.3160414199110466,-0.52139566,-3.854133892,81.02060756294283,3.7538869591277195,0.7438334925376945,-3.975031797,-1.659508941,0.4250554340092138,12.182546506555058,15.551645267924572,-7.739316992,83.82396622515252,1649.5808740841326,-224.1848471,99.08910234489545,-0.774713326,-0.134666179,-0.617806024,,,,,,,,,,,,,,,,,0.996363152,0,,,medium,high,14.5584304,-37.2681549,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
7,6/12/25,7:38:39 PM,2,1,Roy Rolston,,Right,Kcl merchants 2025,Michael Lucas,,Right,Kcl bluecaps 2025,,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,87.90666458646103,-3.042508323,-4.311902353,1583.3056128659234,219.7621949092468,1:15,5.892306914558088,2.2276270888306486,6.0000001920000035,-20.51939218,16.451996806001674,11.610527698413884,1.3439747125512627,-0.819866374,79.01989268006669,-6.909849952,-2.115598977,0.4376272996899991,,,,,,,,,,,,-7.712395349,9.909340860796545,-1.882473052,49.99999999999998,5.631641366722186,9.226785718960834,-127.2650203,-7.435531868,-12.41404519,30.63793021727851,-16.22375143,KCL Merchants 2025,KCL BlueCaps 2025,,,,b6f56c4a-95bf-4870-8033-c04a1aa453a9,4b731228-13ac-4336-b1e0-c1c48a412b11,88.15025024117095,5.892812246829628,2.232991707565945,-3.049419397,-4.375904292,79.21840911755406,1.3442725218436964,-0.824136811,-6.904156331,-2.180029068,0.4374461215814075,12.21282171620781,15.323399189672044,-9.59464441,13.244364179875493,1561.1577336196626,-263.8999706,98.60116208353665,-0.757952769,-0.166676584,-0.630655625,,,,,,,,,,,,,,,,,0.9806798051015074,0,,,medium,high,78.08007223811207,-5.553520408,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
8,6/12/25,7:38:57 PM,2,2,Roy Rolston,,Right,Kcl merchants 2025,Michael Lucas,,Right,Kcl bluecaps 2025,,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,86.77725190785051,-3.46851549,-4.484796947,1555.9825880063668,217.23002389690618,1:15,6.063758053198101,1.8898763710483508,6.0000001920000035,-20.99158113,16.982668197419965,10.840443612997696,1.0769867452592286,-1.383428693,78.09156993871984,-7.417926182,-2.435629411,0.4435229744714498,,,,,,,,,,,,-7.347173459,10.333229263582902,-1.530111648,50,5.767836701514914,9.507677864,-125.5515552,-8.291419849,-11.51513886,29.712200488144667,-15.97890045,KCL Merchants 2025,KCL BlueCaps 2025,,,,b6f56c4a-95bf-4870-8033-c04a1aa453a9,db12f4c7-f1c2-4ab4-b1cb-f4515914a872,87.01926697047415,6.064282123013522,1.894961154270344,-3.475649254,-4.545299405,78.28826465221064,1.0772908424919247,-1.387436449,-7.412055767,-2.49623357,0.44333852297973575,11.41030800076999,15.840576410110831,-11.26218101,14.511692503141841,1526.0202480005798,-303.8815836,98.07437819441304,-0.780880938,-0.195298833,-0.593366098,,,,,,,,,,,,,,,,,0.8192614749205708,0,,,medium,high,76.93947674717231,-5.966900305,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
9,6/12/25,7:39:19 PM,2,3,Roy Rolston,,Right,Kcl merchants 2025,Michael Lucas,,Right,Kcl bluecaps 2025,,1,Top,0,2,0,Slider,,BallCalled,,,,,,,80.86490913842519,-0.744264456,-5.315378503,1860.0337925248527,189.06913949733462,12:15,5.970870009768918,2.509197622511786,6.0000001920000035,-33.99605972,9.907763666196097,-0.439622918,2.443123826327267,-2.481737888,72.63792835869243,-7.14666851,-5.398296716,0.47689491724665056,,,,,,,,,,,,-1.612779219,5.622824351360073,-2.074735575,49.99999999999998,5.890345070349545,10.899410105427604,-117.0127115,-2.515768312,-2.18334531,26.930034036683935,-24.56199269,KCL Merchants 2025,KCL BlueCaps 2025,,,,b6f56c4a-95bf-4870-8033-c04a1aa453a9,a9e4f273-bf1d-434e-a4c6-6b9cb4409a96,81.10477162574081,5.967089820591586,2.512699857767412,-0.701345896,-5.356595953,72.82376639916735,2.4469429306893726,-2.484197345,-7.087726319,-5.435358432,0.4766824416437084,-0.047466218,7.870615337471929,-74.45582796,55.47264965812768,498.45407640049876,-1792.001463,26.79811938921205,-0.264631121,-0.963424143,-0.042240859,,,,,,,,,,,,,,,,,0.9935061320059067,0,,,medium,high,40.07461530768509,-27.95006306,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
10,6/12/25,7:39:39 PM,2,4,Roy Rolston,,Right,Kcl merchants 2025,Michael Lucas,,Right,Kcl bluecaps 2025,,1,Top,0,3,0,Fastball,,BallCalled,Walk,,Walk,0,0,,87.02232487515458,-2.355186371,-5.934286219,1657.9808450458415,219.14642389748593,1:15,5.598511705771677,2.8991150276657005,6.0000001920000035,-20.76255316,17.091036942865568,11.763007733984535,1.666370004,-1.655728782,78.12983616715574,-6.269903782,-3.718659837,0.44281779,,,,,,,,,,,,-8.325725329,10.021313392551123,-2.420831278,50.00000000000002,5.393479099,12.70075033369904,-125.7419629,-5.851637369,-13.09104199,29.75572299,-16.41693183,KCL Merchants 2025,KCL BlueCaps 2025,,,,b6f56c4a-95bf-4870-8033-c04a1aa453a9,12c6624a-8ace-4eae-a4aa-2f213fa3d0c6,87.26955675592374,5.599250873901766,2.9047659113300996,-2.364792882,-6.000573403,78.32800153594846,1.6665195666767552,-1.660068378,-6.26620182,-3.784229134,0.44263279814069545,12.39048242588147,15.983978991893188,-11.80299671,92.71643975169988,1622.9256444032735,-339.1354232,97.88566914103288,-0.759137768,-0.20454725,-0.617956528,,,,,,,,,,,,,,,,,0.9952199899516834,0,,,medium,high,6.555204223470155,42.647619679980835,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
