PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/12/25,5:02:43 PM,1,3,Noah Suttles,,Right,Kcl groundsloths 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,,1,Top,0,0,2,Changeup,,InPlay,,FlyBall,Out,1,0,,73.23303083,-0.903463055,-4.502895217,1382.8210233896998,223.45471436702533,1:30,5.492343854804366,2.777580380026255,6.0000001920000035,-37.85015668,15.358078567396106,10.459337038345014,1.4958215230531637,-0.544407884,66.02530017184263,-8.032311346,-2.524567805,0.5250019903859555,,,,,,,,,,,,-7.168007705,8.608977384426492,-2.416104058,49.99999999999996,5.396581701772192,8.080609259443065,-106.1237812,-2.680799794,-8.015057409,21.46580659861274,-22.54774186,KCL GroundSloths 2025,KCL BobCats 2025,,,,650e1a29-0b2c-4cd0-bb1b-126286579774,75c716e3-793a-4250-9dfa-a9715ff1cc01,73.45287677103096,5.489754246846965,2.7841955066922197,-0.874609438,-4.581211597,66.19509207364887,1.4989910417759067,-0.549474715,-7.983123672,-2.601135882,0.5247682267498153,11.19810669391067,13.296453779317151,-31.9925618,26.96443197850448,1172.793853394464,-732.631258,84.81168810404706,-0.615663487,-0.52980917,-0.583318708,,,,,,,,,,,,,,,,,0.9919435322854501,0,,,medium,high,65.73201121934596,18.019015020078328,54.667001749343996,Will Vogel,,Kcl groundsloths 2025,2022-11
2,6/12/25,5:02:52 PM,2,1,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,,1,Top,1,0,0,Curveball,,StrikeCalled,,,,,,,73.63466338710539,1.252002846430452,-1.283050513,2544.244169639794,45.84214488267844,7:30,4.747560524154195,2.5600783358590307,6.0000001920000035,-60.27589592,-7.454293478,-13.00378904,0.8886495675723752,0.28377079816155937,66.39274678018545,-10.12239515,-3.759624877,0.5230910730857201,,,,,,,,,,,,6.581213751729312,-4.498252688,-2.448077068,50.000000000000064,4.814942088607956,2.7388774998787015,-106.9239853,0.7425178507887221,7.394461289073187,23.496148361169432,-37.22815611,KCL GroundSloths 2025,KCL BobCats 2025,,,,650e1a29-0b2c-4cd0-bb1b-126286579774,8e9ffbf8-72c0-4dca-8c28-17553057d77d,73.77885803130772,4.732425427358574,2.5600367026277553,1.4303318752556475,-1.282952942,66.46682064762928,0.9006289109911941,0.28406817958478653,-9.943563794,-3.754776138,0.5229417338156304,-13.00080959,-11.29254859,-48.93412135,33.71866955,1671.3810460596708,-1918.244977,65.69263540048908,0.4576395845318975,-0.75395475,0.47129422366037044,,,,,,,,,,,,,,,,,0.9973388040707419,0,,,medium,high,59.653197401844054,51.353495211545614,54.667001749343996,Will Vogel,,Kcl groundsloths 2025,2022-11
3,6/12/25,5:00:27 PM,2,2,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,,1,Top,1,0,1,Curveball,,StrikeCalled,,,,,,,74.43720357114672,3.2609171680592475,-1.489759412,2534.391324,48.79250012204682,7:45,4.568017444131274,2.901387431786741,6.0000001920000035,-58.32946182,-6.5676587,-12.56373533,2.7422068999308102,0.4695243575068901,66.70681223822648,-7.790645484,-3.879873241,0.5178169003367645,,,,,,,,,,,,6.271845975343578,-4.734384955,-2.772781605,50.000000000000036,4.800440742878947,3.1433395427251214,-107.9429831,4.591944112517552,7.1941300263648325,23.65602927085514,-37.60463272,KCL GroundSloths 2025,KCL BobCats 2025,,,,650e1a29-0b2c-4cd0-bb1b-126286579774,84428f3a-5ce1-4b6b-917f-f6c0b9eff402,74.59889347939597,4.553412792473025,2.9013735557601796,3.432569252,-1.490014217,66.79701267129661,2.753853431,0.46980986515829676,-7.615393748,-3.875217361,0.5176601037380029,-12.55729903,-10.23826888,-49.83530607,22.85605858350204,1634.6492099386032,-1936.765691,64.49869026850692,0.42490959536807854,-0.764193624,0.48524214614913114,,,,,,,,,,,,,,,,,0.9953339231082532,0,,,medium,high,69.42954727484816,39.83056680755811,54.667001749343996,Will Vogel,,Kcl groundsloths 2025,2022-11
4,6/12/25,5:03:03 PM,2,3,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,,1,Top,1,0,2,Curveball,,BallCalled,,,,,,,73.63371912771467,3.711792685721031,-0.558548095,2527.396856368654,48.85574408,7:45,4.808034647508864,2.195198707650404,6.0000001920000035,-58.91231397,-6.054289621,-11.58303243,3.3533897778313486,0.7108184450594414,65.92748421639989,-7.458271338,-2.763733928,0.5232713846505461,,,,,,,,,,,,6.075861943751837,-4.603942461,-2.143027659,49.99999999999999,5.076873982731549,1.3476053461983053,-106.7666701,5.366493425269102,6.826880352268604,22.93340608,-37.34707106,KCL GroundSloths 2025,KCL BobCats 2025,,,,650e1a29-0b2c-4cd0-bb1b-126286579774,0986cab9-21af-4321-b073-b6c502d21e56,73.79863112053614,4.793604638011337,2.1959789727840273,3.8819844519942803,-0.568312257,66.02090704,3.3650647497698616,0.7105217556492962,-7.282697753,-2.767904854,0.5231096307207183,-11.48704835,-9.703064702,-53.40223072,34.51629916,1506.8178591799065,-2029.097043,59.619361137644674,0.3922698259484963,-0.802840693,0.44896682048501757,,,,,,,,,,,,,,,,,0.9968112100982827,0,,,medium,high,58.93533075341228,47.728312422836254,54.667001749343996,Will Vogel,,Kcl groundsloths 2025,2022-11
5,6/12/25,5:00:39 PM,2,4,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,,1,Top,1,1,2,Sinker,,BallCalled,,,,,,,86.89725087716481,-1.368946515,-2.628435843,2282.1237299821455,205.61662877436973,12:45,5.292350591510996,2.0967031463766386,6.0000001920000035,-21.34847982,16.356248742892433,5.650599856346458,2.2394379323037783,0.1230197408851518,77.89972180733531,-5.409472148,-1.556087631,0.4419462281895854,85.26515566238416,43.453307806497044,5.188824987876103,,9.569927266956809,109.58292062221531,76.62490927109204,285.9570270523268,,5.112728896911582,4.5748000036319265,-3.951063573,9.314597542,-1.885725225,49.99999999999996,5.168348951647115,5.613467807478524,-126.1474311,-3.688696181,-6.232028319,30.720342177805698,-17.48209776,KCL GroundSloths 2025,KCL BobCats 2025,,,,650e1a29-0b2c-4cd0-bb1b-126286579774,03882d11-e961-405a-8818-f47746ced301,87.15106701061572,5.2933403185958285,2.1010206428343303,-1.382197873,-2.68063245,78.11056752790469,2.239476965616956,0.11964969430379858,-5.407530948,-1.607682291,0.44175164704635617,6.141735052339855,15.152281320088074,-46.81545153,37.42099878715602,1561.772487,-1664.017854,68.43504874195794,-0.617083683,-0.729153215,-0.2958772,5.597859124317064,61.643318405177865,58.642237673478675,-0.14985849,2.7204646020865204,2.531479366413666,25.48322527,284.8192875327356,,,,,,,,,0.9861882446166165,0,,45.24537943174049,medium,high,56.321101091559576,21.539364260714002,54.667001749343996,Will Vogel,,Kcl groundsloths 2025,2022-11
6,6/12/25,5:03:14 PM,2,5,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,,1,Top,1,2,2,Sinker,,BallCalled,,,,,,,86.22233909740292,-1.780084358,-4.346456991,2178.6930402453613,209.4605342792548,1:00,5.138788764626309,2.1256870174864377,6.0000001920000035,-22.34424609,16.079968656927598,6.277695240769705,1.617063224,-1.398508082,77.36742347682247,-5.999035537,-3.159122389,0.4461429379575642,,,,,,,,,,,,-4.865270046,9.300155477,-1.77460352,50,4.980386547419225,9.299251599080273,-124.9214858,-4.589432193,-7.53183502,29.935636189305637,-17.77665005,KCL GroundSloths 2025,KCL BobCats 2025,,,,650e1a29-0b2c-4cd0-bb1b-126286579774,05b3468b-1efd-433c-8a41-92b2e2dcd5a9,86.47399340719171,5.139507257728871,2.130349588089653,-1.789965375,-4.402370715,77.57477425941362,1.6173281990561355,-1.402153699,-5.993525109,-3.214161621,0.4459478825454713,6.805236444318895,14.856697139645945,-47.40974944,36.87553227893597,1474.4320405653614,-1603.980524,67.67507002268263,-0.58924323,-0.736212259,-0.332842193,,,,,,,,,,,,,,,,,0.996254948,0,,,medium,high,56.81202094895762,30.40012782554961,54.667001749343996,Will Vogel,,Kcl groundsloths 2025,2022-11
7,6/12/25,5:01:11 PM,2,6,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,,1,Top,1,3,2,Sinker,,StrikeCalled,Strikeout,,StrikeoutLooking,1,0,,88.14854442979059,-1.312698845,-4.301113249,2308.0727328298635,210.21288080053566,1:00,5.305335779121999,2.572448026003328,6.0000001920000035,-21.03006809,15.72600141554442,6.462155166899599,2.3291562425894696,-0.893992316,78.98468049,-5.289493798,-3.078469773,0.4363510792556422,,,,,,,,,,,,-4.955135579,8.952771627594188,-2.225184672,49.99999999999993,5.185913736296452,9.401915495815167,-127.7444913,-3.605062213,-8.018300374,31.40169553041862,-17.68685525,KCL GroundSloths 2025,KCL BobCats 2025,,,,650e1a29-0b2c-4cd0-bb1b-126286579774,8c19f7a2-cffe-431a-ab16-c0014052aacc,88.40733719795263,5.306317524481917,2.5772566620283843,-1.325689411,-4.358229174,79.19581671196134,2.329190890617773,-0.897662318,-5.287521511,-3.134111342,0.4361594096827071,7.001061073872861,14.573109647024877,-48.84252066,39.42025759,1519.0139541553788,-1737.756124,65.81308867,-0.568731503,-0.752903537,-0.33118083,,,,,,,,,,,,,,,,,0.9967655229730531,0,,,medium,high,54.52176816606159,31.65297440068762,54.667001749343996,Will Vogel,,Kcl groundsloths 2025,2022-11
8,6/12/25,5:01:21 PM,3,1,Noah Suttles,,Right,Kcl groundsloths 2025,Nick Guidici,,Left,Kcl bobcats 2025,,1,Top,2,0,0,Changeup,,BallCalled,,,,,,,72.23143171340377,0.784872728,-4.542757884,1336.7938795055268,215.07007717546088,1:15,5.6473136473467305,2.4722673595950098,6.0000001920000035,-38.42917202,16.329102500912605,8.390136841,3.176682809888443,-1.059434193,64.84225452954402,-6.477596253,-2.955582506,0.5325941597206446,,,,,,,,,,,,-6.080617332,8.566394476763529,-2.106319417,50,5.689201126624226,8.096736236654719,-104.6608852,0.4359352454545006,-6.604685095,21.080907339109743,-22.86934665,KCL GroundSloths 2025,KCL BobCats 2025,,,,650e1a29-0b2c-4cd0-bb1b-126286579774,e202ee79-3c3b-4b3f-b284-f98704948232,72.45976265743427,5.644996655669078,2.478041588413837,0.8106993966144382,-4.612091326,65.02190870650091,3.179797979613062,-1.06394377,-6.428656863,-3.023959729,0.5323455291064401,9.044944449254768,14.16227736685165,-35.48172156,30.14636278,1088.5522305631264,-775.9329337,81.43007289693578,-0.666464353,-0.580443212,-0.467879198,,,,,,,,,,,,,,,,,0.9943864944770395,0,,,medium,high,62.8682735,37.35434328351834,54.667001749343996,Will Vogel,,Kcl groundsloths 2025,2022-11
9,6/12/25,5:01:38 PM,3,2,Noah Suttles,,Right,Kcl groundsloths 2025,Nick Guidici,,Left,Kcl bobcats 2025,,1,Top,2,1,0,Sinker,,BallCalled,,,,,,,88.92565258527091,-2.101682839,-4.066862715,2313.2090430665894,205.3049049684387,12:45,5.122072012765081,2.141419904,6.0000001920000035,-20.5262509,15.596146764340038,4.7696557042098044,1.4524506697625597,-1.247185696,79.77790282998664,-5.976752472,-3.164305586,0.43257339705128833,,,,,,,,,,,,-3.959008784,9.149995300074758,-1.812359686,50.00000000000003,4.938486276658009,9.008489232725486,-128.8568934,-5.399918674,-6.518874883,31.93499471252262,-17.1077343,KCL GroundSloths 2025,KCL BobCats 2025,,,,650e1a29-0b2c-4cd0-bb1b-126286579774,7f07ccd5-3313-4c83-b0e0-56c9f29f9494,89.18344475706851,5.1229181236819965,2.145377743948921,-2.112986423,-4.114519053,79.99107719,1.452557697,-1.250275793,-5.973735091,-3.210989625,0.4323851041331162,5.219296956703089,14.45431713697939,-51.38561057,32.489921128071195,1443.6178860377215,-1807.457738,62.40758440594444,-0.564193246,-0.78136377,-0.26675202,,,,,,,,,,,,,,,,,0.9975533171118953,0,,,medium,high,60.759070984735935,-9.966284043,54.667001749343996,Will Vogel,,Kcl groundsloths 2025,2022-11
10,6/12/25,5:01:50 PM,3,3,Noah Suttles,,Right,Kcl groundsloths 2025,Nick Guidici,,Left,Kcl bobcats 2025,,1,Top,2,2,0,Changeup,,BallCalled,,,,,,,73.69926305,-1.105306256,-5.217799259,1325.7481705173595,222.87538967580355,1:30,5.352702930743494,2.2018222926504483,6.0000001920000035,-38.12662038,14.531237543685151,9.101330673499596,1.1438172836771134,-1.902573569,66.46758315731917,-8.275992688,-3.499733074,0.522279665,,,,,,,,,,,,-6.675805239,8.230377879,-1.780904646,49.99999999999997,5.240188631698319,9.499774130161205,-106.6791688,-3.081426789,-7.542610446,21.70031142229934,-22.87501644,KCL GroundSloths 2025,KCL BobCats 2025,,,,650e1a29-0b2c-4cd0-bb1b-126286579774,d142f01c-fc5d-4fd9-9cb8-eb3720852771,73.92010094998916,5.349806488996736,2.2081332288072457,-1.072813351,-5.292302907,66.63815210762924,1.1472157050431946,-1.907391837,-8.223459214,-3.572282369,0.522047912,9.805728155878873,12.457947764440705,-38.62501974,21.389338837983146,1035.738054156159,-827.559602,78.12479603513033,-0.572526022,-0.624220814,-0.531565922,,,,,,,,,,,,,,,,,0.9966345626653198,0,,,medium,high,70.74959504581517,28.67304167469697,54.667001749343996,Will Vogel,,Kcl groundsloths 2025,2022-11
