PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/22/25,5:59:30 PM,1,1,Thomas Mickels,,Right,Kcl merchants 2025,Riley Hendren,,Right,Kcl bluecaps 2025,,1,Top,0,0,0,Fastball,,Foul,,,,,,,82.17967224451083,-2.079645101,-3.610310495,1740.6695387027244,198.63467031153357,12:30,6.295466918755569,1.7124732277497752,6.0000001920000035,-24.86402964,17.37148730481659,3.8489321310824187,2.285960959862046,-1.326630068,73.88743674187653,-6.767423805,-2.881550443,0.4677463740223112,,,,,,,,,,,,-3.301504617,10.099279974412978,-1.420236473,49.99999999999993,6.111257850908001,7.403480158383348,-119.1501056,-5.073859361,-4.649829035,27.225478992680735,-17.95025447,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,950082cc-140a-49de-bf6a-58fced7ef176,82.42295578511789,6.295624876051692,1.7158399993919446,-2.082952918,-3.650774274,74.08818559688612,2.2867196545399917,-1.329184523,-6.75427559,-2.921241019,0.46753906392168476,4.230975574611083,15.949023572572102,-41.89837167,51.52092563205801,1295.6334649955527,-1162.438974,74.43305212091863,-0.705309165,-0.667811407,-0.237837983,,,,,,,,,,,,,,,,,0.9946874241413587,0,,,medium,high,43.631166931147796,-32.0391171,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
2,6/22/25,5:59:44 PM,1,2,Thomas Mickels,,Right,Kcl merchants 2025,Riley Hendren,,Right,Kcl bluecaps 2025,,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,81.75943200550822,0.7326649438695684,-0.669744624,1709.0263228475728,198.3804426700028,12:30,6.188812281822511,-0.022652903,6.0000001920000035,-24.25279981,18.308367704533108,5.008012142378977,4.848763335980997,-0.227803306,73.06809508447898,-3.874401009,0.2827953975578386,0.46954615525839827,,,,,,,,,,,,-2.941814519,9.656157432136235,0.074315003,49.99999999999998,6.234482812701654,1.2408940075450594,-118.815315,0.8026427781917891,-4.1088367,27.63418420821962,-18.68728018,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,86515651-edea-4614-9d0d-aac44c607340,82.01321400840473,6.189606362716822,-0.018994526,0.7215794233365234,-0.713671775,73.27753759694956,4.849109602,-0.230697639,-3.867861364,0.23929834314254378,0.4693208854086458,5.419358424,16.819869708465543,-32.85161887,74.11344310067632,1435.7157985421195,-927.0874382,84.00782242779827,-0.797220542,-0.542465277,-0.264897775,,,,,,,,,,,,,,,,,0.9703179224655406,0,,,medium,high,23.297901209391277,-64.24685322,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
3,6/22/25,5:59:55 PM,1,3,Thomas Mickels,,Right,Kcl merchants 2025,Riley Hendren,,Right,Kcl bluecaps 2025,,1,Top,0,1,1,Fastball,,BallCalled,,,,,,,77.58125150880304,-3.863881088,-4.850506393,1683.5054370596633,195.98795996978268,12:30,6.269892456967825,2.458401908547032,6.0000001920000035,-27.83324276,19.76649850062285,3.4384815868073852,0.34100857725146266,-1.773888337,70.16825576144035,-9.063638921,-4.20217059,0.4965623851321468,,,,,,,,,,,,-3.466823591,11.969863983609118,-2.064354827,50.00000000000003,5.937399687391857,9.419812008261589,-112.1388546,-8.380625063,-4.334814835,23.69363683688253,-17.2072817,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,536c1ce2-1d68-47a8-88f4-556f1f971f16,77.81265477413913,6.269809535524561,2.4615222525990657,-3.86440765,-4.887527926,70.35582250148816,0.34206820082126055,-1.776257886,-9.046170642,-4.237858908,0.49633897224039525,3.78848997,18.244105736506455,-35.38871116,67.07224148,1372.4641897150002,-974.9526166,81.52419110163885,-0.783708025,-0.579120563,-0.224546443,,,,,,,,,,,,,,,,,0.9972845851241157,0,,,medium,high,29.634982663898004,77.24801906293213,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
4,6/22/25,6:00:12 PM,1,4,Thomas Mickels,,Right,Kcl merchants 2025,Riley Hendren,,Right,Kcl bluecaps 2025,,1,Top,0,2,1,Fastball,,StrikeCalled,,,,,,,74.53071368456678,-0.500363171,-5.435984607,1623.8689901288121,190.7669622273244,12:15,6.213467178794945,4.343638754772762,6.0000001920000035,-33.14360597,18.44661370567418,1.9192442739791462,2.9843527683185678,-0.563807605,66.99573813712298,-6.743467088,-5.074301652,0.5169579411047559,,,,,,,,,,,,-2.893557723,10.15085757086595,-3.900630438,50.000000000000036,6.1533441499632655,10.211397943335413,-107.8478068,-1.836583137,-3.335523572,22.473303728965618,-20.47273655,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,e39f5f14-89da-4219-9999-667833f11c31,74.76743764395735,6.212337056375935,4.346836666822208,-0.488830398,-5.4740344,67.18690256460923,2.9864034921981624,-0.566181091,-6.710294579,-5.110605384,0.51671244,2.280616310544863,16.505499268634427,-44.88950891,56.61657689946327,1150.4609513476887,-1146.032328,70.84690688356758,-0.695996566,-0.705741864,-0.132352563,,,,,,,,,,,,,,,,,0.8215166524200491,0,,,medium,high,39.04508079,-36.16553945,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
5,6/22/25,6:00:23 PM,1,5,Thomas Mickels,,Right,Kcl merchants 2025,Riley Hendren,,Right,Kcl bluecaps 2025,,1,Top,0,2,2,Cutter,,InPlay,,LineDrive,Out,1,0,,69.17981130538072,0.5940922191132134,-1.607959395,1510.6567913895954,94.76889090273093,9:15,5.8866453556065395,0.9236226102715798,6.0000001920000035,-54.63385832,5.035426125268131,-11.78005339,1.8862064496686786,-1.552868305,62.492630047981315,-9.69999677,-3.847220103,0.5559643411190762,67.15414242227885,15.985868864811069,-12.56582038,1223.761118581833,-21.53227905,107.87196558353791,15.561686590461244,173.9734105732276,,-11.49681006,2.212822610529219,5.809260232,2.516320537256048,-0.785824642,50,5.903576236685969,3.1143021272621922,-100.4806468,-0.319598811,5.782513368,20.282621687666907,-29.66931463,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,0fbf3584-66de-457e-9598-f9bb8a204b61,69.36220509342856,5.876734335522482,0.9234740533608373,0.7109441523955504,-1.606443287,62.615240450070644,1.8950699936252633,-1.55245371,-9.566811017,-3.840677073,0.5557436654378983,-11.79021762,1.5840259572490425,-59.21592614,76.79104476643003,773.1603055434864,-1297.80857,51.18040775047824,-0.042549743,-0.859102198,0.5100322863917086,-14.04514526,63.01090987101924,18.494268740844717,1.2737737265208477,3.652114696079642,2.3181896769436476,-34.67522794,170.48277377447556,-6.035609884,33.235848544714905,0.525599758,0.9610218548699445,0.26776345112622385,-0.068845688,,,0.7519569755552082,0,0.9959354601433217,37.00328969009109,medium,high,20.88805971021302,-27.28770219,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
6,6/22/25,6:00:50 PM,2,1,Thomas Mickels,,Right,Kcl merchants 2025,Chase Peterson,,Right,Kcl bluecaps 2025,,1,Top,1,0,0,Fastball,,Foul,,,,,,,81.50072899071162,-1.024395709,-1.161994416,1828.919747489728,195.46465256063416,12:30,6.162772180289797,0.2813508869442421,6.0000001920000035,-24.76885251,18.170330569792785,3.1852014866115135,3.041303950098945,-1.078316491,73.39074293426812,-5.925942509,-5.53770111,0.4716267300349479,,,,,,,,,,,,-3.810888505,10.259333431349807,-3.881572743,50.000000000000085,6.1669943341933005,12.613837859448184,-118.1933379,-3.347154543,-5.278613485,26.898012197829622,-17.96343814,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,fd94d335-c407-46b9-a72f-1d105000192c,81.74804076545662,6.162684293,0.28474662170661363,-1.024920453,-1.202652873,73.59425091850802,3.0418457385349296,-1.080603276,-5.915760645,-5.574008066,0.47141660270380253,3.5438808795308567,16.74307187672196,-44.38901194,85.97361020147108,1306.958564266725,-1279.377487,71.46068416,-0.688734599,-0.699526313,-0.190545508,,,,,,,,,,,,,,,,,0.9975666441286876,0,,,medium,high,12.623750818675985,-50.60825011,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
7,6/22/25,6:01:18 PM,2,2,Thomas Mickels,,Right,Kcl merchants 2025,Chase Peterson,,Right,Kcl bluecaps 2025,,1,Top,1,0,1,Cutter,,Foul,,,,,,,69.77340653781754,2.204957869,3.4660347006256726,1522.268105,98.24579775673496,9:15,5.851126805081289,-2.616688977,6.0000001920000035,-55.09580772,3.6397685872877474,-9.333651784,3.3330263195947207,-1.022471818,62.947382971668645,-7.947704551,-4.540507753,0.5515973100539224,,,,,,,,,,,,6.2526855899768226,1.2054253183670323,2.339412697782322,49.999999999999964,5.999314803531628,-5.891588487,-101.1500707,2.5155114265569187,6.327882193582382,20.062109648567695,-30.95412747,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,7deab35a-2420-4367-8a54-faafe8fbdf84,69.96522738372731,5.840760866345198,-2.615357349,2.325606262990102,3.449990305279882,63.08442978007674,3.340976109219695,-1.022942187,-7.822158042,-4.547723517,0.5513715075736021,-9.178485513,0.3504114660306245,-65.4671265,66.21708617866814,632.0689408814856,-1384.842603,41.521525607613945,-0.059550188,-0.909723195,0.4109227226979262,,,,,,,,,,,,,,,,,0.9971968014386579,0,,,medium,high,30.404622439198704,28.297286597512223,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
8,6/22/25,6:01:36 PM,2,3,Thomas Mickels,,Right,Kcl merchants 2025,Chase Peterson,,Right,Kcl bluecaps 2025,,1,Top,1,0,2,Fastball,,BallCalled,,,,,,,82.36216448,0.33795908772262795,-3.038508883,1643.6737048302757,196.88143213243748,12:30,6.515896064752084,1.060323626,6.0000001920000035,-26.07865121,15.946888570874307,3.454709454468382,4.6572179062948456,-1.47840519,73.68637799481117,-4.606573522,-2.383058644,0.4665822064769671,,,,,,,,,,,,-2.91457003,8.513551988369418,-0.814588421,50.000000000000036,6.528385299557401,6.242789383068344,-119.5435239,-0.069811031,-4.123254493,27.85112803460523,-20.12989174,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,67ae16a1-b626-4ee3-ad6d-60198f7c6d6d,82.61526151060326,6.515611139788357,1.063764729601481,0.33985225097729904,-3.079742326,73.89371827064153,4.658408749535054,-1.48109265,-4.587399724,-2.423211757,0.46636285137575983,3.8423453280338284,14.387931055133773,-46.21354711,72.44100028745565,1137.3769946912503,-1186.607273,69.19724951179984,-0.662153838,-0.721923864,-0.200943348,,,,,,,,,,,,,,,,,0.9963020376238461,0,,,medium,high,24.803099741289934,53.98844158,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
9,6/22/25,6:01:47 PM,2,4,Thomas Mickels,,Right,Kcl merchants 2025,Chase Peterson,,Right,Kcl bluecaps 2025,,1,Top,1,1,2,Fastball,,InPlay,,GroundBall,Single,0,0,,81.54780170178567,-3.496947651,-4.910736542,1608.550042974799,191.59756467873373,12:30,6.229021073723371,2.2163230541418346,14.914774530219535,-16.95239823,12.41419698,1.3794978920099725,2.0970310596295425,-1.477986266,74.75176736433541,-7.279949024,-4.601307361,0.39003027655502703,82.67760495054041,-1.013744695,-1.362420007,1337.1703238685268,,,,32.79673114602935,,1.3300087212020135,0.25808378694269063,-2.680800249,10.670720859116502,-2.582243537,50.00000000000001,6.477806252071665,10.355777285231753,-119.9038368,-6.693590286,-3.833413364,27.025859609213086,-16.91544016,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,9832e8b8-4eb7-4092-8103-9b153c30067e,81.71534031950232,6.2290636599399845,2.217663553135506,-3.49837439,-4.930100361,74.89095708196295,2.097406246739028,-1.47899407,-7.272289293,-4.619696833,0.3899101054721155,1.5324558755905378,11.602298646049173,-39.80792428,72.20134913125786,1235.6800713859918,-1029.819403,76.81949820477865,-0.752511356,-0.640215955,-0.154435065,-1.96547425,82.64129490208215,-1.462753649,1.3945274328783117,2.551467314755217,2.154682455387579,0.7612431758678206,32.78789536844545,0.20064946024809752,-5.124545248,-0.042373185,-0.985566304,0.044010675365133374,-0.163469019,,,0.9960417108186955,1,0.9942924491634737,46.16544354764969,medium,high,25.018785781867972,60.70217559400963,45.752227411124466,Gavin Kleist,,Kcl merchants 2025,2022-11
10,6/22/25,6:02:23 PM,3,1,Thomas Mickels,,Right,Kcl merchants 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,,1,Top,1,0,0,Sinker,,BallCalled,,,,,,,72.32540089,1.089322836457933,-2.085572685,1448.8008576813463,183.19681563062633,12:00,6.596899106354724,2.2779310487957654,6.0000001920000035,-37.08547567,17.36105550424731,0.23812348985702805,4.519645554603642,0.35860009061839276,64.85451189358031,-5.937447499,-2.040346113,0.5310759447075523,,,,,,,,,,,,-0.847174683,9.020340251764386,-2.108114255,50.00000000000006,6.664260855141752,3.8187578330863543,-105.035189,1.029178918512665,-0.925034323,21.537675215219828,-22.32469442,KCL Merchants 2025,KCL BlueCaps 2025,,,,c65fe60e-26b1-4eae-86b5-dca04257ad83,1041ba65-da2a-48d7-b07a-cb3bf3394b99,72.56044833416125,6.594783122570747,2.2806536641812998,1.1128918074425984,-2.118575454,65.04380280195362,4.522660376158792,0.3565627114512144,-5.889843073,-2.071414641,0.5308148516010979,0.5495702006824061,15.111301393124005,-44.89250928,65.58744831905182,1026.3770497473915,-1022.533167,70.84321108078305,-0.707329695,-0.705778963,-0.039506435,,,,,,,,,,,,,,,,,0.9960401302443422,0,,,medium,high,30.971296512853325,-84.14278615,54.667001749343996,Gavin Kleist,,Kcl merchants 2025,2022-11
