PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/22/25,3:01:18 PM,1,1,Noah Suttles,,Right,Kcl groundsloths 2025,Cody Delfavero,,Left,Kcl bobcats 2025,Windup,1,Top,0,0,0,Sinker,,BallCalled,,,,,,,86.03381883029111,0.6192474111665943,-1.993646055,2082.277326198924,205.77793374240713,12:45,5.336234676,2.6292044951885605,6.0000001920000035,-22.52663205,15.943598060240848,6.118006195431435,4.034910874606821,1.2854081914050608,76.85033941515289,-3.659369473,-0.830796992,0.44640999981325247,,,,,,,,,,,,-3.998779813,8.415259636226168,-2.47028353,50.000000000000014,5.373687563507545,4.159747143955287,-124.9643285,0.6510485799455863,-6.179303505,30.525737071259567,-19.16997189,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,bf90d22d-3fe3-496c-bf75-f3745c7c9a03,86.29245504035896,5.337002694144092,2.633778034768262,0.6085419835915556,-2.048763409,77.06451754989503,4.035176530704018,1.2818268372911157,-3.654019109,-0.885424364,0.44620571450332663,6.635621744682252,14.621243204835405,-45.63807019,2.492138645686208,1455.904255134257,-1488.697976,69.91884495001082,-0.629609637,-0.714937418,-0.304066099,,,,,,,,,,,,,,,,,0.9955332850203188,0,,,medium,high,87.75707521888242,-23.97945604,54.667001749343996,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
2,6/22/25,3:01:31 PM,1,2,Noah Suttles,,Right,Kcl groundsloths 2025,Cody Delfavero,,Left,Kcl bobcats 2025,Windup,1,Top,0,1,0,Slider,,InPlay,,FlyBall,Out,1,0,,77.36547308291931,1.9266786980765955,-4.463543021,2558.7584727981734,61.162587185560696,8:00,4.2854703125279165,3.9305432689479507,6.0000001920000035,-48.18277256,-0.07050177,-9.874347461,2.0670067922214734,-1.049120263,69.32785677227824,-7.176416591,-6.330414055,0.499228591,87.86370772300772,34.481758872005585,10.782245613442193,2603.4722045438734,20.049417126670857,108.15738935836869,68.74796865,329.99255497797395,,8.886901526571998,5.257270220129438,3.7307658676671562,-0.738966283,-3.560551145,49.99999999999996,4.415232884851504,9.016636982476191,-111.9985763,2.4427218660334513,4.603032796460711,25.623710565855202,-33.08578893,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,84a643d2-0e11-44d3-b7c3-d78152785a1b,77.56429207866094,4.275335677275904,3.9316862283300105,2.047195611,-4.477678776,69.46669820660712,2.075863984494519,-1.049688407,-7.042165781,-6.338658885,0.4990401923190624,-9.736264795,-3.181939838,-65.42400326,7.0594885289208085,1064.1872259378454,-2326.961639,41.58998347249576,0.20059921188745028,-0.909410429,0.3643248944477729,13.549349678504644,71.14795033245953,49.74349627452422,0.8742774408583656,0.9474535445706562,1.8875113776093873,50.97874254281271,326.0310631667553,-3.758048383,40.95619472204801,1.317091696,0.9843374038728698,-0.108438475,0.13899990107679575,,,0.9910442572551557,0,0.9973049996206798,50.35412463294623,medium,high,83.64646032397127,6.225046381072457,54.667001749343996,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
3,6/22/25,3:01:59 PM,2,1,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Windup,1,Top,1,0,0,Cutter,,BallCalled,,,,,,,78.89558134543077,1.2526328380309166,-4.252601279,2595.136058612254,67.04481766095033,8:15,4.348667002021426,3.1174911938750007,6.0000001920000035,-44.69506846,1.4758222809424737,-8.621383297,1.7916669119770694,-1.560571874,70.74552943,-7.18995529,-5.88359404,0.48905268657477896,,,,,,,,,,,,3.1388463917691007,0.3476953698575706,-2.765497961,49.99999999999998,4.425273389897286,8.742597970232335,-114.2898756,1.2401100170743633,4.036442102013143,26.511344743417517,-31.72692601,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,fd4491d0-0cfa-4ee8-b813-d92223707f64,79.10677581213965,4.339422187071222,3.119023038581208,1.3597916601082143,-4.270945497,70.89518956072021,1.7996094006392418,-1.561411974,-7.070960863,-5.89580844,0.48885605827509077,-8.444122532,-1.403181121,-70.52406567,10.73614823639851,865.2466134127084,-2446.646575,33.34108863160716,0.13003390505940396,-0.942781619,0.3070081475288079,,,,,,,,,,,,,,,,,0.9960614744428061,0,,,medium,high,80.33746658724134,21.788642096922416,54.667001749343996,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
4,6/22/25,3:02:09 PM,2,2,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Windup,1,Top,1,1,0,Sinker,,BallCalled,,,,,,,87.27916247911674,-2.174350768,-5.226091436,2181.3326091583963,211.93537827150578,1:00,5.259629631,2.1450377937376937,6.0000001920000035,-22.03598561,15.564221453788925,6.455114964,1.3930592301193983,-2.187647123,78.34751108563823,-6.328067694,-4.008140323,0.4413332421989459,,,,,,,,,,,,-5.253682221,9.152352252238124,-1.721904292,49.99999999999999,5.068927182718007,11.345605648101529,-126.2636232,-5.5078416,-8.312179495,30.487889199377335,-17.6935402,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,63ce6a11-04e5-4335-9aa1-06704496fc73,87.53336841390437,5.2602696101420054,2.1498567443023573,-2.183162849,-5.283205348,78.55435647554442,1.393361341952325,-2.191319752,-6.321938681,-4.063703971,0.44114225432745047,6.9955794633817785,14.379538362713424,-49.05518615,6.113470995517078,1429.4966203022807,-1647.650255,65.53317977737518,-0.556144206,-0.755341138,-0.346645911,,,,,,,,,,,,,,,,,0.9969250607995279,0,,,medium,high,95.50212389596538,-22.30153879,54.667001749343996,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
5,6/22/25,3:02:25 PM,2,3,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Windup,1,Top,1,2,0,Changeup,,StrikeCalled,,,,,,,72.36468328633826,-1.077376826,-5.769071678,1442.1646748367507,222.58368392295623,1:30,5.742726533584946,3.655201577,6.0000001920000035,-39.00026917,15.682466198424073,9.876962303034555,1.4861807748996803,-0.901650394,65.30064972608554,-8.405211363,-3.907797786,0.5322266755972925,,,,,,,,,,,,-7.268532704,8.840080578248562,-3.189417547,50.00000000000001,5.631896040595719,10.31554303558147,-104.6565962,-2.99698213,-7.909597435,20.76811557708767,-22.55429805,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,f619e30d-cabe-4f2c-a03d-808adb0c423a,72.58383017992088,5.740042402928685,3.6619254274176845,-1.047510645,-5.848339388,65.46957704885007,1.489462918287571,-0.906775835,-8.354187979,-3.984955147,0.5319900290143056,10.627970821223789,13.603620286147049,-36.58768055,7.133022154413653,1157.979852957272,-859.6054964,80.29456504946998,-0.591200701,-0.596052248,-0.543326282,,,,,,,,,,,,,,,,,0.9953597627497294,0,,,medium,high,83.58028006102771,18.15498438005493,54.667001749343996,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
6,6/22/25,3:02:39 PM,2,4,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Windup,1,Top,1,2,1,Slider,,BallCalled,,,,,,,76.81736814749941,1.3280339285304068,-5.102630013,2527.413166067214,57.73822432453954,8:00,4.6694498536250855,3.6620037042849285,6.0000001920000035,-50.36865764,-1.429389384,-11.61642087,1.7114606766752807,-2.060961004,68.97708744682384,-8.160875177,-7.294470194,0.503500908,,,,,,,,,,,,4.418148016373102,-1.265271339,-3.238597686,49.99999999999999,4.749147545696006,10.241682635750697,-111.1214911,1.2022468531830142,5.356753731307195,25.535987112181065,-33.70811928,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,cf89880f-d7fc-428f-97a5-f169cc8dad5d,77.00705216889652,4.6578641745862885,3.662378754904087,1.462452233696518,-5.10740983,69.10089053895526,1.7209697034002467,-2.060918805,-8.018623316,-7.293484093,0.5033157380778803,-11.56668166,-4.767769964,-59.91467902,17.62572776835583,1266.964578262271,-2186.919767,50.12890631703615,0.2675822480020383,-0.865279883,0.4238991217358138,,,,,,,,,,,,,,,,,0.9810170781183186,0,,,medium,high,74.13684500847975,24.144003782493996,54.667001749343996,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
7,6/22/25,3:02:52 PM,2,5,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Windup,1,Top,1,3,1,Slider,,Foul,,,,,,,73.81319911134565,1.4758234702932296,-2.30682762,2502.6909922567315,51.22281999,7:45,4.569653841464492,3.337786012923896,6.0000001920000035,-56.60677273,-4.006058358,-11.5934484,1.2254596641343563,0.22655506266170858,66.43971033,-9.212938716,-4.510521412,0.5219962026095748,83.86667883920448,-12.07153555,-69.60138656,,104.04815197120315,-35.69288523,13.569398926115326,8.785230065118759,,-50.93815794,0.057947017263456746,5.446468405312047,-2.707389572,-3.143115839,50.00000000000006,4.657437944126469,4.6226069821524005,-107.1184943,1.2605966929237342,6.146283437762335,23.459491908662127,-35.2293108,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,712a93a0-5319-46fc-81a1-52b6ac743152,73.97930461710395,4.556239233794202,3.338738394990959,1.6329139879591157,-2.318496731,66.53842359606114,1.2364750942494684,0.22615294760508145,-9.049658851,-4.51623158,0.5218230850156083,-11.47934773,-7.625223416,-57.5853663,0.21481605641508988,1341.548527298701,-2112.749335,53.60424165226235,0.3357198082373822,-0.844191049,0.4178919509496075,-76.8692088,28.585284998907433,-17.53927136,-0.353211802,3.125360240765532,1.517168065,-6.821434675,5.536090341826572,,,,,,,,,0.9931266342921649,0,,44.01550977176647,medium,high,90.19333445077359,19.186608848005665,54.667001749343996,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
8,6/22/25,3:03:09 PM,2,6,Noah Suttles,,Right,Kcl groundsloths 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Windup,1,Top,1,3,2,Sinker,,BallCalled,Walk,,Walk,,,,86.25896267800886,0.7271991053528913,-3.540519599,2162.029724686048,205.6765470107624,12:45,4.919190407243004,1.8515584457896839,6.0000001920000035,-22.92850594,15.43226022379288,5.604391852,3.685664511204254,-0.976140066,77.03268569768665,-3.623280556,-2.477742031,0.44577443549243145,,,,,,,,,,,,-4.251952332,8.100975747234083,-1.5660395,49.99999999999997,4.965284722456524,7.567439875066937,-125.1277943,0.8772185184926521,-6.589775631,30.53447723661094,-19.61896703,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,16aaf84d-9042-4cff-822d-4b89f1017f83,86.52116368,4.9197751992357395,1.8561808372570685,0.7187124065102379,-3.595414511,77.24642630566163,3.686076833028726,-0.979635222,-3.615587931,-2.531128076,0.4455702561916901,6.121589413150777,14.106546373377215,-50.51738446,5.903132318,1374.7137615292304,-1668.692483,63.584406163927966,-0.573057294,-0.771817549,-0.275505006,,,,,,,,,,,,,,,,,0.9949910591920236,0,,,medium,high,84.68718091353541,21.62590957380309,54.667001749343996,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
9,6/22/25,3:03:40 PM,3,1,Noah Suttles,,Right,Kcl groundsloths 2025,Kyler Lapp,,Right,Kcl bobcats 2025,Stretch,1,Top,2,0,0,Slider,,InPlay,,GroundBall,FieldersChoice,1,0,,72.25364559797046,1.0700509917970313,-3.515497746,,,,4.929669871809702,2.537269474349886,6.0000001920000035,,,,1.6155402323120394,-0.734118167,65.05011087622648,-8.692742553,-3.515497746,,,,,,,,,,,,,,,,,,,,,,,,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,c1f7083c-83cd-4274-8133-3d3a4777def5,72.45228928305045,4.920734808413993,2.5372694743498907,1.174139627988825,-3.515497746,65.18744522527312,1.623470123781069,-0.734118167,-8.573065581,-3.515497746,0.5325827850312668,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749343996,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
10,6/22/25,3:04:33 PM,4,1,Noah Suttles,,Right,Kcl groundsloths 2025,Zach Pomatto,,Left,Kcl bobcats 2025,Stretch,1,Top,2,0,0,Changeup,,StrikeCalled,,,,,,,69.20066122635608,0.8207482786026025,-4.291459602,1272.4413880467216,225.34598706539802,1:30,5.696158163989628,3.669805438557036,6.0000001920000035,-43.74974495,15.836431531717665,11.935696326463225,2.8153411546863643,0.668516225,62.26369609845676,-7.439699908,-2.03164266,0.5555770299287535,,,,,,,,,,,,-7.903825632,8.287999252793625,-3.326505514,50.000000000000014,5.737861003475037,7.228544513578611,-100.3068516,0.3467633695826466,-7.890671204,19.268175370773317,-23.89984415,KCL GroundSloths 2025,KCL BobCats 2025,,,,fcae5d30-7c3d-4ac4-b21d-0c15022aa8f7,b7fc47d7-0a19-4b92-928c-464588683099,69.41638361646011,5.6926600099665245,3.6766686168784544,0.8605065717868595,-4.373734416,62.42772403570539,2.819453335520609,0.6631486620032774,-7.375959825,-2.113109708,0.5553232582656432,12.711782780897718,13.407759177959546,-23.50135341,34.11988110078571,1166.893206650676,-507.4123868,91.70506536587364,-0.644525181,-0.398770734,-0.652356645,,,,,,,,,,,,,,,,,0.9947330114585252,0,,,medium,high,59.29210700929283,49.85350460447974,54.667001749343996,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
