PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/28/25,5:13:38 PM,1,1,Brody Stonecipher,,Right,Kcl bluecaps 2025,Jake Folmar,,Right,Kcl bobcats 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,81.95219208,1.580567638,-0.120214314,1883.379669,223.3611694,1:30,4.943698433,0.581135851,6.000000192,-25.38441424,17.06488572,13.90445003,4.297676009,1.628113492,73.11832535,-3.245130157,2.525305567,0.468928673,,,,,,,,,,,,-7.571074273,8.685903635,-0.579367236,50,5.057828023,-0.161443442,-119.0532972,2.534296164,-10.59774746,28.12002001,-20.01579967,KCL BlueCaps 2025,KCL BobCats 2025,,,,18d5b15e-7d4f-4ac6-ab4a-67ee8922a749,2aa0ede7-c2ab-49ee-a9b0-d84861bbadab,82.19590463,4.944129127,0.588232972,1.573915233,-0.205167176,73.313642,4.298273851,1.622554325,-3.234946745,2.440600763,0.468714339,14.70003817,15.48205922,-12.589583,60.93243004,1838.096453,-410.5123699,97.59564062,-0.7095595,-0.217965807,-0.670086727,,,,,,,,,,,,,,,,,0.996638417,0,,,medium,high,35.16081297,-76.22592822,54.66700175,Nolan Hunter,,Kcl bluecaps 2025,2022-11
2,6/28/25,5:14:02 PM,1,2,Brody Stonecipher,,Right,Kcl bluecaps 2025,Jake Folmar,,Right,Kcl bobcats 2025,Stretch,1,Top,0,1,0,Changeup,,InPlay,,Popup,Single,0,1,,77.51776213,1.541335378,-5.168009017,1601.52653,249.0428008,2:15,4.625670364,3.984741268,6.000000192,-37.79007642,9.838718483,18.36575873,2.91519872,0.699038066,69.37656514,-5.609045285,-1.693357617,0.496713906,79.33772582,50.94410642,-45.05441839,,-77.23242565,78.32721384,93.50565383,251.0338348,,-44.85388582,4.869670397,-11.67803107,4.800059718,-3.573277451,50,4.729870078,9.633283953,-112.1916809,1.973944359,-14.58569806,24.0957456,-26.17884189,KCL BlueCaps 2025,KCL BobCats 2025,,,,18d5b15e-7d4f-4ac6-ab4a-67ee8922a749,63060f4f-2d62-4e46-b902-dd86f6a59477,77.72800755,4.621629187,3.993579498,1.588371187,-5.274150058,69.53388497,2.919254537,0.692118242,-5.545900517,-1.799336245,0.496523295,19.37030848,7.796225018,-8.986317106,39.0434926,1581.868866,-250.1561869,98.77256706,-0.353280286,-0.156198591,-0.922385516,-35.38109819,35.31395342,61.60825694,-0.734612013,2.362342571,3.638596045,-177.0544747,177.9598247,,,,,,,,,0.997234423,0,,40.61959584,medium,high,54.86085666,45.27210631,54.66700175,Nolan Hunter,,Kcl bluecaps 2025,2022-11
3,6/28/25,5:16:00 PM,2,1,Brody Stonecipher,,Right,Kcl bluecaps 2025,Nolan Galla,,Right,Kcl bobcats 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,81.81430602,-1.750501356,-8.13822541,1909.577873,230.4119865,1:45,4.974010092,3.440255251,6.000000192,-27.68226341,15.47191701,13.71159398,1.023187739,-3.03200632,73.51401983,-6.950058184,-5.575944692,0.472805978,,,,,,,,,,,,-10.08617573,8.938829552,-2.780831329,50,4.813846341,16.4293389,-117.7111308,-4.448785726,-13.9153564,25.82159149,-19.84162525,KCL BlueCaps 2025,KCL BobCats 2025,,,,18d5b15e-7d4f-4ac6-ab4a-67ee8922a749,ce1ff3d6-c01c-4898-846d-be5d47a1ad60,82.04662423,4.973661434,3.447868745,-1.747410214,-8.228093047,73.69861329,1.024321234,-3.037901263,-6.930859524,-5.664719292,0.472616694,14.57248786,14.14844283,-29.87630545,0.106175242,1655.80036,-951.2164939,86.7102821,-0.552572355,-0.498129198,-0.668229822,,,,,,,,,,,,,,,,,0.984586875,0,,,medium,high,89.90444228,-24.83934976,54.66700175,Nolan Hunter,,Kcl bluecaps 2025,2022-11
4,6/28/25,5:16:24 PM,2,2,Brody Stonecipher,,Right,Kcl bluecaps 2025,Nolan Galla,,Right,Kcl bobcats 2025,Stretch,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,81.14516034,-1.707604929,-5.859725855,1951.752775,224.2807092,1:30,4.539230574,2.952851836,6.000000192,-25.61844678,17.84856416,14.65342222,0.808514054,-1.291088882,72.92228384,-6.537979423,-3.097915219,0.474516601,,,,,,,,,,,,-9.852535077,10.21126904,-2.482387584,50,4.384491639,11.61059041,-117.3170717,-4.266930594,-13.49294977,25.78754517,-18.18981719,KCL BlueCaps 2025,KCL BobCats 2025,,,,18d5b15e-7d4f-4ac6-ab4a-67ee8922a749,2e295b6e-e720-4b42-978a-b5c4caec2997,81.37584834,4.539434901,2.959965496,-1.711192562,-5.943525948,73.10473264,0.809196209,-1.296541169,-6.526061249,-3.180559801,0.474320655,15.44721656,16.52819022,-9.738501674,71.22502421,1923.628066,-330.142333,98.55900246,-0.705611339,-0.169151717,-0.688113606,,,,,,,,,,,,,,,,,0.996236806,0,,,medium,high,25.89747821,84.96748482,54.66700175,Nolan Hunter,,Kcl bluecaps 2025,2022-11
5,6/28/25,5:16:49 PM,2,3,Brody Stonecipher,,Right,Kcl bluecaps 2025,Nolan Galla,,Right,Kcl bobcats 2025,Stretch,1,Top,0,2,0,Fastball,,StrikeCalled,,,,,,,80.7438688,1.25828463,-5.295046423,1873.33881,231.6934554,1:45,4.863565347,2.824126397,6.000000192,-29.26466194,14.64902751,14.51498563,3.599485785,-0.901532223,72.14003864,-4.282663198,-2.551377136,0.476948498,,,,,,,,,,,,-9.64186244,7.497047477,-2.399995931,50,4.949563741,10.40676207,-116.8496829,1.725003024,-13.06073561,26.17722363,-22.01865113,KCL BlueCaps 2025,KCL BobCats 2025,,,,18d5b15e-7d4f-4ac6-ab4a-67ee8922a749,dc0eaee2-9e16-4038-ae4a-e4af6a92b34b,80.98003174,4.862907374,2.832165718,1.264512553,-5.391269924,72.32772412,3.600963868,-0.907905504,-4.258843771,-2.647174181,0.476745345,15.42457598,13.09109988,-27.2720802,5.079787859,1665.099633,-858.3947295,88.88406216,-0.550964453,-0.458216487,-0.697478187,,,,,,,,,,,,,,,,,0.985713718,0,,,medium,high,94.57180907,-23.4151346,54.66700175,Nolan Hunter,,Kcl bluecaps 2025,2022-11
6,6/28/25,5:17:12 PM,2,4,Brody Stonecipher,,Right,Kcl bluecaps 2025,Nolan Galla,,Right,Kcl bobcats 2025,Stretch,1,Top,0,2,1,Fastball,,InPlay,,Popup,Single,0,0,,81.47255181,0.356282812,-4.163699371,1853.016881,228.4854689,1:30,4.819888273,2.65478571,6.000000192,-27.25521556,15.72484463,14.51227335,2.88062773,-0.012400339,72.91462758,-4.807637972,-1.413872693,0.471851165,60.73242,41.48096356,32.8960343,,59.10831932,92.76964259,47.45348139,182.080925,,32.65878124,3.411185317,-9.259180748,8.384947277,-2.323439375,50,4.833202554,8.171745211,-118.1214884,-0.066066389,-12.81414946,26.79369532,-20.56978669,KCL BlueCaps 2025,KCL BobCats 2025,,,,18d5b15e-7d4f-4ac6-ab4a-67ee8922a749,b244922a-65e7-4509-8581-82fb65a4b855,81.70731504,4.819631843,2.662287194,0.357937538,-4.253777127,73.10234045,2.881741576,-0.018374989,-4.789471333,-1.50390585,0.47165011,15.36061254,14.23030321,-19.26797313,5.997343334,1749.221164,-611.4710801,94.39855522,-0.625683039,-0.329986783,-0.70684472,24.71139209,38.20379418,40.22740422,0.084567155,1.734944473,3.112976576,98.2572027,153.2937878,,,,,,,,,0.991379749,0,,26.18091648,medium,high,95.397609,-24.21659256,54.66700175,Nolan Hunter,,Kcl bluecaps 2025,2022-11
7,6/28/25,5:18:06 PM,3,1,Brody Stonecipher,,Right,Kcl bluecaps 2025,Jake Zimmerman,,Right,Kcl bobcats 2025,Stretch,1,Top,0,0,0,Slider,,StrikeCalled,,,,,,,74.91463014,2.69758704,-2.880330411,2394.167745,68.95354132,8:15,4.421174905,2.087307173,6.000000192,-48.92043512,2.143113597,-6.290107304,2.856619931,-1.116086676,67.05853681,-6.57120317,-4.074213628,0.514312428,,,,,,,,,,,,2.384855539,0.202363669,-1.848867741,50,4.613148814,5.633761665,-108.6035105,3.805053513,2.774183264,23.63332815,-31.93865004,KCL BlueCaps 2025,KCL BobCats 2025,,,,18d5b15e-7d4f-4ac6-ab4a-67ee8922a749,20c0b967-c9e3-4150-8145-ab1fc6db42d8,75.1236737,4.411647064,2.090575799,2.807977607,-2.919282808,67.20392544,2.864824438,-1.11820451,-6.446238464,-4.105993198,0.514103561,-5.919204795,-0.899456196,-75.60005476,62.59521664,595.4030627,-2318.951139,24.868895,0.089310377,-0.968583402,0.232098794,,,,,,,,,,,,,,,,,0.996746778,0,,,medium,high,33.66430503,42.4478951,54.66700175,Nolan Hunter,,Kcl bluecaps 2025,2022-11
8,6/28/25,5:18:37 PM,3,2,Brody Stonecipher,,Right,Kcl bluecaps 2025,Jake Zimmerman,,Right,Kcl bobcats 2025,Stretch,1,Top,0,0,1,Fastball,,BallCalled,,,,,,,82.21704565,-1.705682802,-8.133266967,1908.794237,231.2664093,1:45,4.974298536,3.71413114,6.000000192,-26.87941776,15.82252439,15.62595025,1.132515939,-2.593898208,73.85471033,-6.758456374,-5.212217058,0.470322046,,,,,,,,,,,,-11.1004054,9.108381821,-3.056236899,50,4.81828484,16.44427606,-118.3005964,-4.354159478,-15.47953104,25.93218601,-19.47239824,KCL BlueCaps 2025,KCL BobCats 2025,,,,18d5b15e-7d4f-4ac6-ab4a-67ee8922a749,94dd998e-088c-44be-bf55-b95252d12aa2,82.44745377,4.973927169,3.722101804,-1.702274981,-8.226169785,74.03573021,1.133613223,-2.60000457,-6.739997538,-5.303791291,0.470135766,16.51455336,14.53909326,-17.45527057,0.704381738,1820.896959,-572.5641462,95.39514131,-0.596887485,-0.299961167,-0.744142882,,,,,,,,,,,,,,,,,0.993322338,0,,,medium,high,90.63394356,-29.55615651,54.66700175,Nolan Hunter,,Kcl bluecaps 2025,2022-11
9,6/28/25,5:19:00 PM,4,1,Brody Stonecipher,,Right,Kcl bluecaps 2025,Jake Zimmerman,,Right,Kcl bobcats 2025,Stretch,1,Top,2,0,0,Fastball,,InPlay,,GroundBall,Out,1,1,,81.79522336,-0.56976256,-5.346981545,1844.020378,226.4064972,1:30,5.210207442,3.068777489,6.000000192,-26.31447499,16.41868815,14.04714856,2.485468892,-0.744554436,73.32421095,-5.543914453,-2.694061653,0.47049395,,,,,,,,,,,,-9.383668801,9.068531406,-2.64011775,50,5.148335305,10.66595513,-118.3942737,-1.960080835,-13.0662722,26.60516285,-19.54658986,KCL BlueCaps 2025,KCL BobCats 2025,,,,18d5b15e-7d4f-4ac6-ab4a-67ee8922a749,3204168b-3f9e-468e-a99c-282e2faebbcb,82.02787729,5.210186482,3.075807017,-0.570755314,-5.431862849,73.51214138,2.48633143,-0.750006724,-5.528911654,-2.779482499,0.470301941,14.85245025,15.02632498,-18.52220015,37.55649216,1748.501299,-585.7937858,94.82006384,-0.653819822,-0.317672078,-0.686734367,,,,,,,,,,,,,,,,,0.99180951,0,,,medium,high,56.19915706,9.738875923,54.66700175,Nolan Hunter,,Kcl bluecaps 2025,2022-11
10,6/28/25,5:19:39 PM,4,1,Brody Stonecipher,,Right,Kcl bluecaps 2025,Will Strehl,,Left,Kcl bobcats 2025,Stretch,1,Top,2,0,0,Changeup,,StrikeCalled,,,,,,,76.68712735,0.07597503,-5.327241158,1596.03118,245.7454356,2:15,4.656369362,2.942273688,6.000000192,-37.65508059,10.96314325,18.29818181,1.589362887,-0.498298739,68.89265466,-7.033155302,-1.868102095,0.501846693,,,,,,,,,,,,-11.67992272,5.902690794,-2.517698713,50,4.640755371,9.844254806,-111.0077349,-0.89520247,-14.29419062,23.43261188,-24.95018438,KCL BlueCaps 2025,KCL BobCats 2025,,,,18d5b15e-7d4f-4ac6-ab4a-67ee8922a749,da147251-49d3-4396-837c-d96171f57e6c,76.89281889,4.652316456,2.950620409,0.122947735,-5.426604219,69.04640721,1.593469178,-0.504919894,-6.970761355,-1.967453367,0.501652003,19.23655345,8.931449708,-2.22675496,66.55729328,1594.825988,-62.01287089,99.92448818,-0.410481289,-0.038854423,-0.911040858,,,,,,,,,,,,,,,,,0.994001903,0,,,medium,high,30.09843605,-41.04983978,54.66700175,Nolan Hunter,,Kcl bluecaps 2025,2022-11
