PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,07/06/2025,6:36:05 PM,1,1,Matt Brummer,,Right,Kcl bobcats 2025,Ethan Hamrick,,Right,Kcl bluecaps 2025,Windup,3,Top,0,2,1,Fastball,,BallCalled,,,,,,,85.22377158912180,-0.1754584245056700,-6.34873316541766,2251.3554975553900,212.06626595245400,1:00,5.569933512152090,5.051595670797380,6.0000001920000000,-18.38077016217340,21.127642887098600,11.719919452124400,3.8741258884250800,0.10351530603260200,76.16339073070000,-3.6514841099844200,-4.142658506874210,0.452393457149075,,,,,,,,,,,,-8.466722528889650,11.483352948920300,-4.539130122278220,50.00000000000000,5.544897270836310,13.340687459722600,-123.14014520762900,-0.9442362432504750,-12.751162343323800,28.823266720069700,-14.879742704235200,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,95a403cc-6997-4097-9cc2-ce4e720873c5,85.47534671263600,5.572569432031090,5.057275276900220,-0.20793190780601800,-6.415582577615980,76.36951886700560,3.8728970863267300,0.09915496403209720,-3.66886529484283,-4.209538756750300,0.4521977457311510,12.354320808467400,20.126885243283400,-8.976838638140070,86.20777008578810,2223.7797631231300,-351.29067949053700,98.77514970593470,-0.8370548404284980,-0.15603518852175200,-0.5243970004283040,,,,,,,,,,,,,,,,,0.9790907672693170,0,,,medium,high,12.413006922790600,-81.28688019565630,54.667001749344000,Zach Pomatto,,Kcl bobcats 2025,2022-11
2,07/06/2025,6:36:20 PM,1,2,Matt Brummer,,Right,Kcl bobcats 2025,Ethan Hamrick,,Right,Kcl bluecaps 2025,Windup,3,Top,0,3,1,Fastball,,BallCalled,Walk,,Walk,0,0,,84.2183151388422,-0.49963582361359800,-6.595294719613820,1998.3371272359500,213.816985856389,1:15,5.727362253857220,3.7367065339340400,6.0000001920000000,-20.69944482874700,19.786459544448000,11.28707667394560,3.534944705151950,-1.4795461115990100,75.35549646337910,-4.409665106637330,-4.473095284487880,0.4579556747348140,,,,,,,,,,,,-8.308182918807620,10.865628023692200,-3.203650053808180,50.00000000000000,5.674388367708900,13.719930077339400,-121.6270307464710,-1.6961508184174800,-12.211423319836200,28.036590683138800,-16.20367619270160,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,c5a75b8a-9e7f-498e-b9a8-6cf36c99b19f,84.46879705426010,5.72923801499349,3.7424906758076900,-0.5229361864942980,-6.662865881206930,75.5589235820994,3.5343315807190800,-1.48402553177929,-4.417256711325330,-4.540233101499420,0.4577545203312560,11.927695191733000,18.681751735048000,-16.444679993535900,20.45895977951690,1916.5921667538700,-565.7081760301310,95.90935086137600,-0.79683360256431,-0.2830894588905540,-0.5337757657382320,,,,,,,,,,,,,,,,,0.9938736050128120,0,,,medium,high,71.58693619843480,-21.890238652457200,54.667001749344000,Zach Pomatto,,Kcl bobcats 2025,2022-11
3,07/06/2025,6:37:14 PM,2,1,Matt Brummer,,Right,Kcl bobcats 2025,Jackson  Natanek,,Right,Kcl bluecaps 2025,Windup,3,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,83.61035228615360,-0.539082893035638,-7.276368411078560,2137.03656277715,216.50101000596900,1:15,5.817008128994290,4.758816986628840,6.0000001920000000,-21.05837555788000,20.104391698917,12.95524957125810,3.5570406843334200,-0.9607817752887980,74.81759519259330,-4.513118095491740,-4.846261290253140,0.46176796880479500,,,,,,,,,,,,-9.419194835278460,11.047153241331100,-4.170435386011050,50.000000000000000,5.760518107654160,15.006042509696600,-120.5812203294790,-1.7780583086272400,-13.619764378692000,27.360989353424600,-16.20032499133460,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,6db149cb-12c4-4e5a-bf01-3e1f8cb861d2,83.853800444448,5.818762567888570,4.764935180006,-0.5613966209798450,-7.349454780782090,75.01780718187700,3.556476214278930,-0.9655822002641340,-4.520134360309580,-4.920164986222140,0.4615752312874260,13.652762515789300,19.013365068314100,-10.135065384603700,18.02720754264470,2103.6895385323100,-376.0526507234040,98.43956697673410,-0.7913028907063000,-0.1759692170332880,-0.5855549246796110,,,,,,,,,,,,,,,,,0.9912964727615070,0,,,medium,high,73.7755132116198,-50.06028084169680,54.667001749344000,Zach Pomatto,,Kcl bobcats 2025,2022-11
4,07/06/2025,6:37:32 PM,2,2,Matt Brummer,,Right,Kcl bobcats 2025,Jackson  Natanek,,Right,Kcl bluecaps 2025,Windup,3,Top,0,0,1,Curveball,,BallCalled,,,,,,,72.9032383664436,0.955984646159703,-6.173563077379410,2065.2371050464800,21.174499695710500,6:45,5.629527299342150,4.472923753920360,6.0000001920000000,-62.47357189964980,-7.892089863953520,-6.796793197631480,1.3171477266743500,-1.8534542726607200,65.7921427552991,-10.75324647631150,-7.453769465485370,0.5317336982824710,,,,,,,,,,,,1.3860509781558700,-4.637583139344300,-3.964204381096880,50.000000000000000,5.672015810661230,11.563616208814400,-105.27011141394300,0.14208245948612100,1.506344805413800,23.11358666258480,-37.214123422909300,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,a085e6ca-7c26-4842-a889-0ebc5d491209,73.05170340760430,5.6146109836800600,4.476418975692160,1.1310300485032300,-6.215134277376510,65.8700866235077,1.32896002232799,-1.8557603891822300,-10.57506639048150,-7.488767579054600,0.5315817704199550,-6.397315620881440,-11.85767167333150,-52.099233420404600,25.729512639955500,1268.6663785228900,-1629.6287675622300,61.42957510413020,0.5728213615066850,-0.7890758710368750,0.22188951653700100,,,,,,,,,,,,,,,,,0.9923341492907300,0,,,medium,high,66.84343862404010,20.533676135558300,54.667001749344000,Zach Pomatto,,Kcl bobcats 2025,2022-11
5,07/06/2025,6:37:59 PM,2,3,Matt Brummer,,Right,Kcl bobcats 2025,Jackson  Natanek,,Right,Kcl bluecaps 2025,Windup,3,Top,0,1,1,Fastball,,BallCalled,,,,,,,83.55267421690270,0.14635830444267500,-5.301146088072130,1994.48115374529,211.17086535840300,1:00,5.840253623772630,2.8610283668017100,6.0000001920000000,-21.29497314940690,19.698513120398300,10.016873249726400,4.202281513413760,-1.2451907115280200,74.68516120791490,-3.8851829708466000,-3.409563026142700,0.4608174852122460,,,,,,,,,,,,-7.211643587527350,10.60499186329070,-2.433791246828140,50.00000000000000,5.839892515221400,10.919834648922900,-120.94175569721,-0.3318291914732690,-10.464586250762400,28.05087652750400,-16.78548376253430,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,90d48d9a-4933-4b5c-be0f-d3fe3f6d87b1,83.80429116477450,5.842123353556920,2.8664482411165600,0.12262767580058700,-5.365377123941880,74.89145152396060,4.201695975439200,-1.2494091484201800,-3.892540929542380,-3.4736889780315000,0.4606112302735540,10.623807392401100,18.51194497327420,-22.589923017290900,18.298373747372800,1841.460151835440,-766.1459272536390,92.32777900044320,-0.7899819262896630,-0.384132948970187,-0.47788119198305100,,,,,,,,,,,,,,,,,0.9962536546312390,0,,,medium,high,73.53146362736450,-20.148568797916500,54.667001749344000,Zach Pomatto,,Kcl bobcats 2025,2022-11
6,07/06/2025,6:38:17 PM,2,4,Matt Brummer,,Right,Kcl bobcats 2025,Jackson  Natanek,,Right,Kcl bluecaps 2025,Windup,3,Top,0,2,1,Fastball,,StrikeCalled,,,,,,,83.9462381152878,-0.9658900601010060,-2.2117337073653900,2134.848013443250,216.55591403577700,1:15,5.710058828885730,1.8568839994226900,6.0000001920000000,-20.76148860912570,19.590016680204900,12.652141076572800,3.0814882184357500,0.8546362041513510,75.22871348590420,-4.899321107464100,0.19103651796635900,0.45719491627818300,,,,,,,,,,,,-7.593733726478470,10.924592447699400,-1.683963886477440,50.00000000000000,5.619296329305830,4.3243239397479600,-121.92169687989900,-2.687925359610290,-11.193059270235900,28.60977810414800,-16.071350284878000,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,42004ef5-37cb-42d2-9ff7-03579f97067e,84.18870733829340,5.711821674454880,1.8631508436873900,-0.9881069920214550,-2.2860210237890000,75.42498597376820,3.0809534962198600,0.8497972587118600,-4.906237321888210,0.11733395428314,0.4569951788474960,13.348655322296800,18.39114365796460,-9.522766181313190,87.08297944141960,2105.429685325400,-353.18816607182300,98.62199426223310,-0.7922068105108160,-0.16543948976591200,-0.5873994761712630,,,,,,,,,,,,,,,,,0.9971427054498910,0,,,medium,high,11.625318502722300,-60.15855582819610,54.667001749344000,Zach Pomatto,,Kcl bobcats 2025,2022-11
7,07/06/2025,6:38:51 PM,2,5,Matt Brummer,,Right,Kcl bobcats 2025,Jackson  Natanek,,Right,Kcl bluecaps 2025,Windup,3,Top,0,2,2,Fastball,,Foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,d832ebc5-1737-4c15-aba7-f71615f0da13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zach Pomatto,,Kcl bobcats 2025,2019-02
8,07/06/2025,6:39:09 PM,2,6,Matt Brummer,,Right,Kcl bobcats 2025,Jackson  Natanek,,Right,Kcl bluecaps 2025,Windup,3,Top,0,2,2,Curveball,,StrikeCalled,Strikeout,,StrikeoutLooking,1,0,,74.74596248012740,3.1190069189398700,-4.829382071140090,1705.7123302055700,20.01266162098190,6:45,5.436452456049790,3.9577993601822900,6.0000001920000000,-59.39227005910320,-7.722969450925500,-5.18055660935534,3.399086562484900,-0.972970530354294,66.99496608841290,-8.097690173324490,-5.808905601022610,0.5173540032050920,,,,,,,,,,,,1.0598576864936700,-5.316586250140120,-3.5605093374400900,50.00000000000000,5.657495494862850,9.268084928201130,-108.05468845904200,4.319137981455040,1.217778740892240,23.767782196483400,-38.28281851983670,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,5f7233b4-f8cc-4b61-8209-2161628ca503,74.91173063171360,5.422550072392880,3.9610307430612600,3.2832171144386700,-4.868271010429260,67.09077055661640,3.4104488477138900,-0.9751781537437470,-7.925717849770920,-5.842190390336260,0.517197741530896,-4.808985944447630,-11.329647189894300,-51.62599638819810,28.15513927120360,1058.8927916948000,-1337.2361829954100,62.079213062098300,0.5833068492339490,-0.783975210423812,0.2124523218929440,,,,,,,,,,,,,,,,,0.9918745358427230,0,,,medium,high,115.33962534408300,16.05116864172630,54.667001749344000,Zach Pomatto,,Kcl bobcats 2025,2022-11
9,07/06/2025,6:39:45 PM,3,1,Matt Brummer,,Right,Kcl bobcats 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,3,Top,1,0,0,Fastball,,BallCalled,,,,,,,83.74457775467430,0.17562023533489700,-3.593885590164540,2091.4858121809200,216.61925747525900,1:15,5.796995312523700,2.7053609182740000,6.0000001920000000,-21.57962113866490,19.06064457488330,12.1204997035334,4.162235925239090,0.37088065229096300,74.87448716604710,-3.9173215399140700,-1.2953342404365100,0.45882787210983600,,,,,,,,,,,,-7.777615303052750,10.251466944320800,-2.4192544939810900,50.00000000000000,5.798836407345780,7.263878025591890,-121.49544603026500,-0.2801907490819450,-11.382182166888400,28.446202542057600,-17.171499358002200,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,96815743-af55-4da1-a64d-1866f3b54357,83.99256920874050,5.798722544284350,2.7117716400262900,0.15385721852545900,-3.669448512548370,75.07510399750730,4.1617771109351100,0.3659756382897540,-3.922941384194410,-1.3701746251697500,0.4586240538731880,12.830838238528000,17.8395023636244,-17.987800860115000,12.4736737070842,1989.2587715683700,-645.8811363497240,95.11222882712470,-0.7633869508233210,-0.3088144956987410,-0.5673393786429820,,,,,,,,,,,,,,,,,0.9935870904935700,0,,,medium,high,78.77369366362420,13.690390711339100,54.667001749344000,Zach Pomatto,,Kcl bobcats 2025,2022-11
10,07/06/2025,6:40:00 PM,3,2,Matt Brummer,,Right,Kcl bobcats 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,3,Top,1,1,0,Fastball,,BallCalled,,,,,,,84.94075993965310,-3.030868519642190,-4.4146838742349600,2048.0207490714400,215.47596134874800,1:15,5.822628896498270,2.5191775247957200,6.0000001920000000,-20.186784306168600,19.390297532780400,11.5722005382654,1.312506175036850,-0.6275905249185400,76.40149679667220,-6.834390755818690,-2.227059911285230,0.45278643451745300,,,,,,,,,,,,-7.713253971401210,11.484074008957700,-2.165585391716320,50.00000000000000,5.563067285952540,9.137682431368780,-122.96304146995200,-7.150181328350080,-11.600507994150000,28.404477619237900,-14.902338730857000,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,02e82e1e-564e-4881-8232-0960071aa588,85.18088349525490,5.824329406864140,2.5250440651787800,-3.0519078331835000,-4.483804686756860,76.59630114580020,1.3119702740991800,-0.6321473729553300,-6.840897795961480,-2.295432075406210,0.45259568380734400,12.222672587048800,18.33984514572400,-15.97155192116130,11.708850424520000,1968.963941346050,-563.5334828616600,96.13984341900640,-0.78292354699484,-0.27516004567686200,-0.5579584830649370,,,,,,,,,,,,,,,,,0.9946507709468660,0,,,medium,high,79.46203461793200,-4.8576849352908600,54.667001749344000,Zach Pomatto,,Kcl bobcats 2025,2022-11
11,07/06/2025,6:40:21 PM,3,3,Matt Brummer,,Right,Kcl bobcats 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,3,Top,1,2,0,Fastball,,InPlay,,GroundBall,Single,0,0,,84.54954717463930,-1.1697078218574400,1.6451692942952000,2179.0070447607300,214.33711507617500,1:15,5.875648025682370,-1.5979365432297900,6.0000001920000000,-20.742602893754200,19.109252351284900,11.366676295606600,3.0570552027119200,0.06658653216439540,75.55968174927830,-5.133908819744940,-1.8500414782157800,0.455917437909133,75.07812495523700,6.32125720053604,-22.9672861949221,1307.9057670124400,,,,83.75446774878210,,-24.79365088779770,0.810861555890855,-7.567055063982500,11.175085970305500,-2.5354098377176600,50.00000000000000,5.838671313064280,8.252217451781990,-122.19683482172100,-3.3959032112343100,-11.220241480890800,28.423696271492700,-15.603909406452800,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,6e4f38c2-d29c-406d-a173-0b9ced0e016c,84.79523517865870,5.8775209037451300,-1.5917932812151900,-1.1934876505653700,1.5721356389381200,75.75782059401330,3.056337561742060,0.062266484123379500,-5.144110702890350,-1.9201021953722900,0.45572810064529400,12.051059947530500,17.841678619564200,-18.18645870853650,53.98702730465970,2070.1565812085600,-680.0907515881820,95.00458413781210,-0.7844842788709430,-0.31211039598215800,-0.5358838651463560,-29.117782608355400,68.7062394243795,8.266332132607550,-0.3798339932260820,2.5996137935845300,3.1783195272387200,-35.12256054349020,76.0343120489076,2.1131919587721400,-12.819256051761300,-0.13937015588930500,-0.5260161712830190,-0.2555707350979640,0.8111661894521000,,,0.9972318636793270,0,0.6761825996250820,39.54349299351920,medium,high,41.41167542580630,11.146275481192100,54.667001749344000,Zach Pomatto,,Kcl bobcats 2025,2022-11
12,07/06/2025,6:41:09 PM,4,1,Matt Brummer,,Right,Kcl bobcats 2025,Jake Morrill,,Left,Kcl bluecaps 2025,Windup,3,Top,1,0,0,Fastball,,StrikeSwinging,,,,,,,82.83822794459060,-1.2104493533762000,-1.246190457683600,2088.4077511452000,215.51676702918800,1:15,5.934146265739720,0.4313372321455350,6.0000001920000000,-21.838831779145400,19.578754371105800,12.055893034826200,2.9888259664754200,0.2776108378586290,74.30299981078000,-5.344615771794300,1.0445412870701700,0.4631950553067530,,,,,,,,,,,,-6.945898692001230,11.003686401689200,-0.33679101377595600,50.00000000000010,5.822871854161250,2.2567539029886900,-120.36065101750500,-3.198636454404730,-9.973658526047170,27.967286650004600,-16.373788804117300,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,2c433957-6c52-451f-82fb-5b6b48cdca76,83.07772614911180,5.935722020608430,0.43739651400336700,-1.2307348033037200,-1.318864548947510,74.49842151395210,2.9884506966754800,0.2728154409248300,-5.349106698877700,0.9719781501100580,0.46299090337192700,12.736557301973400,18.307608029700400,-12.63309121268130,37.98895823886600,2037.8486733874800,-456.74907708304600,97.57906099850520,-0.7942404214743350,-0.21870684823525700,-0.566876942052921,,,,,,,,,,,,,,,,,0.9965383213297010,0,,,medium,high,55.80993758502070,-12.145914929909200,54.667001749344000,Zach Pomatto,,Kcl bobcats 2025,2022-11
13,07/06/2025,6:41:29 PM,4,2,Matt Brummer,,Right,Kcl bobcats 2025,Jake Morrill,,Left,Kcl bluecaps 2025,Windup,3,Top,1,0,1,Changeup,,BallCalled,,,,,,,78.80241115451740,-2.8756605244650200,-4.955751989191270,1840.4600382622700,221.64774338410800,1:30,5.625343249046240,3.7738247052266500,6.0000001920000000,-27.604479007830800,18.408234388239500,14.25810269925530,0.6400658466471890,0.34463515074745400,71.08278857117100,-8.063660303683790,-2.263130094785870,0.4882142424537450,,,,,,,,,,,,-9.333225180038440,10.894968474109900,-3.377427588577800,50.000000000000000,5.3739984403570300,9.479516188244740,-114.0100169176420,-6.535154351715350,-12.075651546742400,24.285154748547000,-18.07776021461760,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,500a41b4-b497-4f2a-b489-d2f650fa5f61,79.02182637937320,5.624874308821210,3.779882641257900,-2.8710344797949000,-5.028733068326070,71.2600701136106,0.6413373646803880,0.3396964685591400,-8.04324960325738,-2.337399123962800,0.4880128434229430,14.946291879973400,16.94721605222730,1.4154619053367400,21.018189818424600,1839.8984404302800,45.46296671554850,99.96948600782880,-0.7470165808512510,0.024701958081346800,-0.664346326248782,,,,,,,,,,,,,,,,,0.9931674136763420,0,,,medium,high,71.08362916341780,-14.8300985171259,54.667001749344000,Zach Pomatto,,Kcl bobcats 2025,2022-11
14,07/06/2025,6:42:11 PM,4,3,Matt Brummer,,Right,Kcl bobcats 2025,Jake Morrill,,Left,Kcl bluecaps 2025,Windup,3,Top,1,1,1,Fastball,,Foul,,,,,,,83.43603470109510,0.20238503793810000,-0.8492186389195590,2152.3460403789,217.77537301049100,1:15,5.626094203446560,0.7708271938540080,6.0000001920000000,-21.760879770641200,19.101988815944100,12.911489834403000,4.000804282511490,1.0574685038144200,74.60653505148740,-3.928881633138920,1.6061150954123800,0.46008274731907800,,,,,,,,,,,,-7.281212250268320,10.268717875040100,-0.7091113321806180,50.000000000000000,5.630005022673720,1.4078446958619300,-121.25642338146300,-0.2281122388714410,-10.592497749260400,28.76825279985210,-17.23541474876610,KCL BobCats 2025,KCL BlueCaps 2025,,,,de89ca55-0bb0-4372-9d9c-fe21cb0be3ac,daabe67b-9521-4a90-ae30-8461effb02f2,83.68040381852490,5.627751634183240,0.7774177687584650,0.1810950564906910,-0.9281031630420690,74.80493551263390,4.000385761598960,1.0523153169788100,-3.93413478001673,1.5275262310227100,0.4598768069677790,13.650553802047600,17.789499070442000,-13.182572603505300,70.94676642218720,2095.628092952720,-490.8527004734350,97.36483138110110,-0.7695895232286780,-0.2280547324941410,-0.5964251878682540,,,,,,,,,,,,,,,,,0.9825013088720610,0,,,medium,high,26.147910220031500,-19.261284023652900,54.667001749344000,Zach Pomatto,,Kcl bobcats 2025,2022-11
