PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,7/2/25,7:28:39 PM,1,1,Caden Addis,,Left,Kcl bluecaps 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,,1,Top,0,0,0,Fastball,,StrikeSwinging,,,,,,,80.26356750197482,0.22464064656748328,3.197059270033672,1655.5558071062876,134.66619178920766,10:30,5.376457642860065,-2.724490621,6.0000001920000035,-28.16093101,16.049438815375055,-13.3769764,3.2388193855617975,-0.864824412,71.88818944469025,-5.11231296,0.6584054365146286,0.47855691534473394,,,,,,,,,,,,8.323532754109399,8.606044733779994,2.4715480324935126,50.00000000000002,5.378483788291692,-6.118631362,-116.4918377,-0.359944103,11.197131638020123,26.174807409212267,-20.59687213,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bea67f48-3d6a-4a18-8a58-ced243889d07,575998d8-8d62-48f5-a067-4e5c997ebf81,80.49969889737218,5.375907225881856,-2.731413756,0.22961889750795778,3.279062338654882,72.07428159270478,3.240163519231267,-0.859518377,-5.090605944,0.7393163593349211,0.4783467782586442,-14.14771134,14.448005071743928,16.14908926013408,99.50887682474246,1590.2295718805563,460.4725172688746,96.05412061947258,-0.675236611,0.2781377198475267,0.6831507361174437,,,,,,,,,,,,,,,,,0.9922061107556704,0,,,medium,high,0.4420108577319616,-34.36564503,54.667001749343996,Nolan Hunter,,Kcl bluecaps 2025,2022-11
2,7/2/25,7:28:53 PM,1,2,Caden Addis,,Left,Kcl bluecaps 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,,1,Top,0,0,1,Fastball,,StrikeCalled,,,,,,,80.64039667973672,-0.888362501,2.3954765448210313,1632.0142269512803,135.11470494222309,10:30,5.419741228652513,-1.37789721,6.0000001920000035,-27.64758724,16.094178801702544,-13.25042422,2.2893486643638825,-0.254460424,72.39853093398297,-6.119101182,-0.120819193,0.47601394875380243,,,,,,,,,,,,7.980765309660489,9.007851931695823,1.1903318046405624,50.00000000000005,5.331305468198135,-4.512287274,-117.1068766,-2.624290096,10.851475258125163,26.41884467002096,-19.92604096,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bea67f48-3d6a-4a18-8a58-ced243889d07,3183bc9b-f706-4ef9-8b2c-a27910e11a06,80.87268715126515,5.4191555191262575,-1.384573258,-0.882847744,2.474683116,72.58249555042258,2.2907055064501356,-0.249267081,-6.097552315,-0.042312848,0.4758064478918045,-13.99295818,14.514188529470271,13.588291848417613,98.90926598882047,1586.3325658286778,383.43112492700567,97.20090300879673,-0.688688787,0.2349434941160302,0.6859368116333304,,,,,,,,,,,,,,,,,0.9966372469583198,0,,,medium,high,0.9816606100615601,-25.56138275,54.667001749343996,Nolan Hunter,,Kcl bluecaps 2025,2022-11
3,7/2/25,7:29:08 PM,1,3,Caden Addis,,Left,Kcl bluecaps 2025,Luke Mcclure,,Left,Kcl groundsloths 2025,,1,Top,0,0,2,Fastball,,StrikeCalled,Strikeout,,StrikeoutLooking,1,0,,80.88026711093457,-0.751237335,1.7740448415143422,1680.3712509730371,131.92143824100754,10:30,5.236590935047046,-0.064985465,6.0000001920000035,-27.87759472,15.594958716484886,-14.46329372,2.214887851,0.37905315040020354,72.59491851,-6.027265694,-0.974403494,0.4745468527197522,,,,,,,,,,,,8.430828118475203,8.694116664,-0.071196622,50.000000000000064,5.159237053786495,-3.2160485,-117.5000868,-2.357260487,11.532455623251694,26.738528555217076,-20.28144388,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bea67f48-3d6a-4a18-8a58-ced243889d07,8a04f8ea-ff3a-4e6a-8167-6808620b9708,81.11091058490963,5.235781612802875,-0.072117726,-0.743021707,1.858143318774638,72.77536696,2.2163841025950135,0.38448735150764785,-6.003600032,-0.891542649,0.47434175350033425,-15.25136637,13.971819763040164,9.048920115230834,89.71266864659194,1659.458045983902,264.2849498476591,98.75544139564248,-0.659795973,0.15727771448995098,0.73480133,,,,,,,,,,,,,,,,,0.9961310398524167,0,,,medium,high,9.258598218067291,25.156554748578294,54.667001749343996,Nolan Hunter,,Kcl bluecaps 2025,2022-11
4,7/2/25,7:29:39 PM,2,1,Caden Addis,,Left,Kcl bluecaps 2025,Lucas Rink,,Left,Kcl groundsloths 2025,,1,Top,1,0,0,Fastball,,Foul,,,,,,,80.27195454689645,0.031830616,1.4090559980335626,1534.532194651771,135.1006622800541,10:30,5.538484189797413,-0.921868611,6.0000001920000035,-29.51130588,14.630655512828948,-11.69256964,3.1088006995516064,-0.586417661,71.95131511756423,-5.561645237,-0.813950312,0.4781865271298886,,,,,,,,,,,,6.811595001687235,7.9065332059825835,0.8138320745579785,50.00000000000002,5.524014333330636,-2.529624836,-116.6407817,-0.791959913,9.174455172891829,26.507150123241093,-21.52483535,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bea67f48-3d6a-4a18-8a58-ced243889d07,e1137caa-085d-40ed-a69a-1b656e0f2039,80.50706266220043,5.537430730314716,-0.928447493,0.042887134,1.4878828408697828,72.13838437865887,3.1105892192191997,-0.581276009,-5.53342547,-0.73574362,0.47797387265713664,-12.43161947,12.91807208393263,26.482376262021067,32.002729386570344,1373.5161321031449,684.2824645387292,89.50715644091356,-0.63402215,0.4459225208331405,0.6317982424400767,,,,,,,,,,,,,,,,,0.9954758626646178,0,,,medium,high,61.19754355208668,-72.11948959,54.667001749343996,Nolan Hunter,,Kcl bluecaps 2025,2022-11
5,7/2/25,7:29:55 PM,2,2,Caden Addis,,Left,Kcl bluecaps 2025,Lucas Rink,,Left,Kcl groundsloths 2025,,1,Top,1,0,1,Fastball,,BallCalled,,,,,,,81.21951436087187,0.6606322597525183,3.2185766857741234,1639.4741821700677,137.19238702956778,10:30,5.532494948466442,-2.119329997,6.0000001920000035,-26.67764561,16.520599837755423,-12.81112285,3.9243424232347555,-0.192448357,72.63765683523457,-4.399627432,0.7870046897196172,0.4730473090560615,,,,,,,,,,,,8.029233236804034,8.712722862004439,1.8642992063376103,49.99999999999997,5.570957099837396,-6.251984456,-117.8666521,0.5780094307434999,11.05321506919163,26.878648138933517,-20.17992801,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bea67f48-3d6a-4a18-8a58-ced243889d07,e2a9c52a-d075-4f91-882d-37cdf6c82b04,81.46055627,5.532317197790442,-2.125802196,0.6612259204125392,3.2957294913349093,72.82993539024795,3.9253930656024623,-0.187386767,-4.382424253,0.8637963953260436,0.47283704987266284,-13.53596821,14.977499232316248,14.511363545875566,67.47821531130215,1587.1716154608391,410.80634985068394,96.80979625796857,-0.710234982,0.25057201529512696,0.657860118,,,,,,,,,,,,,,,,,0.9903434879989116,0,,,medium,high,29.269606219828017,-35.66298413,54.667001749343996,Nolan Hunter,,Kcl bluecaps 2025,2022-11
6,7/2/25,7:30:09 PM,2,3,Caden Addis,,Left,Kcl bluecaps 2025,Lucas Rink,,Left,Kcl groundsloths 2025,,1,Top,1,1,1,Fastball,,InPlay,,FlyBall,HomeRun,0,1,,80.79308458762435,-0.490576131,2.194116123096635,1493.7964405333107,138.03336097192238,10:30,5.728438360653617,-1.638129765,6.0000001920000035,-27.89784701,15.67998857089811,-11.47972731,2.9473336409775692,-0.554578717,72.46950621678872,-5.773569534,0.013361193341171753,0.4751211357105348,94.81949574481392,24.821300294716913,23.57508609766753,1654.7052767878506,48.15669149649523,98.89859987968917,45.04121174486684,339.58817571457405,,31.988748570925665,4.181279846652727,6.958737984792352,8.650605229362174,1.4659644272326755,50,5.6723051575394114,-4.160525786,-117.3507144,-1.821023208,9.496180645928334,26.637171000523004,-20.36907717,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bea67f48-3d6a-4a18-8a58-ced243889d07,ea516168-99f0-48b0-b547-2d7c2e8651ac,81.02820409706067,5.727761459012406,-1.64414758,-0.483938666,2.2662133622060914,72.65909201556815,2.9487775542864076,-0.549872766,-5.750303574,0.085760553,0.47491261767119153,-12.15634225,14.070183411478295,20.339512893529733,83.02431391192339,1400.6574157126695,519.2173047569725,93.76494532364872,-0.697174536,0.3475823684327451,0.6270041174942712,34.41982729593052,78.87734414750332,39.80423146419766,0.6501586006227785,3.1299891872388366,3.2184451392291167,179.89775942854146,288.02243877472995,63.930469633972415,20.89966422090259,0.957730747,0.7895409492659742,-0.104101647,-0.604804048,,,0.9973100857632075,0,0.9980517288219727,55.01169455934381,medium,high,15.278117479268936,-83.23911632,54.667001749343996,Nolan Hunter,,Kcl bluecaps 2025,2022-11
7,7/2/25,7:30:52 PM,3,1,Caden Addis,,Left,Kcl bluecaps 2025,Cameron Steinbaugh,,Right,Kcl groundsloths 2025,,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,79.52777503730621,0.11518972062764288,2.1651893784519562,1713.9163845645207,130.57141798023295,10:15,5.566869561965093,-1.386507126,6.0000001920000035,-29.90528091,15.082034808336111,-14.3008811,3.1818959218317833,-0.564975518,71.28642683302283,-5.551977205,-0.552339115,0.482743642,,,,,,,,,,,,8.478602837480834,8.121247729655586,1.218331065463275,49.99999999999997,5.558960053,-3.956027931,-115.5158733,-0.627810336,11.206620790424662,25.891825813243678,-21.43976407,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bea67f48-3d6a-4a18-8a58-ced243889d07,55ea158c-330d-47f1-a252-702ba3eb5edf,79.75776669138274,5.565867929486842,-1.394095152,0.1255061574438859,2.2553818715792997,71.46677852988226,3.1836209502431316,-0.559123006,-5.524697023,-0.463328227,0.4825334023025593,-15.14698522,13.37308922669387,18.618321667384244,16.49971343782007,1624.2209116440993,547.1890015860412,94.76663659,-0.61635782,0.3192623668890786,0.7198434404360581,,,,,,,,,,,,,,,,,0.9953730324752454,0,,,medium,high,75.15025790596194,-52.44496103,54.667001749343996,Nolan Hunter,,Kcl bluecaps 2025,2022-11
8,7/2/25,7:31:03 PM,3,2,Caden Addis,,Left,Kcl bluecaps 2025,Cameron Steinbaugh,,Right,Kcl groundsloths 2025,,1,Top,1,0,1,Fastball,,Foul,,,,,,,81.11707209346903,-1.651386775,2.1878869623495443,1719.4181885072107,138.29270127538626,10:30,5.777044786074313,-1.070609713,6.0000001920000035,-26.20752678,17.014219168510632,-12.55648752,2.0567505846736505,-0.082586504,72.92075585668613,-6.601971347,-0.196256299,0.4731759639766692,77.67515331582162,21.868946002240623,-45.28528502,2928.9497719230926,-82.7327633,72.49337809093934,31.389100612357794,240.05791444470478,,-53.96519851,3.0728857212840546,7.530599064836326,9.760841363777825,0.8995819717225964,49.99999999999997,5.627217939934543,-4.131218405,-117.7856191,-4.167812977,10.36391027270589,26.61798809,-18.74079106,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bea67f48-3d6a-4a18-8a58-ced243889d07,ccaafd11-1df9-4c3c-968b-c608fa86624a,81.35025859814884,5.776987997655019,-1.077075157,-1.652095435,2.2643698413261704,73.10595775386007,2.057681530799706,-0.077612685,-6.586804247,-0.1208767,0.472969917,-13.27349785,15.532579392931227,15.41159070118128,16.544650124693923,1657.590769761662,456.9373556302426,96.40416629538932,-0.719708615,0.26575114691961765,0.6414014639121545,-51.22532246,50.71772720753741,28.93281749473404,0.14989750647348163,2.057570791099716,2.0871157115786327,-194.1251909,141.22043959713127,-48.77930016,-5.004911555,0.5974766033676251,0.6766954168534909,0.18496529117090676,0.7126507937773885,,,0.9950251614072061,0,0.9968621657343607,39.80189889655179,medium,high,75.10981488777547,-57.16844771,54.667001749343996,Nolan Hunter,,Kcl bluecaps 2025,2022-11
9,7/2/25,7:31:25 PM,3,3,Caden Addis,,Left,Kcl bluecaps 2025,Cameron Steinbaugh,,Right,Kcl groundsloths 2025,,1,Top,1,0,2,Fastball,,BallCalled,,,,,,,82.22295019655955,-3.315847009,1.645416238768214,1682.4356797660469,132.61856331407157,10:30,5.4074143610321075,-1.117331742,6.0000001920000035,-26.42597895,15.710250324973277,-14.1297688,0.11880438888941153,-0.765152556,74.15893644436538,-8.28057475,-1.03772283,0.46719625907886553,,,,,,,,,,,,8.196449604796273,9.615382926794439,0.9914535304994694,49.99999999999998,5.121601682592426,-3.006179531,-119.2810018,-7.699647244,11.571640768790731,27.24180320593165,-18.59917724,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bea67f48-3d6a-4a18-8a58-ced243889d07,0c1d749c-0362-4fd1-bde1-44d8c4d6a439,82.44766497433847,5.406731976466801,-1.124161143,-3.30898898,1.7261347705947017,74.33538333,0.12013383050204551,-0.759943187,-8.259773374,-0.958284602,0.4670022803410176,-14.88631495,14.220155933582571,8.772523719159716,93.71542318295658,1662.7539283857116,256.59148502575727,98.83016322008386,-0.669193289,0.15251191359745647,0.7272691782632976,,,,,,,,,,,,,,,,,0.9938222670921794,0,,,medium,high,5.656119135338841,-85.91137998,54.667001749343996,Nolan Hunter,,Kcl bluecaps 2025,2022-11
10,7/2/25,7:31:41 PM,3,4,Caden Addis,,Left,Kcl bluecaps 2025,Cameron Steinbaugh,,Right,Kcl groundsloths 2025,,1,Top,1,1,2,Fastball,,Foul,,,,,,,81.71313582542425,-0.811623583,3.039316389964152,1824.2585266700667,135.96678630223911,10:30,5.492158850167216,-1.303410694,6.0000001920000035,-26.09520201,16.534550302174573,-13.12228722,2.5621276910331936,0.43043920818684794,73.30516587,-5.750513444,0.5492931645467098,0.46992432588896704,84.12549264899853,28.239665669467445,-50.08780699,3150.2882541445456,-88.53723798,65.27754193656241,50.025385000109885,300.4546602887974,,-59.84809755,4.134579167868958,8.126137572423051,9.218396947735261,1.0632111709054455,50,5.410839198510557,-5.909570931,-118.6069183,-2.454127373,11.338432917482942,27.019405103694865,-19.3115827,KCL BlueCaps 2025,KCL GroundSloths 2025,,,,bea67f48-3d6a-4a18-8a58-ced243889d07,f1297237-a4d8-43a1-9f1e-5702a3e4cc3b,81.94753848,5.492220112,-1.310282571,-0.813778058,3.121429360298222,73.49391693949971,2.562976370650569,0.4358667943735303,-5.736467783,0.6312850180039413,0.46972157401789183,-13.89312919,15.084092093430339,19.934880143402193,78.58869246924259,1714.950301554056,621.9844333486932,94.00807377255143,-0.67585882,0.3409519123827478,0.6534268506408587,-56.84644611,47.55156511418245,39.80488329091804,-1.082030695,3.278627143481213,3.1139018406568764,-259.8021721,150.9166467059688,-58.02604332,-19.23846174,0.8612748690367509,0.80717756,0.24173116760510688,0.5385447323884816,,,0.9958944433140982,0,0.9935224244720878,43.80477065007259,medium,high,19.27017677768165,-23.74842761,54.667001749343996,Nolan Hunter,,Kcl bluecaps 2025,2022-11
