PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,7/2/25,5:03:59 PM,1,1,Carter Sellers,,Left,Kcl bobcats 2025,Kaiden Maurer,,Right,Kcl merchants 2025,,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,82.75717397209657,-3.440683211,0.683120998,1862.9545842857149,131.4392289330684,10:30,6.258672439628275,0.21632386782487772,6.0000001920000035,-25.50504439,16.102256353189485,-15.52759446,0.9314257773675032,-0.442723984,74.63386588225336,-8.227820851,-2.266092465,0.4642546832206032,,,,,,,,,,,,8.631623108164339,9.879397872302071,-0.262980987,49.99999999999997,5.963291117137908,-0.967076643,-120.0747813,-7.982981786,12.338422159953119,27.78265957329516,-18.05200323,KCL BobCats 2025,KCL Merchants 2025,,,,b902996c-c465-4915-ac23-314764ba841c,2de59ec4-bfc8-4969-a8e5-afe82ff28978,82.97987558065059,6.258111405577487,0.2091878930781226,-3.435276662,0.7674009893317525,74.80815332763456,0.9326350849379791,-0.4372668,-8.209154488,-2.183136129,0.4640630158174646,-16.31657879,14.613738572904817,-0.114625793,0.022529757797113865,1862.9508561512012,-3.72701981,99.99979988054754,-0.661823967,-0.002000596,0.7496566105669128,,,,,,,,,,,,,,,,,0.8715840759090185,0,,,medium,high,90.02027678201782,42.772949743024235,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
2,7/2/25,5:04:12 PM,1,2,Carter Sellers,,Left,Kcl bobcats 2025,Kaiden Maurer,,Right,Kcl merchants 2025,,1,Top,0,1,0,Fastball,,InPlay,,GroundBall,Error,0,0,,82.97351039830068,-2.441303182,-1.394484482,1694.490624457727,132.8034229590022,10:30,6.294942302675146,0.8029378172696978,6.0000001920000035,-25.74960006,15.681650531747195,-14.35520733,1.8781637908921334,-1.68961054,74.66215819322012,-7.284145448,-4.11886325,0.4632714573722065,43.67003115586306,29.261336139507215,9.269275448758616,,,,,92.89170825279453,,10.440806565475617,1.8477955919862992,7.286803814784587,9.336110351,-0.68103598,50.00000000000002,6.081033395912842,3.362071444625671,-120.4483907,-5.908059513,10.453727573199544,28.509894616965838,-18.78036469,KCL BobCats 2025,KCL Merchants 2025,,,,b902996c-c465-4915-ac23-314764ba841c,c5e6441d-a6f0-43b7-a751-d82b38530a46,83.19921229748209,6.294400266209459,0.7964272941496248,-2.436029185,-1.315291982,74.84367853300547,1.8793744829588366,-1.684591764,-7.26476138,-4.03896146,0.4630799793561558,-15.10056202,14.095896965161266,3.9682344341713396,17.54984435342496,1690.4282032361764,117.2645132972897,99.76025708475957,-0.67785612,0.0692034,0.731930304,6.136572706574761,37.600234326966984,21.34564300104697,1.8852813927329273,-0.08586435,0.6002136890458503,16.83379894,91.35366810094295,,,,,,,,,0.9972438261496936,0,,15.310329100484696,medium,high,105.79485991808247,-16.43945871,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
3,7/2/25,5:04:45 PM,2,1,Carter Sellers,,Left,Kcl bobcats 2025,Tyler Pippin,,Left,Kcl merchants 2025,,1,Top,0,0,0,Cutter,,BallCalled,,,,,,,70.83596570370456,-0.963226898,1.8703743556328598,2013.6451165997769,273.88457860875627,3:15,6.208842790820764,-0.447627652,6.0000001920000035,-53.22943546,3.7206615249603345,9.881072105852745,0.8772776971738605,2.1147268962955725,64.20633302673664,-10.94868602,3.7487035456697497,0.543148715,,,,,,,,,,,,-4.686133282,2.3590771057934865,0.2895304504663826,50.00000000000003,6.0996684491632065,-3.611113718,-102.8611262,-3.088409977,-4.886982551,21.293164816544532,-29.71386163,KCL BobCats 2025,KCL Merchants 2025,,,,b902996c-c465-4915-ac23-314764ba841c,38411171-8f03-4643-bf15-e9b3b5041dc4,71.01637776,6.198591753293476,-0.449334444,-0.843672695,1.8909528543038636,64.32625880930702,0.8861816948888945,2.115685919032998,-10.81660889,3.7629198011084832,0.5429360430207908,9.683308126643823,0.34986536982630384,70.38847707410133,39.306649233794055,675.8618859507319,1896.8335105446786,33.56410125990752,0.022738590266840747,0.9419899737584618,-0.334869894,,,,,,,,,,,,,,,,,0.9790957377009218,0,,,medium,high,54.62401568958535,-59.21708412,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
4,7/2/25,5:04:56 PM,2,2,Carter Sellers,,Left,Kcl bobcats 2025,Tyler Pippin,,Left,Kcl merchants 2025,,1,Top,0,1,0,Fastball,,InPlay,,GroundBall,Out,2,0,,84.22689356025107,-2.403191168,-0.070804345,1914.6924846667985,138.0401319090629,10:30,6.315167083810849,-0.074295435,6.0000001920000035,-22.99590118,17.123502733677313,-13.04159427,2.1640188111292056,-1.226900157,75.72865935,-6.73807276,-2.548264627,0.4558781301924589,,,,,,,,,,,,7.032343281828473,10.087033132229784,0.087607023,49.999999999999986,6.1059986369598755,0.5484114290798067,-122.3216413,-5.834085167,10.422934542954138,29.02436688,-17.22362953,KCL BobCats 2025,KCL Merchants 2025,,,,b902996c-c465-4915-ac23-314764ba841c,0d1d4e61-e94d-4a8d-a524-0ed02e0c8573,84.46097969,6.315800363175028,-0.080848487,-2.412128908,0.007597019,75.91817337515252,2.1643365113374866,-1.221812687,-6.732483566,-2.470044035,0.4556839917578156,-13.77629716,15.77873842338791,14.375023710571217,14.564908558986028,1854.7462910854576,475.3561891,96.86914770589007,-0.72033189,0.2482676424213297,0.6476767294280961,,,,,,,,,,,,,,,,,0.9967926062994364,0,,,medium,high,103.10841770308741,-23.48697725,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
5,7/2/25,5:05:34 PM,3,1,Carter Sellers,,Left,Kcl bobcats 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,,1,Top,2,0,0,Fastball,,BallCalled,,,,,,,87.35968061690893,-0.941467602,-3.185219219,,,,5.344859008530136,1.1704753994213284,6.0000001920000035,,,,1.5218629198535791,-1.792900625,78.44208765,-7.618167661,-3.185219219,,,,,,,,,,,,,,,,,,,,,,,,KCL BobCats 2025,KCL Merchants 2025,,,,b902996c-c465-4915-ac23-314764ba841c,bf04412b-5ebf-4841-816e-2ac70fff76ac,87.59571273728122,5.3387614461764485,1.170475399421324,-0.870325036,-3.185219219,78.62133470318393,1.527329212611794,-1.792900625,-7.53576699,-3.185219219,0.4403214020324173,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
6,7/2/25,5:05:44 PM,3,2,Carter Sellers,,Left,Kcl bobcats 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,,1,Top,2,1,0,Fastball,,StrikeCalled,,,,,,,83.49629253945895,-2.740081783,2.4332083805256812,1821.6169163839031,132.46739915407437,10:30,6.253224995080826,-1.078448247,6.0000001920000035,-24.79390439,16.051757582450552,-14.72699545,1.6362084233775158,-0.042928999,75.16535170190059,-7.411300385,-0.362010847,0.45998587088253906,,,,,,,,,,,,8.782195099388181,9.602743862,0.8886666468301713,50.00000000000003,6.015294235493198,-4.702480976,-121.1359608,-6.551903917,12.791338880342662,28.026063708429035,-18.18757473,KCL BobCats 2025,KCL Merchants 2025,,,,b902996c-c465-4915-ac23-314764ba841c,335792e6-f065-44c7-9b89-19a7a0ff4174,83.72445950511207,6.253009414,-1.085512531,-2.738595034,2.5166479849492402,75.34613210099273,1.637164693623057,-0.037478224,-7.396005335,-0.279388328,0.45979576430403374,-15.50913225,14.668373555857976,7.661743298770465,15.339643986483086,1805.3543256042856,242.86611348208808,99.10724419424582,-0.669142969,0.1333244719554989,0.7310761059675186,,,,,,,,,,,,,,,,,0.9823347199759559,0,,,medium,high,76.19432041216523,50.16969510180628,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
7,7/2/25,5:05:57 PM,3,3,Carter Sellers,,Left,Kcl bobcats 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,,1,Top,2,1,1,Cutter,,StrikeCalled,,,,,,,73.69436812,0.5100093864234474,0.34092396151650356,2055.556891560416,254.07576043633114,2:30,6.364168178822199,-2.635505129,6.0000001920000035,-46.31714508,6.149003879438638,10.899865036979438,2.978426300585404,-1.410326684,66.34035376708188,-8.243623081,2.4147390571017264,0.5213280784427072,,,,,,,,,,,,-5.782521218,3.150641003636871,2.601445873,49.99999999999998,6.378988030733246,-0.927183295,-107.0911474,-0.278827072,-6.548684889,22.769844363292123,-28.60595976,KCL BobCats 2025,KCL Merchants 2025,,,,b902996c-c465-4915-ac23-314764ba841c,50084d99-f927-49d6-8d35-8169ef71d45d,73.89794436929574,6.355840138855678,-2.635550569,0.6065057955314971,0.34173525608651917,66.48400558,2.9857109283935412,-1.410597326,-8.133369015,2.410360325098718,0.5211097561943557,10.888114148254527,3.230154871630256,63.934600162989376,47.79006044979832,903.2050663616162,1846.4925514445563,43.93967737258659,-0.120555565,0.8982930898316541,-0.422535064,,,,,,,,,,,,,,,,,0.990966429,0,,,medium,high,46.98894559518152,-79.55334802,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
8,7/2/25,5:06:08 PM,3,4,Carter Sellers,,Left,Kcl bobcats 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,,1,Top,2,1,2,Fastball,,BallCalled,,,,,,,90.13532580877902,0.050091215566257355,-0.556926352,1941.4852610934665,133.48294345462648,10:30,6.416298533487488,-0.377027897,6.0000001920000035,-19.29134818,15.776406191393278,-14.57788929,4.855242773,-2.109472197,80.53538584111075,-3.611716214,-3.328552269,0.4262118305102233,,,,,,,,,,,,7.6982981297651385,8.524967160580264,0.4308055577857913,49.99999999999997,6.4092469746939935,1.7476048637683081,-130.9850171,-0.513220344,13.04409830255244,34.03727008870347,-17.72923233,KCL BobCats 2025,KCL Merchants 2025,,,,b902996c-c465-4915-ac23-314764ba841c,0d4aed3d-4367-4fe3-83c8-f0eb7866e4b5,90.38817304313827,6.417205501727026,-0.384038774,0.038215865,-0.473945178,80.73802193,4.8552465067315085,-2.103987436,-3.610965976,-3.246043547,0.42602510671757776,-15.3534828,14.538708441793226,4.884003280328215,16.831953282678715,1934.4359325632047,165.2956195774424,99.63691053074018,-0.685640048,0.085138746,0.7229447552470009,,,,,,,,,,,,,,,,,0.9816699712559199,0,,,medium,high,105.14875795441081,-17.23288146,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
9,7/2/25,5:06:20 PM,3,5,Carter Sellers,,Left,Kcl bobcats 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,,1,Top,2,2,2,Cutter,,Foul,,,,,,,73.37211215789969,-1.887199907,-0.879076515,2012.5650211768886,253.98065881304217,2:30,5.959812001737139,-0.625456848,6.0000001920000035,-47.89033304,5.0785853155447995,9.627871303198836,0.21415795801231796,-0.640206465,66.50267702,-10.86995713,0.9533851152184203,0.5238199981953611,32.62607512328665,27.216042312531123,-77.49713108,,,,,52.070034078813265,,-73.97420814,1.3118809148684691,-5.520022016,3.4095424964961722,0.6915098245673312,50.000000000000064,5.778373903976875,1.3801340174891614,-106.562056,-4.779776194,-6.192799055,22.464674448607592,-28.34895405,KCL BobCats 2025,KCL Merchants 2025,,,,b902996c-c465-4915-ac23-314764ba841c,a54c6624-a89d-452d-91b6-d721eddbbef3,73.56141428227936,5.951038879658543,-0.626577992,-1.784621835,-0.865381551,66.63550954005969,0.22195039179733136,-0.639660529,-10.75424538,0.9613825880600898,0.5236086360417228,9.495104706795338,2.124360305953909,70.32991574143693,58.28033210597711,677.4366994627001,1895.1246615159157,33.66036338376561,-0.092889755,0.9416464271090743,-0.323532842,-28.32592682,6.281194853820731,14.921435552424922,0.6864438312923816,2.997962797311908,0.19381807893159017,-50.0464634,14.374976526647533,,,,,,,,,0.9176259001171825,0,,1.1447901060764711,medium,high,37.54770110462061,33.31947209047663,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
10,7/2/25,5:06:35 PM,3,6,Carter Sellers,,Left,Kcl bobcats 2025,Jaxson Grubbs,,Right,Kcl merchants 2025,,1,Top,2,2,2,Cutter,,StrikeCalled,Strikeout,,StrikeoutLooking,1,0,,74.20845128350331,0.3775498058316716,-2.551539706,2123.3024076645283,262.2788838977327,2:45,6.2931770455355895,-0.814241065,6.0000001920000035,-48.1105175,3.6699033318522183,11.219834164543675,2.635212762128064,-2.252208561,66.84501194,-8.708006117,-0.418456074,0.5179100163111574,,,,,,,,,,,,-6.959669933,1.855410010586025,1.015732350294649,50,6.296171890098729,4.500737332823495,-107.7445627,-0.578276196,-7.9887127,22.82666160918353,-30.04430239,KCL BobCats 2025,KCL Merchants 2025,,,,b902996c-c465-4915-ac23-314764ba841c,198e7da9-8ba5-4fbc-83d5-e4f3468c48b8,74.40331357005356,6.283801605122841,-0.814428546,0.48688215704015453,-2.548992335,66.98015552705424,2.6434257830848926,-2.252381379,-8.585855115,-0.421339798,0.5177021103061002,11.191543629987898,0.7322447623741728,64.55175622978666,90.77029653,912.3736847972599,1917.2864610390002,42.969559187793784,-0.057730204,0.902973808,-0.425799865,,,,,,,,,,,,,,,,,0.9965720420197138,0,,,medium,high,8.306733125451792,-59.78442175,54.667001749343996,Ryan Theile,,Kcl bobcats 2025,2022-11
