PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/8/25,2:59:03 PM,1,1,Ethan Plym,,Right,Kcl bluecaps 2025,Sammy Driscoll,,Left,Kcl bobcats 2025,Windup,1,Top,0,0,0,Fastball,,InPlay,,GroundBall,Single,0,0,,87.1958309203148,-0.618106909588905,-3.03353582700478,1799.2973298268,230.885564442714,1:45,5.39497329796336,1.5705549168223,6.000000192,-23.454161782225,14.0015986710464,14.0760242166774,2.86516663833296,-0.0784293625006566,78.0880230065546,-5.06276410619466,-0.361447756796371,0.440484703891162,83.7607271324179,3.54332500760907,-2.59586329104203,1368.56893574401,,,,71.9468612471021,,-4.46195568721824,0.62721185679815,-8.64711759204884,7.78519334526875,-1.331375457756,49.9999999999999,5.33097819147608,6.26344083013647,-126.565477488031,-2.10693984361845,-13.7298276757197,30.9217901912345,-19.812778686783,KCL BlueCaps 2025,KCL BobCats 2025,,,,6fb314cc-d72f-4379-9b76-3276a0161e62,a61936c8-ac20-4296-a767-2516aff5d52d,87.4385080519912,5.39489768646809,1.5777640430453,-0.618347636071177,-3.1200492973029,78.2819044252276,2.86598713376478,-0.084081977139225,-5.04927793358911,-0.447400719028035,0.440301984027675,14.8893320683719,12.6951956200984,-21.0480500975947,70.3237378183914,1679.24741683271,-646.218998623923,93.3279558078574,-0.588779298106369,-0.359150757304868,-0.72411992905092,-3.78634360363501,83.5148185676787,5.17668730698329,0.0993366121410671,0.88814572708476,2.80906701293037,-5.59725909065204,71.7288054688065,-2.07416827847147,-9.30665148225978,-0.0952146041021372,-0.434050468274349,0.0802687681318503,0.897305475216446,,,0.996650821411492,0,0.996540709937479,46.3740156655311,medium,high,26.7086359634476,-3.51317038642411,54.6670017493439,Nolan Hunter,,Kcl bluecaps 2025,2022-11
2,6/8/25,2:59:34 PM,2,1,Ethan Plym,,Right,Kcl bluecaps 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,0,0,0,Curveball,,BallCalled,,,,,,,73.6991334571229,1.14669091529827,-3.41992046290753,2147.05358811462,50.8355290990277,7:45,4.64384941890752,2.16552907225119,6.000000192,-57.090892768267,-4.17316012755989,-12.0253760851358,0.95404591665692,-2.01881817168637,66.3936686773753,-9.61105445627875,-5.70088958550924,0.523566844239129,,,,,,,,,,,,5.26391236178221,-2.68423933017287,-1.8797222421903,50,4.70463831513166,6.70335303713401,-106.853279984568,0.633769858383786,5.90270124837483,23.5733972001482,-35.184028049962,KCL BlueCaps 2025,KCL BobCats 2025,,,,6fb314cc-d72f-4379-9b76-3276a0161e62,7ebd9b3f-d278-4825-a5e9-617e272792af,73.8608702215013,4.6307455749954,2.16581979925499,1.3024955121541,-3.42378589287615,66.4900502381556,0.965050993375644,-2.01875054727734,-9.44717489324623,-5.69956034936684,0.523397080355771,-11.9847891134804,-7.8506855110628,-53.7356585304474,39.2550207042035,1270.0068474321,-1731.16195594504,59.151148087893,0.373568270282215,-0.806296575701779,0.458620299866827,,,,,,,,,,,,,,,,,0.990144862332177,0,,,medium,high,54.6704813662168,-2.31646455612972,54.6670017493439,Nolan Hunter,,Kcl bluecaps 2025,2022-11
3,6/8/25,2:59:57 PM,2,2,Ethan Plym,,Right,Kcl bluecaps 2025,Kaileb Hackman,,Right,Kcl bobcats 2025,Stretch,1,Top,0,1,0,Curveball,,InPlay,,Popup,Single,0,1,,71.5398441641513,2.98588628240131,-0.691145245678839,2023.66943828873,61.2926741427025,8:00,5.04554629659364,1.87931677593637,6.000000192,-58.2474781927929,-2.32651050309112,-11.871524167606,2.96937037549258,0.247645868310446,64.1944528220469,-8.0473981697005,-2.95093951487049,0.53821879735929,65.4245472501587,30.345582131466,-13.5184713470369,2849.88346926192,-19.0346096635514,108.340590876815,41.5933113702851,214.323038200829,,-6.83358657285846,3.48756294421408,6.18487040561923,-2.32570323386864,-1.81617800078588,50,5.25544237599101,1.55788524943252,-103.804418751049,3.91521226078714,6.56861121020704,21.6899546414101,-34.6440512726521,KCL BlueCaps 2025,KCL BobCats 2025,,,,6fb314cc-d72f-4379-9b76-3276a0161e62,d9b12b12-b519-429d-b92a-741b49c584e9,71.7106841735577,5.03268627346776,1.87975937745052,3.13833905720299,-0.696827737583612,64.297872935147,2.98014642638071,0.247605291069461,-7.88445622498966,-2.95126795977362,0.538036310665208,-11.813937752582,-5.94903030236991,-56.3225105113956,37.6203263031011,1122.16015227035,-1684.04114798908,55.4517517060139,0.266354529617776,-0.832172051485423,0.486358860594351,-13.1982537811441,54.8967113593317,33.0534198222663,-0.217319184515213,0.716944558026554,2.6042211304064,-25.5014454422068,212.8004722363,18.3038939787326,30.7376295512363,0.619550465153778,0.779429737143044,0.278254617831088,-0.561305311317111,,,0.996568872760832,0,0.994106689013899,34.7366527348012,medium,high,56.1417063272089,37.0399136387306,54.6670017493439,Nolan Hunter,,Kcl bluecaps 2025,2022-11
4,6/8/25,3:00:35 PM,3,1,Ethan Plym,,Right,Kcl bluecaps 2025,Cody Delfavero,,Left,Kcl bobcats 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,84.3375260760265,-2.06267261979314,-4.79947948955577,1843.2050274587,234.204095090064,1:45,5.18683093271223,2.50448192874269,6.000000192,-25.8423311036726,14.3169183708679,16.383951466198,1.10869131728435,-0.601257108309422,75.8058413666565,-6.93806317362901,-1.70084945915227,0.456104457208299,,,,,,,,,,,,-10.4557844522272,8.42820560711765,-2.12212908395605,49.9999999999999,5.00316290082884,9.75311797907665,-122.108361227892,-5.20117224755174,-15.4939887843155,28.2003981138196,-19.6846449176807,KCL BlueCaps 2025,KCL BobCats 2025,,,,6fb314cc-d72f-4379-9b76-3276a0161e62,8c8127fa-42df-4a6d-99df-a50e18b1c653,84.5635452689482,5.18599615397311,2.51214997332499,-2.05362331514186,-4.89101791935254,75.9841417361336,1.11008794442708,-0.607281384007818,-6.91580852811233,-1.79211991040958,0.455925601138369,17.2478824159117,12.9446703829998,-7.38850334513954,90.6367147587111,1827.90086972926,-237.029921512188,99.1696985684468,-0.580043273867664,-0.128596611869591,-0.804371003863604,,,,,,,,,,,,,,,,,0.983570114391891,0,,,medium,high,8.42695671715983,-13.8203712059442,54.6670017493439,Nolan Hunter,,Kcl bluecaps 2025,2022-11
5,6/8/25,3:00:48 PM,3,2,Ethan Plym,,Right,Kcl bluecaps 2025,Cody Delfavero,,Left,Kcl bobcats 2025,Stretch,1,Top,0,1,0,Fastball,,Foul,,,,,,,83.0367163927717,-1.09806549065669,-5.43318897454396,1771.29665322887,226.350989323636,1:30,5.14787854012766,2.98982488768472,6.000000192,-26.5851446383867,14.914169067057,11.7771323485121,1.9071833946229,-1.09350899690617,74.5054274727613,-6.11747685114655,-3.21022130503041,0.463651831601057,93.9681597623355,9.3622474470801,42.8739814406413,3283.24597748509,80.5733926201277,74.8861027164988,6.1485224474076,145.967048009053,,48.7740146630051,1.22874480932201,-8.19068747330287,8.43367532624208,-2.55276266339233,50,5.04261044720791,11.0751830737523,-120.155559224118,-3.11048421321373,-11.7433154294225,27.4686802428414,-20.0823527768844,KCL BlueCaps 2025,KCL BobCats 2025,,,,6fb314cc-d72f-4379-9b76-3276a0161e62,bd798ccc-5b78-4444-a6f2-8e13801824c1,83.2730442216259,5.14756682600238,2.99642702811591,-1.09547900903838,-5.51291565506573,74.6972394626688,1.90827390419848,-1.09862885167524,-6.09891287848723,-3.29012467452478,0.463461649701501,12.5338011161976,13.5192565314459,-32.7988295985656,79.3620529681545,1488.91240693907,-959.495533185396,84.057766621133,-0.580199274480755,-0.541691043923298,-0.608226614696605,63.0831821171369,67.9474401765645,15.2863519699148,1.50950988846467,3.11088976257215,2.14839140530308,109.784166336852,96.196756318494,-1.53928916497278,-24.4105645395609,-0.185058616461713,-0.131146599193341,0.199509195193714,-0.971080146307799,,,0.993106266960138,0,0.99631634465131,52.2300054871719,medium,high,18.5741523286609,-0.310385605356246,54.6670017493439,Nolan Hunter,,Kcl bluecaps 2025,2022-11
6,6/8/25,3:01:23 PM,3,3,Ethan Plym,,Right,Kcl bluecaps 2025,Cody Delfavero,,Left,Kcl bobcats 2025,Stretch,1,Top,0,1,1,Curveball,,BallCalled,,,,,,,71.1298551689163,4.22693164005799,-0.104705922883052,2062.60708254916,57.3061053772519,8:00,4.84436103594335,2.32042112316019,6.000000192,-61.3912969916191,-4.69831294597346,-13.360462662055,3.66405204201013,1.10973604743738,63.6569674276324,-7.41274336227069,-2.64840718373169,0.541921249710558,,,,,,,,,,,,7.19992428495518,-4.04921051324871,-2.3041927985135,49.9999999999999,5.15391103062083,0.530074233672624,-103.078915703417,6.04825404491104,7.5432793181753,21.323158479644,-36.4163616868858,KCL BlueCaps 2025,KCL BobCats 2025,,,,6fb314cc-d72f-4379-9b76-3276a0161e62,115d1979-717a-4dc6-831b-6358b5d427d1,71.2920875812634,4.82982693975817,2.31979880597686,4.39750541744075,-0.097637308703882,63.746364643161,3.67580487011328,1.11046475467329,-7.23591434989743,-2.6370924373051,0.54175274735031,-13.423084915348,-8.48455631971,-48.0723894310532,57.5427710070075,1378.21580382303,-1534.55829966619,66.8191152587192,0.360923883334752,-0.743989639446813,0.562328522159744,,,,,,,,,,,,,,,,,0.996873913657587,0,,,medium,high,38.2115060936931,-9.71687703311232,54.6670017493439,Nolan Hunter,,Kcl bluecaps 2025,2022-11
7,6/8/25,3:01:37 PM,3,4,Ethan Plym,,Right,Kcl bluecaps 2025,Cody Delfavero,,Left,Kcl bobcats 2025,Stretch,1,Top,0,2,1,Fastball,,BallCalled,,,,,,,83.2985376830441,-0.290390498238715,-2.31240529917928,1679.64136609917,230.881380275546,1:45,5.53679980707214,2.26255061983517,6.000000192,-27.0659077040035,13.9478915849032,13.8580811823139,3.01119802619042,1.26708828315822,74.6428108780467,-5.41938461893911,0.320669536590592,0.46093164280083,,,,,,,,,,,,-8.28898400482445,7.64621899950952,-2.08210901381529,49.9999999999999,5.49746955279498,4.46779787996729,-120.979940483582,-1.42906359250663,-12.0175824138186,28.3883131990669,-21.0883644251613,KCL BlueCaps 2025,KCL BobCats 2025,,,,6fb314cc-d72f-4379-9b76-3276a0161e62,f81582ca-5db7-42fb-a5d3-824469a4d2ce,83.5339054124044,5.53602425084395,2.26984162077062,-0.282524848316315,-2.39940885288116,74.8300283117818,3.0126656771941,1.2613612464811,-5.3962138597927,0.234060023947831,0.460734722893903,14.6738339051883,12.4120989989827,-21.4068775374724,71.5866772801005,1563.76628383294,-613.049857889883,93.1012009703392,-0.58740151750611,-0.364988544735379,-0.722317672110733,,,,,,,,,,,,,,,,,0.995555321231673,0,,,medium,high,25.5719904479094,-34.5436368029817,54.6670017493439,Nolan Hunter,,Kcl bluecaps 2025,2022-11
8,6/8/25,3:01:56 PM,3,5,Ethan Plym,,Right,Kcl bluecaps 2025,Cody Delfavero,,Left,Kcl bobcats 2025,Stretch,1,Top,0,3,1,Curveball,,StrikeCalled,,,,,,,72.2761211063517,3.62572546364403,-2.41927885929884,2010.46225582309,53.5573873468847,7:45,4.72196650135969,3.19511505318911,6.000000192,-59.7128424401384,-4.68168968316168,-12.6367952439807,3.123137746832,-0.107750951153702,64.7426086945587,-7.68165083768599,-4.81957893374584,0.533919555251445,,,,,,,,,,,,5.97371057832524,-3.85064578089521,-2.99066677337026,49.9999999999999,4.98360480291314,4.75158964101932,-104.707498376458,5.09203067465028,6.44428591062863,22.3395863198728,-36.3280275913424,KCL BlueCaps 2025,KCL BobCats 2025,,,,6fb314cc-d72f-4379-9b76-3276a0161e62,44a4ba28-b733-4f3c-bd71-506c53ece5e4,72.4406031508912,4.70798096619993,3.19480283846551,3.79051178680503,-2.41590167458246,64.8363360055611,3.13423521838786,-0.107261761265919,-7.5097723728965,-4.81168452390374,0.533752692254463,-12.6649103350466,-8.45294379236268,-48.6728104064156,57.0049804376738,1327.62503288363,-1509.75834296419,66.035809875978,0.392264165880093,-0.750950851522499,0.531226545613099,,,,,,,,,,,,,,,,,0.994396726883791,0,,,medium,high,38.6955176060935,-14.1281874573084,54.6670017493439,Nolan Hunter,,Kcl bluecaps 2025,2022-11
9,6/8/25,3:02:11 PM,3,6,Ethan Plym,,Right,Kcl bluecaps 2025,Cody Delfavero,,Left,Kcl bobcats 2025,Stretch,1,Top,0,3,2,Curveball,,BallCalled,Walk,,Walk,0,0,,70.1742020168658,3.83056978658756,-1.95864017811316,1935.90001560858,57.7846443740086,8:00,4.48385164945989,4.64135137570531,6.000000192,-62.6513626916192,-4.28180548125982,-14.1021365991289,2.83040984389764,1.64511606066685,62.8998928680585,-8.03170832787957,-4.63901719733615,0.549875945600192,,,,,,,,,,,,6.93452016705186,-3.70815012412729,-4.47363636914233,49.9999999999999,4.7604752528751,3.83204934390313,-101.669840732349,5.23359464126748,7.05289095329587,21.0651782876406,-35.9454970450733,KCL BlueCaps 2025,KCL BobCats 2025,,,,6fb314cc-d72f-4379-9b76-3276a0161e62,9a70054f-9800-4fab-8aaa-fac94d8ac16b,70.3307624516975,4.4695253554172,4.64024291832766,4.00083926937816,-1.94560382044367,62.9842004040806,2.84128677991951,1.64612728369412,-7.8552987411981,-4.62225196751139,0.549713505006029,-14.2222602337808,-8.24381748767154,-44.9255838006934,54.9443046488468,1370.66478635233,-1367.10896196572,70.8024575288537,0.377450054877737,-0.706187794278184,0.599024419606835,,,,,,,,,,,,,,,,,0.994121664715532,0,,,medium,high,40.5501258160377,-6.44658384242405,54.6670017493439,Nolan Hunter,,Kcl bluecaps 2025,2022-11
10,6/8/25,3:02:40 PM,4,1,Ethan Plym,,Right,Kcl bluecaps 2025,Kyler Lapp,,Right,Kcl bobcats 2025,Stretch,1,Top,0,0,0,Curveball,,StrikeCalled,,,,,,,70.6983861860163,2.85103336417139,-0.149038810050126,1966.94417023268,59.1621367361975,8:00,4.89373912178451,1.9858938891546,6.000000192,-60.8261167301108,-3.58091258804007,-12.9456148926836,2.47682627201897,0.768576553678705,63.5254633238724,-8.66336983519513,-2.61445277623035,0.544554155701481,,,,,,,,,,,,6.96015707876807,-2.9581796617614,-1.96629689866655,49.9999999999999,5.09112367552414,0.596306079702198,-102.601970306062,3.56191366684986,7.22076880827522,21.210947146862,-35.2429934602813,KCL BlueCaps 2025,KCL BobCats 2025,,,,6fb314cc-d72f-4379-9b76-3276a0161e62,524142bb-4eff-4abe-a843-57f5e7342e90,70.8578910997487,4.87996584883752,1.98568232869597,3.014349687603,-0.146835418230329,63.6158881865645,2.48833163151705,0.769017117247614,-8.49175580648824,-2.60752673978412,0.54438001398283,-12.9623633883484,-7.34896574403412,-51.5063250394141,81.8291342086379,1224.28158284608,-1539.48172276134,62.242823226714,0.319063176956653,-0.782676878205049,0.534430157675935,,,,,,,,,,,,,,,,,0.996777126558949,0,,,medium,high,16.3537792122257,-19.6186435594103,54.6670017493439,Nolan Hunter,,Kcl bluecaps 2025,2022-11
