PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,6/8/25,5:32:43 PM,1,1,Logan Lynch,,Left,Kcl merchants 2025,Sammy Descarpentrie,,Right,Kcl groundsloths 2025,Stretch,1,Top,2,0,0,Fastball,,InPlay,,LineDrive,Single,0,0,,87.2445000951727,0.159602013320325,-0.179279361227385,2406.03764483361,148.918112003238,11:00,4.94054849695428,0.185615100116601,6.000000192,-27.1693935984617,10.2181258492984,-4.20279701549473,2.82476646003871,-0.331239650237529,78.0650312220225,-4.99642278908817,-0.978841669881701,0.44008325932727,68.8095427892724,17.3471989881527,-8.26077944508463,825.196370872815,-12.739183009745,109.259842647575,17.7531675967954,177.837986086725,,-5.70281614321201,2.2506757587604,2.21282262678999,5.47586138737289,-0.168584359257823,50,4.93785561299345,0.529271090508264,-126.799110830712,-0.503434465146642,3.51781341493523,31.6163167461203,-23.4688517930933,KCL Merchants 2025,KCL GroundSloths 2025,,,,06c69396-5582-4f92-b0db-9567bae2f35c,2bec6b54-4eab-44bf-9c29-fe78ae5b6533,87.4966588784478,4.93893437702522,0.1808231602433,0.177985680595109,-0.120586062278751,78.2715276485302,2.82686486666702,-0.327648620802129,-4.96212709095554,-0.921802435650167,0.439892148413111,-4.75679606417419,8.64129225577764,64.3832373256771,91.4595446783055,1040.24932872347,2169.53877182382,43.2349564836261,-0.370277278446767,0.901706079488153,0.223205921247981,-9.43679193467173,64.9983066209395,20.5163416149358,0.143169019548967,2.06990763711729,2.99577077620806,-17.6715219426336,176.957810247565,4.12368738493471,25.0083055389858,0.374245519811952,0.859385552032758,0.128464818524294,-0.494927533441888,,,0.995945005424069,0,0.996823359488672,34.4948494974196,medium,high,7.68640978952499,-83.6243134170089,54.6670017493439,Gavin Kleist,,Kcl merchants 2025,2022-11
2,6/8/25,5:33:18 PM,2,1,Logan Lynch,,Left,Kcl merchants 2025,Ty Cribbett,,Left,Kcl groundsloths 2025,Stretch,1,Top,2,0,0,Curveball,,BallCalled,,,,,,,78.7759144688888,-0.370929603663676,1.88838495599473,2440.07404844793,306.387830881814,4:15,5.40769459810235,-0.276968148473324,6.000000192,-46.7871345018997,-0.730247383564822,7.71531579149321,1.16383475481775,2.12166365896373,70.9629405746843,-9.19366574312516,3.3558571518384,0.488448537121109,,,,,,,,,,,,-3.50439589029643,-0.262890449600898,0.118651688717738,50,5.3505194538705,-3.99066791035824,-114.39988745871,-2.06817517852055,-4.51847220338408,26.424582626951,-32.5130133407361,KCL Merchants 2025,KCL GroundSloths 2025,,,,06c69396-5582-4f92-b0db-9567bae2f35c,aee3b612-f65d-4e5c-af6a-356eeaba049f,78.969524232263,5.39792886709065,-0.279074163928218,-0.254360261280315,1.91419764398802,71.0982881426188,1.17232660230212,2.12298936081509,-9.0656550837784,3.37573280897627,0.488266293385449,7.46829738179171,-3.65632019883379,72.0440901869322,50.5999509287758,752.238316476805,2321.22788134496,30.8285036249323,0.182889456792556,0.951294032581279,-0.248175563199462,,,,,,,,,,,,,,,,,0.992612094960934,0,,,medium,high,44.4600441641017,-79.6035781118087,54.6670017493439,Gavin Kleist,,Kcl merchants 2025,2022-11
3,6/8/25,5:33:34 PM,2,2,Logan Lynch,,Left,Kcl merchants 2025,Ty Cribbett,,Left,Kcl groundsloths 2025,Stretch,1,Top,2,1,0,Fastball,,StrikeSwinging,,,,,,,86.5825986245025,1.36298177317887,0.963586631503268,2310.52977363425,114.801661142677,9:45,3.93783863957003,-0.734882862505614,6.000000192,-31.6017063629308,6.40541477573563,-8.63043923636246,2.57152781135354,-0.558450408086149,77.3634219284079,-4.64012030489692,-0.678730147548265,0.443714897294048,,,,,,,,,,,,5.00797521723543,2.99279045015454,0.661370245793782,49.9999999999999,4.03064923364185,-1.8457165466783,-125.781290903514,2.00506829806038,7.83079495555849,31.2078843301899,-27.494328272792,KCL Merchants 2025,KCL GroundSloths 2025,,,,06c69396-5582-4f92-b0db-9567bae2f35c,a950ef4b-ec43-474e-ac34-8b097cbd9165,86.8273844198671,3.93475134579547,-0.742296817973924,1.39836770713303,1.05260643565007,77.5550708459053,2.57471342393779,-0.553005263426972,-4.58898750512682,-0.593007030312195,0.443527968706513,-9.46925091464748,4.63930694268493,62.9891315762881,82.8387134901989,1049.34904125245,2058.49809921527,45.4159497629813,-0.190510099831059,0.890920395272571,0.412270240436687,,,,,,,,,,,,,,,,,0.99257531062288,0,,,medium,high,15.4451578588209,-53.7543074838104,54.6670017493439,Gavin Kleist,,Kcl merchants 2025,2022-11
4,6/8/25,5:33:47 PM,2,3,Logan Lynch,,Left,Kcl merchants 2025,Ty Cribbett,,Left,Kcl groundsloths 2025,Stretch,1,Top,2,1,1,Fastball,,StrikeCalled,,,,,,,87.540160714498,0.498453388942867,0.0623458521844119,2442.60561981565,146.965107061356,11:00,5.03891569460815,0.722824321445918,6.000000192,-24.7870502040302,12.3495577230608,-6.2075673896965,3.43659946072942,0.263470876165282,78.2463853699874,-4.20924782126987,-1.11859447926861,0.43860405117119,,,,,,,,,,,,3.38188183275177,6.51201859557393,-0.724317039989082,49.9999999999999,5.06520045597422,0.057946992559881,-127.225299611657,0.322667684690145,5.41267818410822,31.8220993591808,-21.7516094387965,KCL Merchants 2025,KCL GroundSloths 2025,,,,06c69396-5582-4f92-b0db-9567bae2f35c,09550b6e-dbc5-4be3-bcdf-a1c398fb70ea,87.8001855305295,5.03848122543631,0.717289319558565,0.502153714525993,0.127929963536869,78.4556750279667,3.43779376068623,0.267569289737363,-4.18976075561272,-1.05554988027878,0.438404192557074,-6.82340996772372,10.9161829936614,56.5572762481329,84.6476027195386,1346.12753094867,2038.20089401831,55.110310073317,-0.462011073065201,0.834437159025342,0.300433679874371,,,,,,,,,,,,,,,,,0.997204089050187,0,,,medium,high,13.8171575524152,-86.5361307698722,54.6670017493439,Gavin Kleist,,Kcl merchants 2025,2022-11
5,6/8/25,5:34:02 PM,2,4,Logan Lynch,,Left,Kcl merchants 2025,Ty Cribbett,,Left,Kcl groundsloths 2025,Stretch,1,Top,2,1,2,Curveball,,BallCalled,,,,,,,79.1929869882748,0.467107572862544,-0.329221071805276,2327.15731201836,305.526699361061,4:15,5.35285939500567,-0.500917367870525,6.000000192,-48.572567068693,-3.07551958353832,9.61699270744033,1.73928887531005,-0.00548061705364867,71.232562883702,-8.71713717225236,1.50288346701121,0.485470818282699,,,,,,,,,,,,-5.32656982587745,-1.83210294201421,0.522192571989793,49.9999999999999,5.36291970673679,0.386654001601085,-115.070265195582,-0.448496315413339,-6.95365352812367,26.5965786020711,-34.5657969023931,KCL Merchants 2025,KCL GroundSloths 2025,,,,06c69396-5582-4f92-b0db-9567bae2f35c,24947005-ffa3-4c19-bc99-4d06826d8390,79.3801446108758,5.34167809005516,-0.501908130622344,0.598870308955867,-0.316986079750637,71.3567182421553,1.74859450018895,-0.00502311558082464,-8.57778644553893,1.50948123383807,0.485297035789715,9.49791405367815,-6.08730138068949,64.2871717523319,46.7283947660777,1009.66235975631,2096.72198304206,43.3860811446659,0.252108822476542,0.900979908927411,-0.353095377113103,,,,,,,,,,,,,,,,,0.996814675358365,0,,,medium,high,47.94444471053,-70.5501598183304,54.6670017493439,Gavin Kleist,,Kcl merchants 2025,2022-11
6,6/8/25,5:34:17 PM,2,5,Logan Lynch,,Left,Kcl merchants 2025,Ty Cribbett,,Left,Kcl groundsloths 2025,Stretch,1,Top,2,2,2,Fastball,,Foul,,,,,,,87.9034987047622,0.270279820137808,1.40212625587504,2479.18456809045,149.999258320571,11:00,5.4014794195229,-1.26103580498093,6.000000192,-24.4561926814381,12.3750193292357,-5.11216054486234,3.61473671314829,-0.383661738589424,78.5970143100891,-4.37280849948976,0.430015710162626,0.436796880098646,,,,,,,,,,,,3.25117076818741,6.60447349966844,1.14975776147658,50,5.40936845501701,-2.96380022521366,-127.72356676484,-0.174405070505022,5.24736159077758,31.9330921484979,-21.5144862961916,KCL Merchants 2025,KCL GroundSloths 2025,,,,06c69396-5582-4f92-b0db-9567bae2f35c,7311c964-f3ad-4c7e-acec-14f9d0dd9d20,88.1646657266909,5.40099871622862,-1.26604087879435,0.274496628688018,1.46177349555016,78.8082021160023,3.61596652794457,-0.379867730800754,-4.35302536095801,0.487273348866317,0.436598165713657,-5.6722164871981,10.9695071282838,59.430582038804,79.7028914825685,1260.86841779634,2134.61166390085,50.8581907948672,-0.440441560419484,0.861013613659672,0.254296655400658,,,,,,,,,,,,,,,,,0.997361781411115,0,,,medium,high,18.2673976656883,-57.5415968831416,54.6670017493439,Gavin Kleist,,Kcl merchants 2025,2022-11
7,6/8/25,5:34:38 PM,2,6,Logan Lynch,,Left,Kcl merchants 2025,Ty Cribbett,,Left,Kcl groundsloths 2025,Stretch,1,Top,2,2,2,Fastball,,HitByPitch,,,,,,,86.021485997918,2.17120926546916,1.72860546964254,2295.36007595263,116.297266571324,10:00,4.47789909094908,-3.31906892739292,6.000000192,-31.959333462211,6.59435478444459,-8.0345592020882,3.83441495036026,-2.38157295655179,76.7439141662096,-3.90204090409129,0.200282008674116,0.446893963159831,,,,,,,,,,,,4.95048314202255,2.81437090554921,3.18286360391682,49.9999999999999,4.63646179039123,-3.51914464144003,-124.874681091253,3.74427078061182,7.63161904226774,30.7025162532743,-27.8354414181477,KCL Merchants 2025,KCL GroundSloths 2025,,,,06c69396-5582-4f92-b0db-9567bae2f35c,5bed508e-4080-41c8-9a15-f96f70d44b45,86.271703933126,4.47470206702505,-3.32647281434776,2.20733837448522,1.81647138862801,76.9377133452524,3.83776482925977,-2.37606958441835,-3.85000752326328,0.283733938062293,0.446698892910166,-8.86055507390751,4.80675902912817,65.3702964563724,49.9373322328438,956.596125964174,2086.5286314996,41.6752097409885,-0.184633023808041,0.909020180911547,0.37362140893562,,,,,,,,,,,,,,,,,0.997188455662107,0,,,medium,high,45.0564009904405,49.9531636200321,54.6670017493439,Gavin Kleist,,Kcl merchants 2025,2022-11
8,6/8/25,5:35:09 PM,3,1,Logan Lynch,,Left,Kcl merchants 2025,Cameron Steinbaugh,,Right,Kcl groundsloths 2025,Stretch,1,Top,2,0,0,Fastball,,StrikeCalled,,,,,,,86.6791386864207,-0.297328441579207,-0.269738613315628,2227.56323830063,143.628899902395,10:45,5.14533654559746,-0.659763681823633,6.000000192,-27.3715671463339,10.4988668944222,-5.41923522561624,2.5880317853432,-1.36206185311691,77.6439751425916,-5.48642863543417,-1.30050733561419,0.442916300506256,,,,,,,,,,,,2.83992137702434,5.78593206272441,0.684866060810944,50,5.10530430759168,0.762874245609818,-125.977339785,-1.51133496623687,4.45740973232218,31.1556455739089,-23.0927172309593,KCL Merchants 2025,KCL GroundSloths 2025,,,,06c69396-5582-4f92-b0db-9567bae2f35c,680e1d4e-7540-4018-bf8f-ec2d5512658a,86.933425116948,5.14370941483337,-0.665247122228535,-0.279617351204487,-0.204936755235376,77.8446696329681,2.59012647485423,-1.35805471942979,-5.45356282633701,-1.23930993087244,0.442716446422046,-6.02807802711208,8.91589763157633,60.63315926412,71.470090576066,1092.39580548421,1941.31640512022,49.0399458341563,-0.394866218181191,0.87149777467203,0.290813167654049,,,,,,,,,,,,,,,,,0.996248207880713,0,,,medium,high,25.6769184815405,75.6303398715133,54.6670017493439,Gavin Kleist,,Kcl merchants 2025,2022-11
9,6/8/25,5:35:20 PM,3,2,Logan Lynch,,Left,Kcl merchants 2025,Cameron Steinbaugh,,Right,Kcl groundsloths 2025,Stretch,1,Top,2,0,1,Fastball,,BallCalled,,,,,,,86.4447801781638,-1.37287213374921,3.05517802787633,2519.33802071215,125.707259077342,10:15,4.29263233660851,-3.27527655003805,6.000000192,-32.0464025332662,6.16117760525133,-2.34589606183429,0.34409927828665,-0.628610522868105,77.6538914448237,-7.42251727211629,2.60995221261889,0.444883489763884,,,,,,,,,,,,2.33008924551918,3.81180109061551,3.02753744150957,50,4.1621126733176,-6.62117326481112,-125.424481058158,-4.00973865556357,3.62485179423,30.9030952462303,-26.2441419444208,KCL Merchants 2025,KCL GroundSloths 2025,,,,06c69396-5582-4f92-b0db-9567bae2f35c,becfe887-cd74-4efc-bc5c-a8396735f58e,86.6875003129786,4.28860593812684,-3.28036233647996,-1.32666823875118,3.11553369050915,77.8422886246221,0.34802101808516,-0.624920704182702,-7.36245086293942,2.66563501956409,0.444693896551008,-2.91567459628587,4.31451859204668,77.5906091792607,47.9760738655028,541.394125870306,2460.47890929366,21.4895389748958,-0.125422424932902,0.976637072542632,0.174497117051563,,,,,,,,,,,,,,,,,0.996783028527833,0,,,medium,high,46.8215335210474,35.9102575553644,54.6670017493439,Gavin Kleist,,Kcl merchants 2025,2022-11
10,6/8/25,5:35:32 PM,3,3,Logan Lynch,,Left,Kcl merchants 2025,Cameron Steinbaugh,,Right,Kcl groundsloths 2025,Stretch,1,Top,2,1,1,Fastball,,BallCalled,,,,,,,86.665069120572,0.514044066953066,0.221342230473704,2387.64552609768,143.907075152459,10:45,5.29062658187244,-0.713971667899069,6.000000192,-25.3710852515326,12.519073676026,-7.10921473655351,3.6541350579093,-1.10069116728288,77.47532487412,-4.30414669360493,-1.13112597055112,0.443031632384615,,,,,,,,,,,,3.92508936003248,6.59836446479254,0.700048787079145,49.9999999999999,5.31784398650083,-0.263910336357377,-125.952555173329,0.335414158683904,6.1571814457605,31.1823814736104,-21.8233738361236,KCL Merchants 2025,KCL GroundSloths 2025,,,,06c69396-5582-4f92-b0db-9567bae2f35c,8eb995f8-9641-403c-84e7-f2bb67268bd5,86.9216207748584,5.29019176777,-0.719866202899006,0.51766817084009,0.291581864293172,77.6823396746945,3.65535778942046,-1.09623613114892,-4.28433921925304,-1.06310120908611,0.442830208016518,-7.76839889868744,11.0601282438514,54.5431968383631,62.3366518910925,1385.04690575988,1944.86406392304,58.0089000071789,-0.468748245628678,0.814553099555647,0.341728445149543,,,,,,,,,,,,,,,,,0.996855010528959,0,,,medium,high,33.8970132980167,46.4868781321143,54.6670017493439,Gavin Kleist,,Kcl merchants 2025,2022-11
