PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,06/14/2025,7:18:33 PM,1,1,Nolan Vanduzer,,Right,Kcl merchants 2025,Nolan Galla,,Right,Kcl bobcats 2025,Windup,1,Top,0,0,0,Fastball,,StrikeSwinging,,,,,,,81.78125203853020,-1.335119784080910,-2.6845238216940200,1924.117535852070,194.27656847674600,12:30,5.945341401651970,1.9915520940056600,6.0000001920000000,-26.145561450993000,16.432041915713400,2.4025527752673100,2.524104481484020,-0.3050419494028470,73.4435517304186,-6.275750280676000,-2.2287649017256000,0.4696368088825630,,,,,,,,,,,,-2.2141167383191600,9.344942643964770,-1.7741156584639200,50.00000000000000,5.821319871486740,5.495303549762880,-118.71577171001000,-3.543109936255970,-3.092544568839890,27.235901820605800,-19.121597960683900,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,2dd8d310-7b42-4ed3-87a1-beac9599973f,82.02658760441510,5.945085490319740,1.9947830909985900,-1.3335620157881000,-2.7233711794684200,73.64535343511330,2.525252256161010,-0.30751605693609600,-6.257033670469790,-2.266238848129720,0.46942213985112100,2.7683117415912500,14.905307501437600,-49.236766212464200,70.58414752547560,1256.3231183560300,-1457.3539426157300,65.29347064027930,-0.6327699034368000,-0.7574141992164520,-0.16101546549907400,,,,,,,,,,,,,,,,,0.9760206643517890,0,,,medium,high,26.474267227071900,-45.154286108911900,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
2,06/14/2025,7:18:45 PM,1,2,Nolan Vanduzer,,Right,Kcl merchants 2025,Nolan Galla,,Right,Kcl bobcats 2025,Windup,1,Top,0,0,1,Fastball,,StrikeSwinging,,,,,,,82.46677297273990,-1.5855405425142700,-4.334893232021240,2057.562090274430,197.35444799042000,12:30,5.746540500404490,2.8478894167699500,6.0000001920000000,-24.46208373967620,17.543484770540600,3.4160953299751600,2.2298371037560900,-0.9039631500756950,74.05316931810330,-6.200688396698370,-3.689068696723230,0.4664713292974490,,,,,,,,,,,,-3.317620703664780,10.027997972012100,-2.496095392220810,50.00000000000000,5.602823211260730,8.95606052846021,-119.49156205371300,-4.045558374872570,-4.6977077369078000,27.454889931639100,-17.97453497398330,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,c39e8630-6fdc-428b-bc01-faf5a92a921f,82.71549024631350,5.746995534675470,2.851438544942750,-1.592434727579460,-4.377016689279120,74.25567231712380,2.230388880078190,-0.9065925523758730,-6.190710285096040,-3.729504864917610,0.4662608576250410,3.8144701134319400,16.148038415856200,-47.23214469569400,62.16488193629020,1397.1454538755200,-1510.4788432975300,67.90295468989590,-0.6481186104571280,-0.7341109415055700,-0.20254232234505400,,,,,,,,,,,,,,,,,0.9970186922115090,0,,,medium,high,34.05160625733880,-39.18752068645350,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
3,06/14/2025,7:18:56 PM,1,3,Nolan Vanduzer,,Right,Kcl merchants 2025,Nolan Galla,,Right,Kcl bobcats 2025,Windup,1,Top,0,0,2,Fastball,,InPlay,,GroundBall,Out,1,0,,83.32126927940840,-1.7642190870893300,-4.1626179261926300,2001.7602584761200,196.82738966333900,12:30,5.831395134271190,2.2558364544923600,6.0000001920000000,-23.46183804147290,17.672293168761700,3.378703240666380,2.2317312784114600,-1.3381367370816700,74.82190529076130,-6.190671307661650,-3.52363340561097,0.4616073198675080,66.81713557801590,-13.81990465823050,-16.26040779927220,2535.33446613606,28.863977032396900,-106.1455170785770,1.7924462970670100,10.738257119118600,,-6.389392764413120,0.08479961930194640,-3.2376004256496100,10.157535757898500,-1.9181309946011400,50.00000000000010,5.6736797465682400,8.68617037358602,-120.74641349480700,-4.435113792782530,-4.681627299463560,28.014672190368600,-17.486073786789500,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,dc945985-0697-4279-b606-8f1b22f33393,83.57199358780060,5.832029143204050,2.259221838722490,-1.7731268477251300,-4.202565336085210,75.02650156638140,2.2321345408745000,-1.3407072118170800,-6.183163954687920,-3.5620790892305000,0.4613958699573630,3.75513802184034,16.329336757146800,-45.45265118714670,65.15597692248160,1404.231708157110,-1426.5964538791400,70.14984447868470,-0.6714611368225130,-0.7126709843691100,-0.2030763643937480,-18.1674243838568,62.28749080105810,-15.960663764890900,1.1536041036523600,3.011839665583100,2.269842505205530,-1.1950064373442000,10.67155684851130,0.030576325091914100,-0.18076321587748000,-0.0028402282301706700,-0.9027963608326210,-0.17351885586359000,0.3935097680200170,,,0.9975619316521980,0,0.9954623234208100,33.141486331872800,medium,high,31.359620769766600,-42.83352103236140,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
4,06/14/2025,7:19:26 PM,2,1,Nolan Vanduzer,,Right,Kcl merchants 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,1,0,0,Fastball,,StrikeCalled,,,,,,,82.72259999505290,-1.7732387369509500,-4.727034417019920,2046.3605225537000,199.23589327317100,12:45,5.676362413263360,3.953344333623200,6.0000001920000000,-23.0019382750845,18.77413405180490,4.49427685372559,2.105344342005860,-0.07540347662310130,74.28328124404330,-6.111162913783690,-3.8782751476675100,0.46519530786658300,,,,,,,,,,,,-4.025303339545050,10.75295428585000,-3.570033555559780,50.000000000000000,5.5180591438682800,9.771250917688930,-119.79082042212800,-4.40834688130228,-5.73196319649735,27.460070097435000,-16.862026361664100,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,69d16ff2-163e-4eaa-9964-b4f387eabe45,82.97165291768860,5.677453829658490,3.957051405796680,-1.7875789511752600,-4.770835655811340,74.48707523121140,2.1053972089375200,-0.0781984967223006,-6.108754741807350,-3.920819529531430,0.4649851682233550,4.908126253372940,17.483251607932700,-41.30164287672130,74.59932385552460,1537.3185288475400,-1350.6454490828700,75.12452043050010,-0.7093033081474050,-0.6600232139923090,-0.2475038869238440,,,,,,,,,,,,,,,,,0.9890690417779800,0,,,medium,high,22.860608530027800,-6.0919695349579500,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
5,06/14/2025,7:19:35 PM,2,2,Nolan Vanduzer,,Right,Kcl merchants 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,1,0,1,Fastball,,StrikeSwinging,,,,,,,81.64422760581060,-1.286757972135040,-3.8167432025693700,2000.0330247987900,194.24425762765900,12:30,5.6293236328468300,2.6294561606355900,6.0000001920000000,-29.74781199145210,13.10118296346040,1.1090463250429200,1.951574566336930,-0.8306366360282920,73.3598485389951,-6.898572135482570,-3.606761440346990,0.47113117460939600,,,,,,,,,,,,-1.910984024110660,7.531796911566410,-2.318745741163330,50.00000000000010,5.507057902168870,7.86479614703458,-118.37911941443000,-3.5415819411858900,-2.6516686314049300,27.264644484261500,-21.72297864216640,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,560f22a7-9d92-4bb7-ab8e-cf7d78c38d4e,81.88583862800290,5.6274713750542,2.6328988580549,-1.2658597739357700,-3.858277503647510,73.5560311371887,1.9540379990251400,-0.83326046814473,-6.860397910527760,-3.6460194057959900,0.47091921694095200,1.501552783317850,11.358524643893500,-63.04445259097710,75.10121652555180,906.6131146275610,-1782.7464095241200,45.3299072258453,-0.43936265299014800,-0.8913584862947260,-0.11153702554682500,,,,,,,,,,,,,,,,,0.9932979086981410,0,,,medium,high,22.408905127003400,-61.12724865136000,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
6,06/14/2025,7:19:47 PM,2,3,Nolan Vanduzer,,Right,Kcl merchants 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,1,0,2,Fastball,,BallCalled,,,,,,,84.02416027505090,-2.763176414183710,-3.118500129906010,2045.4715113251300,198.86371006128600,12:45,5.661377016510800,2.730197637266160,6.0000001920000000,-22.870062876319700,17.517448419699400,3.7433346305385500,1.1816553530715900,0.14096251226945400,75.59336743121420,-7.0704039302989700,-2.4092450692920800,0.45739885033824500,,,,,,,,,,,,-3.07413551886906,10.405192438241000,-2.4780993048090700,50.00000000000000,5.422544569779860,6.5236670479973300,-121.82759742589900,-6.583454919784270,-4.528140781625430,28.377762119692700,-16.84740704501230,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,b31a13fa-2e45-4c4c-ae7f-7b527d3a996b,84.2705196701277,5.662026911275130,2.7336453421285800,-2.772299046740870,-3.1597749071160900,75.79612417709900,1.1820001640915000,0.1383102613271180,-7.0637993934457600,-2.4493525085628300,0.4571955873385220,4.131845920114480,16.2301809769905,-44.517893692557900,62.309628043774900,1458.485646179630,-1434.1455029147900,71.30315128343030,-0.6747348266549320,-0.7011319859379010,-0.23053601018867700,,,,,,,,,,,,,,,,,0.9955433010540560,0,,,medium,high,33.921334760602600,-53.40024184660770,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
7,06/14/2025,7:19:58 PM,2,4,Nolan Vanduzer,,Right,Kcl merchants 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,1,1,2,Slider,,BallCalled,,,,,,,75.27657026073800,-1.3391605956923000,-2.7128599878013900,2046.6890237745700,54.68577697947980,7:45,5.3090378984226800,2.794948815116020,6.0000001920000000,-49.69184415548680,0.8418007245133690,-6.87413725823023,-0.07818007707970740,-0.30109673639631400,68.09361568252140,-10.662553908095300,-4.018743790228930,0.5116368712330510,,,,,,,,,,,,2.7514804671886300,0.93673168080374,-2.5698508071498700,49.99999999999990,5.171203647493030,5.361646582904190,-109.22550315768500,-3.9017465101549400,3.233198071017640,24.13204540261410,-31.073318870462600,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,2c849563-bce5-4ac6-bad8-dc5919500e2f,75.46325421743320,5.299024768473710,2.7977445574725500,-1.222357056959060,-2.7462916644797100,68.22078985169310,-0.06956780700007360,-0.3029093669952330,-10.534588457052100,-4.045838099649880,0.5114410796762440,-6.555735969747790,-2.271506405993250,-75.49141354429790,37.820570957538200,512.7469279101460,-1981.4203360110100,25.052507828694100,0.14481857770604700,-0.9681101100336280,0.20442699039479900,,,,,,,,,,,,,,,,,0.9952155132935610,0,,,medium,high,55.96148613821570,0.558327433955694,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
8,06/14/2025,7:20:09 PM,2,5,Nolan Vanduzer,,Right,Kcl merchants 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,1,2,2,Fastball,,BallCalled,,,,,,,82.70794674211060,-3.09584090131903,-4.049005700319480,2033.6507475324800,197.5564502715110,12:30,5.637262379268040,2.3723812333003700,6.0000001920000000,-24.187617900607100,17.593601306493200,3.13038326311162,0.7343626083510740,-1.1361506872364900,74.4987095359289,-7.639881683198830,-3.457142528804360,0.46522396339413700,,,,,,,,,,,,-3.052903457088400,10.556188232949700,-2.0438353337116000,50.0,5.370197320035330,8.384151836936130,-119.76423161753100,-7.216305150026060,-4.347193992419500,27.35853142569320,-17.142523462047700,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,6acb5023-5820-4a75-9390-906d35829704,82.95211938081740,5.637610796205340,2.375738813995050,-3.1013630995840300,-4.0889197421360300,74.69729242961810,0.7349729187292370,-1.1386789612030400,-7.629222727538950,-3.4953204100656100,0.46501675717158200,3.5071559365070900,16.241042613400100,-46.5275955881241,59.691753649307800,1399.1621382346400,-1475.8321970570000,68.80051257239260,-0.6559579980489760,-0.7257058267491070,-0.20753351010855000,,,,,,,,,,,,,,,,,0.9967075420868280,0,,,medium,high,36.277421715623000,-47.15753296899080,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
9,06/14/2025,7:20:20 PM,2,6,Nolan Vanduzer,,Right,Kcl merchants 2025,Nick Guidici,,Left,Kcl bobcats 2025,Windup,1,Top,1,3,2,Fastball,,StrikeCalled,Strikeout,,StrikeoutLooking,1,0,,82.54936001954320,-1.021011687458820,-5.0141548136247600,2027.3967309821000,198.08791451313600,12:30,5.701009102539650,4.840363987120560,6.0000001920000000,-23.85868387889810,18.132989526859200,4.000106521494890,2.760117353959630,0.5016491958666510,74.01954639785160,-5.525757767765080,-4.259093536980660,0.4663941704327150,,,,,,,,,,,,-3.8680169214403400,10.156614146662300,-4.433208200750230,50.000000000000000,5.6037022131258500,10.367298497395500,-119.5204932602690,-2.848899351275950,-5.478604684741180,27.51066869264270,-17.78836436922170,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,2a91dc35-a671-447a-888e-ed0a83fef78a,82.79904452375650,5.701792505529080,4.843945756162860,-1.0319061968745800,-5.057060999390340,74.22425513676410,2.760395670052730,0.49906809594004100,-5.519724762409970,-4.300772944768710,0.46618918813856700,4.408388298703060,16.769657457766500,-44.76085139133030,56.90366314748650,1439.5571499477100,-1427.5898279377500,71.00520228472340,-0.6749621337194450,-0.7041492205850630,-0.22045406141494100,,,,,,,,,,,,,,,,,0.9978401866544340,0,,,medium,high,38.78670316726220,-55.44276552287590,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
10,06/14/2025,7:20:46 PM,3,1,Nolan Vanduzer,,Right,Kcl merchants 2025,Kyler Lapp,,Right,Kcl bobcats 2025,Windup,1,Top,2,0,0,Fastball,,StrikeCalled,,,,,,,82.7231518812947,-2.0903647623262900,-4.098318532417720,2035.1411350781200,200.29763248094600,12:45,5.607868961680430,3.2054226320687400,6.0000001920000000,-23.452937776341500,18.265278337267500,4.561210130984560,1.7048403052892700,-0.22993720795322400,74.34267021921840,-6.512213228772520,-3.2356118329069300,0.4648730688138830,,,,,,,,,,,,-3.84789649124262,10.583865227773600,-2.8736680155837,50.00000000000000,5.423499363331640,8.452587329659990,-119.87119439313100,-5.087600323743470,-5.487015952666080,27.484540090659000,-17.081690038951100,KCL Merchants 2025,KCL BobCats 2025,,,,f15ee0e1-420a-4465-8fae-aee41f015f95,928d94b3-3d3a-4351-aaa7-bec83e1b6123,82.96774843743430,5.60869959599727,3.2091239924455100,-2.1017040082954500,-4.143024383020990,74.54610817872610,1.705077275844870,-0.23283479130449900,-6.507051480702410,-3.2797566253602100,0.46466702797228000,4.983202655357960,16.952316465038700,-42.26346056705640,56.71827486989830,1506.1268387753400,-1368.7152315977400,74.00601426679580,-0.6941048274646410,-0.6725406941102390,-0.25672456691169900,,,,,,,,,,,,,,,,,0.9965386293750040,0,,,medium,high,38.953552617091500,-57.76328397403260,54.667001749344000,Jake Parpet,,Kcl merchants 2025,2022-11
