PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,06/14/2025,5:03:29 PM,1,1,Devan Tupper,,Right,Kcl groundsloths 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,86.4344839222726,0.40899050987757200,-3.3887802111970600,1418.0002656568900,232.78498818003900,1:45,5.84978755794026,3.1554939381807900,6.0000001920000000,-25.96931364303160,12.192515317936300,12.701903670132700,4.066463459521110,1.060797414912820,77.28836034892590,-4.516691995614320,-0.9781676160158120,0.4446170499599450,,,,,,,,,,,,-8.031421343065360,6.457059140946670,-2.886488279483310,50.0,5.868137028439850,7.029726408805830,-125.41606352555500,0.08573982487063910,-12.514567357814900,30.493494654799600,-22.112654709420200,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,0b182ece-1b32-4635-9fd6-678f330b9610,86.67919029202150,5.848641196200920,3.1620313584858400,0.42146507078276100,-3.467111954874110,77.48464881513690,4.068133981930860,1.0556797285397000,-4.4899608614225200,-1.056895489926370,0.44442988389814200,13.438789390078900,10.71879654775870,-23.72550707269040,65.45912837731560,1298.1559327603900,-570.5400315858780,91.54835610408130,-0.5536915888536730,-0.4023553770785620,-0.7290650005100120,,,,,,,,,,,,,,,,,0.9971977244584340,0,,,medium,high,31.086784460416000,55.913173504809900,54.667001749344000,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
2,06/14/2025,5:03:41 PM,1,2,Devan Tupper,,Right,Kcl groundsloths 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,1,Top,0,1,0,Fastball,,Foul,,,,,,,88.32157376118320,-1.97724069476218,-6.199419986665370,1793.7653909114200,233.88162702718600,1:45,5.9727864959184,4.661721987741100,6.0000001920000000,-23.567884278086100,13.214292667833200,13.61574264954180,2.1596173301864700,0.01207509223316930,79.25598272388810,-6.422092496327160,-3.634991322889830,0.43650601949849400,,,,,,,,,,,,-9.425696138641200,7.804065342115360,-4.162669902476060,50.00000000000000,5.79704735730324,13.425002782993800,-127.58410344738700,-5.181310532418800,-15.250458929181900,30.752884158357100,-19.547334674973800,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,041ceee7-60c0-4ca6-955a-77dbdbb39786,88.56346768950770,5.972525739454620,4.668875704791230,-1.9749265298284500,-6.284907618078660,79.44996799411680,2.160546155861180,0.0064596983283006600,-6.406530980573670,-3.720080503725380,0.4363336630584040,14.427340005761600,12.02336810683410,-28.19000040824660,67.22276310477660,1580.99953935288,-847.3693021331290,88.1385908861563,-0.5195377048430350,-0.47239695136640800,-0.7119843352112140,,,,,,,,,,,,,,,,,0.9447033403979630,0,,,medium,high,29.49951320570110,65.71061681522960,54.667001749344000,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
3,06/14/2025,5:03:59 PM,1,3,Devan Tupper,,Right,Kcl groundsloths 2025,Chase Peterson,,Right,Kcl bluecaps 2025,Windup,1,Top,0,1,1,Slider,,HitByPitch,,,,,,,79.2906054262078,2.6776793508995700,-3.9115598166975000,2151.38970764607,349.534400648429,5:45,5.727888865805470,5.105294759528390,6.0000001920000000,-46.208911858023000,-0.5743263924811900,0.2511779958142000,4.373392559465640,1.4851889134755000,70.88789052860730,-6.0758642726639700,-3.863953504101990,0.4862040558619940,,,,,,,,,,,,-1.512701888383250,-1.254841784618650,-4.786329417803170,50.000000000000000,5.920008164278910,7.844767670717940,-114.83485423603000,4.065223437991840,-1.9695073584854700,26.21418946141300,-33.80782828854590,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,1508d3b7-7d41-499c-bdb3-dfad247d7793,79.50387358005310,5.7191821896675500,5.110970990294400,2.780189029070250,-3.9799899319262700,71.04068772079540,4.380879647588730,1.4811774330898900,-5.958116302326710,-3.926306316521030,0.48601959197900400,0.9017386819821970,-3.276605741225680,-77.92170056762620,22.830711758783900,450.1744327136430,-2103.7634501759900,20.924820413229500,0.20576718142819800,-0.9778625614407220,-0.038008919738470400,,,,,,,,,,,,,,,,,0.996880916803474,0,,,medium,high,69.45235941709450,33.02421853353010,54.667001749344000,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
4,06/14/2025,5:04:27 PM,3,1,Devan Tupper,,Right,Kcl groundsloths 2025,Josh Eisfelder,,Right,Kcl merchants 2025,Stretch,1,Top,0,0,0,Fastball,,InPlay,,Popup,Single,0,0,,86.9507830908954,-0.797878247590296,-5.801045854013600,1567.590641750880,236.2113055565260,1:45,5.630596231141150,4.608473178328040,6.0000001920000000,-25.8432155578139,12.049488888257300,13.488883083057500,2.7315865547750400,0.32259300338986700,77.9078959185876,-5.680900041501090,-3.256347356180300,0.443046513904165,59.37053564041550,30.76732365627000,25.21580021258420,,46.03624354430500,99.90327462264410,27.847033721525600,166.07111246003200,,24.901068930852200,2.6604993154325300,-9.242841872582660,6.784405767231060,-4.142148861650980,50.00000000000000,5.550287267167930,12.352313794883400,-125.7497032044350,-2.571061913163210,-14.512695830346000,30.114897147817900,-21.521479884300900,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,b2b43f9d-a4ff-4c55-8b14-7ccaf6f169c4,87.19128729012660,5.629535050338050,4.615499827176850,-0.78622989539943,-5.88511846879832,78.09889845927430,2.7330769455940500,0.31739334939991700,-5.655671306064620,-3.339944325857640,0.4428735480261630,14.289625834812700,10.690287193412800,-26.989710792601000,86.14734493383550,1396.8612658468400,-711.4204270905510,89.1088035768478,-0.4955622467005060,-0.45383048874031800,-0.7405781168349980,21.733534566714300,46.15307139715730,30.371170179566300,-0.12420576852180800,2.575640054405420,3.1576727170861000,69.92469617827360,150.63250398930800,,,,,,,,,0.9947537447652520,0,,25.234985548611000,medium,high,12.467389559548000,-10.79339086133550,54.667001749344000,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
5,06/14/2025,5:05:10 PM,3,1,Devan Tupper,,Right,Kcl groundsloths 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Slider,,BallCalled,,,,,,,78.2130896395537,-0.5980452705586070,-4.7076208632360200,2098.22690602276,330.66414287147600,5:00,5.640982634186290,3.282302450621980,6.0000001920000000,-47.543787421038700,-0.6004348991712480,0.9053898377884800,1.1212789867752000,-1.0273535966373600,70.49975309179640,-9.53798218270321,-4.536261432757750,0.49312676329190500,,,,,,,,,,,,-2.162279775523680,-0.11258216674548200,-2.898502003091490,49.99999999999990,5.564696570202850,9.3018528041122,-113.26570002332900,-2.5227369227679000,-2.736092278948790,25.690161507388500,-32.31650811549580,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,1db7a235-7fa6-4e6b-acf8-e288789f9d95,78.41033448863630,5.6320069575396000,3.288475406681810,-0.4929894687048820,-4.781104199173230,70.63771769045840,1.128904875484150,-1.0316954512783000,-9.42021209396789,-4.603338861016510,0.4929452609286480,1.604396621257930,-3.3971583063413000,-75.19899767678310,16.147256513360900,536.0186266699340,-2028.6054769276200,25.546265998750800,0.22270285243305200,-0.9668189227317110,-0.12515834037760200,,,,,,,,,,,,,,,,,0.9940557533587090,0,,,medium,high,75.4674691379752,34.253362052642000,54.667001749344000,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
6,06/14/2025,5:05:28 PM,3,2,Devan Tupper,,Right,Kcl groundsloths 2025,Trey Blanchette,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,1,0,Fastball,,InPlay,,GroundBall,Single,0,1,,86.71833569399030,-0.494498674305082,-3.114974482983690,1551.4990801674600,240.5645360786830,2:00,5.76938897330585,2.2903582701186500,6.0000001920000000,-27.963557722250500,9.929885724392400,12.667118164199400,2.9788169712794500,0.44805823983399800,77.71108745942530,-5.790583211152410,-0.7101227026205780,0.44305083412933100,91.43522806066200,2.4426104401602000,-29.265537972510600,1860.7914812650100,,,,65.16916711120400,,-30.303979204046600,0.5075681365148940,-7.9190089594418200,5.541970811463860,-2.0437071196141800,50.00000000000000,5.712872207944620,6.452325093828280,-125.86043826958200,-1.964346985872970,-12.42673727150770,30.714940733429200,-23.477429138524200,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,a10a10a1-d6af-4ea0-9634-e3da0b01839d,86.95833884666920,5.767514779014090,2.2976977430362300,-0.47351344695353300,-3.201696793885320,77.89965503222480,2.981046726982540,0.44246016213553000,-5.755699683951720,-0.7955293921638770,0.44286716581166600,13.482002559845700,8.39128033784984,-35.06554797089720,66.84075444722960,1269.8947326550500,-891.3566983735700,81.8495317778716,-0.40224371911706200,-0.5745131980854040,-0.7128355880962700,-44.658214746522600,79.69227914041110,3.8968489277273000,-0.44263546368687900,1.8301810936487300,3.002118695315300,-32.88355268836440,56.26448528654280,6.391120509391280,-14.87380978747650,-0.1444344523821570,-0.7025212390486290,-0.18864882360557800,0.6862037088487720,,,0.995250850231341,0,0.7493239441332180,51.15669273303280,medium,high,29.843320997493400,79.26259121824240,54.667001749344000,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
7,06/14/2025,5:06:02 PM,4,1,Devan Tupper,,Right,Kcl groundsloths 2025,Michael Lucas,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,86.88565480858010,0.007785917406213310,-2.6620685262486300,1574.388217020310,234.4266727339210,1:45,5.885197932290470,0.15611720107252400,6.0000001920000000,-25.84203604275750,12.00023050966300,11.808406392980700,3.6799827548804900,-1.8986010325323100,78.04397551126080,-4.797307527904480,-5.200744510149780,0.44208802551042800,,,,,,,,,,,,-7.164264966811220,5.95445996265814,0.054196222343192200,50.000000000000000,5.870380488087180,5.502817125443820,-126.15470491607200,-0.8220033708106330,-11.290236919932600,30.957232532443500,-22.79035648976520,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,fd421fa9-325e-4d56-a235-21756c8edc31,87.13160936034390,5.883853338729850,0.16294933408308900,0.0224551583049517,-2.7432681175288500,78.24406630199450,3.6814468168302600,-1.9036603985447100,-4.772773539414620,-5.279937129624930,0.4419008332087690,12.57056667933510,10.659773617454600,-37.551864311493600,82.2288917837158,1248.178062812150,-959.557075637977,79.28019590837970,-0.46120808947220200,-0.609479329980019,-0.6448426509874390,,,,,,,,,,,,,,,,,0.9822215352351580,0,,,medium,high,15.993997394655800,16.883851401554700,54.667001749344000,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
8,06/14/2025,5:06:18 PM,4,2,Devan Tupper,,Right,Kcl groundsloths 2025,Michael Lucas,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,87.83329716486590,-1.5346448988061600,-7.925910057178800,1620.5417927813200,235.53624298068000,1:45,5.638932361703480,3.867474944118990,6.0000001920000000,-24.82251320665290,12.609137133956600,13.331748384325500,2.1299993018490700,-2.435186414979530,78.7535335931279,-6.20636115267541,-5.4313876652075300,0.4403429120106560,,,,,,,,,,,,-9.8375326702786,7.326987808972560,-3.2254618019947700,50.00000000000010,5.498285013085650,17.182354858655900,-126.4414090556520,-4.204260451912280,-15.64308632418430,30.05189790243610,-20.523089265605200,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,902d075c-d78c-4b56-987d-a296f156e4ab,88.07975319827050,5.6381800322673,3.8747230308327300,-1.5266595094946400,-8.009962322406400,78.94693080493190,2.1312837613800500,-2.4406031037073500,-6.185141656055610,-5.513632430978240,0.44016717342546100,14.135548393132700,11.372255424742500,-29.009678622981800,93.70883983412190,1417.2250486930600,-785.8936718843450,87.45377965604250,-0.4948876591473480,-0.4849573614115330,-0.7210426911330710,,,,,,,,,,,,,,,,,0.967418945631315,0,,,medium,high,5.6620441492903600,16.231166570197600,54.667001749344000,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
9,06/14/2025,5:06:38 PM,4,3,Devan Tupper,,Right,Kcl groundsloths 2025,Michael Lucas,,Right,Kcl bluecaps 2025,Stretch,1,Top,0,2,0,Fastball,,InPlay,,GroundBall,Out,1,0,,87.40539184191210,-1.2524097845133400,-5.256904180049400,1556.3074572998100,241.25402610343500,2:00,6.024341190411510,2.967249985558480,6.0000001920000000,-27.746902484530200,9.727810712535100,11.548589671370300,2.543014756338560,-0.9698568580882830,78.4065964805522,-6.4914262268934700,-3.0749615122605000,0.4405961331856830,66.75047301728300,9.384369558746690,0.605581979528291,1095.3552606574100,,,,91.1845842437387,,3.908440316888460,1.0325856990346700,-8.026662123975310,5.686477436898700,-2.5445339758959900,50.00000000000000,5.905809948598070,11.274622625761700,-126.49694104281300,-3.6521766626952500,-12.740585750591400,30.70911063292780,-23.147999618453900,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,4b5639aa-f1c7-40a3-9e1a-fd1906da3023,87.64553908767330,6.022485037186500,2.9740779133920900,-1.231205984419240,-5.338648809199810,78.59867103291570,2.545268443511020,-0.9752446306635550,-6.456122915691460,-3.1564759372731900,0.440418136097505,12.32151571422300,8.260353239328820,-41.08941800942250,63.7152449176051,1172.9652532808300,-1022.8613866222600,75.36847862413570,-0.3624674847086260,-0.657236063365607,-0.6608010892399330,0.6960573539341200,65.85345163197930,10.884119640357800,0.9490494750517380,0.9191451608335850,2.4534356913372700,6.215347349645520,90.97251156820250,4.309307076232710,-5.56529680351619,-0.09299467600583530,-0.2685646782523140,0.1304773687594140,-0.9543839216148030,,,0.9940091655041150,0,0.9931368971054960,33.18835358786250,medium,high,32.6562795741554,-82.48698234222710,54.667001749344000,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
10,06/14/2025,5:07:16 PM,5,1,Devan Tupper,,Right,Kcl groundsloths 2025,Nolan Hunter,,Right,Kcl bluecaps 2025,Stretch,1,Top,1,0,0,Slider,,StrikeCalled,,,,,,,78.79333690794470,1.6654991296700500,-1.7494397205776900,2182.453768392080,350.73325699140000,5:45,5.3885193117573200,2.1282843746360000,6.0000001920000000,-49.53871766071660,-3.5302377167312900,0.00984956822318621,2.809355146725640,0.5026814969490840,70.69061481347910,-7.718592878726040,-1.7475653511570800,0.488191782583498,,,,,,,,,,,,-0.624029525185703,-2.50126705553234,-1.985745933679,50.00000000000010,5.495721029003360,3.4938013880773300,-114.39884407882100,1.9211322103139800,-0.8057288911952640,26.154656115988500,-35.403613332423000,KCL GroundSloths 2025,KCL BlueCaps 2025,,,,c91dcdf1-3333-4bb7-b651-94a6644e20ef,114a926e-278a-4537-aa5a-f053986fa342,78.98833760308170,5.3782713098569000,2.1341537770825500,1.786767550935790,-1.8202870135486500,70.82337688338350,2.8182240519387000,0.4984105042102250,-7.58509211385073,-1.8118321710746000,0.4880146945230250,0.6790724767630870,-6.438424024553890,-72.33756712619740,89.52159191876150,662.1747039139360,-2079.574262358830,30.340835325084200,0.2994486776706550,-0.9528606252635340,-0.04885814429226980,,,,,,,,,,,,,,,,,0.9917700230196220,0,,,medium,high,9.430567273114520,32.654351818953300,54.667001749344000,Sammy Descarpentrie,,Kcl groundsloths 2025,2022-11
